CONCEPTICON_ID	CONCEPTICON_GLOSS	PORTUGUESE	PORTUGUESE_AOA_MEAN	PORTUGUESE_POS	LINE_IN_SOURCE
1423	FIGHT	Lutar	4.12	vb	1034
1424	YELLOW	Amarelo	2.3617021276595747	aj	1518
1426	EXPENSIVE	Caro	3.8958333333333326	aj	1389
1427	BEAUTIFUL	Bonito	2.0	aj	1424
1429	FULL	Cheio	2.42	aj	1390
1430	STAR	Estrela	2.92	no	346
1443	WALK	Andar	1.8775510204081631	vb	1012
1448	HOLD	Segurar	3.52	vb	1206
1451	SMILE	Sorrir	2.5306122448979593	vb	1056
1458	SAY	Dizer	3.26	vb	1021
1469	WEEK	Semana	3.12	no	500
1474	SEA	Mar	2.0408163265306123	no	3
1476	CHAIR	Cadeira	2.275	no	240
1480	BODY	Corpo	3.38	no	43
1482	SHOULDER	Ombro	3.3125	no	117
1494	DIE	Morrer	4.209302325581397	vb	1037
1514	HEN	Galinha	2.375	no	364
1521	SEEM	Parecer	5.145833333333333	vb	1148
1524	WINE	Vinho	3.7619047619047628	no	182
1528	FORGIVE	Perdoar	5.0	vb	1153
1529	LAST (FINAL)	Último	3.74468085106383	aj	1510
