CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_STROKE	CHINESE_VALENCE_MEAN	CHINESE_AROUSAL_MEAN	CHINESE_PERCEPTUAL_MEAN	CHINESE_FAMILIARITY_MEAN	CHINESE_IMAGEABILITY_MEAN	CHINESE_POS	LINE_IN_SOURCE
1162	INTENTION	意图	21	4.75	4.72	4.16	6.666667	4.2381	noun	1750
1169	OX	牛	4	5.59	4.94	5.12			noun	517
117	IMITATE	模仿	20	4.62	4.88	4.69	6.384615	4.65	verb	1664
1171	MIRROR	镜子	19	5.31	3.69	4.06	6.607143	7	noun	2109
1172	SHOOT	射击	15	5	5.31	2.82	6.457143	5.84211	verb	3140
1173	EYEBROW	眉毛	13	5.5	4.6	4.84	6.53125	6.80952	noun	1221
1175	GHOST	鬼	9	3.5	6.25	6.67			noun	1418
1176	SPADE	铲子	14	5.15	4.31		6.5	6.42105	noun	3037
1182	NOISE	噪音	25	2.56	5.25	5.25	6.038462	5.06897	noun	4373
1187	GOOSE	鹅	12	6.06	4.44	5.89			noun	1444
1188	CHARCOAL	木炭	13	4.94	4.12	4			noun	545
1189	ULCER	溃疡	20	2.19	6.62	6.62	5.521739		verb	3731
1193	STEAM	蒸汽	20	5.38	5.38	3.88	5.306122		noun	3351
1195	GIVE BIRTH	分娩	14	3.59	6.94	5.44	5.833333		verb	574
1199	WIFE	妻子	11	5.81	5.25	5.75	6.571429	5.33333	noun	3916
1200	HUSBAND	丈夫	7	6.38	4.69	4.47	5.518519	6.15	noun	1641
1201	FEATHER	羽毛	10	6.25	3.81	4.94	6.485714	6.5	noun	1250
1202	BIG	大	3	5.88	5.69	5.56			adjective	298
1204	BARK	树皮	14	5.44	4.38	3.62			noun	249
1205	TONGUE	舌头	11	5.12	5.62	6.12	5.961538	6.65	noun	3635
1208	CAT	猫	11	7.12	5.39	7.12			noun	511
121	SPIN	旋转	19	4.47	5.56	4.35	5.444444	6	verb	2959
1216	MOTHER	母亲	14	8	4.88	7.38	6.939394	6.19048	noun	2160
1217	FATHER	父亲	13	7.31	3.69	6.78	6.878788	6.75	noun	1246
1221	NOSE	鼻子	17	5	3.5	4	6.259259	6.94737	noun	2250
1222	PENIS	阴茎	14	4.69	6.06	5.29			noun	2467
1223	HEART	心	4	5.81	4.56	5.83			noun	1555
1224	LIVER	肝脏	17	4.5	3.81	5.12	6.392857	6.55	noun	1947
1225	DAY (NOT NIGHT)	白天	9	5.94	4.31	4.89	6.692308	6.47368	noun	875
1226	YEAR	年	6	5.56	4.38	4.19			noun	3966
1227	BOARD	木板	12	5.38	4.06	4.06	5.592593	6.73684	noun	340
1228	EARTH (SOIL)	土地	9	5.5	3.25	4.94	6.16	5.63636	noun	1854
123	FOREHEAD	额头	20	5.31	3.94	5.22	6.583333	6.86364	noun	1329
1230	DIRTY	肮脏	18	2.69	6.47	5.94	6.470588	5.14286	adjective	4255
1232	WARM	温暖	25	7.38	4.12	6.06	6.676471	5.2381	adjective	4561
1233	NIGHT	夜	8	5.31	3.44	5.12			noun	2231
124	THORN	刺	8	3.62	5.88	4.88			noun	3600
1247	EAR	耳朵	12	5	4.44	5.11	6.52	6.94737	noun	1079
1248	EYE	眼睛	24	5.88	4.62	5.58	6.875	6.86364	noun	1219
125	SWEAT (SUBSTANCE)	汗水	10	5	5.12	5.56	6.714286	6.375	noun	3476
1252	HOUSE	房子	11	6.25	4.69	6.72	6.8	7	noun	1623
1261	SING	唱	11	5.53	5.62	4.18			verb	3180
1262	BROTHER	兄弟	12	6.19	5.44	5.44	6.735294	5.17391	noun	411
1266	BRIDE	新娘	23	6.06	6.25	5.25	6.545455	6.68421	noun	396
127	EXTINGUISH	熄灭	19	4.12	4.5	5.32	5.866667	6.36842	verb	1214
1272	AUNT	阿姨	16	5.56	4.5	3.88	6.363636	6.31579	noun	199
1273	CANDLE	蜡烛	24	5.5	4.12	5.31	6.296296	7	noun	474
1274	SALT	盐	10	5.29	4.06	4.41			noun	2993
1275	ANSWER	回答	18	5.75	4.19	3.81	6.3125	4.18182	verb	119
1277	HAND	手	4	5.69	4.5	6.11			noun	1522
1280	FALL	落下	15	4.31	5.19	4.21			verb	1233
1281	PRISON	监狱	19	2.34	5.75	4.47	5.230769	6.17857	noun	2668
1284	BANK	银行	17	5.75	5.31	4.25	6.074074	6.15789	noun	237
1285	IMPORTANT	重要	18	6.06	5.19	5.56	6.958333	3.91304	adjective	4605
1289	BABY	婴儿	13	6.06	3.94	5.06	6.5	6.84211	noun	1702
1290	ELEPHANT	大象	14	5.75	4.38	4.95	6.09125	6.59524	noun	1119
1292	BAD	坏	7	3.5	5.81	4.75			adjective	221
1293	MISTAKE	错误	22	3.27	5.79	4.51	6.714286	4.83333	noun	1172
1297	LEG	腿	13	5.25	4.12	5.81			noun	1891
1298	NEWSPAPER	报纸	14	5.19	4.34	4.06	6.791667	6.65217	noun	1801
1299	COFFEE	咖啡	19	5.79	4.69	5.09	6.875	6.68182	noun	661
1300	COUNTRY	国家	18	5.59	5.12	5.06	6.535714	5.83333	noun	796
1305	CHIMNEY	烟囱	17	5.76	3.56	5.25	5.954545		noun	577
1307	LANGUAGE	语言	16	5.56	3.62	4.31	6.423077	3.8	noun	1858
1309	ASK (INQUIRE)	问	6	5.81	4.69	4			verb	170
131	FESTIVAL	节日	9	7.25	6.06	5.72	6.735294	5.26087	noun	1262
1312	FOX	狐狸	18	5.19	5.62	5.5		6.64286	noun	1353
1313	MOON	月亮	13	7.31	3.38	5.38	6.657143	6.68421	noun	2147
1318	CHICKEN	鸡	7	5.29	4.94	5.44			noun	571
132	SAUCE	酱	13	5.59	4.69	3.35			noun	3010
1320	APPLE	苹果	16	6.12	4.69		6.914286	6.88889	noun	135
1321	BOTTLE	瓶子	13	5.81	4.06	4.25	6.464286	6.80952	noun	363
1322	BREAKFAST	早餐	22	6.69	4.5	4.75	6.740741		noun	386
1325	FRIEND	朋友	12	7.12	5.88	7.39	6.818182	5.28571	noun	4566
1327	UNCLE	叔叔	16	5.06	4.62	4.56	6.958333	6.59091	noun	3736
133	WEAVE	编织	20	5.62	4.56	4.12	4.962963	5.84211	verb	3885
1332	NEIGHBOUR	邻居	15	5.69	3.81	3.31	6.423077	5.71429	noun	2218
1333	NECK	脖子	14	5	3.94	4.12	6.685714	6.52632	noun	2210
1335	WHITE	白色	11	5.94	4.56	4.88	6.657143	6.65	noun	3908
1336	EAT	吃	6	6	5.12	4.89			verb	1087
1337	PIG	猪	11	5.44	5.25	7.25			noun	2520
1338	PEACE	和平	13	7.62	4.44	4.31	6.321429	4.27273	adjective	4574
1339	MORNING	早晨	17	6.5	3.44	4.81	6.8	6.4	noun	2152
1342	SUMMER	夏天	14	6.06	5.31	6.31	6.705882	5.47619	noun	3441
1343	SUN	太阳	10	6.31	5	6	6.592593	6.81818	noun	3446
1346	THROAT	喉咙	20	4.94	5.25	4.38	5.84	6.28571	noun	3607
1349	CHURCH	教堂	22	5	3.69	4.56	6.088235	5.90909	noun	592
1350	MONKEY	猴子	15	4.81	4.62	3.12	6.181818	6.63158	noun	2138
1352	KNIFE	刀	2	4.12	6.19	5.81			noun	1837
1357	DAUGHTER	女儿	5	6.69	5.27	4	6.733333	5.54545	noun	873
1358	ENEMY	敌人	12	3.56	5.69	4	5.923077	5.27586	noun	4097
1359	SEPARATE	分离	14	4	5.56	5.12	6.392857	4.19048	verb	3097
1360	DUCK	鸭子	13	5.81	4.8	4.63	6.086957		noun	1059
1361	TOOL	工具	11	5.62	4.69	4.19	6.318182	5.05	noun	3637
1362	STREET	街道	24	5.62	5.19	3.56	6.407407	5.71429	noun	3392
1363	VOICE	声音	16	5.56	4.38	5.19	6	5.4	noun	3268
1365	KITCHEN	厨房	20	5.88	3.62	5.31	6.32	6.2	noun	1831
1368	BREAD	面包	14	6.88	4.44	5.31	6.5	6.84211	noun	384
1371	KNEE	膝	15	5	3.69	5.19			noun	1835
1373	TEA	茶	9	5.88	4.38	4.81			noun	3531
1374	RING	戒指	16	6.24	5.75	3.88	5.590909	6.78947	noun	2930
1376	NOW	现在	14	5.31	5.75	4.84	6.916667	4.56522	noun	849
1379	TELEPHONE	电话	13	5.5	5.25	5.5	6.958333	6.5	noun	2503
1380	TOOTH	牙齿	12	5.59	5.09	5.47	6.958333	6.72727	noun	3546
1381	SHOE	鞋	15	5.29	5.69	3.88			noun	3137
1382	NEEDLE (FOR SEWING)	针	7	4.56	5.44	4.44			noun	2215
1384	SECOND	第二	13	4.65	5.56	3.53			numeral	3069
1386	LION	狮子	12	4.94	4.5	5.19	6.470588	6.59091	noun	1939
1387	ARRIVE	到达	14	6.12	5.31	4.25	6.62963	4.22727	verb	157
1389	TOE	脚趾	22	4.5	4.25	5.5	5.56		noun	3627
139	GUMS	牙龈	18	4.88	4.19	5.83			noun	4014
1392	LOUSE	虱子	11	3.06	5.12	4.93			noun	1910
1394	BONE	骨头	14	5.12	4.81	5.12	6.535714	6.47826	noun	350
1396	SHARP	锋利	19	4.47	5.94	3.88	6.222222	4.86364	adjective	4789
1399	CLAY	黏土	20	5	4.31	3.69			noun	614
1401	DRINK	喝	12	5.31	5.12	5.53			verb	1046
1402	BREAST	乳房	16	5.31	6.12	5.69	5.888889	6.59091	noun	388
1403	BITE	咬	9	4.75	5.69	5.12			verb	313
1407	BREATHE	呼吸	14	6.62	4.19		6.8	6.25	verb	389
1409	SEE	看见	13	5.47	4.5	3.94	6.16	4.4	verb	3077
1419	FEAR (BE AFRAID)	害怕	18	3.56	6.81	6.11	6.2	4.31818	verb	4037
142	RETURN HOME	回归	11	5.75	4.81	4.06	6.411765	4.61905	verb	4546
1425	GREEN	绿色	17	5.81	3.94	5.89	6.5	6.85714	noun	1472
1426	EXPENSIVE	昂贵	17	4	5.75	5.38	6.428571	4.47619	adjective	4243
1427	BEAUTIFUL	美丽	16	6.62	5.44		6.24	4.68182	adjective	4695
1428	BURNING	燃烧	26	5.24	5.94	6.75	5.962963	6.42105	verb	439
1432	CUT	切	4	4.12	4.93	4.53			verb	856
1435	HUNT	打猎	16	5.06	5.88	4.93	6.133333	6.21053	verb	1638
1437	SPLIT	撕裂	27	3.06	6.25	5.25	6.233333	5.15	verb	3539
1439	SWIM	游泳	20	5.88	5.94	5.25	6.074074	6.71429	verb	3482
144	MACHINE	机器	22	4.94	4.31	3.81	6.285714	6.09524	noun	1977
1440	SPIT	吐	6	2.62	5.44	5.56			verb	3307
1441	FLY (MOVE THROUGH AIR)	飞	3	6.62	5.06	6.67			verb	1312
1443	WALK	步行	13	5.06	4.44	4.81	6.785714	5.66667	verb	3853
1445	TURN (SOMETHING)	转动	14	5.38	5	4.56	6.352941	5.8	verb	3716
1446	COME	来	7	5.94	4.94	4.62			verb	679
1448	HOLD	拿	10	4.88	4.94	3.75			verb	3511
1450	ROOM	房间	15	5.71	4.38	4.65	6.735294	5.66667	noun	2952
1451	SMILE	微笑	23	6.18	4.38	5.35	6.758578	6.51111	verb	4526
1452	PUSH	推	11	4.81	4.88	5.81			verb	2745
1453	WASH	洗	9	4.94	4.94	5			verb	3869
1454	WIPE	擦	17	5.19	5.06	4.5			verb	3933
1455	PULL	拉	8	4.69	4.75	5.62			verb	2732
1458	SAY	告诉	14	5.12	5.31	3.25	6.407407	4.78261	verb	3551
1463	DRUNK	醉	15	3.62	5.5	5.61			verb	1057
1464	LADDER	阶梯	17	5.25	4.88	2.5	5.531915		noun	3330
1468	LOOK FOR	搜索	22	5.35	5	3.35	6.771429	4.6	verb	3059
1471	WINTER	冬天	9	5.25	4.5	6.25	6.792781	6.2	noun	3931
1472	KEY	钥匙	20	5.69	3.62	5.5	6.423077	6.88889	noun	1818
1473	FIST	拳头	15	4.69	5.81	6.5	5.759972	6.91111	noun	1291
1475	COMB	梳子	14	5.65	4.31	5.75			noun	677
1476	CHAIR	椅子	15	5.94	4.12	4.62	6.785714	6.66667	noun	534
1477	KEEP	保持	18	5.48	3.5	4.21	6.5	3.47826	verb	1813
1479	DOLPHIN	海豚	21	6.5	4.93	5.05	6.352941	6.85714	noun	1016
1480	BODY	身体	14	5.88	4.62	4.44	6.909091	6.52381	noun	345
1483	NINE	九	2	5.81	3.81	3.56			numeral	2235
1489	CLOUD	云	4	6.82	3.25	5.19			noun	637
1492	DUMB	笨	11	3.62	5.31	3.89			adjective	973
1493	ONE	一	1	5.31	3.93	3.06			numeral	2298
1496	GRANDMOTHER	祖母	14	5.88	4.31	6	5.954545	6.72222	noun	1461
1498	TWO	二	2	4.81	5.06	4.06			numeral	3723
1499	JUICE	果汁	13	6.5	3.81	5.06	6.821429	6.82609	noun	1805
15	OTTER	水獭	20	5.44	4.87	2.75			noun	2332
150	WORRY	担心	12	3.88	5.62	4.69	6.636364	4.85	verb	4174
1500	FOUR	四	5	5	4.56	3.22			numeral	1351
1502	GOAT	山羊	9	5.75	4.25	5.61	5.673469		noun	1433
1507	FRUIT	水果	12	6.62	4.56	6	6.6	6.84211	noun	1371
1508	KING	国王	12	5.38	4.12	5	5.708333		noun	1829
1509	MOSQUITO	蚊子	13	2.06	6.25	6.19	6.821429	7	noun	2158
1510	CHIN	下巴	7	5.35	4.38	4.75	6.384615		noun	579
1511	ROOSTER	公鸡	11	4.59	5.56	5.06	6.424242		noun	651
1515	TEN	十	2	5.5	4.93	2.25			numeral	3557
1517	WASP	黄蜂	24	3.52	5.72	5.75	5.478261		noun	429
1518	STUPID	愚蠢	34	3.16	5.73	4.69	6.323529	4.52273	adjective	4256
1519	RUN	跑	12	5.41	5.31	4.29			verb	2975
1521	SEEM	似乎	11	4.65	5.19	3.65	6.75	2.86957	adverb	3080
1523	FORGET	忘记	12	4.69	4.88	4.94	6.590909	4.3	verb	1335
1525	COAST	海岸	18	6.53	3.94	4.56	5.875	6.14286	noun	645
1528	FORGIVE	原谅	20	5	4.31	4.78	6.787879	4.14286	verb	4540
1530	BOWL	碗	13	5.69	4.19				noun	366
1533	BE HUNGRY	饥饿	15	3.12	6.06	6.31	6.5	4.5	adjective	1637
1535	SWORD	剑	9	5.06	5.88	4.69			noun	3486
1538	SCORPION	蝎子	18	3.47	5.94	3.29	5.285714		noun	3040
1539	BASKET	篮子	19	5.25	4.38	3.44	5.923077	6.75	noun	258
1543	SNAIL	蜗牛	17	4.76	4.62	3.94	5.347826		noun	3234
1545	HOST	主人	7	4.75	5.07	3.69	5.28	5.13636	noun	2036
1547	SOUP	汤	6	5.62	4.38	4.5			noun	3271
1548	UGLY	丑陋	12	2.75	5.69	5.25		4.86207	adjective	4317
1556	YOLK	蛋黄	22	6.38	5	6.12	5.928571		noun	3975
1558	SIMILAR	类似	15	5	4.56	2.94	6.360714	2.84091	verb	3175
1559	MONEY	钱	10	7.25	7.25	6.38			noun	2135
156	RED	红色	12	5.75	5.56	6.69	6.714286	6.89474	noun	2822
1561	ARMY	军队	10	5.62	6.5	4.81	5.56	6.75	noun	153
1563	PYTHON	蟒蛇	27	3.25	6.75	5.88	5.407407		noun	2748
1564	LAZY	懒惰	28	2.88	4	5.88	5.740741	5.2	adjective	4272
1565	HEAVEN	天堂	15	5.62	4.75	4.52	6.0625	4.5	noun	4648
1566	GUN	枪	8	4.44	5.81	6			noun	1497
1567	DOOR	门	3	5.06	4.56	4.58			noun	1022
1568	ARRANGE	安排	17	5.69	4.69	3.56	6.5	3.26087	verb	154
1574	FLOAT	漂浮	24	4.93	4.12	5.19	5.96	5.95	verb	49
1575	COCKROACH	蟑螂	31	2.76	6.03	6.48	5.44		noun	653
1585	SLEEP	睡觉	22	5.88	3.06	5.65	6.68	7	verb	3213
1590	WAIT (FOR)	等待	21	4.38	4.69	5	6.592593	5.56522	verb	3850
1592	CHEST	胸部	20	6.24	5.31	6.12	6		noun	569
1593	DEEP	深	11	5.06	4.75	5.42			adjective	896
1594	FLOUR	面粉	19	5.56	4.19	5.33	6.633333	6.42105	noun	1309
1596	LOCK	锁	12	5.06	4.56	4.44			noun	1953
1597	AIRPLANE	飞机	9	5.75	5.5	4.88	5.555556	6.36842	noun	63
1600	SKIRT	裙子	15	5.65	5.56	3.76	6.516667	6.43902	noun	3199
1602	WAKE UP	醒	16	5.31	4.88	4.81			verb	3852
1607	HATE	讨厌	11	2.88	5.62	4.25	6.533333	4.5	verb	4072
1609	IDEA	主意	18	5.56	4.5	5.31	5.538462	3.65	noun	1654
1610	PROSTITUTE	妓女	10	3.62	6.69	5.27	4.416667		noun	2709
1612	LETTER	信	9	5.75	4.25	5.33			noun	1903
1613	COLOR	颜色	21	5.53	4.62	5.38	6.294118	5.82609	noun	675
1616	CLOTH	布	5	5.12	4	4.75			noun	634
1619	GRANDDAUGHTER	孙女	9	5.25	4.19	4.17	6.28	5.54545	noun	1458
1620	SON	儿子	5	5.75	5.12	3.56	6.958333	6.5	noun	3263
1622	SHIRT	衬衫	16	5.41	4.81	3	6.592593	6.77273	noun	3136
1623	SPEAK	说	9	5.29	4.94	3.88			verb	3019
1628	SQUIRREL	松鼠	21	6.12	6	3.5	6.041667	7	noun	3327
1629	EVENING	黄昏	19	6.38	3.75	5.77	6.62963	6.77273	noun	1069
163	BLACK	黑色	18	5.12	4.75		6.958333	7	noun	315
1632	FLOOR	地板	14	5.12	4.25	5.22	6.294118	6.13636	noun	1307
1635	OBEY	服从	12	4.69	4.69	3.69	6.428571	4.45	verb	4606
1637	AUTHORITY	权威	15	5.31	5.5	5.44	5.740741	4.25	noun	4661
1642	NIECE	侄女	11	5.62	3.94	2.5	6.382353	5.26087	noun	2229
1646	GIRL	女孩	12	6.25	4.62	6.72	6.68		noun	1423
1649	SIT DOWN	坐	7	5.06	4.75	3.47			verb	3185
1650	WATCH	看	9	4.88	3.88	5.31			verb	1960
1654	LIGHTNING	闪电	10	4.81	5.06	5.75	6.222222	6.90476	noun	1928
1655	BLINK	眨眼	20	4.94	5	4.56	5.96	6.94737	verb	328
1657	TRUE	真实	18	6.38	4.38	4.72	6.727273	3.90476	adjective	4660
1660	LOSE	失去	10	2.5	5.88	5.25	6.597594	4.69048	verb	4017
1663	BED	床	7	6.12	3.81	6.5			noun	274
1664	RAFT	木筏	16	5.62	4.25	4.75			noun	2767
1665	BEAT	拍打	13	5.44	5.06	4.94	6.75	5.81818	verb	1297
1668	GRIEF	悲痛	24	3.19	6.62	6.11	6.514286	4.75	adjective	3997
1669	ANCESTORS	祖先	15	5.8	3.94	4.12	6.558824	5.33333	noun	104
167	MAIL	邮件	13	5	4.38	4.75	5.8	5.86364	noun	1988
1672	WRITE	写	5	5.19	4.31	5.19			verb	3962
1674	POOR	贫穷	15	3.16	6.22		6.28	4.86364	adjective	4166
1675	PROMISE	承诺	18	6.5	4.94	4.13	6.178571	4.70833	verb	2696
168	REST	休息	16	6.82	4.12	5.82	6.718519	5.40909	verb	2900
1680	HELMET	头盔	16	5.19	4.88	4.44	6.136364		noun	1563
1681	WAIST	腰	13	5.19	4.81	5.19			noun	3849
1682	GUILTY	内疚	12	4.06	5.62	5.5	5.62963	4.25	adjective	4195
1688	FATE	命运	15	4.81	5.69	5.49	6.833333	3.56522	noun	930
1690	FENCE	栅栏	18	5.12	4.19	4.22	6.266667	6.19048	noun	1256
1698	CURVED	弯曲	15	5.25	4.69	4.56	6.035714	4.63636	adjective	292
1702	HOLY	神圣	14	5.94	4.5	4	6.428571	3.54167	adjective	4733
1703	SIX	六	4	5.76	5.19	2.59			numeral	3187
1704	SEVEN	七	2	5.18	5	2.94			numeral	3108
1705	EIGHT	八	2	5.25	3.94	2.95			numeral	1108
1706	ELEVEN	十一	3	5.19	4.88	3			numeral	1121
1707	TWELVE	十二	4	5.31	4.94	4.38			numeral	3721
1708	THIRTEEN	十三	5	5.25	4.13	2.62			numeral	3598
1710	TWENTY	二十	4	5.31	4.75	4.44			numeral	3722
1713	EIGHTEEN	十八	4	5.69	4.31	4.47			numeral	1109
1714	NINETEEN	十九	4	5.06	4.31	2.44			numeral	2236
1715	THIRTY	三十	5	5.06	4.13	1.94			numeral	3599
1716	FORTY	四十	7	5.31	4.56	3			numeral	1343
1718	SIXTY	六十	6	4.88	4.81	2.53			numeral	3189
1721	SEVENTY	七十	4	4.82	4.56	2.65			numeral	3110
1722	EIGHTY	八十	4	5.25	4.6	3.95			numeral	1110
1724	NINETY	九十	4	5.44	4.06	2.19			numeral	2237
1725	CORRECT (RIGHT)	正确	17	7.18	5.62	5.12	6.705882	5.09524	adjective	2928
1730	CHEEK	脸颊	23	6.47	5.12	6.12	6.076923	6.60714	noun	559
1732	SKY	天空	12	6.47	4.69	4.82	6.647059	6.9	noun	3201
1733	RAINBOW	彩虹	20	7.19	5.06	7.06	6.518519	7	noun	4524
174	PROUD	骄傲	21	6.06	5.44	5.06	6.444444	3.81818	adjective	4074
1745	HIP	臀部	27	5.27	5.53	5.66	5.96875	6.61905	noun	1581
1746	BLADDER	膀胱	24	4.38	5.69	5	5.605263		noun	320
1747	CUSTOM	传统	15	5.03	4.19	5.03	6.714286	3.79167	noun	767
1750	CHOOSE	选择	17	5.12	5.31	5	6.636364	4.35	verb	583
1752	LEAVE	离开	14	3.62	4.81	4.88	6.647059	4.91304	verb	1888
1753	TOP	上面	12	5.31	5.19	4.31	6.705882	5.66667	noun	3762
1754	BRACELET	手镯	22	6	4.56	4.5	6.142857		noun	371
1756	WIDOW	寡妇	20	4.12	5.06	5.06	6.575758	6	noun	3912
176	BLOW (WITH MOUTH)	吹	7	5.38	4.31				verb	335
1763	CLUB	俱乐部	25	5.35	5.38	3.5			noun	640
1773	GRAVE	坟墓	20	3.62	5.44	5.44	6.181217	6.29545	noun	1470
1774	STINGY	吝啬	18	2.38	6.38	4.19	6.088235	4.90476	adjective	4308
1775	TABLE	桌子	13	5.5	5.12	4.12	6.76	6.61905	noun	3503
1779	DARE	敢	11	6.44	6.07	5.42			verb	870
1780	BILE	胆汁	14	4.53	5.25	5.19			noun	300
1781	THUMB	拇指	17	5.25	4.75	3.94	6.28	6.09091	noun	3609
1782	GUEST	客人	11	5.19	4.5	4.61	6.230769	5.75	noun	1492
1783	PAIN	疼痛	22	2.5	5.88	6.19		4.72727	adjective	2371
1787	LOOM	织布机	19	5.38	3.75	4.75			noun	1961
1788	TELEVISION	电视	13	6.06	5.31	5.19	6.666667	6.80952	noun	3550
1789	AGE	年龄	19	5.62	4.19	4.19	6.53125	5.18182	noun	52
1791	BUTTERFLY	蝴蝶	30	5.29	4.5	5.06	6.333333	7	noun	447
1793	BAT	蝙蝠	30	4.06	5.06	5	6.6	6.47368	noun	260
1798	GUNPOWDER	火药	13	5.06	5.75	4.89	5.538462		noun	1501
1807	AFTERNOON	下午	7	5.88	3.31	3.75	6.714286	4.45455	noun	51
1809	PIMPLE	痤疮	21	2.75	6.4	5.56			noun	26
1810	DANGER	危险	15	2.25	6.56	6.26	6.185185	3.81818	adjective	869
1812	TRY	尝试	17	6.15	5.58	5.38	6.230769	3.55	verb	188
1813	TASTY	好吃	12	7.38	6	5.94	6.26087		adjective	4810
1814	ACCUSE	指控	20	3.47	5.69	2.94	5.25	4.27273	verb	546
1817	WEST	西	6	5.25	4.88	3.94			noun	3895
1821	BRUSH	刷子	11	5.56	4.25	3.88	6.5	6.47368	noun	413
