CONCEPTICON_ID	CONCEPTICON_GLOSS	JAPANESE	ENGLISH	JAPANESE_POS	JAPANESE_BOI_MEAN	JAPANESE_BOI_MIN	JAPANESE_BOI_MAX	LINE_IN_SOURCE
1600	SKIRT	スカート	Skirt	Noun	5.795918367346939	1	7	346
1622	SHIRT	ワイシャツ	White shirt	Noun	5.854166666666666	1	7	1036
163	BLACK	黒い	Black	Adjective	1.9375	1	6	5728
1663	BED	ベッド	Bed	Noun	5.580000000000001	1	7	801
1680	HELMET	ヘルメット	Helmet	Noun	6.166666666666667	1	7	809
1786	DRY UP	乾く	Get dry	Verb	2.2653061224489797	1	7	1217
1788	TELEVISION	テレビ	Television	Noun	5.326530612244898	1	7	524
1821	BRUSH	ブラシ	Brush	Noun	5.895833333333334	1	7	742
1901	SHOVEL	シャベル	Shovel	Noun	5.040816326530613	1	7	311
191	NUT	ナット	Nut	Noun	4.708333333333334	1	7	577
1917	TIE	ネクタイ	Tie	Noun	5.9411764705882355	1	7	590
1924	VEIN	血管	Blood vessel	Noun	3.785714285714286	1	7	4746
2102	BURN	燃える	Burn	Verb	2.061224489795918	1	6	3964
215	LIE DOWN	寝る	Sleep	Verb	2.8823529411764706	1	7	2499
2246	BELL	ベル	Bell	Noun	4.775510204081632	1	7	807
2408	CAKE	ケーキ	Cake	Noun	5.795918367346939	1	7	200
2440	PINEAPPLE	パイナップル	Pineapple	Noun	5.770833333333333	1	7	618
2584	BENCH	ベンチ	Bench	Noun	5.770833333333334	1	7	812
2621	CURTAIN	カーテン	Curtain	Noun	5.1875	1	7	105
2770	JACKET	ジャケット	Jacket	Noun	5.469387755102041	1	7	305
2831	PENGUIN	ペンギン	Penguin	Noun	3.765957446808511	1	7	811
3090	GUITAR	ギター	Guitar	Noun	5.375	1	7	141
3091	LEMON	レモン	Lemon	Noun	5.92	1	7	1017
3097	SEWING MACHINE	ミシン	Sewing machine	Noun	5.58	1	7	889
3099	SOFA	ソファー	Sofa	Noun	5.604166666666666	1	7	430
3140	VEST	ベスト	Vest	Noun	4.357142857142857	1	7	798
3144	GORILLA	ゴリラ	Gorilla	Noun	3.3333333333333335	1	7	234
3727	CELERY	セロリ	Celery	Noun	4.979591836734693	1	7	421
3729	LETTUCE	キャベツ	Cabbage	Noun	5.666666666666667	1	7	153
4001	LIGHT SWITCH	スイッチ	Switch	Noun	5.208333333333333	1	7	345
4004	RECORD PLAYER	プレーヤー	Player	Noun	3.6904761904761907	1	7	767
4008	SANDWICH	サンドイッチ	Sandwiches	Noun	5.9361702127659575	1	7	281
4011	TRUCK	トラック	Truck	Noun	4.5625	1	7	551
4023	VIOLIN	バイオリン	Violin	Noun	5.479166666666667	1	7	614
4026	SAILBOAT	ヨット	Yacht	Noun	4.387755102040816	1	7	943
4031	IRON (PRESSING)	アイロン	Iron	Noun	5.36734693877551	1	7	7
4035	SWEATER	セーター	Sweater	Noun	6	1	7	409
474	DRESS	ドレス	Dress	Noun	5.627450980392156	1	7	567
476	CUP	カップ	Cups	Noun	5.1020408163265305	1	7	125
507	MELON	メロン	Melon	Noun	5.428571428571429	1	7	918
585	BOOT	ブーツ	Boot	Noun	5.583333333333334	1	7	708
595	GROUNDNUT (PEANUT)	ピーナッツ	Peanut	Noun	5.382978723404255	1	7	682
603	COAT	コート	Court	Noun	5.270833333333334	1	7	214
604	GLASS	コップ	Cup	Noun	6.06	2	7	226
757	BUTTON	ボタン	Button	Noun	5.612244897959184	1	7	835
772	BELT	ベルト	Belt	Noun	5.666666666666666	1	7	808
801	RIB	肋骨	Rib	Noun	3.9591836734693877	1	7	4588
809	TROUSERS	ズボン	Trouser	Noun	5.708333333333334	1	7	399
836	SCREWDRIVER	ドライバー	Driver	Noun	4.673469387755102	1	7	548
837	BLUE	青い	Blue	Adjective	1.857142857142857	1	6	5571
868	BANANA	バナナ	Banana	Noun	5.708333333333333	1	7	648
986	TOMATO	トマト	Tomato	Noun	5.791666666666667	1	7	545
994	BOW	リボン	Ribbon	Noun	5.26	1	7	989
