CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_AoA_MEAN	DUTCH_KNOWN_PERCENTAGE	LINE_IN_SOURCE
228	CARVE	uitsnijden	7.85	1	12014
2302	CIRCULAR (ROUND IN TWO DIMENSIONS)	cirkelvormig	8	1	20366
2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	sferisch	12.8823529411765	0.944444444444444	4807
2318	CHESTNUT	kastanje	6.11111111111111	1	15568
2340	SUNNY	zonnig	6.66666666666667	1	25764
2344	PETROL	benzine	7.38888888888889	1	13469
2368	GARLIC	knoflook	9.05555555555556	1	2812
2440	PINEAPPLE	ananas	6.2	1	6755
2449	FAT (OF MEAT AND FOOD)	vettig	7.83333333333333	1	25252
2451	FOURTEEN	veertien	5.5	1	12107
2453	SEVENTEEN	zeventien	5.88888888888889	1	6363
2454	SIXTEEN	zestien	5.83333333333333	1	25713
2504	DIFFERENT	verschillend	7	1	5815
2507	DISGUSTING	walgelijk	8.61111111111111	1	19002
251	SHARPEN (SOMETHING)	slijpen	7.7	1	11317
2578	PENCIL	potlood	5.11111111111111	1	4251
2579	TOOTHBRUSH	tandenborstel	4.83333333333333	1	5235
2580	HELICOPTER	helikopter	6.72222222222222	1	2200
2590	HARMONICA	harmonica	8.55555555555556	1	15069
2595	CACTUS	cactus	7.88888888888889	1	940
2607	TRIPOD	statief	10.7777777777778	1	5055
2618	CAMERA	camera	7.05	1	7398
2627	ORANGE (FRUIT)	sinaasappel	5.72222222222222	1	4820
2755	BUSY	bezet	7.61111111111111	1	20019
2766	WATERMELON	watermeloen	6.7	1	12585
2768	LITCHI	lychee	11.2352941176471	0.944444444444444	16059
2769	PORK	varkensvlees	7.66666666666667	1	5639
2783	SCALES (MEASURE INSTRUMENT)	weegschaal	7.27777777777778	1	25505
2805	BIRTH (ACCOUCHEMENT)	geboren	6	1	21176
2831	PENGUIN	pinguïn	6.15	1	10597
2843	CAULIFLOWER	bloemkool	7.16666666666667	1	20129
2871	SWING (MOVEMENT)	schommelen	5.4	1	11180
2875	RING (MAKE SOUND)	aanbellen	7.38888888888889	1	5
2958	LAUGHTER	gelach	6.44444444444444	1	1877
2991	SKI	skiën	7.33333333333333	1	24188
2997	COLORFUL	kleurig	9.11111111111111	1	22124
2998	DAMP	vochtig	8.2	1	12407
3002	PRECIOUS	kostelijk	10	1	2871
3004	FORMER	voormalig	10.3333333333333	1	18912
3005	FAMILIAR	vertrouwd	10.1764705882353	0.944444444444444	25207
3032	STARFISH	zeester	7.27777777777778	1	19241
3084	BLACKBOARD	schoolbord	6.38888888888889	1	24084
3086	COMPUTER	computer	8.11111111111111	1	1059
3088	ENVELOPE	envelop	6.73684210526316	0.95	8018
3092	LIGHTER	aansteker	8	1	12958
3095	POSTMAN	postbode	6.05555555555556	1	4242
3096	RACKET	tennisracket	7.33333333333333	1	18190
3098	SNOWMAN	sneeuwpop	6	1	4901
31	PAN	koekenpan	7.38888888888889	1	2822
3100	SUNGLASSES	zonnebril	6.22222222222222	1	25760
3103	TENNIS BALL	tennisbal	6.25	1	11738
3104	THERMOMETER	thermometer	6.66666666666667	1	24681
3105	UMBRELLA	paraplu	5.61111111111111	1	4036
3107	WHISTLE (INSTRUMENT)	fluitje	6.61111111111111	1	14630
3111	CONDUCT	dirigeren	10.4444444444444	1	20658
3112	ERUPT	uitbarsten	8.72222222222222	1	18410
3119	MASSAGE (SOMEBODY)	masseren	8.55555555555556	1	3219
3121	OPERATE (MEDICINE)	opereren	8.05	1	10291
3123	PHOTOGRAPH (SOMETHING)	fotograferen	7.38888888888889	1	14653
3125	PLAY (GAME)	golfen	9.16666666666667	1	21400
3129	SKATE	rolschaatsen	6.77777777777778	1	17474
3130	SPILL (SOMETHING)	morsen	4.55	1	9862
3135	VACUUM (SOMETHING)	stofzuigen	6.5	1	11564
3181	MUSTARD	mosterd	7.27777777777778	1	22767
3230	DECEIVE	bedriegen	8.44444444444444	1	13388
3241	CORIANDER	koriander	11.5	1	2864
325	FELT	vilt	11.2222222222222	1	18819
3328	ORANGE (COLOR)	oranje	5.16666666666667	1	23276
3330	LENTILS	linze	12.75	0.888888888888889	22444
3356	INCENSE	wierook	9.65	1	12692
3405	RULER	liniaal	8.55555555555556	1	15989
3474	BE THIRSTY	dorsten	9.38888888888889	1	1394
3475	SUFFICE	genoegen	10.8333333333333	1	21274
3534	BEG	bedelen	8.5	1	19828
3545	WATERY	waterig	8.2	1	12581
356	SHEARS	schaar	5.13513513513514	1	25873
3604	LIGHT BLUE	lichtblauw	6.16666666666667	1	15960
3620	SLEEPY	slaperig	7.16666666666667	1	24205
367	RIDE	paardrijden	6.88888888888889	1	16901
3703	STICKY	kleverig	7.9	1	9225
3710	CLEAR (TO SEE)	duidelijk	7.44444444444444	1	1455
3711	TIE (NOUN)	stropdas	8.66666666666667	1	5160
372	POINTED	puntig	7.72222222222222	1	4355
3725	AVOCADO	avocado	11.05	1	6858
3726	BROCCOLI	broccoli	6.72222222222222	1	20238
3727	CELERY	selderij	8.85	1	11239
3730	APRICOT	abrikoos	7.38888888888889	1	12993
3751	BRIGHT YELLOW	knalgeel	7.88888888888889	1	22149
3753	MAGENTA	magenta	12.5882352941176	0.944444444444444	16077
3754	TRANSPARENT	doorzichtig	8.33333333333333	1	1390
3755	MOUNTAINOUS	bergachtig	8.75	1	7029
3756	FLORAL	gebloemd	9.47058823529412	0.944444444444444	21173
3758	WINDY	winderig	8.66666666666667	1	6255
3759	FOGGY	mistig	7.44444444444444	1	16264
376	FRAGRANT	geurig	9.77777777777778	1	21322
3815	ALMOND	amandel	9.27777777777778	1	282
3841	WINDMILL	windmolen	8.27777777777778	1	25611
3843	BUT	maar	5	1	9614
3857	EGGSHELL	eierschaal	7.66666666666667	1	14419
3979	TADPOLE	kikkervisje	6.94444444444444	1	2720
4008	SANDWICH	boterham	4.94444444444444	1	838
4031	IRON (PRESSING)	strijkbout	10.7692307692308	0.722222222222222	5150
48	BE SILENT	stil	4.74324324324324	1	25882
492	THREE	drie	3.61111111111111	1	14321
493	FIVE	vijf	4	1	18814
496	CUCUMBER	komkommer	6.55555555555556	1	22195
505	PARENTS	ouders	4.72222222222222	1	16844
544	SPICY	kruidig	9.65	1	9363
55	WHISPER	fluisteren	6	1	1727
578	KISS	zoenen	5.83333333333333	1	19296
58	LIQUID	vloeistof	8.3	1	12400
592	PISS	plassen	2.72972972972973	1	25822
593	POTATO	aardappel	5.83333333333333	1	19430
600	STRANGE	eigenaardig	9.83333333333333	1	20870
635	MILK	melk	2.68918918918919	1	25818
641	MUSHROOM	champignon	6.75	1	7438
662	BATTERY	batterij	7.16666666666667	1	465
665	BEE	bij	5.38888888888889	1	13593
686	EASY	gemakkelijk	5.94444444444444	1	1898
687	NOTHING	niets	6.11111111111111	1	16431
707	REMEMBER	onthouden	7.44444444444444	1	3748
709	TEACH	onderwijzen	8.75	1	10138
711	TALL	rijzig	11.3076923076923	0.722222222222222	23895
718	PAY	betalen	6.22222222222222	1	19977
727	WHICH	welke	6.16666666666667	1	19100
732	YOUR (SINGULAR)	jouw	5.45	1	9049
737	LIGHT (IGNITE)	aansteken	7.15	1	6506
739	FEED	voeren	6.94444444444444	1	18864
741	DRIVE	autorijden	7.44444444444444	1	13305
744	EGG	ei	4.75675675675676	1	25840
789	PEOPLE	mensen	4.8	1	9737
864	PUMPKIN	pompoen	6.55	1	10677
868	BANANA	banaan	4.45	1	6892
908	DRUM	trommel	6.16666666666667	1	24815
928	EMBRACE	knuffelen	4.72222222222222	1	15721
943	WATERFALL	waterval	7.55555555555556	1	6140
961	PEBBLES	kiezel	7.1	1	9167
970	COCONUT	kokosnoot	7.94444444444444	1	15737
