CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_HAPPINESS_MEAN_FEMALE	CHINESE_HAPPINESS_MEAN_MALE	CHINESE_ANGER_MEAN_FEMALE	CHINESE_ANGER_MEAN_MALE	CHINESE_SADNESS_MEAN_FEMALE	CHINESE_SADNESS_MEAN_MALE	CHINESE_FEAR_MEAN_FEMALE	CHINESE_FEAR_MEAN_MALE	CHINESE_DISGUST_MEAN_FEMALE	CHINESE_DISGUST_MEAN_MALE	CHINESE_ANXIETY_MEAN_FEMALE	CHINESE_ANXIETY_MEAN_MALE	CHINESE_SURPRISE_MEAN_FEMALE	CHINESE_SURPRISE_MEAN_MALE	CHINESE_CONTENTMENT_MEAN_FEMALE	CHINESE_CONTENTMENT_MEAN_MALE	CHINESE_AMUSEMENT_MEAN_FEMALE	CHINESE_AMUSEMENT_MEAN_MALE	CHINESE_SERENITY_MEAN_FEMALE	CHINESE_SERENITY_MEAN_MALE	LINE_IN_SOURCE
2334	MELT	融化	1.5294117647058822	1	1.3636363636363635	1	1.375	1.4	1.1818181818181819	1.2	1.4	1.6666666666666667	1.173913043478261	1.3333333333333333	1.3529411764705883	1.5	1.925	1.75	1		4.2631578947368425	4	2292
2335	CUNNING	狡猾	1	1	4.260869565217392	4	2.9411764705882355	3	2.6923076923076925	3	3.25	3	2.590909090909091	3	2.411764705882353	2.5	1	1	1.4090909090909092		2.95	1	1366
2344	PETROL	汽油	1.35	1	1.2	1	1	1	1.4	1.6666666666666667	1.6470588235294117	1.1666666666666667	1.5333333333333334	1.3333333333333333	1.4375	1	1.3888888888888888	1.75	1.0416666666666667	1	2.923076923076923	2.2	2114
2352	DRAGONFLY	蜻蜓	2.25	2.3333333333333335	1	1	1	1	1	1	1.5	1	1	1	1.125	1.25	1.8333333333333333	1.75	1.2916666666666667	1.4	3.6153846153846154	2.8	2186
2359	LOTUS	荷花	3.2222222222222223	2.5	1	1.5	1	1.2	1	1	1	1	1	1	1.1363636363636365	1	3.1052631578947367	3.5	1.5	2	3.7857142857142856	4.666666666666667	1097
2365	RADISH	萝卜	1.5	1	1	1	1	1	1	1	1.5555555555555556	1.25	1	1	1.0526315789473684	1	2.0526315789473686	2.25	1.4782608695652173	1.4	3.6666666666666665	4.666666666666667	1785
2374	DREAM	梦想	4.473684210526316	5	1.0625	1	1.1666666666666667	1.75	1.0625	1	1.0769230769230769	1	1.3529411764705883	1	1.6470588235294117	2.75	4.2631578947368425	3.6666666666666665	1.380952380952381	2	3.25	3	1844
239	FLOWER	花朵	3.6	4.5	1	1	1.0666666666666667	1.2	1	1	1.125	1.2	1.1333333333333333	1	1	1.5	3.619047619047619	3	1.8	1.5	3.6666666666666665	4	1137
2395	CONGEAL (BLOOD)	凝固	1.1176470588235294	1.3333333333333333	1.6956521739130435	1	1.625	2	1.7692307692307692	1.4	1.625	1	1.6666666666666667	2	1.3529411764705883	1.3333333333333333	1.5897435897435896	1.25	1.0476190476190477		3.6	3	1958
240	ELECTION	选举	1.380952380952381	1	1.411764705882353	1	1	1	1.7777777777777777	1	1.4705882352941178	1.25	2.0625	1.5	2.1666666666666665	2	1.5238095238095237	3.5	1.25	1.25	3.230769230769231	2.75	3135
2401	PICTURE	画面	1.3333333333333333	1	1	1	1	1.2	1	1	1	1	1.0909090909090908	1	1.1176470588235294	1.5	2.0789473684210527	2	1.1818181818181819		4.315789473684211	5	1150
2403	TOY	玩具	2.1666666666666665	2.3333333333333335	1	1	1	1	1	1	1	1	1.0434782608695652	1	1	1	2.725	2.4	1.9565217391304348		4.7894736842105265	5	2806
2407	BIRTHDAY	生日	3.4761904761904763	5	1	1	1.1538461538461537	1.5	1	1	1.1176470588235294	1	1	1	1.631578947368421	1	3.9473684210526314	4	2.0476190476190474	1.6666666666666667	3.5	2	2414
2408	CAKE	蛋糕	3.85	4	1	1	1	1	1.1428571428571428	1	1.1176470588235294	1.25	1	1	1.3157894736842106	1	4.055555555555555	3.5	2.0434782608695654	3	3.466666666666667	4.666666666666667	498
2410	GOOD-LOOKING	好看	4	4.333333333333333	1	1	1	1	1.1428571428571428	1	1	1	1		1.3529411764705883	1.5	4.380952380952381	5	2.05	2.8333333333333335	3.857142857142857	3.5	1073
2411	HURT (SOMEBODY)	伤害	1	1	4.5	3	4	3.8	3.3076923076923075	3.6666666666666665	4.0625	4.333333333333333	4.090909090909091	4	3.0588235294117645	3.25	1.1282051282051282	1	1.0454545454545454		2	1	2334
2425	PROBLEM	问题	1.1764705882352942	1	1.9375	3.5	1.5	1.6666666666666667	2.375	1.5	2.4	1.5	2.4	1.3333333333333333	1.7777777777777777	1	1.2352941176470589	1.75	1	1	3.076923076923077	2.2	2877
2427	FUTURE	将来	2.2777777777777777	3.6666666666666665	1.1818181818181819	2	1.6470588235294117	2.25	1.2307692307692308	1.25	1.0666666666666667	1	2.3043478260869565	2.3333333333333335	1.1875	1.25	2.9	3	1.1818181818181819		4.315789473684211	5	1338
2429	LOGIC	逻辑	2.0526315789473686	3	1.2352941176470589	1	1	1	1.3333333333333333		1.1333333333333333	1	1	1	1.1875	1	2.3157894736842106	2.5	1.0952380952380953	1	3.857142857142857	3.25	1786
243	FRESH	新鲜	3.9444444444444446	4.666666666666667	1	1	1	1	1	1	1	1	1.0588235294117647	1	1.7647058823529411	2	4.3	4.5	1.7916666666666667	1.8	3.6153846153846154	3.857142857142857	3067
2432	MARRIAGE	婚姻	1.9444444444444444	3	2.391304347826087	4	2.5294117647058822	1.8	2.923076923076923	2.2	2.5	1	2.869565217391304	1.6666666666666667	1.4705882352941178	1.3333333333333333	2.025	3.6	1.391304347826087		3.2	5	1204
2433	THEORY	理论	1	1.6666666666666667	1.1904761904761905	1	1.125	1	1.1538461538461537	1.25	1.1333333333333333	1	1.434782608695652	1.6666666666666667	1.1875	1.25	1.6666666666666667	2	1		4.35	5	1699
2434	TRAGEDY	悲剧	1	1	2.7857142857142856	2.2	4.181818181818182	4	3.7857142857142856	3.6	2.9411764705882355	3.6	3.533333333333333	2.5	3.142857142857143	4	1.1111111111111112	1	1.05	1.1666666666666667	1.8461538461538463	1.75	89
2435	UNIVERSITY	大学	2.5	2	1.2222222222222223	1.6666666666666667	1.1428571428571428	1.4	1.0666666666666667	1.3333333333333333	1.375	1.3333333333333333	1.6	1	1.375	1	3.0526315789473686	2.75	1.625	2.2	3.4615384615384617	3.4	471
2465	DISGUST	厌恶	1	1	4.454545454545454	5	4.0588235294117645	3.8	2.4615384615384617	3.6666666666666665	3.6875	5	3.1739130434782608	3.3333333333333335	2.411764705882353	3	1.0810810810810811	1	1.1304347826086956		2.1	1	3206
2467	GAME	游戏	3.0526315789473686	4	1.2	1	1	1	1.1176470588235294	1	1.125	1.3333333333333333	1.3333333333333333	1.5	1.8823529411764706	1	3.3684210526315788	3	2.8461538461538463	3.3333333333333335	3.1875	3.3333333333333335	3359
2471	LADY	女士	2.263157894736842	1.3333333333333333	1	1	1.1333333333333333	1	1.0588235294117647	1	1.1176470588235294	1.3333333333333333	1	1	1.2352941176470589	1.5	3.4210526315789473	3.25	1.08	1.3333333333333333	3.4375	4	1979
248	HAPPEN	发生	1.2941176470588236	1.25	1.1428571428571428	1	1.2142857142857142	1	1.2352941176470589	1.5	1.6470588235294117	1	1.25	1	1.1764705882352942	1.5	1.1666666666666667	1.3333333333333333	1.1875	1.3	2.6923076923076925	2.75	682
