CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_VALENCE_MEAN	LINE_IN_SOURCE
252	FRIGHTEN	frighten	2.95	2830
2524	JOY	joy	7.55	1255
2530	SMART	smart	7.10	1145
2553	MISERY	misery	2.53	2309
2572	SENSE (PERCEIVE BY SENSES)	sense	6.20	1582
258	CALM	calm	6.70	29
26	UNPLEASANT	unpleasant	3.29	2832
2630	WHIP	whip	3.30	1923
2651	BE IGNORANT	ignorant	2.88	2418
2669	POINT (WITH FINGER)	point	5.45	393
2691	PATERNAL AUNT (FATHER'S SISTER)	satisfy	7.05	2160
2715	DESPISE	despise	2.70	425
2758	CAREFUL	careful	6.30	1600
2762	BLOCK (THE WAY)	obstruct	3.45	839
2862	CONNECT	connect	5.90	2383
2864	DECREASE	decrease	3.95	2736
2869	BOTHER (HARASS)	bother	3.50	2678
2872	IMPROVE (SOMETHING)	improve	7.08	2217
2879	SOUND (OF INSTRUMENT OR VOICE)	sound	5.55	2321
2883	DISTURB	disturb	3.20	1598
2884	HANG	hang	4.10	1672
2896	CAUSE TO (LET)	let	5.35	2055
2900	PROTECT	protect	6.90	2376
2907	ROT	decay	3.21	1930
2911	BACKWARD	backward	4.00	900
2912	FORWARD	forward	6.20	569
2924	A LITTLE	bit	4.40	16
2929	BENEFIT	benefit	6.80	2872
2941	HAPPINESS	happiness	7.88	2384
2947	DAMAGE (INJURY)	damage	3.14	1295
2958	LAUGHTER	laughter	7.53	2656
2960	LONGING (WISH)	desire	6.65	1124
2971	SIN	sin	2.70	2696
2976	VIOLENCE	violence	1.85	3028
2982	GIFT	gift	6.81	2863
2983	COMPANIONSHIP	company	6.22	3014
299	SCOLD	scold	3.25	155
3	BRAVE	brave	7.30	2925
300	RATTLE	rattle	4.25	1250
3002	PRECIOUS	precious	7.40	2328
3005	FAMILIAR	familiar	6.50	683
3033	SCARED	scared	2.80	2928
3049	COURAGE	courage	7.35	2452
3069	FALSE	false	3.15	1481
3072	MISPLACE	lose	2.94	2852
3074	FIX	fix	6.40	1305
3169	TREATY	treaty	6.20	170
3188	MIGHTY OR POWERFUL OR STRONG	mighty	6.90	2781
3197	SUSPICION	suspicion	3.35	2395
3202	CANNON	cannon	4.10	2406
323	FAT (ORGANIC SUBSTANCE)	fat	3.35	3048
3230	DECEIVE	deceive	2.90	1313
3299	KIND	kind	6.90	1073
3300	POLITE	polite	6.80	21
3302	QUARREL (VERB)	argue	3.60	1132
3375	PATIENT (SICK PERSON)	patient	6.40	3105
3425	JOKE	joke	6.23	899
3466	DANGEROUS	dangerous	2.90	553
3468	KINDNESS	kindness	7.50	374
3470	LIAR	liar	3.00	1549
3471	OBLIGATION (DUTY)	duty	6.10	1140
3475	SUFFICE	suffice	5.90	2281
353	STRIKE	strike	3.05	2414
3534	BEG	beg	3.85	3039
354	POUND	pound	4.55	1654
3552	GREET	greet	6.70	539
3616	FAINT (PASS OUT)	faint	4.05	971
3625	HEADACHE	headache	2.91	1414
3626	KNOW	know	6.30	2181
3628	HONOR (SOMEBODY)	honor	7.44	1710
3631	PRETEND	pretend	4.40	1868
3632	GENEROUS	generous	7.65	1148
3634	STUBBORN	stubborn	3.33	930
3635	ADULT	adult	5.45	2899
3639	AVOID	avoid	3.35	1362
3642	COMPLAIN	complain	3.29	3079
3643	AGREE	agree	6.75	662
3644	AGREEMENT	agreement	6.60	527
3648	SERVE (SOMEONE)	serve	6.10	460
3649	PUNISH	punish	2.85	1406
3665	TRAVEL	travel	6.10	1962
3667	LOST	lost	3.15	2230
367	RIDE	ride	5.60	139
3687	DESERT	desert	3.85	1315
369	OWE	owe	4.00	885
3701	HOLLOW	hollow	4.35	1750
3709	BRILLIANT	brilliant	8.38	2457
3762	SAFE	safe	7.10	2883
378	PINCH	pinch	3.60	2699
379	BLUNT	dull	3.71	3117
3809	SCREAM (PRODUCE A CRY)	scream	3.20	1396
381	BLAME	blame	2.74	1031
3814	HANDSOME	handsome	7.33	1830
3845	DISAPPOINTMENT	disappointment	2.89	2492
3846	EXCITEMENT	excitement	7.45	833
3849	TRIUMPH	triumph	7.89	2314
385	RESPECT (SOMEBODY)	respect	7.30	1826
3854	SADNESS	sadness	2.68	2639
3861	FAIL	fail	3.00	610
3869	ANXIOUS	anxious	3.20	2186
3871	MURDERER	killer	2.05	895
3874	KNOWLEDGE	knowledge	7.10	2904
3875	CRIMINAL	criminal	2.65	1960
3877	DEPRESSION	depression	2.63	476
39	KEEN	keen	6.60	2266
3902	TRUST (SOMEBODY)	trust	7.00	2276
3903	SYMPATHIZE	sympathize	6.60	2035
391	BLESS	bless	7.05	746
3915	PRIDE	pride	6.75	2622
3916	PLEASURE	pleasure	7.30	217
3917	DEVIL	devil	2.20	391
3953	CHARITY	charity	7.20	187
3954	FRIENDSHIP	friendship	7.32	3060
3955	HOSTILITY	hostility	2.85	2446
3956	DISPUTE	dispute	3.20	2955
3965	TRAUMA	trauma	2.38	1099
3967	CONTENT	content	6.85	395
3972	EXCITED	excited	7.20	2588
3974	UNHAPPY	unhappy	2.76	2753
3975	NERVOUS	nervous	3.40	1139
3978	COMPANION	companion	6.65	1127
3986	COLLAPSE	collapse	3.10	1069
419	SEVERE	severe	3.00	1599
421	RETREAT	retreat	4.25	1842
43	LEAD (GUIDE)	lead	5.70	676
44	INJURE	harm	2.56	3189
45	EVIL	evil	2.18	1167
482	NOBLE	noble	7.20	1831
484	CONDEMN	condemn	2.70	975
486	MINISTER	minister	5.70	3072
49	REFUSE	refuse	3.20	2599
495	REVENGE	avenge	3.85	164
497	SCAR	scar	3.05	1984
499	CURE	cure	7.25	146
500	CRUEL	cruel	2.59	1181
504	LEARN	learn	6.75	4
519	SPOT	spot	5.50	2590
528	DREADFUL	dreadful	2.58	730
554	HINDER	hinder	3.35	1909
56	BAD LUCK	misfortune	2.71	1373
578	KISS	kiss	6.89	1715
579	BATTLE	battle	3.25	2480
581	COME BACK	return	5.22	44
584	DIFFICULT	difficult	3.30	469
594	PIECE	piece	5.30	2591
596	POSTAGE STAMP	stamp	5.04	1339
598	SHELL	shell	5.30	2979
600	STRANGE	odd	3.70	2490
602	HIDE (CONCEAL)	conceal	4.10	1977
621	IRON	iron	4.85	3192
630	LIGHT (RADIATION)	light	6.20	3009
65	AMBUSH	ambush	2.95	783
652	PLAIN	plain	5.25	1931
670	ROOT	root	5.30	2294
679	BRIGHT	bright	7.05	2992
680	BREAK (DESTROY OR GET DESTROYED)	break	3.40	1895
681	DESTROY	destroy	2.35	2404
683	PERSON	human	5.95	707
686	EASY	easy	6.65	2396
694	GET	get	5.85	2165
698	WISE	wise	7.00	2788
699	SAD	sad	3.39	1624
702	CATCH	catch	5.60	1844
704	CLEAN	clean	6.95	1668
706	DARK	dark	3.30	2586
712	RICH	rich	7.40	618
713	STEAL	steal	2.85	2828
717	SWEET	sweet	6.88	1392
718	PAY	pay	5.25	933
720	GOOD LUCK	luck	6.93	2963
721	LOW	low	3.50	761
722	ATTACK	attack	2.38	1211
729	DAWN	dawn	5.65	935
734	MAKE	make	5.35	1180
741	DRIVE	drive	6.10	1669
750	DROP	drop	3.75	3170
755	DENY	deny	3.34	8
764	SUIT	suit	5.80	2553
772	BELT	belt	4.80	1475
782	DEFEAT	defeat	3.60	2293
79	WASTE	waste	3.20	2552
8	CURSE	curse	2.89	2718
816	HALF	half	4.65	1695
82	ANGER	anger	2.69	1297
83	FORBID	forbid	3.14	1447
84	JUST	just	5.95	2072
844	KIND (THING)	sort	5.35	2066
845	MURDER	murder	1.45	2669
851	STABLE	stable	6.75	206
855	SEIZE	seize	4.30	1524
858	STORM	storm	2.95	560
863	EDGE	edge	4.85	1649
873	TAX	tax	3.60	2391
878	HELL	hell	2.15	2092
884	SHARE	share	6.60	2761
887	BITTER	bitter	2.93	836
90	INNOCENT	innocent	6.78	1943
900	TRAIN	train	5.35	1578
910	DEATH	death	1.83	1575
92	SPOIL (SOMEBODY OR SOMETHING)	spoil	3.35	1874
923	LOVE	love	7.86	2088
928	EMBRACE	embrace	6.95	599
940	STRAIN	strain	3.75	3155
945	SPEAR	spear	3.80	1451
954	WELL	well	6.60	2764
96	CRAWL	crawl	4.70	1068
972	BE ABLE	able	6.80	2891
976	WEAR	wear	4.50	1625
983	CONVICT	convict	3.10	2541
989	CLEAR	clear	6.50	3134
