ID	RANK	LINKS	WEIGHTS	URLS	DIRECTIONS	DEGREE	WEIGHTED_DEGREE
Zalizniak-2020-2590-21	21	2235 236 613 154 2565 1450 338 2214 423 225 2071 23 2370 1493 180 2254 619 1343	7 6 4 1 3 2 1 2 7 1 1 1 5 1 1 1 2 1	shift971 shift1485 shift1486 shift1487 shift1553 shift1645 shift1769 shift1770 shift1800 shift1805 shift1806 shift1809 shift2152 shift3025 shift3026 shift3263 shift4198 shift4212	→ — → — → — → → → — → → → → → → → →	18	1
Zalizniak-2020-2590-22	22	177 332 1405 558 442 1707 38 191 628 1532 25 1986 1760 1639 1804 1656 1072 1732	4 13 1 1 11 5 2 2 2 1 1 1 2 1 1 1 1 3	shift60 shift61 shift279 shift442 shift1017 shift1295 shift1889 shift1890 shift2028 shift2039 shift3438 shift3598 shift3749 shift3750 shift3763 shift3764 shift3765 shift4195	→ → — → → — → → — — → → — — — — — —	18	3
Zalizniak-2020-2590-23	23	1103 1333 1176 80 2013 1148 1343 2071 1536 533 309 269 2145 751 1341 168 1420	10 14 1 1 1 3 37 11 11 1 1 1 7 1 1 1 1	shift1403 shift1749 shift1750 shift1751 shift1810 shift1812 shift2183 shift2243 shift2244 shift3448 shift3595 shift4203 shift4216 shift4217 shift4218 shift4219 shift4220	→ → → → → → → → → → — → → → → — —	17	1
Zalizniak-2020-2590-24	24	143 2375 2339 958 625 217 1352 229 2462 432 201 45 813 2399 48 2284 2459	1 8 1 1 2 2 8 11 6 1 1 1 2 1 1 1 1	shift336 shift1103 shift1414 shift1737 shift2033 shift2034 shift2035 shift2036 shift2040 shift2041 shift2863 shift2880 shift2910 shift2914 shift2915 shift3244 shift3518	→ → → → — — — — → — → — → → → → →	17	1
Zalizniak-2020-2590-25	25	804 58 428 62 627 61 686 1534 102 2416 100 64 27 19 38 181 2352	7 5 1 1 1 12 9 1 2 1 2 1 2 2 5 1 1	shift220 shift349 shift351 shift352 shift723 shift789 shift1365 shift1789 shift2349 shift2481 shift2497 shift2755 shift2758 shift3376 shift3619 shift3972 shift4071	→ ↔ → → — ↔ → → → → ↔ — — ↔ — — →	17	1
Zalizniak-2020-2590-26	26	2231 300 2374 2427 2266 10 1015 661 2353 617 117 149 431 65 1986 2410 1737	5 1 1 9 20 3 8 13 1 2 1 2 1 1 1 3 1	shift69 shift156 shift558 shift869 shift870 shift1720 shift1721 shift2015 shift2538 shift2616 shift2867 shift2895 shift3095 shift3224 shift3567 shift3684 shift3923	→ → → → → — → → → → → → → — → → —	17	1
Zalizniak-2020-2590-27	27	112 117 2348 2175 192 1638 578 85 2156 2320 97 840 19 25 2440 2456 2524	1 20 3 8 6 16 22 3 2 3 2 1 1 2 1 1 1	shift179 shift366 shift367 shift550 shift736 shift849 shift851 shift1096 shift1097 shift1861 shift1864 shift2014 shift2757 shift2758 shift3469 shift4148 shift4149	→ → → → — → → → → → → → — — → → →	17	1
Zalizniak-2020-2590-28	28	1177 2090 539 108 719 2137 109 749 2112 127 224 29 491 1278 1289 843	4 7 2 1 1 4 4 1 1 1 2 1 1 3 1 1	shift359 shift360 shift361 shift1256 shift1289 shift1300 shift1655 shift1938 shift2206 shift2891 shift2892 shift3742 shift3773 shift3777 shift3778 shift3779	→ → → → → → → → → — → — — — — —	16	1
Zalizniak-2020-2590-29	29	2358 490 540 282 290 777 516 744 564 168 279 73 495 28 1202 80	1 48 1 1 3 2 2 1 1 1 2 2 5 1 1 1	shift136 shift242 shift1099 shift1264 shift1473 shift1474 shift1690 shift1742 shift1787 shift1788 shift1852 shift2282 shift3306 shift3742 shift3744 shift4275	→ → → → → — → → → → → → → — — —	16	1
Zalizniak-2020-2590-30	30	769 2083 1265 539 1148 1142 209 369 2566 2031 2082 1245 49 2149 1255 2071	1 2 1 2 5 4 1 6 1 1 1 1 4 2 1 3	shift92 shift93 shift94 shift95 shift569 shift1316 shift1611 shift1856 shift1966 shift2607 shift2946 shift3104 shift3653 shift3654 shift4165 shift4210	— → → — → → → → → → → — → → → →	16	3
Zalizniak-2020-2590-31	31	1277 169 10 300 490 2047 1307 754 750 426 1299 700 533 1270 734 305	18 3 3 1 1 2 3 9 2 9 2 1 1 4 6 1	shift775 shift1175 shift1715 shift1795 shift1796 shift2078 shift2097 shift2163 shift2164 shift2185 shift2257 shift2302 shift2612 shift2724 shift2730 shift3442	→ → → → → → — → → — — → → → — →	16	1
Zalizniak-2020-2590-32	32	2446 608 2282 229 61 2383 897 1779 85 522 647 1361 1430 633 176 16	8 1 2 14 2 4 4 1 1 1 4 1 1 1 1 1	shift110 shift199 shift791 shift794 shift1659 shift806 shift1488 shift1995 shift1996 shift1997 shift2139 shift2140 shift2219 shift3188 shift3189 shift3808	→ → → → — → → → → → → — — — → —	16	1
Zalizniak-2020-2590-33	33	527 1016 1069 2356 1490 97 878 2368 2410 927 2589 243 112 608 453 617	2 1 5 10 2 1 3 4 2 1 2 1 3 1 1 1	shift97 shift202 shift581 shift1145 shift2030 shift2031 shift2032 shift2104 shift2105 shift2106 shift2128 shift2576 shift2756 shift3334 shift3384 shift3534	→ — → → — — — → → — → → — → → —	16	1
Zalizniak-2020-2590-34	34	438 2402 440 255 903 578 191 88 141 792 2397 335 601 643 1457 653	17 1 2 2 4 6 1 3 1 2 2 1 1 1 1 1	shift47 shift313 shift439 shift543 shift868 shift1635 shift1759 shift2800 shift2818 shift3299 shift3536 shift3537 shift3553 shift3555 shift4264 shift4265	— → ↔ → ↔ → → — — → → → — → → →	16	1
Zalizniak-2020-2590-35	35	535 686 2450 782 69 392 267 367 522 760 1185 1328 2155 2269 754	1 2 2 2 4 2 1 2 2 1 1 1 1 1 1	shift64 shift231 shift232 shift286 shift1091 shift1258 shift1660 shift1909 shift2193 shift2654 shift2811 shift3169 shift3170 shift3171 shift3491	— → → — → — — — → → — → → → →	15	1
Zalizniak-2020-2590-36	36	2387 1819 2235 1069 2334 943 2325 1754 87 228 423 863 2369 1599 575	6 5 1 2 2 5 1 1 10 2 1 1 2 2 1	shift555 shift626 shift972 shift1532 shift1712 shift1713 shift2554 shift2562 shift2916 shift2917 shift3010 shift3036 shift3218 shift3307 shift3892	→ — → ↔ → → → — ↔ — → → → → —	15	1
Zalizniak-2020-2590-37	37	2439 115 643 438 64 2359 1827 792 245 435 903 34 152 298 603	2 2 11 24 11 1 1 3 6 2 4 1 1 1 1	shift190 shift931 shift932 shift1171 shift1467 shift2298 shift2304 shift2386 shift3300 shift3556 shift3557 shift3558 shift3579 shift3992 shift4096	→ — ↔ ↔ → → ↔ → ↔ → → → — — —	15	1
Zalizniak-2020-2590-38	38	332 19 606 1405 243 191 96 818 64 102 103 25 442 46 612	9 1 7 3 1 3 1 1 1 1 1 5 1 1 3	shift797 shift935 shift1035 shift1036 shift1505 shift2214 shift2320 shift2328 shift2548 shift2780 shift2904 shift3619 shift3997 shift4108 shift4128	— — — → — ↔ → — → — — — — — —	15	3
Zalizniak-2020-2590-39	39	806 1378 2575 876 1798 1867 2221 220 1840 183 231 2254 225 552 613	1 3 1 1 1 1 1 1 3 1 1 2 1 3 1	shift303 shift304 shift312 shift517 shift593 shift2143 shift2485 shift2486 shift2487 shift3019 shift3164 shift3211 shift3516 shift3580 shift3629	→ → → → → → → → → — → → → — —	15	1
