CONCEPTICON_GLOSS	CONCEPTICON_ID	OMEGAWIKI_ID
FAITHFUL	100	1176245
BOAST	101	1176597
COMMON COLD (DISEASE)	102	1178541
FORNICATE	103	1182947
HAILING	104	1187180
MATTRESS	105	1188104
SATIATED	106	1188869
OMEN	107	1192008
RUDDER	108	1192505
FOREIGN	109	1193088
MOTOR	110	1200
DRUMMING	111	1200507
TURTLE	112	1200609
SHORE	113	1201459
PORPOISE	114	1210547
PROFLIGATE	115	1223517
LARCH	116	1223914
IMITATE	117	1229900
BEWITCH	118	1230099
DIVE	119	1235455
PITCHER	120	1238556
SPIN	121	1240334
CART	122	1240424
FOREHEAD	123	1241509
THORN	124	1243793
SWEAT (SUBSTANCE)	125	1250835
SWEAT (PERSPIRE)	126	1250941
EXTINGUISH	127	1255943
MUMBLE	128	1258410
CHOKE	129	1260643
GRATIS (OF CHARGE)	130	1262281
FESTIVAL	131	1273978
SAUCE	132	1275504
WEAVE	133	1280854
FAULT	134	1280872
BOOMERANG	135	1285089
HERE	136	1287831
COCA	137	1292296
BATHE	138	1295154
GUMS	139	1295456
PADDY FIELD	140	1296409
BURN (SOMETHING)	141	1299599
RETURN HOME	142	1300468
HUMID	143	1301943
MACHINE	144	1309356
SORROWFUL	145	1310646
SUGAR CANE	146	1310853
COCONUT TREE	147	1311390
ITCH	148	1311851
ITCHY	149	1312191
WORRY	150	1316305
RAZOR	151	1318581
HOOF	152	1325252
GREY	153	1325782
UDDER	154	1329165
CHOP	155	1329931
RED	156	1333710
DYE	157	1335255
PUT ON	158	1335540
SWEET POTATO	159	1336889
SET (HEAVENLY BODIES)	160	1337057
MISS (A TARGET)	161	1337987
HICCOUGH	162	1339563
BLACK	163	1341728
KANGAROO	164	1355026
WALLABY	165	1355268
MAINLAND	166	1364993
MAIL	167	1366616
REST	168	1366972
IT	169	1370660
PATERNAL AUNT (FATHER'S SISTER)	2691	1372531
MATERNAL AUNT (MOTHER'S SISTER)	2693	1372595
SHOULDERBLADE	172	1372842
SIBLING'S CHILD	173	1373556
PROUD	174	1374507
BLOW (OF WIND)	175	1375415
BETEL PEPPER VINE	177	1377747
RIPE	178	1378364
RIPEN	179	1378372
CALL BY NAME	180	1378786
ANTEATER	181	1385114
SPOKE	182	1391013
BAKE	183	1392775
MAST	184	1393299
FIREPLACE	185	1395201
SHIN	186	1398936
LOIN	187	1398982
COMB OF BIRD	188	1399210
HAIR (BODY)	189	1399403
MOW	190	1403529
NUT	191	1403728
CORNER	192	1404011
SHALLOW	193	1404411
FAMILY	194	1405
MAT	195	1405241
DONATE	196	1406230
OTHER	197	1406403
GENITALIA	198	1406712
FAMINE	199	1407
SAME	200	1407061
FARM	201	1410
STRENGTH	202	1410993
MARRY	203	1411401
AGAIN	204	1412012
TROUGH	205	1412223
FIREFLY	206	1415152
SPARSE	207	1416056
NASAL MUCUS (SNOT)	208	1417428
RARE	209	1417819
LIFE	210	1419171
CAST	211	1421991
FIELD	212	1425
FIN	213	1425624
STRETCH	214	1425791
LIE DOWN	215	1425860
MOVIE	216	1431
BETELNUT	217	1431444
FINE (PENALTY)	218	1444
TOILET	219	1444087
INTACT	220	1444665
FIRE	221	1446
LAVISH	222	1450635
THRESHING-FLOOR	223	1451560
MORTAR	224	1454028
PESTLE	225	1454217
TELL FORTUNES	226	1454741
FISH	227	1460
CARVE	228	1462598
MOVE AWAY	229	1462871
SWEEP	230	1466959
SHAVE	231	1473013
FLEA	232	1476
SNOWSHOE	233	1478056
PADDLE	234	1478129
FLYING FOX	235	1478231
STEPMOTHER	236	1480454
STEPFATHER	237	1480565
PRAWNS	238	1486478
FLOWER	239	1487
ELECTION	240	1488304
TREE STUMP	241	1490199
COST	242	1496031
FRESH	243	1496751
LEFT	244	1499731
BROOM	245	1501242
THRUST	246	1501591
TAN	247	1501856
HAPPEN	248	1501924
