CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	ENGLISH	POLISH_POS	POLISH_VALENCE_MEAN	POLISH_AROUSAL_MEAN	POLISH_DOMINANCE_MEAN	POLISH_ORIGIN_MEAN	POLISH_SIGNIFICANCE_MEAN	POLISH_CONCRETENESS_MEAN	POLISH_IMAGEABILITY_MEAN	POLISH_AOA_MEAN	POLISH_VALENCE_MEAN_FEMALE	POLISH_AROUSAL_MEAN_FEMALE	POLISH_DOMINANCE_MEAN_FEMALE	POLISH_ORIGIN_MEAN_FEMALE	POLISH_SIGNIFICANCE_MEAN_FEMALE	POLISH_CONCRETENESS_MEAN_FEMALE	POLISH_IMAGEABILITY_MEAN_FEMALE	POLISH_AOA_MEAN_FEMALE	POLISH_VALENCE_MEAN_MALE	POLISH_AROUSAL_MEAN_MALE	POLISH_DOMINANCE_MEAN_MALE	POLISH_ORIGIN_MEAN_MALE	POLISH_SIGNIFICANCE_MEAN_MALE	POLISH_CONCRETENESS_MEAN_MALE	POLISH_IMAGEABILITY_MEAN_MALE	POLISH_AOA_MEAN_MALE	LINE_IN_SOURCE
1320	APPLE	jabłko	apple	N	6.26	2.88	5.04	5.68	3.6	1.74	8.42	5.78	6.32	2.64	5.28	5.72	3.32	1.32	8.64	5.48	6.2	3.12	4.8	5.64	3.88	2.16	8.2	6.08	1078
1321	BOTTLE	butelka	bottle	N	5.56	2.9	4.7	5.56	2.94	2.12	8.1	6.22	5.32	2.84	4.8	5.64	2.76	1.44	8.4	5.36	5.8	2.96	4.6	5.48	3.12	2.8	7.8	7.08	314
1323	CLOCK	zegar	clock	N	5.12	3.02	5.44	6.86	4.22	1.96	8.1	6.14	5.92	3.4	5	5.64	1.96	1.24	8.28	6.88	5.6	3.2	4.76	5.76	2.28	2.2	7.8	8.04	4711
1336	EAT	jeść	eat	V	6.96	4.12	5.69	5.23	4.4	3.4	7.66	5.32	7.32	4.48	6.02	5.04	5.02	2.72	8.08	4.46	6.6	3.76	5.36	5.42	3.78	4.08	7.24	6.18	1110
1343	SUN	słońce	sun	N	7.08	4	6.46	4.52	4.62	2.64	8.48	5.74	7.6	3.84	6.84	4.76	5.24	2	8.72	5.28	6.56	4.16	6.08	4.28	4	3.28	8.24	6.2	3424
1350	MONKEY	małpa	monkey	N	5.34	3.88	4.551020408	5.5	2.86	1.74	8.12244898	7.44	5.4	4.2	4.8	5.68	2.12	1.32	8.36	6.84	5.28	3.56	4.291666667	5.32	3.6	2.16	7.875	8.04	1635
1352	KNIFE	nóż	knife	N	4.48	5.08	5.96	6.18	3.72	1.52	8.32	6.693877551	4.32	5.52	5.44	6.56	3.44	1.12	8.64	6.48	4.64	4.64	6.48	5.8	4	1.92	8	6.916666667	2107
1355	LAUGH	śmiać się	to laugh	V	7.68	5.8	6.1	3.66	5.78	4.14	7.56	6.36	8	5.92	6.28	3.72	6.08	3.56	8.28	5.72	7.36	5.68	5.92	3.6	5.48	4.72	6.84	7	3756
1360	DUCK	kaczka	duck	N	5.32	3.16	4.5	5.62	2.98	2.08	8.1	7.1	5.44	3.16	4.64	5.8	2.84	1.24	8.24	6.16	5.2	3.16	4.36	5.44	3.12	2.92	7.96	8.04	1127
1378	SPOON	łyżka	spoon	N	5.18	2.86	4.8	5.42	3.32	1.44	8.34	6.52	5.12	2.92	4.88	5.24	3.28	1.28	8.52	6.68	5.24	2.8	4.72	5.6	3.36	1.6	8.16	6.36	1605
1381	SHOE	but	shoe	N	5.46	2.96	5.24	5.94	3.76	1.78	7.98	6.32	5.64	3.24	5.36	5.88	3.56	1.12	8.16	5.88	5.28	2.68	5.12	6	3.96	2.44	7.8	6.76	313
1382	NEEDLE (FOR SEWING)	igła	needle	N	4.38	3.72	5.46	5.42	3.06	1.8	8.08	7.6	4.48	3.44	5.6	5.84	3.08	1.04	8.32	7.08	4.28	4	5.32	5	3.04	2.56	7.84	8.12	1036
1386	LION	lew	lion	N	5.9	4.46	7	5.06	2.96	1.92	8.36	6.68	5.8	4.96	7.16	5.28	2.88	1.84	8.64	6.04	6	3.96	6.84	4.84	3.04	2	8.08	7.32	1509
1394	BONE	kość	bone	N	4.8	3.62	5.14	6.1	3.3	1.88	8.02	6.42	5	3.92	5	6.16	3.2	1.32	8.32	6.36	4.6	3.32	5.28	6.04	3.4	2.44	7.72	6.48	1355
1401	DRINK	pić	drink	V	5.74	3.98	5.16	5.16	4.3	3.58	7.62	5.12	5.76	4.16	5.48	5.72	4.84	2.8	8.08	5	5.72	3.8	4.84	4.6	3.76	4.36	7.16	5.24	2480
1403	BITE	gryźć	bite	V	4.66	4.54	5.18	5.36	3.4	3.3	7.2	6.56	4.68	4.88	5.2	5.36	3.2	2.96	7.76	6.32	4.64	4.2	5.16	5.36	3.6	3.64	6.64	6.8	950
1414	SQUEEZE	wyciskać	to squeeze	V	4.68	4.28	5.38	5.66	3.42	3.98	6.8	9.04	4.76	5	5.08	5.68	3.8	3.36	7.28	8.96	4.6	3.56	5.68	5.64	3.04	4.6	6.32	9.12	4395
1416	SIT	siedzieć	to sit	V	5.1	2.76	5.12	6.1	3.58	3.58	7.14	6.7	5.44	2.72	5.24	6.32	3.48	3.08	7.52	6.08	4.76	2.8	5	5.88	3.68	4.08	6.76	7.32	3346
