CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	CROATIAN	SLOVENE	DUTCH_POSITIVE_ASSOCIATION	DUTCH_NEGATIVE_ASSOCIATION	DUTCH_ANGER_ASSOCIATION	DUTCH_ANTICIPATION_ASSOCIATION	DUTCH_DISGUST_ASSOCIATION	DUTCH_FEAR_ASSOCIATION	DUTCH_JOY_ASSOCIATION	DUTCH_SADNESS_ASSOCIATION	DUTCH_SURPRISE_ASSOCIATION	DUTCH_TRUST_ASSOCIATION	LINE_IN_SOURCE
500	CRUEL	wreed	okrutan, surov, nemilosrdan	krut	1	1	1	1	1	1	1	1	1	1	3001
504	LEARN	leren	naučiti	učiti se	1	1	1	1	1	1	1	1	1	1	7232
509	CERTAIN	zeker	uvjerljivo	brez dvoma	1	1	1	1	1	1	1	1	1	1	818
584	DIFFICULT	moeilijk	težak	težek	1	1	1	1	1	1	1	1	1	1	3551
615	HORSE	paard	konj	konj	1	1	1	1	1	1	1	1	1	1	6086
634	MEAT	vlees	meso	meso	1	1	1	1	1	1	1	1	1	1	4995
640	MUD	modder	blato	blato	1	1	1	1	1	1	1	1	1	1	8194
662	BATTERY	batterij	fizički napad	fizični napad, napad zoper življenje in telo	1	1	1	1	1	1	1	1	1	1	1106
665	BEE	bij	pčela	čebela	1	1	1	1	1	1	1	1	1	1	1148
673	SCHOOL	school	škola	šola	1	1	1	1	1	1	1	1	1	1	11063
674	MOUTH	mond	usta	usta	1	1	1	1	1	1	1	1	1	1	8181
686	EASY	gemakkelijk	rado	rad, zlahka	1	1	1	1	1	1	1	1	1	1	10213
69	SOBER	sober	strog	strog	1	1	1	1	1	1	1	1	1	1	907
698	WISE	wijs	mudar	moder	1	1	1	1	1	1	1	1	1	1	14026
699	SAD	droevig	nažalost	žalosten	1	1	1	1	1	1	1	1	1	1	10929
701	SLOW	traag	trom	počasen	1	1	1	1	1	1	1	1	1	1	11601
709	TEACH	onderwijzen	obrazovati, educirati	izobraziti	1	1	1	1	1	1	1	1	1	1	4107
713	STEAL	stelen	ukrasti	krasti	1	1	1	1	1	1	1	1	1	1	12005
715	SHOUT	schreeuwen	vrištanje	kričanje	1	1	1	1	1	1	1	1	1	1	11100
718	PAY	betalen	isplatiti, nagraditi, namiriti	plačati	1	1	1	1	1	1	1	1	1	1	9067
730	SNAKE	slang	zmija	kača	1	1	1	1	1	1	1	1	1	1	11646
785	STRONG	sterk	snažno	odločen	1	1	1	1	1	1	1	1	1	1	12148
806	BLANKET	deken	pokrivač, deka	odeja	1	1	1	1	1	1	1	1	1	1	1300
819	STOMACH	maag	trbuh	želodec	1	1	1	1	1	1	1	1	1	1	12072
820	LAMB	lam	janjetina, janje	jagnje, jagnjetina	1	1	1	1	1	1	1	1	1	1	7133
837	BLUE	blauw	plav	moder	1	1	1	1	1	1	1	1	1	1	1351
847	THIRSTY	dorst	žeđ	žeja, želja	1	1	1	1	1	1	1	1	1	1	12719
871	RATTLESNAKE	ratelslang	čegrtuša	klopotača	1	1	1	1	1	1	1	1	1	1	10197
887	BITTER	bitter	ogorčeno	grenek	1	1	1	1	1	1	1	1	1	1	1282
905	BORING	saai	dosadan	dolgočasen	1	1	1	1	1	1	1	1	1	1	1437
906	TREE	boom	drvo, stablo	drevo	1	1	1	1	1	1	1	1	1	1	13019
928	EMBRACE	knuffelen	maziti se, milovati	ljubkovanje, crkljanje	1	1	1	1	1	1	1	1	1	1	3030
96	CRAWL	kruipen	puzati, gmizati	plaziti se	1	1	1	1	1	1	1	1	1	1	2921
969	CIGARETTE	sigaret	cigareta	cigareta	1	1	1	1	1	1	1	1	1	1	2111
977	ARROW	pijl	strelica, pojuriti	puščica	1	1	1	1	1	1	1	1	1	1	3155
996	DEAF	doof	gluh	gluh	1	1	1	1	1	1	1	1	1	1	3176
