CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_FREQUENCY	DUTCH_CD	DUTCH_FREQUENCY_PM	DUTCH_FREQUENCY_LOG	DUTCH_SUBTITLE_CD	DUTCH_CD_LOG	LINE_IN_SOURCE
1716	FORTY	veertig	778	564	17.7912	2.8915	6.9888	2.752	3059
1717	FIFTY	vijftig	1175	793	26.8698	3.0704	9.8265	2.8998	2234
1718	SIXTY	zestig	395	331	9.0328	2.5977	4.1016	2.5211	5117
1720	SIGN	gebaren	93	76	2.1267	1.9731	0.9418	1.8865	14357
1721	SEVENTY	zeventig	157	140	3.5903	2.1987	1.7348	2.1492	10009
1722	EIGHTY	tachtig	234	171	5.3511	2.3711	2.119	2.2355	7526
1724	NINETY	negentig	144	124	3.293	2.1614	1.5366	2.0969	10607
1725	CORRECT (RIGHT)	juist	10354	4548	236.7742	4.0152	56.3569	3.6579	418
1726	WET	nat	1337	905	30.5744	3.1265	11.2144	2.9571	1987
1728	ROTTEN	rot	3811	2140	87.1496	3.5812	26.518	3.3306	890
1730	CHEEK	wang	345	233	7.8894	2.5391	2.8872	2.3692	5629
1733	RAINBOW	regenboog	197	109	4.505	2.2967	1.3507	2.0414	8516
1734	TWENTY ONE	eenentwintig	68	59	1.555	1.8388	0.7311	1.7782	17677
1735	TEAR (SHRED)	scheuren	289	260	6.6088	2.4624	3.2218	2.4166	6415
174	PROUD	trots	4874	2898	111.4581	3.688	35.9108	3.4622	718
1750	CHOOSE	kiezen	2607	1854	59.6166	3.4163	22.974	3.2683	1179
1757	TIRED	moe	3933	2463	89.9394	3.5948	30.5204	3.3916	869
176	BLOW (WITH MOUTH)	blazen	772	620	17.654	2.8882	7.6828	2.7931	3079
1771	TASTELESS	smaakloos	4	4	0.0915	0.699	0.0496	0.699	88106
1775	TABLE	tafel	3647	2172	83.3992	3.5621	26.9145	3.3371	915
178	RIPE	rijp	354	306	8.0952	2.5502	3.7918	2.4871	5527
1784	WANT	willen	32984	7410	754.2748	4.5183	91.8216	3.8699	165
1788	TELEVISION	televisie	987	610	22.5706	2.9948	7.5589	2.786	2555
1791	BUTTERFLY	vlinder	268	153	6.1286	2.4298	1.8959	2.1875	6808
1798	GUNPOWDER	buskruit	86	56	1.9666	1.9395	0.6939	1.7559	15078
1803	WOOD	hout	1031	658	23.5768	3.0137	8.1537	2.8189	2474
1804	BOMB	bom	2244	777	51.3156	3.3512	9.6283	2.891	1332
1807	AFTERNOON	middag	990	778	22.6392	2.9961	9.6406	2.8915	2550
1813	TASTY	smakelijk	396	347	9.0557	2.5988	4.2999	2.5416	5109
1814	ACCUSE	beschuldigen	414	363	9.4673	2.618	4.4981	2.5611	4934
1819	LOOK	kijken	21656	6740	495.2272	4.3356	83.5192	3.8287	234
