CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	GERMAN	VALENCY_MEAN_MEN	VALENCY_MEAN_WOMEN	VALENCY_MEAN_ALL	AROUSAL_MEAN_MEN	AROUSAL_MEAN_WOMEN	AROUSAL_MEAN_ALL	IMAGEABILITY_MEAN_MEN	IMAGEABILITY_MEAN_WOMEN	IMAGEABILITY_MEAN_ALL	POLISH_FREQUENCY	POLISH_FREQUENCY_CD	LINE_IN_SOURCE
1357	DAUGHTER	córka	tochter	1.50	1.71	1.63	2.70	2.41	2.52	6.20	6.41	6.33	10824	0	2431
2541	MIRACLE	cud	wunder	2.73	2.31	2.48	3.73	3.56	3.63	4.64	4.56	4.59	3403	0	2816
1310	CLEVER	cwany	schlau	-0.62	-0.92	-0.77	2.69	2.31	2.50	6.31	5.00	5.65	354	0	2095
3091	LEMON	cytryna	zitrone	1.00	0.83	0.89	2.44	1.78	2.00	6.56	6.61	6.59	122	0	2871
758	HERON	czapla	reiher	1.14	0.77	0.96	1.86	1.69	1.78	5.86	5.69	5.78	19	0	1947
163	BLACK	czarny	schwarz	-0.10	0.41	0.22	1.50	1.59	1.56	5.90	6.76	6.44	5364	0	2140
779	PART	część	teil	0.40	0.24	0.30	1.80	1.47	1.59	4.20	4.82	4.59	14845	0	2401
683	PERSON	człowiek	mensch	0.73	1.09	0.88	2.47	1.82	2.19	6.40	6.82	6.58	30735	0	1502
3102	TANK	czołg	panzer	0.75	-0.45	0.26	2.25	2.36	2.30	6.69	6.73	6.70	558	0	1740
2559	FEEL (TACTUALLY)	czuć	fühlen	1.07	1.62	1.33	2.93	3.23	3.07	4.36	5.54	4.93	5494	0	798
704	CLEAN	czysty	sauber	1.79	2.17	1.96	1.86	2.67	2.23	6.36	6.50	6.42	3815	0	2039
2235	CLEAN (SOMETHING)	czyścić	putzen	0.14	0.25	0.19	2.29	2.25	2.27	5.36	6.08	5.69	349	0	1886
1243	WIDE	daleki	weit	-0.69	-0.31	-0.50	1.62	2.08	1.85	5.00	5.15	5.08	320	0	2760
644	OAK	dąb	eiche	1.00	0.94	0.96	1.78	1.50	1.59	6.22	6.67	6.52	217	0	546
658	RAIN (PRECIPITATION)	deszczowy	regen	-0.79	-0.83	-0.81	2.43	2.67	2.54	6.50	6.08	6.31	137	0	1931
1252	HOUSE	domostwo	haus	1.36	1.92	1.62	2.29	2.92	2.58	5.57	5.42	5.50	37	0	967
1514	HEN	drobiowy	henne	-0.20	0.82	0.44	1.70	2.00	1.89	5.10	6.12	5.74	10	0	991
2252	PATH	droga	weg	1.29	1.23	1.26	2.21	2.46	2.33	6.29	6.08	6.19	14037	0	2743
1426	EXPENSIVE	drogi	teuer	-0.21	-0.31	-0.26	2.43	3.00	2.70	5.93	5.15	5.56	21649	0	2414
1735	TEAR (SHRED)	drzeć	reißen	-1.80	-0.94	-1.26	3.00	2.82	2.89	5.30	5.82	5.63	130	0	1952
906	TREE	drzewo	baum	1.47	1.18	1.35	1.60	1.55	1.58	6.47	6.64	6.54	3012	0	265
53	SPIRIT	duch	geist	-0.69	-0.85	-0.77	1.85	2.38	2.12	5.54	4.92	5.23	4223	0	850
174	PROUD	dumny	stolz	1.20	1.36	1.27	2.40	2.64	2.50	5.73	5.09	5.46	5856	0	2322
811	SOUL	dusza	seele	1.33	1.82	1.54	2.60	2.82	2.69	3.20	3.55	3.35	2968	0	2149
52	SHIVER	dygotać	zittern	-1.30	-0.88	-1.04	2.60	2.82	2.74	5.20	6.35	5.93	9	0	2872
864	PUMPKIN	dynia	kürbis	0.22	0.72	0.56	1.44	1.50	1.48	6.56	6.61	6.59	135	0	1257
1304	CHILD (YOUNG HUMAN)	dziecko	kind	1.11	1.06	1.07	3.00	2.28	2.52	6.56	6.56	6.56	34542	0	1145
1119	DIVIDE	dzielić	teilen	0.80	0.65	0.70	2.50	2.24	2.33	4.60	5.59	5.22	1925	0	2402
1225	DAY (NOT NIGHT)	dzień	tag	0.86	1.67	1.23	1.79	2.58	2.15	5.29	6.33	5.77	69565	0	2371
1646	GIRL	dziewczyna	mädchen	2.43	0.85	1.67	3.64	2.15	2.93	6.79	6.69	6.74	22522	0	1419
1667	HOLE	dziura	loch	-0.33	-1.17	-0.89	2.33	1.94	2.07	5.89	6.17	6.07	1496	0	1379
2246	BELL	dzwon	glocke	0.53	0.18	0.38	1.87	1.91	1.88	6.53	6.64	6.58	639	0	912
504	LEARN	edukować	lernen	1.10	1.53	1.37	2.10	2.29	2.22	5.60	5.88	5.78	24	0	1328
3107	WHISTLE (INSTRUMENT)	fajka	pfeife	0.36	-0.25	0.08	2.43	2.25	2.35	6.50	6.42	6.46	129	0	1787
978	WAVE	fala	welle	0.50	1.12	0.89	2.40	2.41	2.41	6.30	6.35	6.33	1225	0	2763
832	BEAN	fasola	bohne	0.29	0.25	0.27	1.50	1.58	1.54	6.36	6.67	6.50	439	0	412
419	SEVERE	fatalny	schlimm	-1.44	-1.64	-1.52	2.69	2.09	2.44	4.69	4.09	4.44	321	0	2100
1945	IDOL	figura	figur	1.44	0.72	0.96	2.89	1.72	2.11	6.22	6.00	6.07	200	0	724
476	CUP	filiżanka	tasse	0.44	1.22	0.96	2.22	1.61	1.81	6.22	6.72	6.56	262	0	2388
3722	FLAMINGO	flaming	flamingo	0.69	1.73	1.11	1.94	2.27	2.07	5.88	6.27	6.04	38	0	735
777	FLUTE	flet	flöte	-0.23	0.31	0.04	1.69	1.46	1.58	6.15	6.69	6.42	189	0	747
1205	TONGUE	gadać	zunge	-0.64	0.63	0.11	2.64	2.44	2.52	5.27	6.19	5.81	4940	0	2887
1346	THROAT	gardło	kehle	-0.27	-0.06	-0.15	1.64	1.50	1.56	6.09	6.69	6.44	2247	0	1129
1298	NEWSPAPER	gazeta	zeitung	0.40	0.65	0.56	1.90	2.00	1.96	6.20	6.65	6.48	849	0	2847
2247	CATERPILLAR	gąsienica	raupe	0.44	-0.06	0.11	2.67	1.72	2.04	6.44	6.56	6.52	80	0	1916
1187	GOOSE	gęś	gans	0.36	0.23	0.30	1.36	1.62	1.48	6.64	6.62	6.63	337	0	814
3090	GUITAR	gitara	gitarre	1.87	1.36	1.65	2.67	2.09	2.42	6.67	6.36	6.54	422	0	905
2159	GROUND	gleba	boden	-0.50	0.53	0.15	1.60	2.06	1.89	5.70	6.29	6.07	185	0	409
2534	DEPTH	głęboki	tiefe	0.08	0.15	0.12	1.92	2.08	2.00	5.85	5.85	5.85	1493	0	2422
1864	HUNGER	głodny	hunger	-1.63	-1.73	-1.67	3.19	2.91	3.07	6.13	5.45	5.85	5803	0	1041
377	LOUD	głośny	laut	-0.06	-0.82	-0.37	3.00	2.91	2.96	6.25	5.09	5.78	376	0	1286
996	DEAF	głuchy	taub	-1.11	-0.67	-0.81	2.56	1.94	2.15	5.67	5.33	5.44	1204	0	2394
1353	HOUR	godzina	stunde	0.00	0.00	0.00	1.71	2.25	1.96	5.50	5.25	5.38	5641	0	2348
1853	DOVE	gołąb	taube	0.07	0.23	0.15	1.79	2.15	1.96	6.79	6.85	6.81	289	0	2395
1534	FEVER	gorączka	fieber	-1.29	-1.77	-1.52	2.57	3.31	2.93	6.29	5.85	6.07	790	0	723
887	BITTER	gorzki	bitter	-1.14	-1.08	-1.12	2.50	2.58	2.54	6.36	5.08	5.77	129	0	395
1782	GUEST	gość	gast	1.47	1.18	1.35	2.93	2.64	2.81	5.93	5.82	5.88	10050	0	818
2467	GAME	gra	spiel	0.36	0.25	0.31	2.79	3.25	3.00	5.14	5.92	5.50	19166	0	2253
338	RAKE	grabie	rechen	0.21	0.08	0.15	1.36	1.69	1.52	6.79	6.46	6.63	73	0	1921
609	HAIL	grad	hagel	-0.33	-1.06	-0.81	2.78	1.94	2.22	5.78	6.61	6.33	165	0	949
2546	BORDER	granica	grenze	0.00	0.17	0.08	1.86	2.25	2.04	5.21	5.25	5.23	889	0	925
2025	PEA	groch	erbse	-0.22	0.00	-0.07	1.89	1.28	1.48	5.89	6.67	6.41	69	0	610
1773	GRAVE	grób	grab	-1.23	-1.77	-1.50	1.69	2.54	2.12	6.46	6.69	6.58	1417	0	918
922	PEAR	gruszkowy	birne	1.00	1.13	1.07	2.09	1.88	1.96	4.91	6.13	5.63	4	0	391
1475	COMB	grzebień	kamm	0.14	0.38	0.26	1.29	1.69	1.48	6.79	6.54	6.67	221	0	1097
1150	THUNDER	grzmot	donner	-0.21	-0.46	-0.33	3.00	3.00	3.00	6.64	6.38	6.52	235	0	516
641	MUSHROOM	grzybowy	pilz	0.40	0.73	0.54	1.87	1.64	1.77	5.53	5.64	5.58	8	0	1802
1430	STAR	gwiazda	stern	1.30	1.59	1.48	2.40	2.12	2.22	6.20	6.53	6.41	2931	0	2310
2597	HARP	harfa	harfe	1.38	0.64	1.07	2.06	1.45	1.81	6.50	6.36	6.44	42	0	962
1597	AIRPLANE	hebel	hobel	0.25	0.27	0.26	1.63	1.45	1.56	5.50	4.18	4.96	2	0	1018
3101	SWING	huśtawka	schaukel	1.87	1.27	1.62	2.20	2.36	2.27	6.73	6.64	6.69	89	0	2060
1382	NEEDLE (FOR SEWING)	igła	nadel	-0.77	-0.15	-0.46	1.54	2.00	1.77	6.54	6.77	6.65	352	0	1632
2987	AMOUNT	ilość	menge	0.00	0.46	0.22	1.43	1.62	1.52	4.64	3.31	4.00	2866	0	1500
518	SPARK	iskra	funke	0.53	1.00	0.73	2.47	2.73	2.58	6.07	6.27	6.15	188	0	804
1443	WALK	iść	gehen	0.64	1.46	1.04	1.93	2.69	2.30	6.07	6.46	6.26	50751	0	843
1320	APPLE	jabłkowy	apfel	1.36	1.19	1.26	2.36	1.69	1.96	5.55	6.63	6.19	178	0	153
2539	PIT (POTHOLE)	jama	grube	0.07	-0.25	-0.08	2.14	1.75	1.96	5.86	5.75	5.81	99	0	929
632	LIZARD	jaszczurka	eidechse	0.71	-0.17	0.31	2.00	2.33	2.15	6.29	6.42	6.35	203	0	548
2991	SKI	jechać	fahren	1.09	0.75	0.89	3.00	2.38	2.63	6.36	6.63	6.52	13103	0	677
1936	DEER	jeleń	hirsch	0.43	0.77	0.59	1.64	2.00	1.81	6.43	6.62	6.52	291	0	1013
1276	AUTUMN	jesienny	herbst	-0.29	0.50	0.08	2.50	2.25	2.38	5.86	5.92	5.88	90	0	992
1336	EAT	jeść	essen	1.90	2.00	1.96	2.70	2.71	2.70	6.30	6.53	6.44	8097	0	662
624	LAKE	jezioro	see	1.57	2.15	1.85	2.43	2.92	2.67	6.57	6.85	6.70	1296	0	2147
1797	HEDGEHOG	jeż	igel	1.67	1.09	1.42	2.20	1.91	2.08	6.47	6.55	6.50	54	0	1049
2523	HOWLING	jęczeć	geheul	0.13	-0.64	-0.19	3.50	2.82	3.22	6.44	5.36	6.00	280	0	844
1307	LANGUAGE	język	sprache	0.29	1.00	0.63	1.93	2.08	2.00	6.21	5.77	6.00	4635	0	2264
1915	FIR	jodła	tanne	0.57	1.00	0.78	1.36	1.62	1.48	5.64	6.46	6.04	10	0	2380
1360	DUCK	kaczka	ente	0.57	0.33	0.46	1.57	1.50	1.54	6.79	6.58	6.69	697	0	595
2867	CALCULATE	kalkulować	rechnen	-0.06	0.27	0.07	1.94	1.45	1.74	5.38	4.27	4.93	3	0	1922
857	STONE	kamienny	stein	0.27	-0.13	0.04	1.64	1.31	1.44	5.55	6.13	5.89	127	0	2302
1464	LADDER	kierownik	leiter	-0.46	-0.77	-0.62	2.00	1.62	1.81	5.69	5.15	5.42	1082	0	1314
2826	LIE (FALSEHOOD)	kłamstwo	lüge	-1.64	-2.31	-1.96	3.07	3.62	3.33	6.07	5.46	5.78	3412	0	1403
2071	LAY (VERB)	kłaść	legen	0.46	0.08	0.27	1.62	1.31	1.46	5.62	6.08	5.85	337	0	1293
1848	QUARREL	kłótnia	zank	-1.57	-2.15	-1.85	3.29	3.77	3.52	5.93	6.15	6.04	499	0	2834
571	STING	kłuć	stechen	-1.36	-1.31	-1.33	2.86	2.85	2.85	5.71	5.77	5.74	64	0	2293
962	WOMAN	kobieta	frau	2.09	1.31	1.63	3.82	2.19	2.85	6.82	6.81	6.81	19933	0	774
923	LOVE	miłość	liebe	2.00	2.50	2.23	3.93	4.08	4.00	5.50	5.67	5.58	20836	0	1348
2470	DEAR	kochany	lieb	2.45	2.94	2.74	3.55	3.94	3.78	5.36	6.44	6.00	2855	0	1347
1511	ROOSTER	kogut	hahn	0.29	0.31	0.30	1.64	1.77	1.70	6.79	6.92	6.85	301	0	950
647	PAINT (PIGMENTS)	kolor	farbe	1.10	1.29	1.22	2.00	2.00	2.00	6.20	6.18	6.19	3927	0	689
2997	COLORFUL	kolorowy	bunt	1.67	1.94	1.85	2.89	2.44	2.59	5.67	6.67	6.33	278	0	449
1467	CIRCLE	koło	kreis	0.79	0.17	0.50	1.71	1.08	1.42	6.50	6.42	6.46	7106	0	1229
2946	CRADLE	kołyska	wiege	0.22	1.22	0.89	2.67	1.83	2.11	6.44	6.11	6.22	67	0	2785
