CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_AOA_MIN	SPANISH_AOA_MAX	LINE_IN_SOURCE
1382	NEEDLE (FOR SEWING)	aguja	4.6800	1	10	189
1383	GRANDFATHER	abuelo	2.3200	1	7	34
1384	SECOND	segundo	4.4400	1	8	6029
1385	PEPPER	pimienta	6.2000	2	10	5103
1386	LION	león	2.9800	1	8	3813
1388	SHADE	sombra	4.8400	1	8	6216
1391	TOWN	ciudad	4.9800	1	9	1289
1392	LOUSE	piojo	4.5800	2	9	5122
1393	HORN (ANATOMY)	cuerno	4.8000	1	10	1761
1394	BONE	hueso	4.7400	1	10	3350
1395	ROUND	redondo	4.3800	1	10	5665
1396	SHARP	afilado	6.4000	3	11	143
1398	DRY	seco	5.1400	1	11	6010
1401	DRINK	beber	2.2000	1	5	723
1402	BREAST	seno	8.9400	3	11	6057
1403	BITE	morder	3.5200	1	9	4366
1404	STRAIGHT	recto	5.4000	1	11	5655
1405	NAME	nombre	3.0000	1	8	4546
1406	FAR	lejos	3.7200	1	8	3799
1408	HEAR	oír	3.7000	1	9	4655
1409	SEE	ver	2.7200	1	7	6854
141	BURN (SOMETHING)	quemar	4.5400	1	9	5522
1410	KNOW (SOMETHING)	saber	5.5000	2	11	5911
1413	PLAY	jugar	2.2400	1	7	3696
1415	THINK (REFLECT)	pensar	5.7200	1	10	4965
1416	SIT	sentado	3.6400	1	8	6061
1417	KILL	matar	4.9600	2	11	4129
1419	FEAR (BE AFRAID)	temer	6.7000	2	11	6402
1420	COUNT	contar	4.6200	1	10	1562
1422	BE ALIVE	vivir	5.7800	2	11	6963
1424	YELLOW	amarillo	2.5000	1	4	288
1425	GREEN	verde	2.8000	1	9	6866
1428	BURNING	arder	6.1200	2	11	451
1429	FULL	lleno	4.5200	1	9	3917
1430	STAR	estrella	3.6600	1	11	2601
1432	CUT	cortar	4.0400	1	10	1642
1435	HUNT	cazar	6.5200	2	10	1132
1439	SWIM	nadar	3.8400	2	8	4464
1441	FLY (MOVE THROUGH AIR)	volar	5.3400	1	11	6973
1442	STAND	parado	6.2800	1	11	4822
1443	WALK	andar	3.8600	1	8	327
1446	COME	venir	3.5600	1	10	6846
1447	GIVE	dar	3.0000	1	9	1814
1453	WASH	lavar	4.9000	2	10	3778
1456	THROW	echar	4.5200	1	10	2229
1457	SEW	coser	5.4200	3	11	1655
1458	SAY	decir	4.3900	1	8	1849
1459	IF	si	1.6400	1	5	6113
1460	IN	en	3.9200	1	10	2317
1464	LADDER	escalera	3.4200	1	7	2437
1467	CIRCLE	círculo	3.5200	2	11	1282
1468	LOOK FOR	buscar	4.8800	2	9	885
1469	WEEK	semana	4.4000	1	8	6044
1470	FOLD	doblar	4.6000	2	8	2167
1471	WINTER	invierno	4.6600	1	10	3618
1472	KEY	llave	3.5800	1	7	3902
1474	SEA	mar	3.1000	1	11	4083
1475	COMB	peine	3.2200	1	6	4935
1476	CHAIR	silla	3.1800	1	7	6138
1479	DOLPHIN	delfín	4.2800	2	8	1888
1480	BODY	cuerpo	3.6600	1	6	1764
1481	HAMMER	martillo	4.9800	1	10	4115
1482	SHOULDER	hombro	3.7800	1	7	3306
1483	NINE	nueve	3.7200	1	8	4588
1484	OIL (ORGANIC SUBSTANCE)	aceite	5.5000	2	9	61
1485	BELOW OR UNDER	debajo	4.1200	1	11	1822
1487	POUR	servir	7.1800	4	11	6100
1489	CLOUD	nube	3.0400	1	10	4574
1490	RAT	rata	3.8200	1	9	5599
1491	MOUSE	ratón	3.5200	1	8	5601
1493	ONE	uno	2.2100	1	5	6733
1494	DIE	morir	5.4000	2	10	4370
1496	GRANDMOTHER	abuela	2.7200	1	7	33
1498	TWO	dos	2.2400	1	6	2202
1500	FOUR	cuatro	3.3200	1	10	1740
1502	GOAT	cabra	4.3600	1	8	904
1503	SALIVA	saliva	4.6800	2	11	5947
1504	FLY (INSECT)	mosca	3.8400	2	8	4375
1506	MEASURE	medir	7.3000	3	11	4177
1507	FRUIT	fruta	4.1800	1	9	2929
1509	MOSQUITO	mosquito	4.0400	1	10	4376
1510	CHIN	mentón	8.7400	2	11	4206
1511	ROOSTER	gallo	4.6600	1	11	2986
1514	HEN	gallina	3.3400	1	7	2984
1515	TEN	diez	3.5400	1	8	2075
1517	WASP	avispa	5.4400	1	11	614
1519	RUN	correr	2.6600	1	6	1631
1521	SEEM	parecer	6.6800	3	11	4836
1522	SOCK	calcetín	3.3400	1	7	936
1523	FORGET	olvidar	5.1800	2	8	4670
1524	WINE	vino	5.5000	1	11	6925
1525	COAST	costa	5.8000	2	11	1656
1528	FORGIVE	perdonar	4.6200	1	10	4991
1531	BRANCH	rama	5.4000	2	10	5576
1534	FEVER	fiebre	4.6800	2	10	2795
1535	SWORD	espada	5.0600	1	10	2491
1536	UNDERSTAND	entender	5.7000	3	10	2379
1537	SPRINGTIME	primavera	4.6600	2	11	5339
1539	BASKET	cesta	4.8000	2	8	1188
1540	EYELASH	pestaña	4.4000	1	9	5061
1543	SNAIL	caracol	3.3800	1	9	1033
1547	SOUP	sopa	3.1200	1	8	6228
1548	UGLY	feo	3.0000	1	8	2779
1553	MALE	varón	6.1600	2	11	6793
1554	MAN	hombre	3.6400	1	11	3304
1559	MONEY	dinero	4.1400	1	9	2103
156	RED	rojo	2.9400	1	11	5845
1560	FACE	cara	2.9600	1	7	1032
1564	LAZY	perezoso	8.5000	5	11	4996
1566	GUN	pistola	6.0000	2	10	5137
1567	DOOR	puerta	2.6400	1	6	5468
1569	CHEESE	queso	2.9800	1	7	5532
1571	SELL	vender	5.5600	2	11	6836
1575	COCKROACH	cucaracha	4.3400	1	9	1748
1577	AND	y	3.1400	1	10	7000
1578	IGUANA	iguana	7.0800	2	11	3400
1584	BLISTER	ampolla	8.4600	3	11	312
1585	SLEEP	dormir	2.3600	1	7	2200
1586	SMELL (PERCEIVE)	oler	3.7200	1	8	4663
1591	UP	arriba	3.5600	1	8	479
1592	CHEST	pecho	5.3600	2	9	4923
1594	FLOUR	harina	5.1200	2	10	3222
1595	SOUTH	sur	6.1400	3	11	6311
1597	AIRPLANE	avión	3.6200	1	7	612
1598	NORTH	norte	6.2200	2	10	4554
1599	WORD	palabra	4.1400	2	9	4771
1600	SKIRT	falda	4.2000	2	10	2723
1601	WEAK	débil	7.0400	2	11	1831
1604	TEMPLES	sien	9.3200	3	11	6119
1607	HATE	odiar	5.3400	1	11	4643
1608	LISTEN	escuchar	4.3200	2	8	2471
1612	LETTER	carta	5.6800	2	9	1072
1613	COLOR	color	2.8400	1	6	1386
1616	CLOTH	tela	5.3400	1	11	6389
1618	GRANDSON	nieto	5.7800	2	11	4523
1620	SON	hijo	3.0800	1	8	3286
1622	SHIRT	camisa	3.5200	1	6	976
1623	SPEAK	hablar	2.5800	1	8	3184
1624	EMPTY	vacío	4.4000	1	11	6759
1626	EXPLAIN	explicar	6.5400	2	11	2682
1627	CHAIN	cadena	6.2000	2	11	919
1628	SQUIRREL	ardilla	3.9200	1	11	453
163	BLACK	negro	3.2600	1	7	4507
1631	FAST	rápido	3.7000	1	7	5586
1633	FLAT	plano	7.4000	3	11	5149
1635	OBEY	obedecer	3.9400	1	7	4600
1639	BEER	cerveza	7.4000	2	11	1186
164	KANGAROO	canguro	4.6000	1	9	1002
1641	SILK	seda	7.1000	3	11	6018
1645	SHORT	corto	5.0200	1	11	1649
1646	GIRL	muchacha	4.6600	1	9	4394
1648	ANVIL	yunque	9.4200	5	11	7015
1651	TEAR (OF EYE)	lágrima	3.8600	1	8	3742
1653	BLIND	ciego	5.2200	2	9	1247
1654	LIGHTNING	relámpago	6.1600	3	11	5699
1657	TRUE	verdadero	5.5400	3	11	6865
166	MAINLAND	continente	8.2200	5	11	1571
1663	BED	cama	2.4200	1	5	958
1666	MUTE	mudo	6.3400	1	11	4405
1667	HOLE	agujero	4.3400	1	10	190
1671	TOWER	torre	4.4800	1	8	6569
1672	WRITE	escribir	3.9000	1	6	2465
1673	ARM	brazo	3.0200	1	7	839
1674	POOR	pobre	5.8000	3	11	5179
1676	ALWAYS	siempre	5.1800	2	9	6118
168	REST	descansar	4.8200	1	11	1955
1681	WAIST	cintura	5.3800	2	11	1275
1682	GUILTY	culpable	6.8600	3	11	1775
1683	BUSH	monte	4.3600	1	11	4354
1685	AFTER	después	4.8000	2	8	2016
1689	SMOKE (INHALE)	fumar	6.2200	2	11	2951
169	IT	ello	6.6800	2	11	2284
1692	FRIDAY	viernes	4.2800	2	8	6914
1693	THURSDAY	jueves	4.3400	1	11	3689
1694	WEDNESDAY	miércoles	3.8600	1	7	4251
1695	TUESDAY	martes	4.1800	1	9	4114
1697	MONDAY	lunes	3.7200	1	7	3977
1699	SUNDAY	domingo	3.6800	1	7	2186
17	EYELID	párpado	5.6400	1	11	4847
1700	SATURDAY	sábado	4.2400	2	10	5905
1703	SIX	seis	3.1500	1	6	6035
1704	SEVEN	siete	3.8400	1	9	6125
1705	EIGHT	ocho	3.7600	1	9	4627
