CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_FREQUENCY	CHINESE_FREQUENCY_PM	CHINESE_FREQUENCY_LOG	CHINESE_CD	CHINESE_CD_PERCENTAGE	CHINESE_CD_LOG	LINE_IN_SOURCE
1424	YELLOW	黃	1	0.03	0.0	1	0.02	0.0	77037
1425	GREEN	绿	749	22.33	2.87	437	7.0	2.64	2978
1426	EXPENSIVE	贵	959	28.59	2.98	707	11.32	2.85	2489
1427	BEAUTIFUL	美	7200	214.63	3.86	2722	43.6	3.43	462
1429	FULL	满	3311	98.7	3.52	2194	35.14	3.34	938
1430	STAR	星	2250	67.07	3.35	818	13.1	2.91	1269
1431	FREEZE	结冰	65	1.94	1.81	44	0.7	1.64	14750
1432	CUT	割	877	26.14	2.94	551	8.83	2.74	2669
1434	STAB	扎	656	19.55	2.82	434	6.95	2.64	3290
1435	HUNT	追赶	127	3.79	2.1	110	1.76	2.04	9919
1436	SCRATCH	搔	32	0.95	1.51	25	0.4	1.4	21390
1437	SPLIT	劈	157	4.68	2.2	120	1.92	2.08	8724
1438	FOOL	傻子	766	22.83	2.88	562	9.0	2.75	2942
1439	SWIM	游	999	29.78	3.0	583	9.34	2.77	2419
1440	SPIT	吐	1911	56.97	3.28	1139	18.24	3.06	1458
1441	FLY (MOVE THROUGH AIR)	飞	3894	116.08	3.59	1785	28.59	3.25	803
1442	STAND	立	532	15.86	2.73	387	6.2	2.59	3874
1443	WALK	走	65258	1945.3	4.81	6158	98.64	3.79	66
1444	TURN AROUND	转弯	242	7.21	2.38	169	2.71	2.23	6659
1445	TURN (SOMETHING)	转动	196	5.84	2.29	145	2.32	2.16	7622
1446	COME	來	13	0.39	1.11	8	0.13	0.9	32138
1447	GIVE	予	68	2.03	1.83	57	0.91	1.76	14347
1449	RUB	擦	1465	43.67	3.17	926	14.83	2.97	1790
1450	ROOM	屋子	1602	47.75	3.2	1080	17.3	3.03	1681
1451	SMILE	微笑	1027	30.61	3.01	696	11.15	2.84	2368
1452	PUSH	推	2249	67.04	3.35	1365	21.86	3.14	1272
1453	WASH	洗	3495	104.18	3.54	1918	30.72	3.28	890
1455	PULL	拖	1857	55.36	3.27	1275	20.42	3.11	1490
1456	THROW	仍	1886	56.22	3.28	1247	19.97	3.1	1474
1457	SEW	缝	670	19.97	2.83	448	7.18	2.65	3241
1458	SAY	曰	18	0.54	1.26	12	0.19	1.08	27774
1459	IF	如果	76417	2277.94	4.88	6157	98.62	3.79	60
146	SUGAR CANE	甘蔗	40	1.19	1.6	15	0.24	1.18	19167
1460	IN	在	429766	12811.05	5.63	6242	99.98	3.8	7
1463	DRUNK	醉	2524	75.24	3.4	1396	22.36	3.14	1159
1464	LADDER	阶梯	56	1.67	1.75	46	0.74	1.66	16039
1465	BOX	盒子	1463	43.61	3.17	726	11.63	2.86	1794
1468	LOOK FOR	搜寻	420	12.52	2.62	303	4.85	2.48	4571
