CONCEPTICON_ID	CONCEPTICON_GLOSS	PORTUGUESE	PORTUGUESE_VALENCE_MEAN	PORTUGUESE_AROUSAL_MEAN	PORTUGUESE_DOMINANCE_MEAN	PORTUGUESE_POS	LINE_IN_SOURCE
1607	HATE	odiar	2.0925925925925934	6.564102564102565	4.63888888888889	V	199
1610	PROSTITUTE	prostituta	3.769230769230768	4.571428571428571	4.435897435897438	N	788
1613	COLOR	cor	6.981481481481479	4.765957446808509	5.641025641025641	N	690
1616	CLOTH	tecido	5.22857142857143	4.32142857142857	4.874999999999999	ADJ/N	737
1625	DEAD	morto	1.6849315068493158	6.296874999999998	3.1500000000000004	ADJ/N	586
1627	CHAIN	cadeia	3.135135135135136	5.413793103448277	3.5217391304347827	N	234
163	BLACK	preto	5.369565217391303	3.894736842105263	5.242424242424244	ADJ/N	541
1635	OBEY	obedecer	4.730769230769229	4.9318181818181825	4.675	V	906
1641	SILK	seda	6.224489795918368	4.230769230769233	5.526315789473686	N	389
1653	BLIND	cego	2.166666666666667	5.800000000000001	4.636363636363636	ADJ/N	43
1654	LIGHTNING	relâmpago	5.086956521739128	6.820512820512821	4.0	N	596
1663	BED	cama	7.032786885245903	2.716981132075471	5.559322033898305	N	547
1671	TOWER	torre	5.279999999999998	4.324999999999998	5.114285714285713	N	1010
1673	ARM	braço	5.545454545454546	3.7777777777777772	6.026315789473684	N	639
1678	HUT	cabana	6.169491525423729	3.065217391304348	4.690476190476189	N	87
1682	GUILTY	culpado	2.54	6.086956521739131	4.465116279069767	N	195
1728	ROTTEN	podre	2.6428571428571432	5.341463414634146	4.08108108108108	ADJ/N	363
1733	RAINBOW	arco-íris	7.25373134328358	3.2758620689655182	4.521739130434781	N	341
174	PROUD	orgulhoso	6.017543859649121	5.31111111111111	6.243902439024389	ADJ/N	332
1768	FOAM	espuma	6.000000000000001	3.5483870967741935	4.733333333333333	N	751
1775	TABLE	mesa	5.342105263157896	3.363636363636364	5.137931034482758	N	424
1783	PAIN	dor	1.8939393939393938	6.843137254901961	3.0833333333333335	N	624
1791	BUTTERFLY	borboleta	7.086206896551725	3.020408163265306	5.319148936170212	N	58
1808	PUS	pus	2.999999999999999	5.117647058823529	4.033333333333332	N	599
1810	DANGER	perigo	3.2264150943396226	7.148936170212768	3.627906976744186	N	709
1833	DINNER (SUPPER)	jantar	6.884615384615385	4.2926829268292686	5.658536585365853	N/V	507
1836	VAGINA	vagina	5.485714285714286	4.241379310344827	5.199999999999999	N	1019
1847	SICK	doente	2.625	5.384615384615384	3.441176470588236	ADJ/N	604
1853	DOVE	pomba	5.368421052631579	4.083333333333332	5.113636363636364	N	726
1867	COIN	moeda	6.000000000000001	4.444444444444445	5.411764705882353	N	688
1895	CLOTHES	roupa	6.08695652173913	4.375000000000001	6.65625	N	74
1902	BETRAY	trair	1.803921568627451	7.095238095238096	3.5945945945945943	V	37
1914	DEBT	dívida	2.914893617021276	6.378378378378379	4.228571428571429	N	101
1923	ROUGH	áspero	3.4468085106382977	4.69047619047619	3.7999999999999994	ADJ	960
1934	BEGGAR	mendigo	2.2982456140350873	5.9111111111111105	4.604651162790696	N	36
194	FAMILY	família	7.61904761904762	3.972222222222222	6.6764705882352935	N	156
1945	IDOL	ídolo	6.083333333333333	4.568181818181817	5.147058823529413	N	797
1974	CENTIPEDE	centopeia	3.3333333333333335	4.999999999999999	4.911764705882352	N	361
2009	DOG	cão	7.148148148148148	4.522727272727272	4.729166666666669	N	509
2058	STOOL	banco	5.222222222222223	3.7749999999999986	4.742857142857143	N	652
208	NASAL MUCUS (SNOT)	muco	3.477272727272728	4.777777777777778	4.647058823529411	N	880
212	FIELD	campo	6.7	2.914285714285714	6.17241379310345	N	556
218	FINE (PENALTY)	multa	2.2884615384615374	6.674999999999998	3.8108108108108105	N	925
221	FIRE	fogo	4.461538461538462	5.5909090909090935	4.631578947368421	N	164
227	FISH	peixe	5.380000000000002	3.8095238095238093	5.1000000000000005	N	557
2316	FREE	livre	7.976190476190477	4.6923076923076925	6.942857142857143	ADJ/ADV/N	170
2374	DREAM	sonho	7.787234042553191	4.0	4.833333333333333	N	132
239	FLOWER	flor	7.140625000000001	3.420000000000001	6.113636363636365	N	166
2406	HOME	lar	7.224489795918366	2.6578947368421053	5.212121212121212	N	207
2433	THEORY	teoria	5.06521739130435	4.333333333333333	5.303030303030304	N	432
27	AIR	ar	6.651162790697675	2.6	4.824999999999999	N	629
273	DOUGH	massa	6.285714285714286	3.4222222222222216	5.6	N	522
2941	HAPPINESS	alegria	8.381818181818184	5.755555555555556	6.857142857142856	N	238
2960	LONGING (WISH)	desejo	7.35294117647059	6.863636363636362	5.775	N	1028
3033	SCARED	assustado	3.1363636363636367	5.75	4.5277777777777795	ADJ	601
307	HAWK	falcão	5.454545454545453	4.405405405405406	4.689655172413793	N	534
310	HEAD LOUSE	piolho	3.078947368421052	5.3125	4.958333333333333	N	260
3210	KNIFE (FOR EATING)	faca	3.749999999999999	5.266666666666666	4.423076923076922	N	594
323	FAT (ORGANIC SUBSTANCE)	gordura	2.933333333333333	5.611111111111112	4.936170212765958	N	660
334	COOKHOUSE	cozinha	6.085106382978725	4.135135135135135	5.294117647058825	N	705
3460	BEACH	praia	7.864406779661017	4.166666666666666	6.686274509803922	N	34
356	SHEARS	tesoura	4.8108108108108105	4.290322580645161	4.538461538461538	N	968
3749	HATE (LOATHING)	ódio	2.0000000000000004	7.276595744680851	4.390243902439023	N	200
381	BLAME	culpa	2.283018867924529	6.489795918367345	3.2790697674418596	N	742
3834	LOVE (AFFECTION)	amor	8.163636363636364	4.980392156862744	4.552631578947368	N	261
3846	EXCITEMENT	excitação	7.135593220338983	7.4363636363636365	6.142857142857143	N	436
3849	TRIUMPH	triunfo	7.435897435897436	5.382352941176472	5.586206896551724	N	449
391	BLESS	abençoar	5.885714285714287	4.0	5.592592592592593	V	42
3916	PLEASURE	prazer	8.179487179487182	6.862068965517242	7.040000000000001	N/V	315
3948	SHOTGUN	espingarda	3.418604651162791	6.972222222222222	4.741935483870967	N	600
3960	IDENTITY	identidade	6.4363636363636365	4.291666666666667	6.357142857142858	N	796
3971	METHOD	método	5.574468085106383	4.390243902439024	5.878048780487805	N	869
3973	DEPRESSED	deprimido	2.166666666666667	4.805555555555555	3.53	ADJ	107
474	DRESS	vestido	6.28888888888889	4.300000000000001	5.4	ADJ/N	133
488	MANNER	maneira	5.431818181818181	3.894736842105263	4.7272727272727275	N	857
497	SCAR	cicatriz	3.734693877551021	4.767441860465117	4.6923076923076925	N	967
504	LEARN	aprender	7.608695652173913	5.500000000000001	6.129032258064517	V	250
584	DIFFICULT	difícil	3.809523809523809	6.411764705882356	4.183673469387753	ADJ/N	776
602	HIDE (CONCEAL)	esconder	4.298245614035087	4.437499999999999	4.857142857142856	V	205
604	GLASS	vidro	5.148936170212767	3.857142857142857	4.935483870967743	N	760
615	HORSE	cavalo	6.065217391304348	4.153846153846154	4.447368421052633	N	212
621	IRON	ferro	5.000000000000001	3.7142857142857144	5.02439024390244	N	563
624	LAKE	lago	6.865384615384615	2.847826086956522	6.0249999999999995	N	248
633	MARKET	mercado	5.488888888888888	4.25	4.699999999999999	N	860
635	MILK	leite	5.880952380952381	3.5625000000000004	5.000000000000001	N	870
639	MOUNTAIN	montanha	6.818181818181818	3.9249999999999994	5.027027027027028	N	285
641	MUSHROOM	cogumelo	5.658536585365854	3.606060606060606	5.848484848484849	N	565
645	OCEAN	oceano	7.220338983050848	3.224489795918367	5.454545454545453	N	295
647	PAINT (PIGMENTS)	tinta	5.2222222222222205	4.105263157894738	4.9444444444444455	N	227
648	PAPER	papel	5.340425531914894	3.216216216216216	6.147058823529413	N	301
653	PLANT (VEGETATION)	planta	5.977777777777777	3.861111111111111	5.5	N	314
655	POISON	veneno	2.442307692307693	6.133333333333335	3.5000000000000004	N	472
658	RAIN (PRECIPITATION)	chuva	4.46	4.342105263157895	4.0555555555555545	N	567
666	RIVER	rio	6.73469387755102	3.8499999999999996	5.72972972972973	N	360
681	DESTROY	destruir	2.5925925925925926	6.499999999999998	4.3428571428571425	V	112
683	PERSON	humano	6.882352941176468	4.243902439024391	5.8999999999999995	ADJ/N	791
686	EASY	fácil	6.654545454545454	3.1632653061224496	6.444444444444444	ADJ	730
698	WISE	sábio	7.270833333333333	3.714285714285715	6.055555555555556	ADJ/N	495
706	DARK	escuro	4.365853658536587	4.411764705882352	4.793103448275862	ADJ/N	710
729	DAWN	amanhecer	6.937500000000001	3.514285714285715	5.689655172413793	V	418
731	BEVERAGE	bebida	5.926829268292682	5.10344827586207	4.82051282051282	N	654
733	EARN	ganhar	7.754716981132075	7.108695652173913	5.75	V	492
735	OWL	coruja	5.436363636363635	3.8571428571428577	5.0	N	520
740	SHIP	navio	5.487179487179488	3.4848484848484853	4.758620689655172	N	386
744	EGG	ovo	5.222222222222223	3.4883720930232545	4.775	N	732
745	SHELF	prateleira	5.326530612244898	4.0588235294117645	5.218750000000001	N	858
76	YOUNG MAN	rapaz	6.179487179487178	4.818181818181818	5.689655172413793	N	50
760	KNOT	nó	4.813559322033898	4.288461538461539	4.70212765957447	N	830
767	CORPSE	cadáver	2.0	6.395833333333333	4.09090909090909	N	86
781	FEAR (FRIGHT)	medo	2.8181818181818175	6.57142857142857	3.0769230769230766	N	590
783	VICTORY	vitória	7.5675675675675675	6.322580645161291	6.740740740740741	N	473
784	SNOW	neve	6.659999999999998	4.2857142857142865	5.512820512820514	N	573
789	PEOPLE	gente	6.046511627906976	4.842105263157896	5.2857142857142865	N	523
796	NIPPLE	mamilo	5.607843137254901	4.923076923076923	4.888888888888888	N	897
803	ANKLE	tornozelo	4.983050847457628	3.6200000000000006	4.999999999999999	N	635
812	SLAVE	escravo	2.0161290322580654	6.170212765957447	3.3414634146341458	ADJ/N	396
819	STOMACH	estômago	4.891304347826087	3.763157894736841	5.0	N	992
820	LAMB	cordeiro	5.4230769230769225	3.022727272727273	5.512195121951219	N	831
837	BLUE	azul	6.5	3.853658536585366	5.565217391304347	ADJ/N	542
843	SPIDER	aranha	3.962962962962963	5.136363636363635	4.999999999999999	N	607
845	MURDER	assassinar	1.680851063829787	7.6000000000000005	3.4000000000000004	V	26
850	SQUARE	quadrado	5.16	3.8181818181818183	5.512820512820514	ADJ/N	406
854	KETTLE	chaleira	5.169811320754717	4.153846153846154	5.468750000000001	N	826
858	STORM	tempestade	3.8947368421052633	5.6875	4.172413793103448	N	994
862	SUGAR	açúcar	6.689655172413794	4.518518518518519	5.363636363636363	N	996
878	HELL	inferno	3.0384615384615388	6.000000000000001	3.928571428571429	N	783
894	TOAD	sapo	4.813953488372093	4.099999999999999	5.794117647058823	N	174
90	INNOCENT	inocente	5.551020408163267	3.7380952380952377	5.470588235294119	ADJ/N	809
906	TREE	árvore	6.4799999999999995	3.648648648648649	5.818181818181819	N	448
937	BIRD	pássaro	6.208333333333335	3.8108108108108105	5.575757575757576	N	38
942	HONEY	mel	6.113636363636363	4.151515151515151	5.812500000000001	N	787
948	WATER	água	7.162790697674418	3.9189189189189197	5.687500000000001	N	484
95	SANDFLY	mosquito	3.607142857142857	5.536585365853658	4.0	N	879
952	WEATHER	tempo	5.696428571428573	4.740000000000001	4.608695652173912	N	437
962	WOMAN	mulher	7.12727272727273	4.767441860465117	5.842105263157896	N	496
963	BOOK	livro	6.478260869565218	3.0681818181818183	6.2368421052631575	N	47
965	WORLD	mundo	6.671641791044777	5.0166666666666675	4.981481481481478	N	498
974	TOBACCO	tabaco	3.136363636363636	4.8717948717948705	5.199999999999998	N	439
981	ELBOW	cotovelo	4.957446808510635	3.5897435897435894	5.472222222222222	N	733
