CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_VALENCE_MEAN	GERMAN_AROUSAL_MEAN_ANEW	GERMAN_AROUSAL_MEAN_BAWL	GERMAN_DOMINANCE_MEAN	GERMAN_POTENCY_MEAN	GERMAN_IMAGEABILITY_MEAN	GERMAN_POS	LINE_IN_SOURCE
1216	MOTHER	Mutter	2.05	4.05	2.67	4.75	6.53	5.68181818	S	299
1217	FATHER	Vater	2.1	4.45	2.67	4.88	6.46	6.5555555556	S	168
1222	PENIS	Penis	0.33	6.6	3.69	5.88	6.73	6.55	S	928
1223	HEART	Herz	2.3	5	3.28	5.19	5.95	6.4444444444	S	786
1228	EARTH (SOIL)	Erde	1.9	3.6	2.44	4.56	5.6	6.2222222222	S	141
1230	DIRTY	dreckig	-1.13	6.25	3.08	5.63	5.25	4.7142857143	A	596
1234	SMOOTH	glatt	0.25	4	2.38	4.81	4.33	4.25	A	979
124	THORN	Dorn	-0.93	5.5	3.35	4.69	5.55	5.55	S	443
1245	BUTTER	Butter	0.6	3.15	1.84	5.81	3.93	5.27272727	S	62
1252	HOUSE	Haus	1.26	3.1	1.83	5	5.03	6.8076923077	S	568
1259	WEDDING	Hochzeit	1	6.1	3.5	5.5	5.5	6.4166666667	S	497
1262	BROTHER	Bruder	1.68	3.3	2.22	5.56	5.6	5.7307692308	S	57
1266	BRIDE	Braut	1	4.95	2.83	4.81	4.37	6.5555555556	S	675
1276	AUTUMN	Herbst	1.1	3.55	1.65	3.94	4.78	5.7777777778	S	32
1277	HAND	Hand	1.21	3.15	1.78	5.69	5.03	6.8846153846	S	777
1279	FAT (OBESE)	fett	-1.5	5.6	3.5	5.5	5.78	5.44	A	167
1287	COLD	kalt	-0.86	5.45	2.77	4.69	5.34	4.619047619	A	697
129	CHOKE	ersticken	-1.93	7.6	4.12	3.56	6.56	4.3	V	427
1293	MISTAKE	Fehler	-1.6	5.9	3.19	5.13	6	2.5	S	877
1295	STICK	Stock	-0.07	4.2	2.31	5.44	5.44	5.75	S	681
1301	FOOT	Fuß	0.13	3.4	2.23	6.38	4.7	6.6	S	757
1302	FORK	Gabel	0.3	3.4	2.11	6.38	4.65	5.77272727	S	565
1303	FINGER	Finger	0.7	4	2.11	6.5	4.65	5.90909091	S	752
1306	QUEEN	Königin	0.8	4.45	2.65	4.69	6.74	6.1428571429	S	947
1314	QUIET	still	0.6	2.4	1.26	5.81	4.11	3.33	A	348
1315	RADIO	Radio	0.75	4.45	2.5	6.25	4.75	6.2	S	350
1321	BOTTLE	Flasche	0.45	4.3	1.95	5.56	4.2	5.91	S	671
1323	CLOCK	Uhr	0.09	4.7	1.79	4.88	4.63	6.7307692308	S	692
1325	FRIEND	Freund	2.56	5.15	2.05	6.19	6.45	6.0384615385	S	184
1335	WHITE	weiß	0.35	3.55	2.24	5	4.05	5.7083333333	A	547
1336	EAT	essen	1.56	4.3	3.53	6.06	5.2	6.2692307692	V	143
1337	PIG	Schwein	0.59	4.9	2.77	5.5	5.18	5.95	S	933
1338	PEACE	Frieden	2.53	3.5	1.61	5.25	6.08	4.7307692308	S	319
134	FAULT	Schuld	-1.7	6.35	3.57	4.31	6.96	2.7777777778	S	748
1343	SUN	Sonne	2.6	4.6	2.89	4.19	5.75	6.40909091	S	537
1349	CHURCH	Kirche	0.05	4.05	2.33	4.69	5.23	6.2	S	76
1352	KNIFE	Messer	-0.6	6.4	3.48	5.63	6.23	6.64	S	603
1355	LAUGH	Lachen	2.65	6.1	2.83	6.5	6.24	4.9047619048	S	265
1361	TOOL	Werkzeug	0.43	3.9	2.15	6.56	4.98	6.1	S	1010
1364	HEALTHY	Gesundheit	1.97	4.55	2.23	5.31	5.73	3.3461538462	S	216
1365	KITCHEN	Küche	0.88	3.5	2.45	5.56	4.44	6.2083333333	S	712
1366	BOY	Junge	0.8	4.05	2.81	5.69	5.42	4.72727273	S	55
1369	GOLD	Gold	1.4	4.5	2.5	5.44	6.1	6.3333333333	S	202
1370	MONTH	Monat	0.3	3.5	2.11	4.44	4.73	2.90909091	S	296
1375	WINDOW	Fenster	1.14	3.5	1.91	6	4.5	6.14	S	501
1382	NEEDLE (FOR SEWING)	Nadel	-0.55	5.35	2.86	5.81	4.43	6.52	S	893
1386	LION	Löwe	0.36	6.05	4.05	4.13	6	6.32	S	523
1388	SHADE	Schatten	-0.35	4.8	2.44	4.88	5.28	6.2307692308	S	394
1390	WRONG	falsch	-1.47	6.95	3.42	4.69	5.2	2.4	A	745
1392	LOUSE	Laus	-1.2	5.6	2.73	4.69	3.93	5.65	S	275
1402	BREAST	Busen	1.85	4.55	3.25	5.06	5.92	6.18181818	S	56
1405	NAME	Name	0.59	2.9	2.21	5.13	4.75	3.8076923077	S	889
1406	FAR	entfernt	-0.6	4.95	2.77	4.5	4.44	2.75	A	15
1422	BE ALIVE	lebendig	2.5	6.1	3.06	6.38	5.78	3.67	A	640
1424	YELLOW	gelb	0.56	3.9	2.38	5.56	3.75	5.9	A	550
1425	GREEN	grün	1.2	3.05	2.04	5.38	4.18	6.35	A	206
1427	BEAUTIFUL	hübsch	1.81	4.4	2.81	5.81	5.13	4.1	A	211
1430	STAR	Stern	1	3.8	2.44	3.75	5.6	6.6666666667	S	419
144	MACHINE	Maschine	0.13	3.25	2.5	5.75	5.75	5.6	S	853
1450	ROOM	Raum	0.74	3.3	2.14	5.13	5	5.7307692308	S	580
1467	CIRCLE	Kreis	0.38	2.9	1.89	5.06	4.53	6.4615384615	S	691
1472	KEY	Schlüssel	0.27	4	2.23	6.13	5.08	6.6	S	831
1476	CHAIR	Stuhl	0.5	3.65	1.82	5.5	4.5	6.23	S	71
1480	BODY	Körper	0.87	5	2.92	5.31	5.8	5.75	S	670
1481	HAMMER	Hammer	-0.32	5.55	3	5.56	5.83	6.09	S	210
1489	CLOUD	Wolken	0.8	2.7	2.12	4.5	3.83	6.5	S	538
1490	RAT	Ratte	-0.95	5.85	2.71	5.69	5.48	5.95454545	S	354
1495	HAPPY	fröhlich	1.6	5.2631578947	3	6.06	6.27	4.2380952381	A	869
1508	KING	König	0.6	4.85	2.46	4.88	6.12	6.5714285714	S	261
1510	CHIN	Kinn	0.13	3.55	2.27	5.06	4.35	6.1	S	689
1517	WASP	Wespe	-1.2	6.2	3.5	4.63	5.1	6	S	490
1518	STUPID	dumm	-1.67	4.85	2.96	5.75	3.95	3.2380952381	A	425
1524	WINE	Wein	1.8	4.6	2.33	5.56	4.75	6.3333333333	S	502
1525	COAST	Küste	2	3.7	1.83	5.13	5.35	6.2388059701	S	695
1526	MEAL	Essen	2.36	4.75	2.09	6.56	5.55	5.65	S	519
1530	BOWL	Schüssel	0.43	3.7	2.23	6.56	4.45	6.55	S	54
1533	BE HUNGRY	hungrig	-1.07	5.45	3.35	4.06	6.05	2.95	A	234
1534	FEVER	Fieber	-1.8	6.5	3.7	3.56	5.75	4.04545455	S	750
1537	SPRINGTIME	Frühling	1.75	4.55	2.73	5.63	5.23	5.25	S	989
1538	SCORPION	Skorpion	-0.4	5.85	3.22	4	5.7	6.4444444444	S	972
1539	BASKET	Korb	0.41	3.35	1.86	5.44	4.55	5.64	S	552
1548	UGLY	hässlich	-1.87	5.95	3.38	5	6.4	3.65	A	467
1552	GLOOMY	düster	-1.2	4.9	3.31	3.81	6.12	4.5	A	733
1559	MONEY	Geld	1.6	5.55	2.94	5.69	5.85	5.8888888889	S	295
156	RED	rot	1	6.45	3.23	4.81	5.23	6.2	A	575
1560	FACE	Gesicht	1	4.5	2.67	5.19	5.3	6.2916666667	S	561
1562	MIND	Verstand	1.9	4.6	2.72	5.94	5.88	2.3333333333	S	874
1564	LAZY	faul	-1.4	3.7	2.69	4.88	3.52	3.9523809524	A	841
1566	GUN	Gewehr	-1.29	6.25	3.65	4.81	6.43	6.15	S	599
1567	DOOR	Tür	0.47	3.75	2.04	5.13	5.12	6.55	S	137
1572	SURPRISED	erstaunt	0.67	5.9	3.15	5.19	5.44	3.55	A	31
1585	SLEEP	schlafen	2	2.7	1.64	5	4.83	5.380952381	V	408
1597	AIRPLANE	Flugzeug	0.5	5.25	3.33	4.56	6.24	6.64	S	544
1601	WEAK	schwach	-1.6	4.75	2.61	5.06	4.8	3	A	171
1605	SKULL	Schädel	-0.79	5.4	2.69	5.19	5.75	5.95	S	613
1607	HATE	hassen	-2.5	7.6	4.44	4.88	5.66	3.67	V	120
1610	PROSTITUTE	Hure	-1.3	7.1	3.78	5	4.7	6	S	498
1612	LETTER	Brief	1.5	4.05	2.22	5.88	4.65	6.4230769231	S	844
1613	COLOR	Farbe	1.6	3.75	2.21	5.19	5.36	4.13636364	S	698
1616	CLOTH	Stoff	0.6	3.9	2.72	5.88	4.9	5.3	S	743
1625	DEAD	tot	-2.5	6.9	4.17	2.38	7.2	4.78	A	594
163	BLACK	schwarz	0.3	3.75	1.95	5.25	5.75	6.33	A	548
1631	FAST	schnell	0.94	6.85	3.15	6.31	5.4	3.8	A	948
1633	FLAT	flach	-0.2	3.35	2.15	4.81	3.98	3.8	A	937
1635	OBEY	gehorchen	-0.94	5.6315789474	2.65	4.38	4.88	3.619047619	V	908
1638	TRUTH	Wahrheit	2.5	4.65	3	5.5	6.25	2.2222222222	S	465
1641	SILK	Seide	1.65	3.75	1.47	6	4.08	4.36363636	S	400
1646	GIRL	Mädchen	1.32	4.35	2.67	5.63	4.98	6.2916666667	S	197
1653	BLIND	blind	-1.64	4.5	2.96	3.19	5.08	3.6	A	48
1654	LIGHTNING	Blitz	0.5	6.65	3.9	2.81	6.28	6.7777777778	S	605
1655	BLINK	zwinkern	0.79	4.85	2.85	5.94	5.1	5.25	V	1027
1659	DOLL	Puppe	0.45	3.9	2	6.94	2.61	5.40909091	S	730
1663	BED	Bett	2	3.5	2.17	5.69	5.13	6.52	S	554
1673	ARM	Arm	0.27	3.9	2.15	5.88	3.15	4.0952380952	S	647
1682	GUILTY	schuldig	-1.4	6.7	3.77	5.06	4.55	3.4285714286	A	209
1728	ROTTEN	verdorben	-1.53	6.3	3.5	4.63	5.38	3.6	A	346
1732	SKY	Himmel	2.25	3.35	1.65	4.19	4.98	6.2380952381	S	217
1733	RAINBOW	Regenbogen	2.25	3.4	2.58	4.88	4.3	6.85	S	352
1739	DECORATE	schmücken	0.53	5.1052631579	2.69	6.38	4.35	4.55	V	721
174	PROUD	stolz	1.27	5.7	2.82	5.69	6.55	3.05	S	343
1746	BLADDER	Blase	-0.7	4.45	2.21	5.13	4.2	4.45454545	S	666
1757	TIRED	müde	-0.93	3.15	1.88	4.38	4.4	3.8	A	496
1768	FOAM	Schaum	0.4	4.2	2.31	6.19	3.48	5.65	S	756
1773	GRAVE	Grab	-2.3	5.45	3.78	4.06	6.08	6.1111111111	S	449
1775	TABLE	Tisch	0.5	3	1.77	6.06	4.35	6.09	S	435
1783	PAIN	Schmerz	-1.74	6.8	4.17	4.31	7.05	5.2692307692	S	312
1791	BUTTERFLY	Schmetterling	1.75	3.4	2.42	5.75	3.75	6.75	S	63
1801	CHILD (DESCENDANT)	Kind	1.8	4.75	2.44	6.63	4.77	6.3333333333	S	75
1804	BOMB	Bombe	-2.5	7.3	4	2.44	7.1	5.36363636	S	51
1808	PUS	Eiter	-1.64	6.7	3.73	4.56	5.63	5.65	S	608
1810	DANGER	Gefahr	-1.8	7.2	4.38	3.63	6.63	2.90909091	S	716
183	BAKE	backen	1.07	3.2105263158	2.12	6.13	4.68	4.8	V	652
1836	VAGINA	Vagina	0.6	6.05	3.85	5.38	5.88	5.95	S	1019
1847	SICK	krank	-2	5.8	3.37	3.56	5.35	4.78	A	612
1853	DOVE	Taube	0.75	3.45	1.89	5.94	3.68	5.81818182	S	732
1856	SOFT	sanft	1.3	3.45	1.8	5.75	3.73	3.89	A	981
1884	HARD	hart	-0.4	5.9	2.77	5.19	6.03	3.65	A	780
1895	CLOTHES	Kleidung	0.6	3.85	2.19	6.56	4.6	5.35	S	79
1899	MAD	verrückt	-0.2	6.35	3.62	5.38	5.48	3.3	A	854
1901	SHOVEL	Schaufel	-0.2	4.6	2.27	5.94	4.88	6.5	S	560
1902	BETRAY	verraten	-1.65	6.2	3.89	4.31	6.12	2.9230769231	V	42
1904	DROWN	ertrinken	-2.2	6.85	4.23	3	6.7	4.3	V	597
1906	SOUR	sauer	-0.9	6.05	3.53	5.13	6.36	4.22	A	985
192	CORNER	Ecke	-0.07	4.05	2.27	5.69	4.78	5.45	S	704
1923	ROUGH	grob	-1.4	5.7	3.38	5.31	5.73	3.1	A	694
194	FAMILY	Familie	1.8	4.6842105263	2.28	6.06	6.88	5.8888888889	S	165
1940	GUARD	Wache	-0.7	5.1	2.32	5.56	5.72	3.54545455	A	586
1944	GOD	Gott	1.5	5.15	2.5	3.94	7.21	3.4444444444	S	201
1958	UNRIPE	unreif	-1.13	5.1	2.85	5.69	3.79	3.4285714286	A	805
1964	ALONE	allein	-1.8	5.65	2.45	4.19	5.53	3.33	A	14
1986	DISEASE	Krankheit	-1.74	6.25	3.77	3.88	6.56	5.4615384615	S	399
2009	DOG	Hund	1.13	4.05	2.6	5.69	4.53	6.2857142857	S	516
2058	STOOL	Hocker	0.14	2.75	1.95	5.63	4.13	5.36	S	995
2060	STORY	Geschichte	0.76	3.8	2.71	4.56	5.53	3.7692307692	S	220
210	LIFE	Leben	2.38	5.75	2.67	6.13	6.88	4.1538461538	S	271
2190	TASTE	Geschmack	1.13	4.1	2.73	5.75	5.35	2.75	S	1002
221	FIRE	Feuer	0.05	6.1	3.72	4.31	6.83	6.31818182	S	174
2223	BE ANGRY	wütend	-1.21	7.15	4.28	4.69	7.16	4.6194029851	A	155
2244	METAL	Metall	-0.05	3.85	2.65	5.81	5.33	3.72727273	S	871
227	FISH	Fisch	0.36	3.75	2.36	5.69	4.15	5.86	S	564
2315	COOK (PERSON)	Koch	0.8	4.6	2.04	5.5	4.6	6.4	S	701
2316	FREE	frei	2.4	5.8	3.12	6.31	7.76	3.4761904762	A	181
2341	CLOUDY	trüb	-1.06	4.05	2.86	4.69	4	4	A	883
2374	DREAM	Traum	1.5	5.35	2	5.5	5.35	4.8888888889	S	139
239	FLOWER	Blume	2.15	3.35	1.69	6.06	4.15	5.77272727	S	176
2406	HOME	Heim	-0.21	3.45	2.77	5.63	5.68	5.2857142857	S	221
2467	GAME	Spiel	1.4	5.55	2.39	6.81	4.83	4.5555555556	S	760
25	DIRT	Schmutz	-1.1	5.25	2.89	5.19	5.35	6.2222222222	S	172
250	LIGHT (COLOR)	hell	1.41	4.8	2.1	5.44	4.53	5.5238095238	A	676
2541	MIRACLE	Wunder	1.85	5.85	3.63	4.38	6.48	3.40909091	S	292
2547	CITY	Stadt	0.87	4.85	2.31	5.5	5.13	5.75	S	78
2548	BARREL	Fass	0.31	3.45	2	5.56	4.75	5.9	S	656
2573	FEELING (EMOTION)	Gefühl	2.21	6.15	3.11	5.69	5.68	3.3461538462	S	973
2578	PENCIL	Bleistift	0.5	3.6	2.15	6.38	4.08	6.6	S	320
2584	BENCH	Bank	-0.24	4.45	2.28	5.25	4.95	6.3461538462	S	660
2620	CARRIAGE	Wagen	1.06	3.9	2.11	5.25	5.48	5.7083333333	S	1023
2622	ENGINE	Motor	0.45	4.65	2.8	5.63	5.5	4.90909091	S	154
2623	FLAG	Fahne	-0.2	3.95	2	5.81	4.48	5.54545455	S	753
27	AIR	Luft	2.2	3.7	2.22	3.94	4.53	3.7777777778	S	637
2812	CRAB CLAW	Schere	0	4.8	2.5	5.75	4.83	5.95454545	S	970
2826	LIE (FALSEHOOD)	Lüge	-2.12	7.1578947368	4.06	4.5	6.38	2.3846153846	S	270
2872	IMPROVE (SOMETHING)	verbessern	0.94	5.15	2.89	6.38	5.28	2.5769230769	V	239
2883	DISTURB	stören	-1.65	6.2	3.43	5.19	5.92	3.8846153846	V	729
2892	MAKE ANGRY (ANNOY)	ärgern	-1.22	5.95	3.75	5.06	5.65	3.8	V	23
2971	SIN	Sünde	-0.27	7.45	3.69	4.81	6.18	2.95	S	401
2975	THOUGHT	Gedanke	1.5	3.55	2.61	6.19	5.43	1.7777777778	S	1008
2982	GIFT	Geschenk	2.3	4.6	3.47	5.81	5.23	5.8888888889	S	195
2996	WEALTH	Reichtum	1.5	5.05	3.35	5.69	6.72	4	S	368
3	BRAVE	mutig	2.2	6.1	3.32	6.06	7.79	4.11	A	673
300	RATTLE	Rassel	0.46	5.5	2.35	5.81	4.5	5.6	S	355
3001	POWERFUL	mächtig	0.71	5.75	3.12	5.13	7.08	3.45	A	335
307	HAWK	Falke	0.56	5.05	2.62	5.31	5.24	6.35	S	541
3084	BLACKBOARD	Tafel	0.2	3.8	1.88	6.5	4.92	5	S	669
3086	COMPUTER	Computer	0.53	4.3	2.42	6.13	5.45	6.6	S	557
3102	TANK	Panzer	-2.2	6.6	4.24	4	6.65	6.4444444444	S	618
3104	THERMOMETER	Thermometer	0.21	3.45	2.19	5.25	4.88	6.4	S	1007
3105	UMBRELLA	Regenschirm	0.13	3.9	2.08	5.75	4.4	6.6	S	584
3107	WHISTLE (INSTRUMENT)	Pfeife	0.4	3.8	2.45	5.19	4	5.5	S	1024
3204	INSULT	beleidigen	-1.93	6.7	3.62	4.94	4.3	3.619047619	V	913
3232	PELT	Pelz	-0.3	5	2.61	5.06	4.78	6.3333333333	S	191
3357	CUPBOARD	Schrank	0.27	2.85	1.77	5.81	5.52	6.14	S	680
3396	BUILDING	Gebäude	0.64	2.95	2.45	4.75	4.78	5.7619047619	S	555
342	HAY	Heu	0.47	3.25	2.19	5.94	3.75	6.3	S	783
3460	BEACH	Strand	2.1	3.95	1.74	5.5	5.91	6.05	A	39
3625	HEADACHE	Kopfschmerz	-2	6.15	3.73	3.88	6.25	4	S	215
3633	CURIOUS	neugierig	1.2	5.45	3.31	6.06	5.25	3.35	A	101
3688	MARSH	Sumpf	-0.8	5.2	2.21	4.44	4.63	6.1111111111	S	1000
369	OWE	schulden	-1.8	5.95	3.48	4.25	5.18	2.56	V	107
3729	LETTUCE	Salat	1.35	3.05	1.67	5.94	3.85	5.54545455	S	377
377	LOUD	laut	-0.27	5.65	4.27	5.38	6.55	3.45	S	900
3871	MURDERER	Mörder	-2.44	7.05	4.46	3.44	6.68	5.2380952381	S	258
3884	PATIENT	geduldig	1.13	3.1	1.62	6.5	6.1	3.0476190476	A	925
3897	NATURE	Natur	2.35	3.05	1.89	4.5	5.93	4.90909091	S	305
3900	CLUMSY	ungeschickt	-1.14	5	2.65	4.06	4.93	3	A	693
391	BLESS	segnen	1.3	3.6315789474	1.85	5.56	5.08	4.44	V	47
3948	SHOTGUN	Flinte	-0.52	5.4	3.64	5.25	6	6.25	S	974
3973	DEPRESSED	deprimiert	-1.75	5.95	3.23	4.94	4.05	3.8571428571	A	113
4023	VIOLIN	Geige	1.5	4.2	2.59	5.44	4.28	6.45	S	585
42	STINKING	stinkend	-1.87	6.35	3.27	4.19	5.8	2.95	A	177
45	EVIL	böse	-1.89	6.65	3.5	5.31	6.59	4.1428571429	A	742
467	CRAYFISH	Krebs	-1.86	6.75	3.42	3.38	6.25	5.95	S	65
474	DRESS	Kleid	0.67	4.55	2.56	5.69	4.15	6.48	S	140
487	SHY	schüchtern	-0.73	4.65	2.46	4.56	4.15	3.7619047619	A	447
497	SCAR	Narbe	-1.15	6.1	3.42	4.38	5.15	5.27272727	S	969
499	CURE	heilen	2	4.4	2.46	5.25	5.43	3.5	V	785
500	CRUEL	grausam	-2.2	7	3.89	4	7.07	3.78	A	97
503	FROG	Frosch	-0.09	3.6	2.82	6.25	3.88	6.05	S	187
504	LEARN	lernen	0.8	4.1	2.53	6.56	5.2	3.8571428571	V	266
586	GARDEN	Garten	1.8	2.85	1.61	6.69	4.45	5.81818182	S	761
590	NAKED	nackt	0.8	6.1	3.84	5.5	5.73	6	A	525
594	PIECE	Stück	0	3.85	2.31	4.94	4.6	3.95	S	823
597	PHYSICIAN	Doktor	0.8	5.65	3.43	4.5	5.38	5.13636364	S	136
602	HIDE (CONCEAL)	verstecken	-0.43	5.3	2.62	5.19	4.08	4.4761904762	V	219
604	GLASS	Glas	0.64	3.8	1.77	6.13	4.15	5.55	S	765
606	GRASS	Gras	0.77	3.3	1.59	5.25	4.65	5.82	S	768
615	HORSE	Pferd	1.18	4.35	3.09	4.69	4.8	6.27	S	226
620	INSECT	Insekt	-0.45	5.2	3	6.75	4.23	5.40909091	S	815
621	IRON	Eisen	0.2	4.5	2.27	5.56	5.23	5.2	S	570
624	LAKE	See	1.82	3.7	2.14	4.44	5.15	6.5384615385	S	264
625	LAMP	Lampe	0.85	3.0526315789	2.14	5.44	3.98	5.59090909	S	836
633	MARKET	Markt	0.8	4.35	2.38	5.69	4.58	6.2222222222	S	863
635	MILK	Milch	1.5	3.25	1.67	6.13	4.38	6.6666666667	S	873
639	MOUNTAIN	Berg	0.93	3.55	2.35	4.63	5.18	6.35	S	300
641	MUSHROOM	Pilz	-0.5	4.8	2.73	5.88	4.7	5.64	S	190
642	MUSIC	Musik	2.4	4.8	1.85	6.31	5.93	3.68181818	S	303
648	PAPER	Papier	0.13	3.25	2.04	6.19	4.18	5.8095238095	S	314
649	PASTURE	Weide	1.25	2.9	1.56	5	4.24	5.18181818	S	336
652	PLAIN	Feld	0.63	2.95	2	5	4.3	5.65	S	563
653	PLANT (VEGETATION)	Pflanze	1.5	2.85	2.23	5.63	3.93	6	S	327
655	POISON	Gift	-2.5	6.75	4	3.94	6.33	4	S	329
658	RAIN (PRECIPITATION)	Regen	0.32	4.85	2.06	3.75	5	6.7692307692	S	574
666	RIVER	Fluss	0.94	3.6	2.35	4.69	5.4	6.35	S	371
667	ROAD	Straße	0.18	4.2631578947	2.21	5.63	4.7	6.2083333333	S	422
668	ROCK	Fels	0.33	3.15	1.96	5.19	5.78	6.2	S	961
681	DESTROY	zerstören	-2.53	6.85	3.93	4.88	6.92	5.2692307692	V	118
683	PERSON	Person	0.5	4.4	2.06	5.06	5.06	4.04545455	S	322
686	EASY	einfach	0.67	3.35	1.77	5.88	3.85	2.3	A	736
698	WISE	weise	1.8	3	2.1	5.63	6.45	2.78	A	503
699	SAD	traurig	-2.1	5.65	2.83	4.56	4.21	4.67	A	376
701	SLOW	langsam	-0.67	3.15	1.88	5.69	4.35	3.2	A	977
704	CLEAN	sauber	1.5	4.2	2.06	5.94	4.75	4.67	A	1009
706	DARK	dunkel	-0.13	4.3	3.04	4	5.7	5.1904761905	A	717
712	RICH	wohlhabend	1.4	4.1052631579	2.38	5.81	6.24	3.7	A	494
717	SWEET	süß	1.67	4.7	2.69	5.63	4.24	3.35	A	103
720	GOOD LUCK	Glück	2.62	4.85	2.93	5.5	6.32	3.8076923077	S	665
722	ATTACK	Angriff	-2	7.45	4	4.94	6.58	4.5714285714	S	30
730	SNAKE	Schlange	-0.93	5.85	3.31	3.69	5.65	6.15	S	614
735	OWL	Eule	0.64	3.45	2.09	6	4.25	6	S	527
740	SHIP	Schiff	0.91	3.85	2.64	4.81	5.36	5.82	S	397
744	EGG	Ei	0.38	3.15	2.08	6	4.05	6.6	S	738
760	KNOT	Knoten	0	3.95	2.38	5.19	5	5.7	S	834
771	HAT	Hut	0	3.5	2.12	6.19	4.03	6.5	S	782
775	TRUMPET	Trompete	0.33	5.4	2.54	5.81	4.8	6.65	S	463
779	PART	Teil	0.38	3.65	1.89	5	4.43	3.5769230769	S	923
783	VICTORY	Sieg	2.2	6.2	3.72	6.56	6.6	4.4444444444	S	481
784	SNOW	Schnee	1.76	3	2.06	4.69	4.48	6.7307692308	S	581
785	STRONG	stark	1.7	5.45	3.58	6.31	6.78	3.67	A	424
789	PEOPLE	Leute	0.75	5	2.89	5.38	5.4	4.13636364	S	530
796	NIPPLE	Brustwarze	0.56	6.1	3.31	5.88	5.35	6.7	S	899
803	ANKLE	Knöchel	-0.07	3.95	2.35	5.44	4.4	5.95	S	643
812	SLAVE	Sklave	-2.2	7.05	4.32	4.94	6.5	5.27272727	S	407
819	STOMACH	Magen	0.5	4.45	2.43	5.44	4.88	5.7777777778	S	994
837	BLUE	blau	0.67	3.25	1.88	5.13	4.15	6.3	A	549
843	SPIDER	Spinne	-0.85	5.3	3.58	5.38	5.28	6.09090909	S	615
854	KETTLE	Kessel	0.04	4.1	3.32	5.31	6	5.85	S	830
858	STORM	Sturm	-0.1	6.85	4.1	3.88	6.65	6	S	996
859	STOVE	Ofen	1	3.95	2.18	5.38	5.32	5.36	S	997
862	SUGAR	Zucker	1	4.4	2.35	5.69	4.4	6.25	S	998
888	POISONOUS	giftig	-1.91	6.7	3.67	3.94	6.33	4	A	453
892	TIME	Zeit	0.13	4.3	2.35	4.56	6.15	2.95	S	446
90	INNOCENT	unschuldig	0.53	4.3	2.42	5.44	4.75	2.35	A	812
905	BORING	gelangweilt	-1.36	3.05	1.92	4.94	4.45	3.55	A	53
906	TREE	Baum	1.5	2.4210526316	1.5	5.06	5.08	6.6666666667	S	457
910	DEATH	Tod	-2.8	6.45	4.06	1.94	7.56	4.4444444444	S	106
917	ORNAMENT	Schmuck	1.3	4	2.56	5.56	4.85	5.7777777778	S	253
923	LOVE	Liebe	2.9	5.7	3.63	5.69	6.45	3.72727273	S	276
930	VILLAGE	Dorf	1.06	3.55	2.42	5.19	4.68	5.7619047619	S	483
935	WAR	Krieg	-2.9	7.25	4.57	3.25	7.65	5.4444444444	S	488
937	BIRD	Vogel	1.2	3.85	2.44	6.5	4.25	5.86363636	S	43
942	HONEY	Honig	1.8	3.3	1.56	4.75	4	5.68181818	S	791
948	WATER	Wasser	1.55	3.9	1.83	5.56	5.35	5.68181818	S	492
951	WEAPONS	Waffe	-2.35	7.1	4.24	4.69	7.15	5.13636364	S	495
962	WOMAN	Frau	1.4	4.5	2.5	5.81	5.54	6.5555555556	S	504
