CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_AOA_MEAN	CHINESE_FAMILIARITY_MEAN	CHINESE_IMAGEABILITY_MEAN	CHINESE_CONCRETENESS_MEAN	CHINESE_FREQUENCY_LOG	CHINESE_STROKE	LINE_IN_SOURCE
1446	COME	來	2.619047619		3.045454545	3.7	3.453711779	8	3410
1447	GIVE	給	2.666666667		4.090909091	3.85	2.622603595	12	1585
1448	HOLD	握	3.19047619		5	4.95	2.006345575	12	677
1449	RUB	擦	3.142857143		4.636363636	4.5	1.554428798	17	188
1452	PUSH	推	3		5.227272727	4.9	2.80107632	11	1578
1453	WASH	洗	2.095238095		5.045454545	5.3	2.127985167	9	1936
1455	PULL	拉	2.714285714		4.727272727	4.9474	2.857557228	8	1734
1456	THROW	扔	3.238095238		4.909090909	5.1579	0.958155199	5	1600
1457	SEW	縫	4.238095238		4.818181818	4.3	1.362687078	17	360
1458	SAY	說	2.857142857		4.545454545	4.3	3.254433145	14	1538
1460	IN	在	2.523809524		2.272727273	1.8	3.832084119	6	3595
1463	DRUNK	醉	4.380952381		5.227272727	5	1.832022642	15	88
1468	LOOK FOR	找	2.904761905		4.045454545	4.75	2.450833436	7	3819
1470	FOLD	折	3.904761905		3.545454545	3.75	2.029928944	7	3821
1471	WINTER	冬	2.047619048		5.619047619	5.15	2.011572626	5	3458
1473	FIST	拳	3.666666667		6.095238095	6.2	1.899871191	10	1012
1474	SEA	海	2.428571429		5.772727273	6.5789	3.002060439	10	1528
1480	BODY	身	2.333333333		5.727272727	5.3	3.228395478	7	4260
1483	NINE	九	1.4		4.045454545	4.3	2.907645659	2	3363
1484	OIL (ORGANIC SUBSTANCE)	油	2.857142857		5.909090909	5.9	2.544444577	8	2061
1486	PLANT (SOMETHING)	栽	4.15		4.181818182	4	1.110623413	10	1026
1487	POUR	澆	4		4.363636364	4.7	0.64152013	15	2967
1489	CLOUD	云	4.380952381		4.363636364	3.6	1.36016357	4	3373
149	ITCHY	癢	3.904761905		4.954545455	4.55	1.097849125	20	1204
1490	RAT	鼠	2.666666667		6.571428571	6.6316	1.72900721	13	4373
1492	DUMB	笨	3.19047619		3.909090909	3.6	1.156650568	11	171
1493	ONE	一	1		4.727272727	4.75	4.029181197	1	3328
1494	DIE	死	3.047619048		5.363636364	5.35	2.813674355	6	3931
1498	TWO	二	1		4.5	4.65	3.268679833	2	3371
1500	FOUR	四	1		4.272727273	4.4	3.224497593	5	3586
1506	MEASURE	丈	3.952380952		3.863636364	3.2	1.983702004	3	3331
1507	FRUIT	果	2.380952381		5.545454545	5.1	2.983364651	8	3904
1508	KING	王	2.380952381		4	3.65	2.779302519	4	4005
1515	TEN	十	1		4.454545455	4.45	3.409742993	2	3497
1518	STUPID	傻	3.666666667		4.636363636	3.9	1.213427704	13	3423
1519	RUN	跑	2.571428571		5.727272727	5.8	2.743882711	12	1977
152	HOOF	蹄	4.904761905		5.136363636	5.5	1.465693604	16	339
1530	BOWL	碗	3.047619048		5.954545455	6.4211	1.527735637	13	437
1531	BRANCH	丫	3.714285714		2.909090909	1.7895	0.959430661	3	3346
1533	BE HUNGRY	餓	2.619047619		5.136363636	5	1.293554096	16	445
1536	UNDERSTAND	懂	4.1		2	3.65	1.964243539	16	367
1537	SPRINGTIME	春	2.047619048		5.272727273	5	2.240790638	9	3864
1542	ACCOMPANY	陪	3.333333333		3.909090909	3.65	2.087920891	11	1797
1547	SOUP	湯	2.428571429		5.454545455	5.85	2.175639143	12	1905
1548	UGLY	丑	3.619047619		5.181818182	3.85	0.705429883	4	3337
1553	MALE	公	2.523809524		4.545454545	4.4	3.393015163	4	3442
1554	MAN	男	1.571428571		6.523809524	5.9	3.033100644	7	4025
1559	MONEY	錢	2.571428571		6.363636364	6.45	2.624039555	16	1601
156	RED	紅	1.904761905		5.363636364	5.45	2.728639008	9	1736
1560	FACE	臉	3.047619048		5.818181818	5.7	2.009421248	17	56
1564	LAZY	懶	3.666666667		4.727272727	4.35	1.47003856	19	89
157	DYE	染	4		4.272727273	3.95	2.220885398	9	3906
1571	SELL	賣	3.714285714		3.818181818	4.45	2.533309071	15	4250
1573	SWELL	腫	4.142857143		5.681818182	5.6	1.646522668	13	1866
1574	FLOAT	浮	4.15		4.954545455	4.6	1.755870697	10	248
1579	BE	是	2		2.318181818	2	3.834965442	9	3865
1580	ONLY	只	2.666666667		1.3	1.7895	3.158812606	5	3536
1585	SLEEP	睡	2.666666667		5.863636364	5.9	2.053837234	14	288
1586	SMELL (PERCEIVE)	聞	2.952380952		4.363636364	4.15	2.634848809	14	816
1590	WAIT (FOR)	等	3.095238095		4	4.05	3.171086626	12	4097
1592	CHEST	胸	3.476190476		5.952380952	6.05	1.979952328	10	2094
1593	DEEP	深	3.380952381		4.318181818	4.45	2.699862813	11	1847
1595	SOUTH	南	3		4.409090909	3.95	2.794758526	9	3507
1596	LOCK	鎖	3.619047619		6.19047619	5.85	2.03466714	18	1967
1598	NORTH	北	3		4.090909091	4.95	2.832551739	5	3493
1599	WORD	字	2		5.227272727	5.15	2.614507102	6	1171
1602	WAKE UP	醒	3.142857143		4.409090909	4.35	2.238318303	16	1696
1606	INSIDE	里	3.476190476		2.954545455	2.35	2.630551905	7	4292
1607	HATE	恨	4.047619048		3.909090909	3.55	1.662709429	9	757
1612	LETTER	信	2.857142857		5	4.4	2.979842981	9	3417
1616	CLOTH	布	2.571428571		6	5.6	2.72204543	5	3735
1620	SON	子	2.047619048		4.136363636	4.25	3.326813911	3	3655
1624	EMPTY	空	3.095238095		4.636363636	4.6	2.784020239	8	1219
1625	DEAD	亡	2.9		4.636363636	4.25	2.314349834	3	3381
163	BLACK	黑	2.238095238		5.727272727	5.95	2.662204729	13	4370
1631	FAST	快	2.904761905		4.409090909	4.4	2.778588488	7	1575
1633	FLAT	扁	3.666666667		4.909090909	4.75	1.201922542	9	3813
1634	HUNDRED	百	2.142857143		4.227272727	4.05	3.035779565	6	4038
1645	SHORT	短	2.428571429		4.318181818	4.75	2.534869087	12	1850
1652	INSTEAD	替	4.05		3.090909091	2.75	2.099697189	12	3882
1653	BLIND	瞎	4.523809524		4.772727273	4.95	0.289999142	15	2062
1655	BLINK	眨	3.666666667		4.636363636	4.6	0.540619634	10	2405
1657	TRUE	真	3		2.954545455	3.35	2.900557223	10	4056
1663	BED	床	2.19047619		5.954545455	6.5263	1.818669354	7	1196
1666	MUTE	啞	4.095238095		4.045454545	4.35	1.091318257	11	1846
1667	HOLE	洞	2.952380952		5.681818182	6	1.799772269	9	793
