CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_ACCURACY_PERCENTAGE	DUTCH_PREVALENCE	LINE_IN_SOURCE
100	FAITHFUL	trouw	0.995867768595041	1.89682347730688	46056
1002	STATUE	standbeeld	0.995901639344262	1.89731114254809	42389
1006	BRICK	baksteen	1	1.95996398454005	3487
1007	COW	koe	0.988636363636364	1.80171085661318	23469
1011	BRIDGE	brug	1	1.95996398454005	7459
1013	FRESHWATER EEL	paling	0.98406374501992	1.74907020663223	33420
1019	RIGHT	rechts	0.996212121212121	1.90180257372754	36839
1020	HANDKERCHIEF	zakdoek	1	1.95996398454005	52746
1025	WHISTLE	fluiten	0.996563573883162	1.90693342131544	14218
1030	NECESSARY	nodig	0.988549618320611	1.80066482342342	29877
1035	GOOD	goed	0.99581589958159	1.8960775493508	16906
1038	TEACHER	leraar	0.979674796747967	1.70273385505073	25561
1040	HAIR	haar	1	1.95996398454005	17666
1044	PILLOW	kussen	0.992481203007519	1.85019316122929	24547
1069	GLUE	lijmen	0.996108949416342	1.90030583467227	25924
1070	BUS	bus	0.996363636363636	1.9040083945599	7752
1088	SINK (DESCEND)	zinken	0.9875	1.78816122566811	53537
1098	WEIGH	wegen	1	1.95996398454005	51368
110	MOTOR	motor	0.991803278688525	1.84132620013723	28792
1100	COOK (SOMETHING)	koken	0.992395437262357	1.8490633259664	23601
1102	CLIMB	klimmen	1	1.95996398454005	23098
1111	CAR	auto	0.991735537190083	1.84044808575045	3126
1117	LIKE	lijken	0.992727272727273	1.85344793727556	25908
112	TURTLE	schildpad	0.988188976377953	1.79633694888769	39309
1120	HONEST	eerlijk	1	1.95996398454005	12325
1123	PREGNANT	zwanger	0.995867768595041	1.89682347730688	54099
1125	BALD	kaal	0.996402877697842	1.9045811994628	21648
1129	PAINFUL	pijnlijk	0.996309963099631	1.9032259372776	34427
1133	MATCH	lucifer	0.988929889298893	1.80526508602224	26496
1135	KICK	schoppen	0.996197718631179	1.90159337592032	39479
1136	RABBIT	konijn	0.996078431372549	1.89986391656232	23706
1146	AUBERGINE	aubergine	0.987179487179487	1.78439825543868	3077
1147	PURE	puur	0.995798319327731	1.89582496704706	36303
1150	THUNDER	donder	0.989130434782609	1.80770661881939	11071
1154	OLIVE	olijf	0.988805970149254	1.8037617998938	30422
1156	OPEN	openen	0.989010989010989	1.80625113471245	32151
1157	BECAUSE	omdat	0.995884773662551	1.89706825696033	30460
1168	HAWTHORN	meidoorn	0.951388888888889	1.46705493781172	27569
1171	MIRROR	spiegel	1	1.95996398454005	41758
1181	PALM TREE	palmboom	0.984905660377358	1.75840134010892	33435
119	DIVE	duiken	0.995867768595041	1.89682347730688	11922
1190	HARE	haas	0.992094861660079	1.84512221144128	17706
1193	STEAM	damp	0.98046875	1.71084692237279	9714
1198	MANY	veel	0.995901639344262	1.89731114254809	47408
1200	HUSBAND	echtgenoot	1	1.95996398454005	12170
1201	FEATHER	veer	0.992537313432836	1.85093361206433	47439
1202	BIG	groot	0.99604743083004	1.89941539115526	17499
1204	BARK	schors	0.975	1.65709633503402	39491
1206	BARKING	blaffen	0.99604743083004	1.89941539115526	6002
1207	YOUNG	jong	0.996268656716418	1.90262455879301	21475
