CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	PAVIO_NORMS	ENGLISH_IMAGEABILITY_MEAN	ENGLISH_FAMILIARITY_MEAN	LINE_IN_SOURCE
151	RAZOR	RAZOR	0	0.00	5.51	1701
1510	CHIN	CHIN	157	6.43	5.85	362
1511	ROOSTER	ROOSTER	0	0.00	4.25	1782
1512	RISE (ONESELF)	ARISE	0	3.16	4.49	119
152	HOOF	HOOF	428	6.37	4.20	1007
1524	WINE	WINE	918	6.60	6.36	2277
1525	COAST	COAST	171	6.13	5.94	401
1529	LAST (FINAL)	LAST	0	2.72	6.49	1188
1530	BOWL	BOWL	108	6.30	6.00	246
1531	BRANCH	LIMB	528	6.17	5.44	1226
1533	BE HUNGRY	HUNGRY	0	5.06	6.45	1029
1538	SCORPION	SCORPION	755	6.27	3.82	1826
1539	BASKET	BASKET	0	0.00	5.02	181
1544	SOMETIMES	SOMETIMES	0	1.94	6.33	1933
1548	UGLY	UGLY	0	5.06	6.21	2155
1552	GLOOMY	GLOOMY	0	4.22	5.27	900
1554	MAN	MAN	0	6.16	6.85	1284
1558	SIMILAR	SIMILAR	0	2.78	5.94	1887
1559	MONEY	MONEY	585	6.43	6.84	1350
156	RED	RED	0	6.00	6.73	1716
1561	ARMY	ARMY	50	6.53	6.20	123
1562	MIND	MIND	574	3.03	6.51	1328
1563	PYTHON	PYTHON	708	5.47	3.02	1667
1564	LAZY	LAZY	0	4.28	6.27	1197
1565	HEAVEN	HEAVEN	414	4.13	5.73	976
1567	DOOR	DOOR	264	6.60	6.60	608
1569	CHEESE	CHEESE	0	6.16	5.80	356
1570	EQUAL	EQUAL	0	2.74	6.31	691
1571	SELL	SELL	0	3.53	6.31	1842
1577	AND	AND	0	1.31	7.00	85
1579	BE	BE	0	1.91	6.87	183
1580	ONLY	ONLY	0	1.66	6.75	1462
1581	ALLIGATOR	ALLIGATOR	27	6.87	4.26	65
1583	BRAIN	BRAIN	110	5.93	6.31	248
1584	BLISTER	BLISTER	94	6.53	5.02	223
1585	SLEEP	SLEEP	0	5.34	6.80	1909
1590	WAIT (FOR)	AWAIT	0	2.38	4.96	155
1591	UP	UP	0	3.66	6.82	2172
1593	DEEP	DEEP	0	4.69	5.71	535
16	SLED	SLED	0	0.00	5.17	1908
1600	SKIRT	SKIRT	0	0.00	6.29	1903
1601	WEAK	WEAK	0	3.63	6.17	2242
1605	SKULL	SKULL	783	6.47	5.31	1904
1606	INSIDE	INSIDE	0	3.38	6.51	1096
1609	IDEA	IDEA	444	2.20	6.50	1043
161	MISS (A TARGET)	MISS	0	4.13	6.49	1337
1612	LETTER	LETTER	523	6.37	6.57	1213
1613	COLOR	COLOR	0	4.75	6.17	410
1614	SUMMIT	SUMMIT	0	5.63	4.40	2016
1620	SON	SON	0	5.81	6.47	1934
1623	SPEAK	SPEAK	0	4.90	6.61	1942
1624	EMPTY	EMPTY	0	4.38	6.26	671
1625	DEAD	DEAD	0	5.50	6.55	521
1627	CHAIN	CHAIN	0	0.00	5.17	343
1628	SQUIRREL	SQUIRREL	0	0.00	5.15	1958
163	BLACK	BLACK	0	6.09	6.61	217
1631	FAST	FAST	0	3.91	6.55	759
1635	OBEY	OBEY	0	3.13	5.78	1439
1638	TRUTH	TRUTH	869	2.73	6.45	2147
1641	SILK	FABRIC	314	5.60	5.17	737
1645	SHORT	SHORT	0	3.94	6.51	1877
1646	GIRL	GIRL	378	6.87	6.92	892
1648	ANVIL	ANVIL	0	0.00	3.42	100
1650	WATCH	WATCH	0	0.00	6.41	2238
1655	BLINK	BLINK	0	4.66	4.90	222
