NUMBER	ENGLISH	Imagery mean	Imagery SD	AOA mean	AOA_SD	Familiarity mean	Familiarity SD	Concreteness mean	Concreteness SD	Meaning uncertainty	Thorndike-Lorge frequency
128	bag	5.76	1.55	2.17	0.65	6.34	0.93	6.37	0.93	0.47	100
129	bagpipe	6.11	0.95	3.77	0.83	4.19	1.48	6.66	0.63	0	1
130	balance	4.35	1.61	3.67	1.03	5.45	1.07	3.69	1.69	1.78	50
131	ball	6.19	1.18	1.5	0.55	5.81	1.17	6.54	0.77	0.54	100
132	ballot	4.43	1.97	5.39	1.14	4.53	1.59	4.69	1.72	0	14
133	band	6.14	1.19	2.36	0.89	5.91	1.08	6.06	1.17	0.29	50
134	banker	5.64	1.65	3.92	0.83	5.03	1.43	5.97	1.44	0	27
135	barb	4.54	1.95	5.28	1.07	3.02	0.83	5.51	1.4	0	2
136	bargain	5.11	1.98	3.94	0.97	5.52	1.2	4.06	1.72	0	35
137	barn	5.95	1.39	2.89	0.66	4.66	1.49	6.49	0.97	0	45
138	baron	4.97	1.28	4.72	1.04	3.48	1.51	5.34	1.65	0	27
139	barrel	6.06	1.33	3.19	0.81	4.64	1.43	6.31	1.06	0	32
140	base	4.38	1.84	3.69	1.08	5.52	1.36	4.57	1.95	1.91	100
141	basin	5.78	1.47	2.5	0.69	5.72	1.2	6.4	1.05	0	25
142	bath	6.3	1.25	1.72	0.65	6.18	1.2	6.4	1.05	0.54	46
143	bay	5.76	1.32	3.36	0.98	4.74	1.51	6.11	1.06	1.1	100
144	bayonet	5.54	1.52	5	1.49	2.93	1.15	6.34	0.98	0	9
145	beam	5.75	1.32	3.94	0.91	4.58	1.25	5.23	1.33	1.45	42
146	beast	5.54	1.39	3.19	1.05	4.45	1.39	5.94	1.12	0	50
147	beau	4	2.13	6.11	0.78	2.42	1.3	4.29	1.78	0	5
148	beauty	5.05	1.69	3.44	0.9	5.44	1.29	3.31	1.95	0	100
149	bed	6.59	0.79	1.69	0.74	6.83	0.45	6.31	1.24	0.17	100
150	bedroom	6.35	1.02	2.06	0.71	6.46	0.88	6.51	0.91	0	35
151	beehive	5.78	1.47	3.44	1.09	3.98	1.37	6.46	0.81	0	1
152	beggar	5.81	1.29	3.64	0.82	3.75	1.31	5.63	1.4	0	29
153	beginning	3.65	1.7	3.11	0.66	5.93	1.1	3.14	1.64	0	44
154	behaviour	3.57	1.7	4	1.03	5.73	1.06	2.89	1.58	0	18
155	being	3.19	1.87	3.83	1.04	5.85	1.31	3.14	1.81	1.13	100
156	belief	3.59	1.9	4.47	0.99	5.54	1.28	2.65	1.64	0	39
157	beloved	4.62	1.98	4.53	1.09	4.06	1.45	3.57	1.71	0	25
158	bench	5.61	1.4	3.11	0.61	4.88	1.25	6.49	0.94	0.55	46
159	benefactor	3.51	1.87	6	0.82	3.56	1.18	4.63	1.76	0	4
160	benzene	4.24	2.16	6.75	0.43	3.18	1.76	5.6	1.46	0	1
161	bequest	3	1.83	6	0.85	3.16	1.23	3.49	1.54	0	1
162	berry	5.81	1.43	2.89	0.88	4.51	1.53	6.17	1.13	0	29
163	besieger	3.41	1.79	5.92	1.06	2.55	1.04	4.54	1.83	0	2
164	bet	4.59	1.53	3.64	0.79	5.27	1.25	4.11	2.04	0	23
165	betrayal	3.35	1.96	4.92	1.14	4.04	1.32	2.54	1.42	0	1
166	betterment	3.16	1.42	5.69	0.99	2.93	1.18	2.6	1.52	0	2
167	bewilderment	4.13	1.99	5.22	0.95	4.21	1.32	2.6	1.31	0	4
168	bid	4	1.63	4.25	0.83	4.73	1.19	3.66	1.9	1.23	50
169	bill	5.08	1.67	4.06	0.85	5.39	1.32	5.37	1.69	0.99	100
170	bin	5.68	1.53	1.92	0.72	5.8	1.2	6.31	1.04	0	6
171	bird	6	1.25	2.06	0.66	6.09	1.06	6.53	0.78	0.29	100
172	birth	5.46	1.72	3.28	1.24	5.03	1.34	4.8	1.65	0	50
173	bite	5.59	1.36	2.14	0.54	5.93	1.2	5.31	1.43	0	33
174	bitterness	3.84	1.7	4.97	1.12	4.3	1.19	2.6	1.66	0.95	14
175	blade	5.65	1.42	3.44	0.72	5.2	1.33	6.14	1.1	0.47	32
176	blame	3.62	1.71	3.28	0.73	5.41	1.14	2.86	1.53	0	50
177	blanket	6.19	1.16	2.11	0.66	5.7	1.23	6.54	0.77	0.46	30
178	bleachers	3.11	2.13	5.86	1.11	2.34	0.89	4.34	1.82	0	1
179	blessing	3.97	1.64	3.92	1.09	4.65	1.39	3	1.72	0	29
180	block	4.89	1.86	2.44	1.04	5.44	1.22	5.86	1.1	1.68	50
181	blood	6.65	0.67	2.53	0.83	5.9	1.04	6.29	0.91	0	100
182	bloom	5.08	1.51	4.03	0.83	4.17	1.45	5.46	1.32	0.17	35
183	bluebell	6.11	1.33	3.03	0.76	4.16	1.63	6.57	1.08	0	1
184	blush	5.43	1.41	3.78	0.82	5.36	1.12	4.83	1.5	0	27
185	boast	4.22	1.66	3.78	0.75	4.91	1.22	2.89	1.41	0	37
186	boatswain	3.49	2.01	5.78	1.03	2.3	1.04	5.69	1.54	0	2
187	body	6.43	0.89	2.67	0.85	6.27	0.99	6.2	1.06	0.65	100
188	boldness	3.61	1.8	4.61	1.01	3.99	1.12	2.74	1.24	0	5
189	bolt	5.14	1.7	3.69	0.97	4.26	1.47	6.11	1.06	1.46	27
190	bond	3.86	1.63	4.91	0.94	4.54	1.49	4.11	1.92	0.98	50
191	book	6.05	1.39	2.14	0.64	6.77	0.49	6.57	0.77	0.17	100
192	boot	6.35	0.99	2.51	0.65	5.85	1.24	6.49	0.81	0.45	37
193	booth	4.43	1.73	5.08	0.86	3.7	1.33	5.69	1.45	0	15
194	border	4.59	1.57	4.17	0.87	4.89	1.22	4.57	1.73	0.91	50
195	bosom	5.73	1.37	4.89	0.94	3.98	1.36	5.97	1.11	0	27
196	bother	3.75	2.06	3.22	0.85	5.83	1.2	2.57	1.5	1.67	30
197	boundary	4.41	1.72	4.72	0.87	4.81	1.15	4.2	1.79	0	24
198	bow	5.65	1.6	2.71	0.56	4.81	1.34	5.89	1.17	2.1	50
199	bowl	5.73	1.41	2.56	0.72	5.65	1.37	6.31	1.06	0.77	50
200	box	5.81	1.47	1.92	0.6	6.1	1.25	6.31	1.04	0.47	100
201	brain	5.84	1.53	3.47	0.99	5.86	0.95	5.71	1.6	0	50
202	branch	5.54	1.48	3.03	0.64	5.29	1.25	6.14	1.12	0.66	100
203	brass	5.38	1.48	4.14	1	4.47	1.38	6.2	1.17	0.65	32
204	brawl	4.59	1.6	4.94	0.88	3.89	1.11	4.43	1.38	0	5
205	breakfast	5.92	1.28	2.33	0.53	6.57	0.78	6.06	0.92	0	50
206	breath	4.59	1.73	3.31	0.84	5.92	1.02	4.79	1.45	0	50
207	breeze	5.61	1.53	3.51	0.87	5.09	1.27	4.91	1.71	0	29
208	brick	5.78	1.58	2.61	0.79	5.18	1.34	6.54	0.87	0.17	49
209	bridge	6.14	1.04	2.89	0.81	5.61	1.17	6.6	0.72	0.83	100
210	brigand	3.38	1.94	5.89	1.26	2.7	1.17	4.8	1.8	0	2
211	brim	5.16	1.46	3.94	0.81	4.3	1.28	5.31	1.51	0	13
212	bristle	5.68	1.4	3.83	0.93	4.61	1.38	5.86	1.07	1.46	11
213	broadbrim	2.78	1.85	6.39	0.95	2.17	0.93	4.31	1.86	0	1
214	brocade	4.22	2.18	5.92	1.04	2.98	1.26	5.66	1.15	0	3
215	brook	6.03	1.15	3.75	0.83	3.84	1.33	6.46	0.73	0	50
216	brother	6.03	1.24	2.19	0.62	5.9	1.03	5.94	1.29	0	100
217	brownie	5.59	1.4	3.81	0.88	3.86	1.33	5.6	1.38	0.55	6
218	brush	5.89	1.35	2.14	0.67	6.04	1.21	6.43	1.02	1.88	50
219	bubble	5.97	1.17	2.72	0.84	4.85	1.5	6.14	1.1	0.17	28
220	bud	5.68	1.34	3.31	0.7	4.49	1.33	6.2	1.24	0	30
221	budget	4	1.74	4.97	0.96	5.17	1.2	3.69	1.62	0	19
222	buffer	4.65	1.73	5.53	1.42	4.02	1.33	5.31	1.53	1.21	1
223	building	5.41	1.5	3	0.71	6.17	0.85	6.03	1.11	0	100
224	bulldog	5.89	1.39	3.94	0.92	3.7	1.4	6.63	0.68	0	1
225	bunch	5.05	1.68	3.17	0.65	5.07	1.23	5.14	1.44	0	32
226	burden	5.05	1.33	4.74	0.84	4.46	1.24	3.97	1.63	0	50
227	bureau	5.03	1.72	4.61	1.06	3.95	1.3	5.74	1.48	1.24	44
228	burial	5.5	1.32	4.46	0.94	4	1.24	4.94	1.51	0	14
229	burn	5.86	1.25	2.17	0.9	5.58	1.3	5.14	1.66	1.3	100
230	bush	5.87	1.4	2.56	0.72	5.47	1.18	6.2	1.01	0	50
231	business	3.62	1.68	4.36	0.85	5.61	0.96	3.71	1.69	1.4	100
232	butter	6.43	1.17	2.06	0.66	6.55	0.72	6.71	0.56	0	100
233	button	6.11	1.52	1.92	0.59	5.91	1.25	6.57	0.77	0.55	39
234	bylaw	2.76	1.65	5.72	0.84	3.43	1.35	3.66	1.79	0	1
235	cabinet	5.3	1.45	3.83	0.93	4.72	1.26	6.26	1	0.85	26
236	cache	3.09	1.96	6.14	1	2.59	0.99	4.74	1.85	0	1
237	cage	5.62	1.65	3	1.03	4.7	1.52	6.26	1.13	0.29	30
238	cake	6.24	1.02	2.14	0.75	6.02	1.14	6.71	0.51	0.17	50
239	calculus	4.41	2.26	6.89	0.31	3.64	1.67	3.29	1.83	0	1
240	call	4.03	1.72	2.25	0.68	6.29	0.95	4	1.62	0.73	100
241	calmness	4.43	1.78	4.53	0.93	4.52	1.3	3.11	1.41	0	3
242	camp	5.95	1.45	3.08	0.89	4.85	1.36	5.94	0.92	0.88	100
243	canal	5.94	1.47	3.5	0.8	4.64	1.52	6.31	1.06	0	48
244	candidate	4.38	1.65	5.78	0.82	4.66	1.21	4.97	1.62	0	45
245	candlelight	6.05	1.06	4.19	1.05	4.39	1.39	5.2	1.24	0	2
246	canoe	6.08	1.24	3.94	0.74	4.41	1.31	6.6	0.68	0	32
247	canteen	5.59	1.48	4.36	1	4.82	1.48	6.2	0.89	0.55	2
248	capital	4.81	1.52	3.8	0.95	5.47	1.17	4.03	1.76	0.93	50
249	capitulate	2.68	1.63	6.47	0.8	3.11	1.26	2.6	1.42	0	2
250	car	6.49	0.83	1.97	0.6	6.5	0.76	6.69	0.75	0	100
251	carbohydrate	4.67	2.04	6.11	0.91	4.61	1.77	4.29	1.92	0	4
252	career	4.24	1.78	5.14	1.13	5.89	0.9	3.77	1.73	0	44
253	carelessness	3.41	1.82	4.19	1.15	4.93	1.49	2.43	1.42	0	7
254	carnage	3.57	2.03	6.28	1.1	2.98	1.02	3.8	1.51	0	1
255	carriage	5.35	1.46	3.67	0.94	4.36	1.39	6.06	0.98	0.97	46
256	cart	6.03	1.17	2.58	0.59	4.54	1.43	6.06	1.55	0.54	27
257	cartilage	4.27	2.16	5.92	0.86	3.96	1.55	5.49	1.7	0	1
258	case	5.39	1.7	3.11	0.66	5.61	1.22	6.11	1.33	0.87	100
259	casque	2.86	1.82	6.11	0.87	2.65	1.04	5.23	1.91	0	1
260	castor	4.35	2.08	4.53	1.01	3.65	1.45	5.6	1.78	1.46	2
261	catastrophe	4.41	1.9	5.25	0.83	4.28	1.26	3	1.29	0	7
262	catfish	5.16	1.68	4.11	0.91	3.54	1.37	6.63	0.64	0	2
263	cattle	6.38	1	2.61	1.03	5.46	1.11	6.54	0.94	0	50
264	cause	2.97	1.69	4.08	0.68	5.8	1.09	2.71	1.45	0	100
265	cavern	5.54	1.31	4.33	1	4	1.27	5.59	1.44	0	13
266	cedar	5.22	1.56	4.25	0.95	3.81	1.31	6.43	1.05	0	17
267	cellar	5.92	1.44	3.61	1.14	4.3	1.52	6.2	1.01	0	32
268	cent	4.57	1.64	4.33	0.94	4.07	1.43	5.69	1.55	0	100
269	century	4.08	1.92	4.14	1.03	5.05	1.36	3.03	1.48	0	100
270	ceremony	5.22	1.49	4.19	0.78	4.82	1.3	4.34	1.43	0	25
271	certificate	5.35	1.6	4.39	1.03	4.88	1.26	5.4	1.87	0	12
272	chain	5.81	1.35	3.11	0.87	5.3	1.35	6.23	1.2	0.75	50
273	challenge	4.08	1.76	4.56	0.76	5.15	1.14	3.03	1.62	1.4	25
274	champion	5.14	1.44	3.61	0.92	5.07	1.04	4.74	1.78	0.45	36
275	channel	5.14	1.54	4.11	0.87	4.82	1.27	5.51	1.18	0.71	35
276	chapel	5.65	1.38	3.61	1.06	4.57	1.35	6.09	1.13	0	25
277	character	3.78	1.78	4.64	0.89	5.51	1.33	3.68	1.87	1.13	100
278	charity	4.51	1.67	4.33	0.75	5.18	1.08	3.77	1.74	0.93	36
279	charm	4.57	1.73	4.56	0.98	5.01	1.23	3.56	1.7	1.77	50
280	chassis	3.92	2.2	5.89	1.1	3.27	1.54	5.89	1.41	0	1
281	chatterbox	5.22	1.53	3.14	0.95	4.39	1.48	4.94	1.43	0	1
282	cheek	5.67	1.58	2.67	1.03	5.33	1.33	5.94	1.64	0.85	50
283	cheese	6.32	1.09	2.11	0.61	6.33	1.08	6.66	0.63	0	45
284	cherry	6.03	1.28	3.17	0.65	4.86	1.33	6.6	0.72	0	35
285	chicken	6.36	0.92	2.5	0.8	5.3	1.15	6.74	0.6	0.66	50
286	childhood	4.95	1.61	3.72	0.87	5.15	1.32	3.34	1.82	0	27
287	chili	4.46	1.95	6.06	0.94	3.12	1.36	6.17	1.3	0	1
288	chink	4.35	1.76	4.58	1.12	3.93	1.26	4.77	1.46	1.95	7
289	chlorine	4.86	2	5.86	0.92	4.33	1.56	6.23	1.22	0	3
290	chop	5.81	1.39	3.17	0.83	4.87	1.48	5.83	1.48	1.12	29
291	chow	3.32	2	5.61	1.34	2.98	1.14	4.56	1.93	0	1
292	chrome	4.97	1.6	5.28	0.93	3.85	1.3	5.83	1.34	0	1
293	chronology	2.97	1.92	6.31	0.97	3.02	1.1	2.56	1.56	0	1
294	church	6.27	1.11	2.78	0.71	5.67	1.24	6.31	0.95	0	100
295	cider	6.32	1.04	4.31	0.84	5.07	1.25	6.63	0.48	0	5
296	circle	5.84	1.52	2.14	0.63	6.01	1.15	5.17	1.83	0.47	100
297	circuit	4.54	2.02	4.94	1.05	4.53	1.38	5	1.49	1.56	21
298	circumstance	2.16	1.17	5.19	0.84	5.14	1.24	2.37	1.27	0	50
299	civilization	4.43	1.6	5.03	0.84	4.91	1.18	3.63	1.62	0	35
300	claim	3.38	1.88	4.17	0.87	5.35	1.22	3.29	1.72	1.17	100
301	clamour	3.68	1.69	5.61	1.14	3.51	1.18	3.54	1.61	0	14
302	clash	4.62	1.71	4.22	1.06	4.88	1.32	4.06	1.69	1.96	12
303	clasp	4.62	1.75	3.92	0.89	4.41	1.21	5.18	1.52	1.37	27
304	clay	5.81	1.33	3.58	0.92	4.55	1.4	6.4	0.99	0	43
305	clearance	3.25	2.01	5.47	1.04	4.18	1.39	3.26	1.63	0	1
306	cleaver	4.84	2.01	5.61	1.14	3.57	1.09	5.5	1.56	0	1
307	clever	4.14	1.89	3.33	0.88	5.54	1.45	2.57	1.63	0	33
308	cliff	6.05	1.09	3.22	0.82	4.79	1.39	6.23	0.99	0	38
309	clink	4.78	1.82	3.92	1.04	3.82	1.46	4.71	1.67	0.86	4
310	close	4.35	2.08	2.83	0.73	5.7	1.17	3.97	1.87	1.41	100
311	clothes	6.35	1.1	1.94	0.74	6.52	0.81	6.34	1.01	0	100
312	clove	4.76	1.91	5	1.33	3.66	1.47	6.34	0.83	0	8
313	coach	6	1.23	3.14	0.82	5.05	1.42	6.46	0.81	1.42	42
314	coal	5.87	1.4	2.78	0.85	5.2	1.29	6.43	0.93	0	100
315	coat	6.05	1.37	1.97	0.69	6.46	0.91	6.49	0.69	0.17	100
316	cock	5.92	1.26	3.14	0.95	4.34	1.37	6.46	0.8	0.78	37
317	coffee	6.42	0.89	2.92	1.11	6.61	0.9	6.4	0.8	0	50
318	coffer	3.08	1.79	6.03	1.14	2.79	1.2	5.59	1.26	0	3
319	coif	2.08	1.95	6.94	0.23	1.57	0.78	4.31	1.96	0	1
320	cold	5.7	1.5	1.83	0.69	6.6	0.65	4.49	1.79	0.83	100
321	collection	4.25	1.69	4.28	1.02	5.38	0.96	4.11	1.63	0	47
322	collegiate	2.22	1.34	6.53	0.99	2.17	1.18	3.83	1.63	0	1
323	cologne	5.92	1.1	4.94	1.35	4.07	1.6	6.06	1.01	0.67	5
324	colouration	4.41	1.6	5.61	1.11	3.1	1.13	4.09	1.73	0	1
325	column	4.97	1.72	4.36	1.11	5.19	1.31	5.43	1.48	1.51	49
326	combination	3.32	1.71	4.75	0.86	4.93	1.23	3.23	1.4	0.63	40
327	comestible	1.89	1.67	6.64	0.82	1.52	0.72	3.18	1.68	0	11
328	commander	4.84	1.68	4.56	0.86	4.09	1.3	5.34	1.55	0	32
329	commencement	2.97	1.73	5.5	0.8	4.07	1.28	2.86	1.33	0	4
