CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_HAPPINESS_MEAN	SPANISH_DISGUST_MEAN	SPANISH_ANGER_MEAN	SPANISH_FEAR_MEAN	SPANISH_SADNESS_MEAN	SPANISH_POS	LINE_IN_SOURCE
1502	GOAT	cabra	2.5000	1.4000	1.4000	1.3500	1.3000	NOUN	1472
1503	SALIVA	saliva	1.8500	2.5500	1.0500	1.2500	1.2000	NOUN	8966
1506	MEASURE	medir	1.7500	1.2500	1.4000	1.2000	1.2500	VERB	6416
1507	FRUIT	fruta	3.6500	1.0500	1.0000	1.0000	1.0000	NOUN	4625
1511	ROOSTER	gallo	1.9000	1.8000	1.5500	1.3000	1.1500	NOUN	4697
1521	SEEM	parecer	1.9500	1.2500	1.6500	1.6500	1.2500	NOUN	7292
1529	LAST (FINAL)	último	1.3500	1.3500	2.6500	2.0000	2.0000	ADJECTIVE	10064
1547	SOUP	caldo	2.5000	1.1000	1.0000	1.0000	1.0500	NOUN	1515
1553	MALE	varón	2.8000	1.0500	1.2500	1.4000	1.0500	NOUN	10185
1569	CHEESE	queso	3.4000	1.4000	1.4500	1.0500	1.0000	NOUN	8229
1571	SELL	vender	2.3500	1.0500	1.3500	1.4500	1.6500	VERB	10227
1574	FLOAT	flotar	2.5500	1.3500	1.2000	1.3000	1.1500	VERB	4499
1576	PILE UP	amontonar	1.5500	1.9500	2.1000	2.1500	1.8000	VERB	520
1586	SMELL (PERCEIVE)	oler	2.6500	1.9000	1.3000	1.0000	1.1500	VERB	7049
1591	UP	arriba	2.8000	1.0000	1.2000	1.2000	1.2500	ADVERB	833
1592	CHEST	pecho	2.2000	1.1500	1.2500	1.1000	1.4000	NOUN	7392
1594	FLOUR	harina	1.9500	1.2500	1.0500	1.1500	1.1000	NOUN	4951
1595	SOUTH	sur	3.7500	1.0500	1.3500	1.1500	1.5500	NOUN	9538
1598	NORTH	norte	2.5500	1.0500	1.1000	1.1000	1.0500	NOUN	6902
1599	WORD	palabra	2.4000	1.1000	1.5500	1.1500	1.2000	NOUN	7207
1602	WAKE UP	despertar	2.8500	1.7500	2.0500	1.4500	1.4500	VERB	3154
1604	TEMPLES	sien	1.4700	1.4000	1.4200	1.2100	1.3000	NOUN	9187
1608	LISTEN	escuchar	2.6000	1.0000	1.1000	1.2500	1.2500	VERB	3908
