CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_FREQUENCY	SPANISH_FREQUENCY_PM	SPANISH_FREQUENCY_LOG
304	PREACH	predicar	4	1.2602	0.6990
3072	MISPLACE	perder	211	66.4776	2.3263
3078	IRRIGATE	regar	5	1.5753	0.7782
3080	SPLIT OPEN	rajar	1	0.3151	0.3010
3083	BALLOON	globo	45	14.1777	1.6628
3084	BLACKBOARD	pizarra	41	12.9175	1.6232
3085	CARROT	zanahoria	11	3.4657	1.0792
3086	COMPUTER	ordenador	109	34.3415	2.0414
3087	PACIFIER	chupete	9	2.8355	1.0000
3088	ENVELOPE	sobre	3687	1161.6257	3.5668
3090	GUITAR	guitarra	83	26.1500	1.9243
3091	LEMON	limón	42	13.2325	1.6335
3092	LIGHTER	mechero	11	3.4657	1.0792
3093	LIPSTICK	pintalabios	1	0.3151	0.3010
3094	PAINTBRUSH	brocha	3	0.9452	0.6021
3095	POSTMAN	cartero	4	1.2602	0.6990
3096	RACKET	raqueta	13	4.0958	1.1461
3099	SOFA	sillón	19	5.9861	1.3010
31	PAN	sartén	7	2.2054	0.9031
3101	SWING	columpio	16	5.0410	1.2304
3102	TANK	tanque	14	4.4108	1.1761
3104	THERMOMETER	termómetro	8	2.5205	0.9542
3105	UMBRELLA	paraguas	55	17.3283	1.7482
3106	WARDROBE	armario	62	19.5337	1.7993
3108	BOX (SOMEBODY OR SOMETHING)	boxear	2	0.6301	0.4771
3110	CLAP	aplaudir	21	6.6163	1.3424
3111	CONDUCT	dirigir	56	17.6434	1.7559
3113	FILE (SOMETHING)	archivar	1	0.3151	0.3010
3118	IRON (CLOTHES)	planchar	10	3.1506	1.0414
3120	MOP (SOMETHING)	fregar	11	3.4657	1.0792
3121	OPERATE (MEDICINE)	operar	29	9.1367	1.4771
3122	PAINT (SOMETHING)	pintar	40	12.6024	1.6128
3126	POST (SOMETHING)	enviar	49	15.4379	1.6990
3128	SHOWER (ACTION)	ducharse	7	2.2054	0.9031
3129	SKATE	patinar	3	0.9452	0.6021
3130	SPILL (SOMETHING)	tirar	136	42.8481	2.1367
3135	VACUUM (SOMETHING)	aspirar	17	5.3560	1.2553
3137	OAR	paddle	2	0.6301	0.4771
3138	STRAWBERRY	fresa	10	3.1506	1.0414
315	CURASSOW	pavo	18	5.6711	1.2788
316	PACA	paca	2	0.6301	0.4771
317	PIRANHA	caribe	33	10.3970	1.5315
318	FOOTPRINT	huella	13	4.0958	1.1461
3187	DROWNED	ahogado	5	1.5753	0.7782
3199	TWIST (AROUND)	torcer	4	1.2602	0.6990
32	EARWAX	cerumen	1	0.3151	0.3010
3217	TIN OR TINPLATE	estaño	6	1.8904	0.8451
323	FAT (ORGANIC SUBSTANCE)	grasa	22	6.9313	1.3617
325	FELT	fieltro	5	1.5753	0.7782
326	CLOAK	capa	58	18.2735	1.7709
3306	NAIL	clavar	4	1.2602	0.6990
3351	STOP DOING	parar	130	40.9578	2.1173
3405	RULER	regla	60	18.9036	1.7853
344	TREE TRUNK	tronco	21	6.6163	1.3424
345	SAP	savia	6	1.8904	0.8451
3462	FLAX OR LINEN	lino	12	3.7807	1.1139
353	STRIKE	golpear	5	1.5753	0.7782
356	SHEARS	tijeras	3	0.9452	0.6021
357	HANG UP	colgar	11	3.4657	1.0792
359	POTTER	alfarero	3	0.9452	0.6021
365	SPLASH	salpicar	2	0.6301	0.4771
3653	COOKING POT	olla	14	4.4108	1.1761
3654	TAKE OUT	sacar	305	96.0933	2.4857
3659	POLISH (SOMETHING)	pulir	2	0.6301	0.4771
367	RIDE	montar	55	17.3283	1.7482
3675	ZEBRA	cebra	5	1.5753	0.7782
369	OWE	deber	39	12.2873	1.6021
371	PICK UP	recoger	89	28.0403	1.9542
380	WRINKLED	arrugado	3	0.9452	0.6021
387	SLING	honda	29	9.1367	1.4771
388	FISHNET	red	96	30.2457	1.9868
389	FISH TRAP	nasa	14	4.4108	1.1761
390	PUNISHMENT	castigo	72	22.6843	1.8633
391	BLESS	bendecir	2	0.6301	0.4771
394	SHAMAN (FOLK HEALER)	curandero	7	2.2054	0.9031
399	PLANTAIN	plátano	10	3.1506	1.0414
411	GOURD	calabaza	1	0.3151	0.3010
420	FOREST	bosque	31	9.7669	1.5051
43	LEAD (GUIDE)	guiar	5	1.5753	0.7782
441	CHICHA	chicha	1	0.3151	0.3010
446	LOWER ARM	antebrazo	2	0.6301	0.4771
474	DRESS	vestido	94	29.6156	1.9777
478	LIP	labio	7	2.2054	0.9031
479	GROW	crecer	43	13.5476	1.6435
48	BE SILENT	callarse	8	2.5205	0.9542
480	PLATE	plato	44	13.8626	1.6532
482	NOBLE	noble	30	9.4518	1.4914
484	CONDEMN	condenar	10	3.1506	1.0414
485	DISAPPEAR	desaparecer	42	13.2325	1.6335
489	KIDNEY	riñón	27	8.5066	1.4472
490	DESCENDANTS	descendientes	12	3.7807	1.1139
492	THREE	tres	3783	1191.8715	3.5780
493	FIVE	five	1	0.3151	0.3010
496	CUCUMBER	pepino	1	0.3151	0.3010
497	SCAR	cicatriz	6	1.8904	0.8451
498	CALF OF LEG	pantorrilla	2	0.6301	0.4771
501	LIFT	levantar	60	18.9036	1.7853
502	NAIL (TOOL)	clavo	34	10.7120	1.5441
503	FROG	rana	13	4.0958	1.1461
504	LEARN	aprender	175	55.1355	2.2455
505	PARENTS	padres	834	262.7599	2.9217
506	MAIZE	maíz	15	4.7259	1.2041
509	CERTAIN	seguro	630	198.4877	2.8000
52	SHIVER	temblar	2	0.6301	0.4771
522	WOLF	lobo	38	11.9723	1.5911
526	HOWL	aullar	1	0.3151	0.3010
539	NEST	nido	11	3.4657	1.0792
568	RISE (MOVE UPWARDS)	ascender	9	2.8355	1.0000
571	STING	picar	11	3.4657	1.0792
575	TREAD	pisar	15	4.7259	1.2041
576	DANDRUFF	caspa	10	3.1506	1.0414
578	KISS	besar	16	5.0410	1.2304
582	LEND	prestar	22	6.9313	1.3617
584	DIFFICULT	difícil	949	298.9918	2.9777
585	BOOT	bota	17	5.3560	1.2553
587	ANT	hormiga	1	0.3151	0.3010
588	BROKEN	quebrado	3	0.9452	0.6021
590	NAKED	desnudo	55	17.3283	1.7482
592	PISS	orinar	1	0.3151	0.3010
593	POTATO	papa	74	23.3144	1.8751
596	POSTAGE STAMP	sello	31	9.7669	1.5051
6	EARTHQUAKE	terremoto	19	5.9861	1.3010
601	LIE (MISLEAD)	mentir	28	8.8217	1.4624
602	HIDE (CONCEAL)	esconder	14	4.4108	1.1761
604	GLASS	cristal	46	14.4928	1.6721
605	GRAIN	grano	36	11.3422	1.5682
606	GRASS	hierba	19	5.9861	1.3010
607	GRASSHOPPER	saltamontes	1	0.3151	0.3010
610	PORT	puerto	100	31.5060	2.0043
615	HORSE	caballo	108	34.0265	2.0374
617	ICE	hielo	99	31.1909	2.0000
619	ANIMAL	animal	108	34.0265	2.0374
620	INSECT	insecto	3	0.9452	0.6021
621	IRON	hierro	97	30.5608	1.9912
622	ISLAND	island	3	0.9452	0.6021
623	LAGOON	laguna	67	21.1090	1.8325
624	LAKE	lago	42	13.2325	1.6335
625	LAMP	lámpara	15	4.7259	1.2041
627	LEAD (CHEMICAL ELEMENT)	plomo	25	7.8765	1.4150
628	LEAF	hoja	57	17.9584	1.7634
630	LIGHT (RADIATION)	luz	341	107.4354	2.5340
632	LIZARD	lagartija	1	0.3151	0.3010
633	MARKET	mercado	359	113.1065	2.5563
635	MILK	leche	213	67.1078	2.3304
636	MILL	molino	17	5.3560	1.2553
638	MOTORCYCLE	motocicleta	6	1.8904	0.8451
639	MOUNTAIN	mountain	1	0.3151	0.3010
64	PIN	alfiler	11	3.4657	1.0792
640	MUD	lodo	1	0.3151	0.3010
641	MUSHROOM	seta	2	0.6301	0.4771
643	NEED (NOUN)	necesidad	244	76.8746	2.3892
644	OAK	roble	14	4.4108	1.1761
645	OCEAN	océano	13	4.0958	1.1461
646	ASH	cenizas	21	6.6163	1.3424
647	PAINT (PIGMENTS)	pintura	101	31.8210	2.0086
648	PAPER	papel	398	125.3938	2.6010
653	PLANT (VEGETATION)	planta	130	40.9578	2.1173
655	POISON	veneno	83	26.1500	1.9243
657	PRICE	precio	195	61.4367	2.2923
658	RAIN (PRECIPITATION)	lluvia	78	24.5747	1.8976
66	KNEEL	arrodillarse	2	0.6301	0.4771
660	REEF	arrecife	2	0.6301	0.4771
661	RELIGION	religión	135	42.5331	2.1335
662	BATTERY	pila	12	3.7807	1.1139
665	BEE	bee	1	0.3151	0.3010
666	RIVER	rio	1	0.3151	0.3010
667	ROAD	carretera	224	70.5734	2.3522
670	ROOT	raíz	93	29.3006	1.9731
671	SAND	arena	85	26.7801	1.9345
672	EARLY	temprano	55	17.3283	1.7482
674	MOUTH	boca	193	60.8066	2.2878
677	AXE	hacha	4	1.2602	0.6990
678	BEARD	barba	23	7.2464	1.3802
68	TATTOO	tatuaje	4	1.2602	0.6990
680	BREAK (DESTROY OR GET DESTROYED)	quebrar	3	0.9452	0.6021
681	DESTROY	destruir	23	7.2464	1.3802
683	PERSON	persona	1487	468.4940	3.1726
686	EASY	fácil	459	144.6125	2.6628
688	LUNG	pulmón	32	10.0819	1.5185
690	BOTTOM	fondo	449	141.4619	2.6532
691	SEASON	estación	99	31.1909	2.0000
692	BRING	traer	114	35.9168	2.0607
694	GET	obtener	65	20.4789	1.8195
695	GO	ir	1861	586.3264	3.2700
696	STIR	revolver	4	1.2602	0.6990
698	WISE	sabio	16	5.0410	1.2304
700	CARRY	llevar	494	155.6396	2.6946
703	SOON	pronto	356	112.1613	2.5527
704	CLEAN	limpio	63	19.8488	1.8062
706	DARK	oscuro	46	14.4928	1.6721
708	SHINE	brillar	8	2.5205	0.9542
709	TEACH	enseñar	85	26.7801	1.9345
710	WHEEL	rueda	132	41.5879	2.1239
711	TALL	alto	346	109.0107	2.5403
712	RICH	rico	96	30.2457	1.9868
713	STEAL	hurtar	1	0.3151	0.3010
714	SEED	semilla	5	1.5753	0.7782
715	SHOUT	gritar	16	5.0410	1.2304
717	SWEET	dulce	57	17.9584	1.7634
718	PAY	pagar	272	85.6963	2.4362
72	CLAW	garra	5	1.5753	0.7782
721	LOW	bajo	422	132.9553	2.6263
722	ATTACK	atacar	44	13.8626	1.6532
724	READ	leer	294	92.6276	2.4698
728	FIRST	primero	1174	369.8803	3.0700
729	DAWN	madrugada	100	31.5060	2.0043
73	BEAK	pico	158	49.7795	2.2014
731	BEVERAGE	bebida	18	5.6711	1.2788
735	OWL	lechuza	2	0.6301	0.4771
737	LIGHT (IGNITE)	encender	13	4.0958	1.1461
738	THING	cosa	3079	970.0693	3.4886
739	FEED	nutrir	1	0.3151	0.3010
741	DRIVE	conducir	45	14.1777	1.6628
742	END (OF SPACE)	final	1259	396.6604	3.1004
743	END (OF TIME)	fin	1516	477.6307	3.1810
744	EGG	huevo	35	11.0271	1.5563
747	BICYCLE	bicicleta	56	17.6434	1.7559
749	ENTER	entrar	462	145.5577	2.6656
753	PUPIL (STUDENT)	alumno	61	19.2187	1.7924
755	DENY	negar	45	14.1777	1.6628
757	BUTTON	botón	33	10.3970	1.5315
759	SILVER	plata	65	20.4789	1.8195
760	KNOT	nudo	27	8.5066	1.4472
761	COVER	cubrir	35	11.0271	1.5563
763	SKIN	skin	4	1.2602	0.6990
765	MOVE	mover	71	22.3693	1.8573
767	CORPSE	cadáver	43	13.5476	1.6435
768	LUNCH	almuerzo	12	3.7807	1.1139
