CONCEPTICON_GLOSS	CONCEPTICON_ID	BABELNET_ID	BABELNET_GLOSS	BABELNET_DEFINITION
PIN	64	00062448n	pin, badge	A small slender (often pointed) piece of wood or metal used to support or fasten or attach things
AMBUSH	65	00003300n	ambush, ambuscade, lying in wait	The act of concealing yourself and lying in wait to attack by surprise
KNEEL	66	00090123v	kneel	Rest one's weight on one's knees
TATTOO	68	00076204n	tattoo	A design on the skin made by tattooing
SOBER	69	00110837a	sober	Not affected by a chemical substance (especially alcohol)
BRACKISH	70	00098796a	brackish, briny	Slightly salty (especially from containing a mixture of seawater and fresh water)
CLAW	72	00019617n	claw	Sharp curved horny process on the toe of a bird or some mammals or reptiles
BEAK	73	00009304n	beak, neb, rostrum	Beaklike mouth of animals other than birds (e.g., turtles)
PUPPY	74	00065261n	puppy, puppy dog, whelp	A young dog
DISGRACE	75	00082903v	attaint, dishonour, disgrace	Bring shame or dishonor upon
THAT	78	13601451a	that	The indicated item (at a distance from the speaker, or previously mentioned, or at another time).
WASTE	79	00086685v	ravage, desolate, devastate, waste	Cause extensive destruction or ruin utterly
FATHOM	81	00033790n	fathom, fthm	A linear unit of measurement (equal to 6 feet) for water depth
ANGER	82	00004085n	anger, choler, ire	"A strong emotion; a feeling that is oriented toward some real or supposed grievance"
FORBID	83	00086877v	forbid, prohibit, disallow	Command against
JUST	84	00116052r	just now, just	Only a moment ago
SIEVE	86	00093721v	sift, strain, sieve	Separate by passing through a sieve or other straining device to separate out coarser elements
SQUINT-EYED	87	00111101a	squint-eyed	Affected by strabismus
BEEHIVE	88	00009581n	beehive, hive	"A structure that provides a natural habitation for bees; as in a hollow tree"
INNOCENT	90	00099796a	clean-handed, guiltless, innocent	Free from evil or guilt
INSOLENT	91	00103110a	flip, impudent, insolent	Marked by casual disrespect
CRAWL	96	00085991v	crawl, creep	"Move slowly; in the case of people or animals with the body near the ground"
THROUGH	97	00063809n	postposition, Preposition and postposition, Through	(linguistics) the placing of one linguistic element after another (as placing a modifier after the word that it modifies in a sentence or placing an affix after the base to which it is attached)
ALL	98	00079145n	universal quantifier, Universal quantification, All (logic)	A logical quantifier of a proposition that asserts that the proposition is true for all members of a class of things
HUNCHBACK	99	00023921n	humpback, hunchback, crookback	A person whose back is hunched because of abnormal curvature of the upper spine
FAITHFUL	100	00102728a	faithful, loyal	Steadfast in affection or allegiance
BOAST	101	00083668v	blow, bluster, boast	Show off
FORNICATE	103	00088500v	fornicate	Have sex without being married
MATTRESS	105	00053881n	mattress	A large thick pad filled with resilient material and often incorporating coiled springs, used as a bed or part of a bed
SATIATED	106	00110112a	satiate, satiated	Supplied (especially fed) to satisfaction
OMEN	107	00058935n	omen, portent, presage	A sign of something about to happen
RUDDER	108	00068495n	rudder	(nautical) steering mechanism consisting of a hinged vertical plate mounted at the stern of a vessel
FOREIGN	109	00103206a	strange, foreign	Relating to or originating in or characteristic of another place or part of the world
MOTOR	110	00056041n	motor, engine	Machine that converts other forms of energy into mechanical energy and so imparts motion
TURTLE	112	00078701n	turtle	Any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming
SHORE	113	00071235n	shore	The land along the edge of a body of water
PORPOISE	114	00063636n	porpoise	Any of several small gregarious cetacean mammals having a blunt snout and many teeth
PROFLIGATE	115	00069538n	spendthrift, spender, scattergood, profligate	Someone who spends money prodigally
LARCH	116	00050006n	larch, larch tree, Larix	Any of numerous conifers of the genus Larix all having deciduous needlelike leaves
IMITATE	117	00085805v	copy, imitate, simulate	Reproduce someone's behavior or looks
BEWITCH	118	00083288v	becharm, captivate, catch, bewitch	"Attract; cause to be enamored"
DIVE	119	00087088v	dive	Plunge into water
PITCHER	120	00032067n	pitcher, ewer	An open vessel with a handle and a spout for pouring
SPIN	121	00089137v	gyrate, reel, spin	Revolve quickly and repeatedly around one's own axis
CART	122	00016292n	cart, handcart, pushcart	"Wheeled vehicle that can be pushed by a person; may have one or two or four wheels"
FOREHEAD	123	00013389n	forehead, brow	The part of the face above the eyes
THORN	124	00064326n	pricker, prickle, spikelet, thorn	A small sharp-pointed tip resembling a spike on a stem or leaf
SWEAT (PERSPIRE)	126	00061748n	perspiration, sudor, sweat	Salty fluid secreted by sweat glands
EXTINGUISH	127	00083675v	blow out, extinguish, quench	Put out, as of fires, flames, or lights
MUMBLE	128	00090707v	mutter, maunder, mumble	"Talk indistinctly; usually in a low voice"
CHOKE	129	00084922v	choke, gag, strangle	"Struggle for breath; have insufficient oxygen intake"
FESTIVAL	131	00034150n	festival	A day or period of time set aside for feasting and celebration
SAUCE	132	00069350n	sauce	Flavorful relish or dressing or topping served as an accompaniment to food
WEAVE	133	00094990v	tissue, weave	Create a piece of cloth by interlacing strands of fabric, such as wool or cotton
FAULT	134	00031485n	error, fault, mistake	A wrong action attributable to bad judgment or ignorance or inattention
BOOMERANG	135	00012152n	boomerang, throwing stick, throw stick	"A curved piece of wood; when properly thrown will return to thrower"
HERE	136	00043806n	here	"The present location; this place"
COCA	137	00020226n	coca, coca plant, Erythroxylon coca	"A South American shrub whose leaves are chewed by natives of the Andes; a source of cocaine"
BATHE	138	00083166v	bathe	Cleanse the entire body
BURN (SOMETHING)	141	00084273v	burn, combust	Cause to burn or combust
HUMID	143	00104400a	humid, moist, wet	Containing or characterized by a great deal of water vapor
MACHINE	144	00052556n	machine	Any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks
SORROWFUL	145	00110928a	sorrowful	Experiencing or marked by or expressing sorrow especially that associated with irreparable loss- Proverbs 14:13
ITCH	148	00047727n	itch, itchiness, itching	An irritating cutaneous sensation that produces a desire to scratch
ITCHY	149	00105497a	itchy	"Causing an irritating cutaneous sensation; being affect with an itch"
WORRY	150	00095829v	worry	Be worried, concerned, anxious, troubled, or uneasy
RAZOR	151	00066322n	razor, shaving razor	Edge tool used in shaving
HOOF	152	00044685n	hoof	The foot of an ungulate mammal
GREY	153	00103764a	gray, grayish, grey	Of an achromatic color of any lightness intermediate between the extremes of white and black
CHOP	155	00084939v	chop, hack	Cut with a hacking tool
RED	156	00098581a	red, blood-red, carmine	"Of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies"
DYE	157	00087446v	dye	Color with dye
HICCOUGH	162	00089331v	hiccup, hiccough	Breathe spasmodically, and make a sound
BLACK	163	00098480a	black	"Being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light"
KANGAROO	164	00048768n	kangaroo, macropod	Any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail
WALLABY	165	00013504n	wallaby, brush kangaroo	"Any of various small or medium-sized kangaroos; often brightly colored"
MAINLAND	166	00052858n	mainland	"The main land mass of a country or continent; as distinguished from an island or peninsula"
MAIL	167	00052814n	mail	The bags of letters and packages that are transported by the postal service
REST	168	00085719v	remain, stay, stay on, rest	Continue in a place, position, or situation
IT	169	02076169n	it (pronoun)	It is a third-person, singular neuter pronoun in Modern English.
PROUD	174	00109157a	proud	"Feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride"
RIPE	178	00106506a	mature, ripe	Fully developed or matured and ready to be eaten or used
RIPEN	179	00093056v	ripen	Grow ripe
ANTEATER	181	00000181n	aardvark, ant bear, anteater	"Nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata"
SPOKE	182	00065969n	spoke, radius, wheel spoke	Support consisting of a radial member of a wheel joining the hub to the rim
BAKE	183	00083041v	bake	Cook and make edible by putting in a hot oven
MAST	184	00053706n	mast	A vertical spar for supporting sails
SHIN	186	00071082n	shin	The front part of the human leg between the knee and the ankle
LOIN	187	00051882n	loin, lumbus	Either side of the backbone between the hipbone and the ribs in humans as well as quadrupeds
MOW	190	00086223v	mow, cut down	Cut with a blade or mower
NUT	191	00058343n	nut	A small (usually square or hexagonal) metal block with internal screw thread to be fitted onto a bolt
CORNER	192	00022735n	nook, corner	An interior angle formed by two meeting walls
SHALLOW	193	00110501a	shallow	"Lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center"
FAMILY	194	00032892n	household, family, home	A social unit living together
MAT	195	00028263n	doormat, welcome mat, door-mat, mat	A mat placed outside an exterior door for wiping the shoes before entering
DONATE	196	00087156v	donate	Give to a charity or good cause
OTHER	197	00108011a	other	Not the same one or ones already mentioned or implied- the White Queen
FAMINE	199	00033595n	famine	A severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death
SAME	200	00069062n	sameness, identity (philosophy), Same (philosophy)	The quality of being alike
FARM	201	00033676n	farm	Workplace consisting of farm buildings and cultivated land as a unit
STRENGTH	202	00029161n	durability, enduringness, lastingness, strength	Permanence by virtue of the power to resist stress or force
MARRY	203	00085614v	marry, conjoin, espouse	Take in marriage
AGAIN	204	00114171r	again, once again, once more	Anew
TROUGH	205	00012494n	bowl, trough	A concave shape with an open top
FIREFLY	206	00034639n	fire beetle, firefly, Pyrophorus noctiluca	Tropical American click beetle having bright luminous spots
SPARSE	207	00110984a	sparse, thin	Not dense
RARE	209	00109442a	rare	Not widely distributed
LIFE	210	00002761n	life, aliveness, animation	The condition of living or the state of being alive
CAST	211	00084630v	cast, mold, mould	Form by pouring (e.g., wax or hot metal) into a cast or mold
FIELD	212	00034265n	field, acre	A piece of land cleared of trees and usually enclosed
FIN	213	00034509n	fin	Organ of locomotion and balance in fishes and some other aquatic animals
STRETCH	214	00087535v	stretch, elongate	Make long or longer by pulling and stretching
MOVIE	216	00034471n	film, movie, motion picture	A form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
TOILET	219	00015106n	toilet, can, commode	A plumbing fixture for defecation and urination
FIRE	221	00034625n	fire, flame, flaming	The process of combustion of inflammable materials producing heat and light and (often) smoke
LAVISH	222	00105782a	munificent, lavish, overgenerous	Very generous
PESTLE	225	00056268n	pestle, muller, pounder	A heavy tool of stone or iron (usually with a flat base and a handle) that is used to grind and mix material (as grain or drugs or pigments) against a slab of stone
FISH	227	00034816n	fish, Fish anatomy	Any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
CARVE	228	00084606v	carve	Form by carving
SWEEP	230	00084138v	sweep, broom	Sweep with a broom or as if with a broom
SHAVE	231	00090133v	shave, knock off	Cut the price of
PADDLE	234	00011681n	paddle, boat paddle, oar	A short light oar used without an oarlock to propel a canoe or small boat
STEPMOTHER	236	00074206n	stepmother, stepfamily, stepaunt	The wife of your father by a subsequent marriage
PRAWNS	238	00064034n	shrimp, prawn, Prawns (food)	Any of various edible decapod crustaceans
FLOWER	239	00011422n	blossom, bloom, flower	Reproductive organ of angiosperm plants especially one having showy or colorful parts
ELECTION	240	00030114n	election	"The act of selecting someone or something; the exercise of deliberate choice"
COST	242	00085851v	cost	Require to lose, suffer, or sacrifice
FRESH	243	00103326a	fresh	Recently made, produced, or harvested
LEFT	244	00105834a	left	Being or located on or directed toward the side of the body to the west when facing north
BROOM	245	00013352n	broom	"A cleaning implement for sweeping; bundle of straws or twigs attached to a long handle"
THRUST	246	00094943v	thrust	Push forcefully
TAN	247	00094806v	tan	Treat skins and hides with tannic acid so as to convert them into leather
FOG	249	00035570n	fog	Droplets of water vapor suspended in the air near the ground
FRIGHTEN	252	00082447v	frighten, affright, fright	Cause fear in
SERVANT	255	00067423n	servant, retainer, Domestic worker	A person working in the service of another (especially in the household)
FOOD	256	00035649n	nutrient, food, nourishment	Any substance that can be metabolized by an animal to give energy and build tissue
WORSHIP	257	00089322v	idolize, revere, idolise, worship	"Love unquestioningly and uncritically or to excess; venerate as an idol"
CALM	258	00099145a	calm, serene, tranquil	"Not agitated; without losing self-possession"
SAVANNA	260	00069381n	savanna, savannah	A flat grassland in tropical or subtropical regions
FOWL	265	00028155n	poultry, fowl, domestic fowl	A domesticated gallinaceous bird thought to be descended from the red jungle fowl
SCALE	266	00069470n	scale, weighing machine, weighing scale	"A measuring instrument for weighing; shows amount of mass"
NIT	267	00057770n	nit	"Egg or young of an insect parasitic on mammals especially a sucking louse; often attached to a hair or item of clothing"
KNEAD	274	00090120v	knead, work	Make uniform
SPINDLE	277	01342034n	spindle (textiles)	A spindle is a straight spike usually made from wood used for spinning, twisting fibers such as wool, flax, hemp, cotton into yarn.
POST	281	00063746n	post, stake	A pole or stake set up to mark something (as the start or end of a race track)
PADDY FIELD	140	00060141n	paddy field, paddy, rice paddy	An irrigated or flooded field where rice is grown
HOE	284	00044349n	hoe	A tool with a flat blade attached at right angles to a long handle
THRESH	285	00094923v	thrash, thresh	Beat the seeds out of a grain
CONE	287	00021690n	cone	Any cone-shaped artifact
FORGE	288	00088477v	forge, hammer	Create by hammering
ADZE	290	00001607n	adze, adz	An edge tool used to cut and shape wood
WHETSTONE	295	00080995n	whetstone, Sharpening stone	A flat stone for sharpening edged tools or knives
CROUCH	296	00083405v	crouch, stoop, bend	Bend one's back forward from the waist on down
CROOKED	297	00100684a	crooked	"Having or marked by bends or angles; not straight or aligned"
SHRIEK	298	00091653v	shriek, pipe, pipe up	Utter a shrill cry
SCOLD	299	00083177v	call on the carpet, chide, dress down, scold	Censure severely or angrily
CHIEFTAIN	301	00015753n	captain, chieftain	The leader of a group of people
CLAN	302	00019429n	clan, tribe, kin	Group of people related by blood or marriage
PREACH	304	00091922v	preach, prophesy	Deliver a sermon
PARENTS-IN-LAW	306	00033782n	father-in-law, Parent-in-law, parents-in-law	The father of your spouse
HAWK	307	00043185n	hawk, Hawks	Diurnal bird of prey typically having short rounded wings and a long tail
TOUCAN	308	00077724n	toucan	Brilliantly colored arboreal fruit-eating bird of tropical America having a very large thin-walled beak
AGOUTI	313	00002079n	agouti, Dasyprocta aguti, Red-rumped agouti	"Agile long-legged rabbit-sized rodent of Central America and South America and the West Indies; valued as food"
CAPYBARA	314	00015489n	capybara, capibara, Hydrochoerus hydrochaeris	"Pig-sized tailless South American amphibious rodent with partly webbed feet; largest living rodent"
PIRANHA	317	00016068n	piranha, caribe, pirana	Small voraciously carnivorous freshwater fishes of South America that attack and destroy living animals
LICK	319	00090187v	lick, lap	Pass the tongue over
LAME	320	00100661a	lame, gimpy, crippled	Disabled in the feet or legs
CHEW	321	00084888v	chew, masticate, jaw	"Chew (food); to bite and grind with the teeth"
FIG	322	00034370n	fig	Fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried
FELT	325	00034011n	felt	A fabric made of compressed matted animal fibers
PONCHO	327	00063506n	poncho	A blanket-like cloak with a hole in the center for the head
STOCKING	329	00074376n	stocking, stockings	"Close-fitting hosiery to cover the foot and leg; come in matched pairs (usually used in the plural)"
HEADBAND	330	00043303n	headband	A band worn around or over the head
RAG	332	14082929n	Rag	Old, usually torn textile
PADLOCK	336	00060144n	padlock	"A detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut"
PITCHFORK	337	00062658n	pitchfork	A long-handled hand tool with sharp widely spaced prongs for lifting and pitching hay
SICKLE	341	00066430n	sickle, reaping hook, reap hook	"An edge tool for cutting grass or crops; has a curved blade and a short handle"
HAY	342	00043206n	hay	Grass mowed and cured for use as fodder
VINE	343	00080013n	vine, climbing plant, twiner	A plant with a weak stem that derives support from climbing, twining, or creeping along a surface
BANYAN	346	00008357n	banyan, banian, banian tree	East Indian tree that puts out aerial shoots that grow down into the soil forming additional trunks
TARO	351	00020694n	taro, Colocasia esculenta, dalo	Herb of the Pacific islands grown throughout the tropics for its edible root and in temperate areas as an ornamental for its large glossy leaves
UNTIE	352	00095313v	unbrace, unlace, untie	Undo the ties of
STRIKE	353	00094453v	strike	Deliver a sharp blow, as with the hand, fist, or weapon
POUND	354	00091810v	pound, poke, thump	Hit hard with the hand, fist, or some heavy instrument
PEG	361	00057858n	nog, peg	A wooden pin pushed or driven into a surface
SMEAR	364	00086304v	smear, daub	Cover (a surface) by smearing (a substance) over it
SPLASH	365	00094141v	splash, splosh, sprinkle	Cause (a liquid) to spatter about, especially with force
LIMP	366	00090371v	limp	Proceed slowly or with difficulty
SLED	16	00072096n	sled, sledge, sleigh	"A vehicle mounted on runners and pulled by horses or dogs; for transportation over snow"
OWE	369	00091360v	owe	Be obliged to pay or repay
BARTER	370	00083139v	barter	Exchange goods without involving money
SNIFF	375	00093978v	sniff, whiff	Perceive by inhaling through the nose
FRAGRANT	376	00103284a	fragrant	Pleasant-smelling
LOUD	377	00106192a	loud	Characterized by or producing sound of great volume or intensity
PINCH	378	00086115v	crush, mash, squash, pinch	To compress with violence, out of natural shape or condition
BLUNT	379	00098632a	blunt	"Used of a knife or other blade; not sharp"
BLAME	381	00011095n	blame, incrimination, inculpation	An accusation that you are responsible for some lapse or misdeed
FREEMAN	384	00036399n	freeman, freewoman	A person who is not a serf or a slave
SLING	387	00072167n	sling	A simple weapon consisting of a looped strap in which a projectile is whirled and then released
FISHNET	388	00034869n	fishing net, fishnet	A net that will enclose fish when it is pulled in
PUNISHMENT	390	00061325n	punishment, penalization, penalisation	The act of punishing
BLESS	391	00083599v	bless	Give a benediction to
MAGIC	392	00052688n	magic, thaumaturgy, thaumaturgist	Any art that invokes supernatural powers
OPPRESS	401	00086114v	crush, oppress, suppress	Come down on or keep down by unjust use of one's authority
YAM	410	00081818n	yam	Edible tuberous root of various yam plants of the genus Dioscorea grown in the tropics world-wide for food
GOURD	411	00041181n	gourd	Any of numerous inedible fruits with hard rinds
SEVERE	419	00110471a	terrible, severe, wicked	Intensely or extremely bad or unpleasant in degree or quality
FOREST	420	00035868n	wood, forest, woods	The trees and other plants in a large densely wooded area
RETREAT	421	00087267v	draw back, pull away, retire, retreat	Pull back or move away or backward
NECESSITY	422	00057131n	necessity	The condition of being essential or indispensable
TWIST	430	13602565v	twist(verb)	To combine, as two or more strands or threads, by winding together.
GUAN	437	00042026n	guan, Penelopinae	"Any of several large turkey-like game birds of the family Cracidae; native to jungles of tropical America; resembling the curassows and valued as food"
CHICHA	441	02884587n	chicha	In South and Central America, chicha is a fermented or non-fermented beverage usually derived from maize.
WRAPPER	462	00045032n	peignoir, negligee, wrapper	A loose dressing gown for women
CASSOWARY	466	00016525n	cassowary	Large black flightless bird of Australia and New Guinea having a horny head crest
CRAYFISH	467	00023617n	crayfish, langouste, rock lobster	"Warm-water lobsters without claws; those from Australia and South Africa usually marketed as frozen tails; caught also in Florida and California"
PANDANUS	469	00060367n	pandanus, screw pine	Any of various Old World tropical palmlike trees having huge prop roots and edible conelike fruits and leaves like pineapple leaves
POSSUM	470	00059182n	opossum, possum, Didelphidae	Nocturnal arboreal marsupial having a naked prehensile tail found from southern North America to northern South America
DRESS	474	00028682n	dress, frock, Maxi dress	"A one-piece garment for a woman; has skirt and bodice"
CUP	476	00024410n	cup	"A small open container usually used for drinking; usually has a handle"
LATE	477	00114955r	deep, late	To an advanced time
LIP	478	00051440n	lip, lips	Either of two fleshy folds of tissue that surround the mouth and play a role in speaking
PLATE	480	00062878n	plate	Dish on which food is served or from which food is eaten
NOBLE	482	00005659n	aristocracy, nobility, Noble	A privileged class holding hereditary titles
DISAPPEAR	485	00086879v	disappear, go away, vanish	Get lost, as without warning or explanation
MINISTER	486	00024459n	minister, pastor, curate	A person authorized to conduct religious worship
SHY	487	00110600a	shy	"Wary and distrustful; disposed to avoid persons or things"
MANNER	488	00053238n	manner, personal manner	A way of acting or behaving
DESCENDANTS	490	00026488n	descendants, posterity, progeny	All of the offspring of a given progenitor
CENTER	491	00017123n	midpoint, centre, center	A point equidistant from the ends of a line or the extremities of a figure
THREE	492	00000100n	3, three, triad	The cardinal number that is the sum of one and one and one
FLIRT	494	00084324v	flirt, butterfly, chat up	Talk or behave amorously, without serious intentions
REVENGE	495	00082950v	revenge, avenge, retaliate	Take revenge for a perceived wrong
CUCUMBER	496	00024294n	cucumber, Cucumis sativus, cucumber vine	"A melon vine of the genus Cucumis; cultivated from earliest times for its cylindrical green fruit"
CURE	499	00084071v	bring around, cure, heal	Provide a cure for, make healthy again
CRUEL	500	00098042a	barbarous, brutal, cruel	(of persons or their actions) able or disposed to inflict pain or suffering
LIFT	501	00084110v	elevate, lift, raise	Raise from a lower to a higher position
MAIZE	506	00022678n	maize, corn, Zea mays	"Tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times"
PERIOD	508	00061605n	period, period of time, time period	An amount of time
CERTAIN	509	00099475a	certain, sure, definite	"Having or feeling no doubt or uncertainty; confident and assured"
SPARK	518	00005361n	electric arc, electric discharge, spark	Electrical conduction through a gas in an applied electric field
WOLF	522	00081469n	wolf	Any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs
BARBEL	524	00008531n	barbel, feeler	Slender tactile process on the jaws of a fish
HOWL	526	00089496v	howl, roar, ululate	Emit long loud cries
DREADFUL	528	00097890a	awful, frightening, terrible, dreadful	Causing fear or dread or terror
FRECKLE	530	00036309n	freckle, lentigo	A small brownish spot (of the pigment melanin) on the skin
GIPSY	532	00040526n	itinerant, gipsy, gypsy	A laborer who moves from place to place as demanded by employment
HUMP	534	00013761n	extrusion, prominence, bulge, hump	Something that bulges out or is protuberant or projects from its surroundings
INFLATED	535	00104447a	hyperbolic, inflated	Enlarged beyond truth or reasonableness
TURBID	537	00078619n	turbidity, turbidness, Turbid	Muddiness created by stirring up sediment or having foreign particles suspended
NEST	539	00057353n	nest	A structure in which animals lay eggs or give birth to their young
PALATE	540	00060247n	palate, roof of the mouth, uraniscus	The upper surface of the mouth that separates the oral and nasal cavities
POETRY	541	00063195n	poetry, poesy, verse	Literature in metrical form
SCANTY	542	00098049a	bare, spare, scanty	Lacking in amplitude or quantity
SHUTTLE	543	00071386n	shuttle	Public transport that consists of a bus or train or airplane that plies back and forth between two points
SPICY	544	00108622a	spicy, zesty, piquant	Having an agreeably pungent taste
SPRUCE	545	00073670n	spruce, Picea	Any coniferous tree of the genus Picea
SURFACE	547	00075374n	surface	The extended two-dimensional outer boundary of a three-dimensional object
COPULATE	549	00085803v	copulate, couple, mate	Engage in sexual intercourse
DILUTE	550	00086211v	cut, dilute, reduce	Lessen the strength or flavor of a solution or mixture
HINDER	554	00089340v	hinder, impede	Be a hindrance or obstacle to
INFRINGE	555	00085589v	conflict, contravene, infringe	Go against, as of rules and laws
OFFEND	557	00083897v	violate, breach, go against, offend	Act in disregard of laws, rules, contracts, or promises
REBEL	567	00082762v	arise, rebel, rise	"Take part in a rebellion; renounce a former allegiance"
STING	571	00083516v	bite, burn, sting	Cause a sharp or stinging pain or discomfort
STREW	572	00094431v	straw, strew	"Spread by scattering (""""straw"""" is archaic)"
SWAY	573	00093072v	rock, shake, sway	Move back and forth or sideways
TRANSIT	574	00095099v	transit	Pass across (a sign or house of the zodiac) or pass across (the disk of a celestial body or the meridian of a place)
TREAD	575	00094338v	step, tread	Put down or press the foot, place the foot
KISS	578	00084312v	kiss, buss, osculate	Touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.
BATTLE	579	00009078n	battle, conflict, engagement	A hostile meeting of opposing military forces in the course of a war
BOOT	585	00012166n	boot	Footwear that covers the whole foot and lower leg
ANT	587	00004458n	ant, emmet, pismire	"Social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers"
BROKEN	588	00098909a	broken	Physically and forcibly separated into pieces or cracked or split
CLOSED	589	00099878a	closed, shut, unopen	Not open
PISS	592	00090583v	urinate, make, micturate, piss	Eliminate urine
POTATO	593	00047481n	potato, spud, tater	"An edible tuber native to South America; a staple food of Ireland"
FOREIGN	109	00103206a	strange, foreign	Relating to or originating in or characteristic of another place or part of the world
