CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	FREQUENCY_COUNT	FREQUENCY_PER_MILLION	LG10_FREQUENCY
2458	PERSPIRE OR SWEAT	sudar	159.0	3.8221153846153846	2.2041199826559246
2481	FEMALE DOG	perra	6041.0	145.21634615384616	3.7811807209372614
255	SERVANT	sirviente	239.0	5.7451923076923075	2.380211241711606
256	FOOD	pizza	1554.0	37.355769230769226	3.191730393362856
2638	FISHING	pescar	588.0	14.134615384615383	2.7701152947871015
271	SAUCER	platillo	105.0	2.5240384615384612	2.02530586526477
272	TONGS	tenazas	52.0	1.25	1.724275869600789
275	PEEL	pelar	59.0	1.4182692307692306	1.7781512503836434
278	AWL	punzón	19.0	0.4567307692307692	1.301029995663981
281	POST	poste	275.0	6.6105769230769225	2.4409090820652173
2831	PENGUIN	pingüino	156.0	3.75	2.1958996524092336
2902	BRAWL (FIGHT)	pelear	2326.0	55.91346153846154	3.36679638328673
2905	KNIT	tejer	59.0	1.4182692307692306	1.7781512503836434
2965	PAW	pata	1200.0	28.846153846153847	3.0795430074029055
297	CROOKED	torcido	128.0	3.0769230769230766	2.110589710299249
299	SCOLD	reprender	11.0	0.2644230769230769	1.0791812460476247
3	BRAVE	valiente	1441.0	34.63942307692307	3.15896526038341
304	PREACH	predicar	41.0	0.985576923076923	1.6232492903979003
3072	MISPLACE	perder	5794.0	139.27884615384616	3.7630534402996143
3078	IRRIGATE	regar	61.0	1.4663461538461537	1.7923916894982537
308	TOUCAN	tucán	2.0	0.04807692307692307	0.47712125471966244
3080	SPLIT OPEN	rajar	31.0	0.7451923076923077	1.5051499783199058
3084	BLACKBOARD	pizarra	191.0	4.591346153846153	2.2833012287035492
3085	CARROT	zanahoria	136.0	3.269230769230769	2.1367205671564067
3086	COMPUTER	ordenador	288.0	6.9230769230769225	2.4608978427565478
3088	ENVELOPE	sobre	46931.0	1128.1490384615383	4.671469061999755
309	OPOSSUM	zarigüeya	46.0	1.1057692307692308	1.6720978579357173
3093	LIPSTICK	pintalabios	22.0	0.5288461538461539	1.3617278360175928
3096	RACKET	raqueta	74.0	1.7788461538461537	1.8750612633916997
3099	SOFA	sillón	352.0	8.461538461538462	2.5477747053878224
31	PAN	sartén	136.0	3.269230769230769	2.1367205671564067
