CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_SER_MEAN	LINE_IN_SOURCE
13	DECEIT	deceit	2.5454545454545454	1322
1300	COUNTRY	country	3.272727272727273	1147
1301	FOOT	feet	3.5454545454545454	1789
1302	FORK	fork	3.0	1949
1303	FINGER	finger	4.8	1841
1305	CHIMNEY	chimney	4.4	854
1306	QUEEN	queen	3.0	3947
1307	LANGUAGE	language	2.9	2764
1308	DOUBT	doubt	1.9090909090909092	1511
1309	ASK (INQUIRE)	ask	2.0	202
131	FESTIVAL	party	4.8	3515
1310	CLEVER	clever	2.6	928
1311	VERY	very	1.5454545454545454	5557
1313	MOON	moon	3.8181818181818183	3176
1314	QUIET	quiet	3.5454545454545454	3957
1316	TENT	tent	2.0	5193
1318	CHICKEN	chicken	4.363636363636363	845
1319	COWARD	coward	3.0	1162
132	SAUCE	sauce	4.636363636363637	4307
1320	APPLE	apple	4.6	164
1321	BOTTLE	bottle	2.272727272727273	533
1322	BREAKFAST	breakfast	5.7	573
1323	CLOCK	clock	3.4166666666666665	944
1324	SLIP	slide	2.0	4622
1325	FRIEND	friend	3.1	1991
1326	DOWN	down	2.4545454545454546	1518
1327	UNCLE	uncle	4.5	5486
133	WEAVE	weave	2.9	5668
1330	DEFEND	defense	2.909090909090909	1343
1331	SHEEP	sheep	2.5	4466
1332	NEIGHBOUR	neighbor	3.3	3292
1333	NECK	neck	3.2	3285
1334	GUTS	gut	3.5	2287
1335	WHITE	white	2.909090909090909	5723
1336	EAT	ate	3.272727272727273	222
1337	PIG	hog	3.3333333333333335	2436
1338	PEACE	peace	2.909090909090909	3544
1339	MORNING	morning	5.4	3187
134	FAULT	guilt	3.3636363636363638	2273
1340	WITH	with	1.1818181818181819	5758
1342	SUMMER	summer	5.4	5033
1343	SUN	sun	4.6	5037
1344	RAM	ram	3.727272727272727	3989
1346	THROAT	throat	3.6	5249
1347	NAPE (OF NECK)	nape	1.9090909090909092	3268
1348	BOAR (MALE PIG)	boar	2.727272727272727	490
1349	CHURCH	church	2.5	882
1350	MONKEY	monkey	4.090909090909091	3169
1351	SOW (FEMALE PIG)	sow	1.9090909090909092	4742
1353	HOUR	hour	1.9090909090909092	2478
1354	NEXT	next	1.2727272727272727	3305
1355	LAUGH	laugh	4.363636363636363	2787
1356	NUMBER	number	2.4545454545454546	3363
1357	DAUGHTER	daughter	3.1	1297
136	HERE	here	2.0	2395
1360	DUCK	duck	3.272727272727273	1573
1361	TOOL	wrench	2.3636363636363638	5797
1362	STREET	street	3.3636363636363638	4960
1363	VOICE	voice	3.8	5592
1364	HEALTHY	health	1.8	2356
1365	KITCHEN	kitchen	3.5454545454545454	2714
1366	BOY	boy	4.181818181818182	548
1368	BREAD	bread	3.2	570
1369	GOLD	gold	2.9166666666666665	2178
1370	MONTH	month	1.5	3173
1371	KNEE	knee	4.2727272727272725	2722
1372	MEDICINE	drug	2.8181818181818183	1565
1373	TEA	tea	4.083333333333333	5165
1374	RING	ring	4.2	4175
1375	WINDOW	window	4.2727272727272725	5747
1376	NOW	now	1.4	3354
1378	SPOON	spoon	3.909090909090909	4808
1379	TELEPHONE	phone	4.181818181818182	3613
138	BATHE	bathe	3.6363636363636362	333
1380	TOOTH	teeth	4.0	5177
1381	SHOE	shoe	3.3636363636363638	4493
1382	NEEDLE (FOR SEWING)	needle	4.909090909090909	3289
1384	SECOND	second	2.6	4387
1385	PEPPER	pepper	4.7272727272727275	3581
1386	LION	lion	5.0	2871
1387	ARRIVE	arrive	2.272727272727273	193
1388	SHADE	shade	3.7	4439
1389	TOE	toe	3.909090909090909	5301
139	GUMS	gum	3.9166666666666665	2280
1390	WRONG	wrong	2.272727272727273	5806
1391	TOWN	town	1.8181818181818181	5347
1392	LOUSE	lice	3.090909090909091	2845
1393	HORN (ANATOMY)	horn	4.416666666666667	2466
1394	BONE	bone	3.3636363636363638	506
1395	ROUND	round	2.909090909090909	4223
1396	SHARP	sharp	4.818181818181818	4455
1398	DRY	dry	3.8	1569
1399	CLAY	clay	2.5454545454545454	914
14	YOKE	yoke	2.0	5836
140	PADDY FIELD	paddy	2.8	3460
1400	THIN (SLIM)	slim	2.090909090909091	4624
1401	DRINK	drink	5.090909090909091	1552
1402	BREAST	bosom	4.090909090909091	528
1403	BITE	bite	3.3	431
1404	STRAIGHT	straight	2.4545454545454546	4949
1405	NAME	name	2.3333333333333335	3264
1406	FAR	distant	3.1	1460
1407	BREATHE	breathe	4.363636363636363	576
1408	HEAR	hear	4.2	2358
1409	SEE	see	2.727272727272727	4395
1412	RUDE	rude	2.3	4237
1413	PLAY	play	3.1	3680
1414	SQUEEZE	wring	3.1818181818181817	5800
1416	SIT	sit	2.2	4569
1417	KILL	kill	2.8181818181818183	2704
1418	DIG	dig	3.0	1415
1419	FEAR (BE AFRAID)	afraid	3.0	69
1420	COUNT	count	2.5454545454545454	1145
1421	SUCK	suck	3.9	5016
1422	BE ALIVE	alive	3.8181818181818183	93
1423	FIGHT	fight	3.3	1827
1424	YELLOW	yellow	5.090909090909091	5826
