CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_HAPPINESS_MEAN	GERMAN_ANGER_MEAN	GERMAN_SADNESS_MEAN	GERMAN_FEAR_MEAN	GERMAN_DISGUST_MEAN	GERMAN_EMOTION_DOMINANT	LINE_IN_SOURCE
239	FLOWER	blume	3.5714285714285716	1.2857142857142858	1.619047619047619		1.2380952380952381	HAP	248
2398	MANGO	mango	3.260869565217391	1.2608695652173914	1.2173913043478262		1.2608695652173914	HAP	1000
245	BROOM	besen	1.3333333333333333	2.142857142857143	1.2857142857142858		1.2380952380952381	ANG	215
2466	WEIGHT	gewicht	1.25	1.7	1.2		1.4	ANG	576
2467	GAME	spiel	3.4347826086956523	1.4782608695652173	1.0434782608695652		1.0869565217391304	HAP	1576
2468	BAG	tasche	2.2	1.1	1.05		1.0	HAP	1649
249	FOG	nebel	2.2083333333333335	1.6666666666666667	1.625		2.2083333333333335		1147
25	DIRT	schmutz	1.1904761904761905	2.4761904761904763	1.3333333333333333		1.2380952380952381	DIS	1483
2520	SMELLING (OLFACTORY SENSE)	geruch	2.0	1.4545454545454546	1.1363636363636365		1.3181818181818181	DIS	564
2521	FEELING (HAPTIC SENSE)	gefühl	3.272727272727273	2.227272727272727	2.1363636363636362		2.0454545454545454	HAP	538
2523	HOWLING	geheul	1.0833333333333333	2.625	2.3333333333333335		1.9166666666666667	ANG	542
2524	JOY	freude	4.043478260869565	1.0434782608695652	1.0		1.0434782608695652	HAP	499
2525	LABOUR (EFFORT)	mühe	1.85	2.45	1.6		2.1	ANG	1112
2526	POWER	gewalt	1.1304347826086956	3.5217391304347827	2.652173913043478		3.3043478260869565	ANG	574
2534	DEPTH	tiefe	1.7272727272727273	1.1363636363636365	1.4090909090909092		2.4545454545454546	FEA	1675
2539	PIT (POTHOLE)	grube	1.1428571428571428	1.8095238095238095	1.5238095238095237		2.7142857142857144	FEA	604
2541	MIRACLE	wunder	3.65	1.05	1.15		1.3	HAP	1903
2543	RAVEN	rabe	1.9	1.45	1.9		2.15	FEA	1336
2544	SHEPHERD	hirte	2.05	1.4	1.45		1.35	HAP	665
2546	BORDER	grenze	1.2727272727272727	1.8181818181818181	1.4545454545454546		1.4545454545454546	ANG	602
256	FOOD	nahrung	2.6666666666666665	1.1904761904761905	1.0952380952380953		1.1904761904761905	HAP	1137
2584	BENCH	bank	2.0	2.619047619047619	1.6666666666666667		1.8571428571428572	ANG	177
2597	HARP	harfe	3.0	1.1428571428571428	1.4761904761904763		1.1428571428571428	HAP	628
2604	NOOSE	schlinge	1.1904761904761905	2.0	1.380952380952381		2.7142857142857144	FEA	1477
2605	ASPARAGUS	spargel	2.380952380952381	1.0	1.0		1.0476190476190477	HAP	1570
2620	CARRIAGE	kutsche	2.6	1.0	1.05		1.0	HAP	864
2623	FLAG	fahne	2.0476190476190474	2.1904761904761907	1.619047619047619		1.5714285714285714	ANG	423
2658	COAL	kohle	2.2083333333333335	1.7916666666666667	1.4583333333333333		1.8333333333333333	HAP	806
27	AIR	luft	3.5238095238095237	1.5238095238095237	1.4285714285714286		1.5714285714285714	HAP	961
