CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_VALENCE_MEAN	ENGLISH_AROUSAL_MEAN	ENGLISH_DOMINANCE_MEAN	LINE_IN_SOURCE
1307	LANGUAGE	language	0.677	0.337	0.704	9975
1308	DOUBT	doubt	0.395	0.351	0.231	5366
1309	ASK (INQUIRE)	ask	0.531	0.440	0.459	1015
131	FESTIVAL	festival	0.870	0.706	0.714	6623
1310	CLEVER	clever	0.896	0.353	0.729	3132
1312	FOX	fox	0.323	0.555	0.491	7088
1313	MOON	moon	0.673	0.233	0.547	11332
1314	QUIET	quiet	0.792	0.105	0.431	14092
1315	RADIO	radio	0.573	0.402	0.358	14141
1316	TENT	tent	0.510	0.275	0.333	17760
1318	CHICKEN	chicken	0.594	0.306	0.394	2908
1319	COWARD	coward	0.102	0.490	0.149	4015
132	SAUCE	sauce	0.562	0.515	0.288	15352
1320	APPLE	apple	0.811	0.300	0.264	831
1321	BOTTLE	bottle	0.469	0.236	0.336	2029
1322	BREAKFAST	breakfast	0.885	0.330	0.429	2117
1323	CLOCK	clock	0.677	0.173	0.407	3160
1324	SLIP	slip	0.316	0.714	0.321	16206
1325	FRIEND	friend	0.906	0.413	0.573	7169
1326	DOWN	down	0.208	0.330	0.264	5379
1327	UNCLE	uncle	0.653	0.255	0.578	18608
1329	TOMORROW	tomorrow	0.792	0.377	0.407	18076
133	WEAVE	weave	0.604	0.265	0.172	19523
1330	DEFEND	defend	0.698	0.722	0.670	4523
1331	SHEEP	sheep	0.604	0.206	0.161	15828
1332	NEIGHBOUR	neighbor	0.657	0.448	0.434	11675
1333	NECK	neck	0.541	0.245	0.345	11639
1334	GUTS	guts	0.592	0.649	0.582	7948
1336	EAT	eat	0.731	0.500	0.464	5607
1337	PIG	pig	0.343	0.368	0.324	13030
1338	PEACE	peace	0.939	0.156	0.613	12711
1339	MORNING	morning	0.688	0.235	0.444	11364
134	FAULT	fault	0.188	0.558	0.184	6533
1342	SUMMER	summer	0.812	0.373	0.550	17266
1343	SUN	sun	0.877	0.400	0.681	17275
1344	RAM	ram	0.406	0.452	0.388	14188
1345	EWE	ewe	0.429	0.216	0.277	6158
1346	THROAT	throat	0.350	0.538	0.346	17925
1347	NAPE (OF NECK)	nape	0.427	0.268	0.298	11579
1348	BOAR (MALE PIG)	boar	0.406	0.500	0.351	1898
1349	CHURCH	church	0.708	0.198	0.610	3005
135	BOOMERANG	boomerang	0.531	0.625	0.500	1991
1350	MONKEY	monkey	0.548	0.449	0.283	11300
1352	KNIFE	knife	0.344	0.717	0.573	9882
1353	HOUR	hour	0.552	0.265	0.336	8560
1355	LAUGH	laugh	0.980	0.639	0.587	10023
1356	NUMBER	number	0.406	0.231	0.471	11919
1357	DAUGHTER	daughter	0.908	0.415	0.455	4386
1358	ENEMY	enemy	0.135	0.794	0.591	5895
1359	SEPARATE	separate	0.240	0.514	0.349	15697
1360	DUCK	duck	0.594	0.337	0.236	5502
1361	TOOL	tool	0.490	0.350	0.594	18087
1362	STREET	street	0.594	0.324	0.398	17034
1363	VOICE	voice	0.594	0.343	0.528	19331
1364	HEALTHY	healthy	0.938	0.319	0.818	8184
1365	KITCHEN	kitchen	0.700	0.234	0.398	9867
1367	CROSS	cross	0.448	0.321	0.569	4149
1368	BREAD	bread	0.660	0.314	0.342	2109
1369	GOLD	gold	0.939	0.686	0.692	7608
1370	MONTH	month	0.688	0.255	0.411	11323
1371	KNEE	knee	0.520	0.245	0.396	9875
1372	MEDICINE	medicine	0.708	0.318	0.679	10894
1373	TEA	tea	0.698	0.163	0.370	17657
1374	RING	ring	0.677	0.427	0.464	15012
1375	WINDOW	window	0.542	0.276	0.385	19688
1377	VISIT	visit	0.771	0.443	0.445	19308
1378	SPOON	spoon	0.479	0.236	0.259	16673
1379	TELEPHONE	telephone	0.694	0.520	0.425	17707
138	BATHE	bathe	0.677	0.294	0.371	1474
1380	TOOTH	tooth	0.439	0.250	0.367	18092
1381	SHOE	shoe	0.517	0.225	0.288	15886
1382	NEEDLE (FOR SEWING)	needle	0.250	0.472	0.360	11650
1383	GRANDFATHER	grandfather	0.827	0.279	0.586	7701
1384	SECOND	second	0.490	0.210	0.250	15579
1385	PEPPER	pepper	0.400	0.539	0.328	12807
1386	LION	lion	0.532	0.717	0.682	10291
1387	ARRIVE	arrive	0.837	0.406	0.585	966
1388	SHADE	shadow	0.302	0.343	0.158	15775
1389	TOE	toe	0.406	0.221	0.293	18052
139	GUMS	gum	0.573	0.227	0.213	7919
1390	WRONG	wrong	0.042	0.582	0.480	19866
1391	TOWN	town	0.551	0.299	0.627	18155
1392	LOUSE	louse	0.184	0.439	0.154	10453
1393	HORN (ANATOMY)	horn	0.385	0.510	0.366	8512
1394	BONE	bone	0.337	0.370	0.413	1955
1395	ROUND	round	0.552	0.434	0.311	15136
1396	SHARP	sharp	0.459	0.585	0.585	15808
1398	DRY	dry	0.363	0.169	0.311	5493
1399	CLAY	clay	0.542	0.250	0.267	3104
14	YOKE	yoke	0.281	0.620	0.582	19929
140	PADDY FIELD	paddy	0.653	0.330	0.330	12438
1400	THIN (SLIM)	skinny	0.333	0.333	0.298	16127
1401	DRINK	drink	0.650	0.552	0.474	5451
1402	BREAST	breast	0.753	0.429	0.500	2123
1403	BITE	bite	0.219	0.796	0.510	1760
1405	NAME	name	0.573	0.300	0.415	11569
1406	FAR	distant	0.229	0.324	0.269	5194
1407	BREATHE	breathe	0.833	0.373	0.518	2125
1408	HEAR	hear	0.760	0.429	0.444	8186
1409	SEE	see	0.635	0.269	0.312	15615
1411	LIE (REST)	lie	0.130	0.725	0.272	10208
