CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_RT_MEAN	LINE_IN_SOURCE
1370	MONTH	mes	2.7143	505.8185	1646
1375	WINDOW	ventana	1.8233	519.2023	2690
1380	TOOTH	diente	1.6000	559.1089	835
1381	SHOE	zapato	1.7200	498.0891	2762
1382	NEEDLE (FOR SEWING)	aguja	2.1200	522.9284	71
1383	GRANDFATHER	abuelo	1.5769	481.8246	12
1384	SECOND	segundo	2.9600	484.3318	2349
1386	LION	león	2.1200	464.8641	1483
1391	TOWN	ciudad	2.5500	487.0969	553
1393	HORN (ANATOMY)	cuerno	2.8214	515.3838	745
1394	BONE	hueso	2.7100	495.6844	1327
1401	DRINK	beber	1.5600	481.5318	296
1402	BREAST	seno	4.5769	556.8542	2361
1403	BITE	morder	2.4400	500.5665	1698
1404	STRAIGHT	recto	3.1600	540.5223	2190
1405	NAME	nombre	1.9200	500.1434	1773
1408	HEAR	oír	2.0800	515.3836	1814
1409	SEE	ver	1.9200	519.9300	2692
141	BURN (SOMETHING)	quemar	2.4800	512.0745	2147
1410	KNOW (SOMETHING)	saber	2.7600	485.1429	2299
1413	PLAY	jugar	1.6800	493.7347	1430
1415	THINK (REFLECT)	pensar	2.8800	497.5097	1958
1416	SIT	sentar	1.8800	540.6450	2363
1417	KILL	matar	2.8400	509.9282	1607
1419	FEAR (BE AFRAID)	temer	3.9200	553.6697	2514
1420	COUNT	contar	2.4400	538.3393	666
1422	BE ALIVE	vivir	2.2000	450.6844	2741
1430	STAR	estrella	2.4200	526.4150	1032
1432	CUT	cortar	2.5600	511.8406	698
1435	HUNT	cazar	3.5200	519.1253	479
1439	SWIM	nadar	2.6000	501.0727	1739
1443	WALK	andar	1.6800	515.5553	124
1446	COME	venir	2.4000	500.1817	2688
1447	GIVE	dar	2.3600	528.1252	775
1448	HOLD	sostener	4.4400	548.6738	2434
1453	WASH	lavar	2.5200	527.6112	1468
1456	THROW	echar	2.5200	521.0177	892
1457	SEW	coser	3.0000	523.5519	702
1464	LADDER	escalera	2.1350	529.0419	971
1467	CIRCLE	círculo	2.2600	556.3331	549
1468	LOOK FOR	buscar	2.2800	480.3715	360
1469	WEEK	semana	2.3462	523.5320	2354
1472	KEY	llave	2.4800	492.4709	1514
1474	SEA	mar	1.6800	461.5818	1584
1475	COMB	peine	1.7700	516.3059	1948
1476	CHAIR	silla	1.3100	478.4807	2390
1480	BODY	cuerpo	2.4400	482.9933	747
1481	HAMMER	martillo	2.7700	516.9372	1598
1482	SHOULDER	hombro	2.2500	497.5191	1308
1484	OIL (ORGANIC SUBSTANCE)	aceite	3.6000	516.8821	22
1487	POUR	servir	3.6000	476.8797	2379
1489	CLOUD	nube	1.4600	524.1931	1785
1491	MOUSE	ratón	1.6900	493.7936	2171
1494	DIE	morir	2.6800	492.1638	1700
1502	GOAT	cabra	2.5167	530.3061	372
1503	SALIVA	saliva	2.6800	558.0868	2317
1504	FLY (INSECT)	mosca	1.6700	521.0578	1704
1506	MEASURE	medir	3.8400	501.5282	1621
1510	CHIN	mentón	5.4800	591.4744	1636
1511	ROOSTER	gallo	1.7500	496.2503	1200
1519	RUN	correr	2.3200	505.4609	697
1524	WINE	vino	4.1600	532.0868	2731
1531	BRANCH	rama	2.4600	493.2911	2159
1534	FEVER	fiebre	2.8400	532.1181	1116
1535	SWORD	espada	2.5000	498.2534	994
1536	UNDERSTAND	entender	3.0000	535.2906	945
1537	SPRINGTIME	primavera	2.6923	522.7903	2088
1539	BASKET	cesta	2.3800	542.0955	507
1547	SOUP	caldo	3.2000	556.3982	387
1553	MALE	varón	3.7200	532.9851	2676
1554	MAN	hombre	2.1714	511.3403	1307
1558	SIMILAR	semejante	4.6800	558.4882	2357
1559	MONEY	dinero	2.1900	506.1600	842
156	RED	rojo	2.0800	488.3682	2276
1560	FACE	cara	1.8000	498.4162	432
1567	DOOR	puerta	1.8800	497.7594	2137
1569	CHEESE	queso	1.9300	486.5545	2150
1571	SELL	vender	3.0800	508.2309	2685
1574	FLOAT	flotar	2.9200	524.5726	1142
1578	IGUANA	iguana	3.8800	567.8564	1345
1585	SLEEP	dormir	1.7600	489.6052	877
1586	SMELL (PERCEIVE)	oler	2.4000	525.5094	1819
1592	CHEST	pecho	2.7500	488.7960	1943
1594	FLOUR	harina	3.2800	541.0387	1275
1595	SOUTH	sur	3.3600	531.6620	2466
1597	AIRPLANE	avión	2.3333	491.7460	248
1598	NORTH	norte	3.9200	480.6217	1777
1599	WORD	palabra	2.2800	516.7314	1870
1600	SKIRT	falda	1.9600	506.1072	1089
1604	TEMPLES	sien	5.2000	635.3075	2382
1607	HATE	odiar	3.2400	537.3329	1807
1612	LETTER	carta	2.5357	492.7360	452
1613	COLOR	color	2.3200	489.7611	595
1616	CLOTH	tela	3.4231	522.7821	2511
1618	GRANDSON	nieto	3.0400	544.8403	1764
1620	SON	hijo	2.4000	506.4116	1295
1622	SHIRT	camisa	2.6500	485.0921	404
1623	SPEAK	hablar	1.5600	487.8506	1264
1624	EMPTY	vacío	3.0400	494.0571	2659
1626	EXPLAIN	explicar	3.6400	485.2060	1063
1627	CHAIN	cadena	2.7300	547.1628	376
163	BLACK	negro	2.0800	498.2583	1755
1631	FAST	rápido	3.1600	494.4006	2166
1632	FLOOR	suelo	2.1714	500.5141	2447
1633	FLAT	plano	3.4400	500.4109	2018
1635	OBEY	obedecer	2.9600	593.8744	1792
1641	SILK	seda	3.9200	543.3188	2344
1653	BLIND	ciego	3.1100	495.7265	534
1654	LIGHTNING	relámpago	3.0800	561.9003	2212
1663	BED	cama	1.3100	476.5446	399
1666	MUTE	mudo	2.8400	517.5369	1714
1671	TOWER	torre	2.9600	510.2509	2582
1672	WRITE	escribir	2.4000	504.7177	987
1673	ARM	brazo	1.4300	519.3297	339
1674	POOR	pobre	3.0400	508.5306	2033
1678	HUT	rancho	4.5769	564.6030	2162
1681	WAIST	cintura	3.2000	530.1631	545
