CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_HUMOR_MEAN	ENGLISH_HUMOR_MEAN_MALE	ENGLISH_HUMOR_MEAN_FEMALE	ENGLISH_HUMOR_MEAN_YOUNG	ENGLISH_HUMOR_MEAN_OLD	LINE_IN_SOURCE
1366	BOY	boy	2.594594595	2.714285714	2.52173913	2.833333333	2.368421053	425
1367	CROSS	cross	1.885714286	1.888888889	1.882352941	1.75	2	1012
1368	BREAD	bread	2	1.909090909	2.05	2	2	442
1369	GOLD	gold	2.228571429	2.181818182	2.25	2.263157895	2.1875	1767
1371	KNEE	knee	2.057142857	1.785714286	2.238095238	1.952380952	2.214285714	2265
1373	TEA	tea	2.128205128	2.0625	2.173913043	2.05	2.210526316	4393
1375	WINDOW	window	1.918918919	1.666666667	2.157894737	1.615384615	2.083333333	4908
1377	VISIT	visit	2.228571429	2	2.470588235	2.222222222	2.235294118	4764
1378	SPOON	spoon	2.692307692	2.777777778	2.619047619	2.833333333	2.571428571	4091
138	BATHE	bath	2.393939394	2.1875	2.588235294	2.35	2.461538462	207
1380	TOOTH	tooth	2.358974359	2.461538462	2.307692308	2.142857143	2.48	4520
1381	SHOE	shoe	2.785714286	3	2.684210526	2.785714286	2.785714286	3814
1382	NEEDLE (FOR SEWING)	needle	2.032258065	1.923076923	2.111111111	1.941176471	2.142857143	2766
1384	SECOND	second	2.233333333	2.444444444	2.142857143	1.941176471	2.615384615	3728
1385	PEPPER	pepper	2.142857143	2.272727273	2.058823529	2.5	1.785714286	3029
1386	LION	lion	2.108108108	2	2.16	2.05	2.176470588	2398
1388	SHADE	shade	2.466666667	2.181818182	2.631578947	2.375	2.571428571	3766
139	GUMS	gum	2.4	2.615384615	2.235294118	2.357142857	2.4375	1872
1391	TOWN	town	1.8	1.538461538	2.083333333	1.818181818	1.785714286	4549
1392	LOUSE	louse	2.382352941	2.388888889	2.4	2.090909091	2.916666667	2450
1393	HORN (ANATOMY)	horn	2.627906977	2.714285714	2.586206897	2.689655172	2.5	2057
1394	BONE	bone	2.804878049	2.631578947	2.954545455	3.214285714	2.592592593	384
1395	ROUND	round	2.4	2.181818182	2.5	2.263157895	2.5625	3573
1396	SHARP	sharp	2.282051282	2.65	1.894736842	2.166666667	2.380952381	3781
1399	CLAY	clay	1.975609756	2.388888889	1.652173913	2	1.9375	765
1402	BREAST	bosom	3.066666667	3.2	2.933333333	2.615384615	3.411764706	408
1403	BITE	bite	2.243243243	2.133333333	2.318181818	2.291666667	2.153846154	299
1405	NAME	name	1.955555556	2.352941176	1.714285714	2.041666667	1.857142857	2748
1409	SEE	see	2.119047619	2.5	1.7	2.217391304	2	3732
1411	LIE (REST)	lie	1.757575758	2.058823529	1.4375	2	1.529411765	2364
1413	PLAY	play	2.675675676	2.583333333	2.791666667	2.894736842	2.444444444	3121
1414	SQUEEZE	wring	2.678571429	2.75	2.65	2.5	2.916666667	4962
1417	KILL	kill	1.428571429	1.578947368	1.25	1.363636364	1.538461538	2244
1418	DIG	dig	1.9	1.818181818	1.947368421	2.058823529	1.692307692	1155
1419	FEAR (BE AFRAID)	fear	1.777777778	1.882352941	1.684210526	1.818181818	1.714285714	1428
1420	COUNT	count	1.84375	1.692307692	1.947368421	2.125	1.5625	946
1423	FIGHT	fight	2.090909091	2.285714286	1.947368421	2.277777778	1.866666667	1458
1424	YELLOW	yellow	1.888888889	2.25	1.6	1.733333333	2.083333333	4977
1425	GREEN	green	2.515151515	2.588235294	2.4375	2.333333333	2.666666667	1819
1429	FULL	full	2.222222222	2.166666667	2.25	2.235294118	2.210526316	1639
1430	STAR	star	2.433333333	2.25	2.555555556	2.578947368	2.181818182	4153
1432	CUT	cut	2.060606061	2.166666667	2	2.25	1.882352941	1060
1433	HIT	hit	2	1.888888889	2.117647059	1.904761905	2.142857143	2017
1434	STAB	prick	3.325	3.8	3.04	3.5	3.181818182	3229
1435	HUNT	hunting	1.90625	2.111111111	1.826086957	1.8125	2	2091
1436	SCRATCH	scratch	1.8	1.636363636	1.894736842	1.7	2	3696
1437	SPLIT	split	2.151515152	2.25	2.058823529	2.125	2.222222222	4085
1438	FOOL	fool	2.818181818	2.727272727	2.909090909	3.166666667	2.4	1554
1439	SWIM	swimming	2.5	2.583333333	2.454545455	2.117647059	2.882352941	4325
1440	SPIT	spit	2.35	2.7	2.233333333	2.375	2.333333333	4078
1443	WALK	walk	2.322580645	2.5	2.222222222	2.157894737	2.583333333	4796
1446	COME	come	2.444444444	2.583333333	2.333333333	2.357142857	2.538461538	854
1447	GIVE	give	1.90625	2.153846154	1.736842105	2	1.769230769	1733
1448	HOLD	hold	2.441176471	2.4	2.434782609	2.0625	2.777777778	2028
1449	RUB	rub	2.586206897	2	2.894736842	2.1875	3.076923077	3581
1450	ROOM	room	1.921052632	1.933333333	1.913043478	1.958333333	1.857142857	3556
1451	SMILE	smile	2.807692308	2.272727273	3.2	2.230769231	3.384615385	3949
1452	PUSH	push	2.172413793	2.0625	2.307692308	1.9375	2.461538462	3317
1453	WASH	wash	2.178571429	2.307692308	2.066666667	2.266666667	2.076923077	4823
1454	WIPE	wipe	2.35483871	2.833333333	2.052631579	2.3125	2.4	4916
1455	PULL	pull	2	2	2	2	2	3293
1456	THROW	throw	2.15	2.15	2.15	1.9	2.4	4462
1458	SAY	say	2.27027027	2.454545455	2.192307692	2.428571429	2.173913043	3652
146	SUGAR CANE	cane	2.029411765	2.176470588	1.882352941	2.066666667	2	584
1462	POT	jar	2.03125	2.083333333	2	2.105263158	1.923076923	2164
1463	DRUNK	drunk	2.75862069	2.833333333	2.705882353	3	2.533333333	1267
1464	LADDER	ladder	2.3	2.444444444	2.238095238	2.153846154	2.411764706	2285
1465	BOX	case	1.9	1.9375	1.875	1.75	2.125	616
1468	LOOK FOR	search	2.323529412	2.636363636	2.136363636	2.458333333	2	3720
1470	FOLD	fold	1.774193548	1.571428571	1.941176471	1.611111111	2	1546
1472	KEY	key	2.052631579	2.05	2.055555556	2.111111111	2	2234
1473	FIST	fist	1.971428571	2.2	1.88	1.6875	2.210526316	1483
1475	COMB	comb	2.416666667	1.7	2.692307692	2.375	2.45	850
1476	CHAIR	seat	1.961538462	1.9	2	1.666666667	2.363636364	3724
1477	KEEP	keep	2.147058824	1.705882353	2.588235294	2.133333333	2.157894737	2225
1479	DOLPHIN	dolphin	2.684210526	2.5	2.733333333	3.1	2.222222222	1207
1480	BODY	body	2.37037037	2.5	2.294117647	2.6875	1.909090909	374
1481	HAMMER	hammer	2.666666667	2.769230769	2.615384615	2.8	2.526315789	1910
1482	SHOULDER	shoulder	2.25	2.333333333	2.238095238	2.388888889	2.136363636	3828
1483	NINE	nine	1.916666667	2	1.833333333	1.8	2.111111111	2800
1484	OIL (ORGANIC SUBSTANCE)	oil	2.653846154	2.583333333	2.714285714	2.666666667	2.625	2859
1488	FAUCET	faucet	2.466666667	3	2.333333333	3	2.058823529	1423
1489	CLOUD	cloud	2.28125	1.866666667	2.647058824	2.2	2.571428571	801
1490	RAT	rat	1.923076923	1.888888889	1.941176471	1.933333333	1.909090909	3404
1491	MOUSE	mouse	2.066666667	2.166666667	2	1.888888889	2.333333333	2702
1492	DUMB	dumb	2.482758621	2.444444444	2.5	2.583333333	2.411764706	1280
1493	ONE	one	2.055555556	1.842105263	2.294117647	2	2.142857143	2867
1494	DIE	die	1.666666667	1.363636364	1.842105263	2.071428571	1.3125	1152
1497	POSTCARD	postcard	2.407407407	2.583333333	2.214285714	2.363636364	2.4375	3189
1499	JUICE	juice	2.833333333	3.083333333	2.652173913	2.642857143	2.954545455	2204
15	OTTER	otter	2.9375	2.875	2.958333333	2.75	3.25	2890
150	WORRY	worry	2.043478261	2.2	1.75	2.272727273	1.833333333	4947
1500	FOUR	four	2.333333333	2	2.47826087	2.4375	2.235294118	1589
1502	GOAT	goat	2.470588235	2.5	2.444444444	2.526315789	2.4	1759
1505	SPERM	sperm	2.722222222	3.294117647	2.210526316	2.736842105	2.705882353	4064
1506	MEASURE	measure	2.075	2.076923077	2.074074074	2.347826087	1.705882353	2561
1507	FRUIT	fruit	2.1875	2	2.3	1.95	2.583333333	1632
1508	KING	king	2	1.875	2.153846154	1.882352941	2.166666667	2252
1509	MOSQUITO	gnat	2.4	2.375	2.411764706	2.416666667	2.384615385	1755
151	RAZOR	razor	2.205128205	2.055555556	2.333333333	2.105263158	2.3	3412
1511	ROOSTER	cock	3.24137931	3.333333333	3.2	3.384615385	3.125	823
1514	HEN	hen	2.458333333	2.636363636	2.307692308	2.333333333	2.666666667	1990
1515	TEN	ten	2.137931034	2.25	2.095238095	1.7	2.368421053	4414
1517	WASP	wasp	2.342105263	2.666666667	2.130434783	2.52	2	4827
1518	STUPID	stupid	2.366666667	2.769230769	2.058823529	2.75	2.111111111	4258
