CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_SOUND_MEAN	ENGLISH_COLOR_MEAN	ENGLISH_MANIPULATION_MEAN	ENGLISH_MOTION_MEAN	ENGLISH_EMOTION_MEAN	LINE_IN_SOURCE
1365	KITCHEN	kitchen	2.32	1.90	2.53	0.85	1.59	698
1366	BOY	boy	2.90	2.04	1.83	4.00	2.15	157
1368	BREAD	bread	0.42	2.33	3.17	0.00	1.36	164
1371	KNEE	knee	0.64	1.36	3.58	2.55	-0.33	701
1372	MEDICINE	medicine	0.48	1.49	3.59	1.44	2.41	791
1373	TEA	tea	0.84	2.60	2.52	0.23	1.60	1240
1374	RING	ring	2.90	3.17	3.15	1.00	2.75	1049
1375	WINDOW	window	1.46	1.27	2.69	0.46	1.45	1368
1378	SPOON	spoon	1.73	2.30	2.92	0.82	1.08	1175
1379	TELEPHONE	telephone	4.60	1.63	3.49	0.88	1.86	1244
138	BATHE	bath	1.82	1.00	2.00	0.58	2.27	96
1380	TOOTH	tooth	0.92	2.69	2.92	1.08	0.42	1276
1381	SHOE	shoe	1.35	2.58	2.84	2.19	1.33	1113
1382	NEEDLE (FOR SEWING)	needle	0.93	1.17	3.42	0.82	-1.91	852
1385	PEPPER	pepper	0.45	3.98	1.98	0.53	-0.17	927
1386	LION	lion	4.55	4.17	1.92	4.00	-0.42	746
1388	SHADE	shadow	0.30	2.42	1.14	2.70	0.83	1102
1389	TOE	toe	0.35	2.22	2.22	2.08	-0.64	1269
139	GUMS	gum	2.52	3.56	3.48	2.14	1.06	568
1391	TOWN	town	3.73	1.83	0.83	1.42	0.92	1283
1392	LOUSE	lice	0.12	1.67	1.53	2.23	-3.55	736
1393	HORN (ANATOMY)	horn	5.09	2.02	3.22	1.03	-0.14	616
1394	BONE	bone	0.75	3.64	2.14	0.62	-0.55	144
1399	CLAY	clay	0.51	3.02	4.67	0.54	0.25	276
1401	DRINK	drink	1.45	1.50	3.27	1.23	0.27	395
1402	BREAST	breast	0.58	1.31	2.83	0.71	2.58	166
1406	FAR	far	0.32	0.15	0.63	0.47	-0.97	448
1430	STAR	star	0.38	3.55	0.77	1.09	4.33	1188
