CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_FREQUENCY	CHINESE_FREQUENCY_PM	CHINESE_FREQUENCY_LOG	CHINESE_CD	CHINESE_CD_PERCENTAGE	CHINESE_CD_LOG	LINE_IN_SOURCE
66	KNEEL	跪	328	9.78	2.5159	250	4	2.3979	5403
660	REEF	暗礁	61	1.82	1.7853	19	0.3	1.2788	15287
661	RELIGION	宗教	871	25.96	2.94	470	7.53	2.6721	2683
662	BATTERY	电池	514	15.32	2.711	320	5.13	2.5051	3978
663	BAY	港湾	39	1.16	1.5911	25	0.4	1.3979	19477
664	RESIN	松香	15	0.45	1.1761	10	0.16	1	30436
665	BEE	蜜蜂	581	17.32	2.7642	158	2.53	2.1987	3609
666	RIVER	川	282	8.41	2.4502	87	1.39	1.9395	6000
667	ROAD	街道	492	14.67	2.692	372	5.96	2.5705	4093
668	ROCK	岩石	355	10.58	2.5502	178	2.85	2.2504	5119
670	ROOT	本	10526	313.77	4.0223	3743	59.96	3.5732	338
671	SAND	沙尘	7	0.21	0.8451	6	0.1	0.7782	41829
672	EARLY	早	12185	363.23	4.0858	4580	73.36	3.6609	292
673	SCHOOL	学校	7502	223.63	3.8752	2435	39	3.3865	447
674	MOUTH	最	46464	1385.06	4.6671	6129	98.17	3.7874	95
675	FAECES (EXCREMENT)	粪便	129	3.85	2.1106	82	1.31	1.9138	9871
677	AXE	斧子	98	2.92	1.9912	70	1.12	1.8451	11599
678	BEARD	胡须	104	3.1	2.017	83	1.33	1.9191	11219
679	BRIGHT	炯炯	2	0.06	0.301	2	0.03	0.301	66526
680	BREAK (DESTROY OR GET DESTROYED)	打破	753	22.45	2.8768	558	8.94	2.7466	2968
681	DESTROY	拆除	134	3.99	2.1271	97	1.55	1.9868	9622
682	SIDE	边	3385	100.9	3.5296	2053	32.88	3.3124	915
683	PERSON	人类	3857	114.97	3.5862	1372	21.98	3.1374	808
685	DECIDE	决定	10318	307.57	4.0136	3979	63.74	3.5998	340
686	EASY	容易	5146	153.4	3.7115	3062	49.05	3.486	627
