CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_AOA_MIN	SPANISH_AOA_MAX	SPANISH_AOA_ZSCORE	LINE_IN_SOURCE
1829	JUMP	saltar	4.26	2	12	-2.151831354828181	4127
183	BAKE	hornear	9.10204081632653	2	17	-0.30981539705172245	2675
1831	MEET	reunirse	8.24	4	15	-0.6377541733160637	4053
1839	CRY	llorar	3.4	2	6	-2.4789937608835633	2999
1840	BUILD	construir	5.46	3	10	-1.6953256719602061	1145
1841	SUSPECT	sospechar	8.3	4	13	-0.6149288891726647	4266
1846	RULE	gobernar	9.1	3	16	-0.3105917672606817	2590
1849	ROW	remar	6.604166666666667	2	14	-1.2600601840590047	3907
1869	BUY	comprar	4.84	1	9	-1.9311869414419933	1032
1879	DANCE	bailar	4.22	1	17	-2.1670482109237805	690
1890	BELIEVE	creer	6.06	3	15	-1.4670728305262186	1238
1892	TOUCH	tocar	4.3	2	9	-2.136614498732582	4405
1897	HELP	ayudar	5	2	10	-1.8703195170595965	683
1902	BETRAY	traicionar	8.24	3	13	-0.6377541733160637	4433
1904	DROWN	ahogar	6	3	10	-1.4898981146696173	265
1909	SHAKE	sacudir	6.72	2	13	-1.2159947049488322	4117
1913	PRESS	presionar	8.38	4	16	-0.5844951769814664	3527
1917	TIE	atar	6.2	2	11	-1.4138138341916213	607
1920	DREAM (SOMETHING)	soñar	4.7	2	9	-1.9844459377765902	4256
1921	PLOUGH	arar	9.54	5	17	-0.14320635020909103	515
1922	LAND (DESCEND)	desembarcar	8.84	4	13	-0.4095013318820762	1542
1929	STUDY	estudiar	6.24	2	18	-1.3985969780960221	2343
1939	SWEAR	jurar	6.9	3	16	-1.1475188525186357	2921
1948	SAW	serrar	9.772727272727273	4	16	-0.05467191474378619	4182
1962	ROAST (SOMETHING)	asar	8.085106382978724	3	14	-0.696679020324554	567
1983	SNORE	roncar	6.28	2	14	-1.383380122000423	4095
1990	BECOME	volverse	6.8	2	14	-1.185560992757634	4616
1998	COMMAND	mandar	6.64	3	12	-1.2464284171400306	3039
1999	OVERCOME	superar	7.7	3	14	-0.8431817306066525	4310
