ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	FAMILY_FREQUENCY	LANGUAGE_FREQUENCY	WORD_FREQUENCY	RANK	COMMUNITY	CENTRAL_CONCEPT	DEGREE	WEIGHTED_FAMILY_DEGREE	WEIGHTED_LANGUAGE_DEGREE	LINKED_CONCEPTS
Rzymski-2020-4164-22	22	1029	JEWEL	JEWEL	25	229	328	615	117	STONE OR ROCK	2	9	9	"[{""ID"": ""Rzymski-2020-4164-861"", ""NAME"": ""STONE OR ROCK"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-1591"", ""NAME"": ""ORNAMENT"", ""WordWeight"": 7, ""LanguageWeight"": 7, ""FamilyWeight"": 5}]"
Rzymski-2020-4164-23	23	1032	CITIZEN	CITIZEN	38	248	322	1322	14	MAN	5	27	27	"[{""ID"": ""Rzymski-2020-4164-1508"", ""NAME"": ""PEOPLE"", ""WordWeight"": 19, ""LanguageWeight"": 18, ""FamilyWeight"": 9}, {""ID"": ""Rzymski-2020-4164-272"", ""NAME"": ""NEIGHBOUR"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-265"", ""NAME"": ""FRIEND"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-555"", ""NAME"": ""RELATIVES"", ""WordWeight"": 6, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-1416"", ""NAME"": ""PERSON"", ""WordWeight"": 8, ""LanguageWeight"": 8, ""FamilyWeight"": 6}]"
Rzymski-2020-4164-24	24	1033	GRIND	GRIND	63	593	828	1533	9	RUB	9	53	53	"[{""ID"": ""Rzymski-2020-4164-386"", ""NAME"": ""PUSH"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 5}, {""ID"": ""Rzymski-2020-4164-986"", ""NAME"": ""KNEAD"", ""WordWeight"": 6, ""LanguageWeight"": 5, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-1378"", ""NAME"": ""MILL"", ""WordWeight"": 26, ""LanguageWeight"": 26, ""FamilyWeight"": 7}, {""ID"": ""Rzymski-2020-4164-952"", ""NAME"": ""SHARPEN (SOMETHING)"", ""WordWeight"": 13, ""LanguageWeight"": 13, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-751"", ""NAME"": ""PRESS"", ""WordWeight"": 37, ""LanguageWeight"": 37, ""FamilyWeight"": 10}, {""ID"": ""Rzymski-2020-4164-1212"", ""NAME"": ""POUND"", ""WordWeight"": 9, ""LanguageWeight"": 9, ""FamilyWeight"": 6}, {""ID"": ""Rzymski-2020-4164-347"", ""NAME"": ""SQUEEZE"", ""WordWeight"": 20, ""LanguageWeight"": 18, ""FamilyWeight"": 12}, {""ID"": ""Rzymski-2020-4164-1601"", ""NAME"": ""DRAW MILK"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-389"", ""NAME"": ""PULL"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}]"
Rzymski-2020-4164-25	25	1034	DEFENDANT	DEFENDANT	35	222	265	55	23	FAULT	1	4	4	"[{""ID"": ""Rzymski-2020-4164-587"", ""NAME"": ""GUILTY"", ""WordWeight"": 5, ""LanguageWeight"": 4, ""FamilyWeight"": 4}]"
Rzymski-2020-4164-26	26	1035	GOOD	GOOD	190	2741	3304	1635	20	GOOD	14	122	122	"[{""ID"": ""Rzymski-2020-4164-337"", ""NAME"": ""STRAIGHT"", ""WordWeight"": 11, ""LanguageWeight"": 11, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-184"", ""NAME"": ""NEW"", ""WordWeight"": 7, ""LanguageWeight"": 7, ""FamilyWeight"": 5}, {""ID"": ""Rzymski-2020-4164-1509"", ""NAME"": ""READY"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-1434"", ""NAME"": ""CLEAN"", ""WordWeight"": 16, ""LanguageWeight"": 15, ""FamilyWeight"": 8}, {""ID"": ""Rzymski-2020-4164-425"", ""NAME"": ""HAPPY"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-1596"", ""NAME"": ""LOVE"", ""WordWeight"": 7, ""LanguageWeight"": 7, ""FamilyWeight"": 5}, {""ID"": ""Rzymski-2020-4164-565"", ""NAME"": ""TRUE"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-611"", ""NAME"": ""CORRECT (RIGHT)"", ""WordWeight"": 78, ""LanguageWeight"": 75, ""FamilyWeight"": 30}, {""ID"": ""Rzymski-2020-4164-17"", ""NAME"": ""RIGHT"", ""WordWeight"": 26, ""LanguageWeight"": 26, ""FamilyWeight"": 9}, {""ID"": ""Rzymski-2020-4164-361"", ""NAME"": ""BEAUTIFUL"", ""WordWeight"": 101, ""LanguageWeight"": 96, ""FamilyWeight"": 25}, {""ID"": ""Rzymski-2020-4164-933"", ""NAME"": ""GOOD-LOOKING"", ""WordWeight"": 11, ""LanguageWeight"": 11, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-303"", ""NAME"": ""HEALTHY"", ""WordWeight"": 24, ""LanguageWeight"": 21, ""FamilyWeight"": 13}, {""ID"": ""Rzymski-2020-4164-1447"", ""NAME"": ""SWEET"", ""WordWeight"": 10, ""LanguageWeight"": 10, ""FamilyWeight"": 6}, {""ID"": ""Rzymski-2020-4164-217"", ""NAME"": ""YES"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}]"
Rzymski-2020-4164-27	27	1038	TEACHER	TEACHER	64	501	648	208	243	PUPIL (STUDENT)	1	6	6	"[{""ID"": ""Rzymski-2020-4164-1479"", ""NAME"": ""PUPIL (STUDENT)"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 6}]"
Rzymski-2020-4164-28	28	1039	SHOW	SHOW	78	625	737	1257	102	SEEM	5	24	24	"[{""ID"": ""Rzymski-2020-4164-447"", ""NAME"": ""SEEM"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-542"", ""NAME"": ""EXPLAIN"", ""WordWeight"": 8, ""LanguageWeight"": 5, ""FamilyWeight"": 5}, {""ID"": ""Rzymski-2020-4164-1439"", ""NAME"": ""TEACH"", ""WordWeight"": 12, ""LanguageWeight"": 11, ""FamilyWeight"": 5}, {""ID"": ""Rzymski-2020-4164-1580"", ""NAME"": ""ANNOUNCE"", ""WordWeight"": 7, ""LanguageWeight"": 6, ""FamilyWeight"": 5}, {""ID"": ""Rzymski-2020-4164-718"", ""NAME"": ""VISIBLE"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 5}]"
Rzymski-2020-4164-29	29	1040	HAIR	HAIR	130	1948	2259	1179	17	FEATHER	5	46	46	"[{""ID"": ""Rzymski-2020-4164-152"", ""NAME"": ""FEATHER"", ""WordWeight"": 68, ""LanguageWeight"": 67, ""FamilyWeight"": 16}, {""ID"": ""Rzymski-2020-4164-1332"", ""NAME"": ""FUR"", ""WordWeight"": 14, ""LanguageWeight"": 11, ""FamilyWeight"": 6}, {""ID"": ""Rzymski-2020-4164-1370"", ""NAME"": ""LEAF"", ""WordWeight"": 33, ""LanguageWeight"": 33, ""FamilyWeight"": 10}, {""ID"": ""Rzymski-2020-4164-206"", ""NAME"": ""HEAD"", ""WordWeight"": 18, ""LanguageWeight"": 17, ""FamilyWeight"": 7}, {""ID"": ""Rzymski-2020-4164-732"", ""NAME"": ""HAIR (BODY)"", ""WordWeight"": 16, ""LanguageWeight"": 15, ""FamilyWeight"": 7}]"
Rzymski-2020-4164-30	30	1041	INCREASE	INCREASE	19	309	492	544	44	GO UP (ASCEND)	2	10	10	"[{""ID"": ""Rzymski-2020-4164-1435"", ""NAME"": ""GO UP (ASCEND)"", ""WordWeight"": 8, ""LanguageWeight"": 7, ""FamilyWeight"": 6}, {""ID"": ""Rzymski-2020-4164-1293"", ""NAME"": ""GROW"", ""WordWeight"": 13, ""LanguageWeight"": 13, ""FamilyWeight"": 4}]"
Rzymski-2020-4164-31	31	1042	CARPENTER	CARPENTER	40	356	390	477	196	CARPENTER	2	6	6	"[{""ID"": ""Rzymski-2020-4164-1565"", ""NAME"": ""MASON"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-1590"", ""NAME"": ""SCULPTOR"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}]"
