CONCEPTICON_ID	CONCEPTICON_GLOSS	ITALIAN	ENGLISH	ITALIAN_FAMILIARITY_MEAN	ITALIAN_IMAGEABILITY_MEAN	ITALIAN_CONCRETENESS_MEAN	ITALIAN_VALENCE_ALL_MEAN	ITALIAN_AROUSAL_ALL_MEAN	ITALIAN_DOMINANCE_ALL_MEAN	ITALIAN_VALENCE_FEMALE_MEAN	ITALIAN_AROUSAL_FEMALE_MEAN	ITALIAN_DOMINANCE_FEMALE_MEAN	ITALIAN_VALENCE_MALE_MEAN	ITALIAN_AROUSAL_MALE_MEAN	ITALIAN_DOMINANCE_MALE_MEAN	ITALIAN_POS	LINE_IN_SOURCE
1171	MIRROR	specchio	mirror	7.95	8.7	8.55	5.9393939393939394	5.7272727272727275	5.151515151515151	5.913043478260869	5.956521739130435	5.043478260869565	6.0		5.4	s	958
1189	ULCER	ulcera	ulcer	5.1	5.6	5.6	2.1142857142857143	5.6	4.514285714285714	2.08	5.44	4.6	2.2		4.3	s	1059
1199	WIFE	moglie	wife	7.25	7.6	6.85	6.848484848484849	5.7272727272727275	5.96969696969697	6.818181818181818	6.318181818181818	6.136363636363637	6.909090909090909		5.636363636363637	s	627
1207	YOUNG	giovane	young	8.15	7.95	6.75	7.863636363636363	6.5227272727272725	6.545454545454546	8.058823529411764	6.970588235294118	6.676470588235294	7.2		6.1	a/s	438
1216	MOTHER	madre	mother	8.25	8.7	8.55	8.393939393939394	5.393939393939394	6.424242424242424	8.590909090909092	5.545454545454546	6.818181818181818	8.0		5.636363636363637	s	570
1217	FATHER	padre	father	8.35	8.45	8.25	7.771428571428571	5.285714285714286	5.6	8.0	5.16	5.72	7.2		5.3	s	716
1218	ROPE	corda	cord	7.05	8.3	8.0	4.28125	5.3125	5.3125	3.9545454545454546	5.818181818181818	5.136363636363637	5.0		5.7	s	237
122	CART	carro	wagon	5.6	7.05	7.05	5.484848484848484	4.9393939393939394	5.03030303030303	5.304347826086956	5.086956521739131	5.086956521739131	5.9		4.9	s	173
1221	NOSE	naso	nose	8.25	8.7	8.3	4.9393939393939394	5.090909090909091	5.151515151515151	5.045454545454546	5.318181818181818	5.318181818181818	4.7272727272727275		4.818181818181818	s	655
1222	PENIS	pene	penis	7.1	8.15	8.25	6.088235294117647	6.088235294117647	5.9411764705882355	6.375	6.166666666666667	5.541666666666667	5.4		6.9	s	742
1223	HEART	cuore	heart	7.95	8.1	7.2	7.424242424242424	5.848484848484849	5.96969696969697	7.608695652173913	6.3478260869565215	5.913043478260869	7.0		6.1	s	259
1225	DAY (NOT NIGHT)	luce	daylight	7.5	8.0	7.05	7.742857142857143	4.8	6.428571428571429	7.791666666666667	4.875	6.791666666666667	7.636363636363637		5.636363636363637	s	562
1227	BOARD	bordo	board	6.15	6.5	6.4	4.848484848484849	5.333333333333333	5.0606060606060606	4.913043478260869	5.391304347826087	4.956521739130435	4.7		5.3	s	127
1230	DIRTY	sporco	dirt	5.85	7.35	6.95	1.9696969696969697	5.848484848484849	4.96969696969697	1.826086956521739	5.826086956521739	5.086956521739131	2.3		4.7	a	967
1234	SMOOTH	liscio	smooth	6.15	7.0	5.9	6.129032258064516	4.612903225806452	5.516129032258065	5.857142857142857	4.476190476190476	5.428571428571429	6.7		5.7	a	558
124	THORN	spina	thorn	7.0	7.8	8.0	2.914285714285714	6.542857142857143	4.257142857142857	2.96	6.4	4.44	2.8		3.8	s	964
1245	BUTTER	burro	butter	7.8	8.35	8.5	5.352941176470588	4.0588235294117645	5.470588235294118	5.291666666666667	4.416666666666667	5.416666666666667	5.5		5.6	s	139
1247	EAR	orecchio	ear	8.4	8.6	8.75	5.382352941176471	4.411764705882353	5.235294117647059	5.416666666666667	4.291666666666667	5.333333333333333	5.3		5.0	s	699
1248	EYE	occhio	eye	8.65	8.85	8.6	6.795454545454546	5.409090909090909	6.068181818181818	6.852941176470588	5.911764705882353	6.088235294117647	6.6		6.0	s	679
1251	BELLY	stomaco	stomach	7.55	7.65	8.05	4.588235294117647	5.117647058823529	4.676470588235294	4.333333333333333	5.208333333333333	4.583333333333333	5.2		4.9	s	979
1252	HOUSE	casa	home	8.6	8.55	8.05	8.257142857142858	4.428571428571429	6.228571428571429	8.76	4.2	6.48	7.0		5.6	s	176
1259	WEDDING	matrimonio	wedding	7.75	8.25	7.8	7.125	5.71875	6.40625	7.636363636363637	6.2727272727272725	6.454545454545454	6.0		6.3	s	599
1266	BRIDE	sposa	bride	6.9	8.35	8.4	7.735294117647059	5.764705882352941	6.470588235294118	7.666666666666667	6.125	6.25	7.9		7.0	s	968
1271	DELIGHT	delizia	delight	6.75	6.6	4.9	7.96969696969697	5.424242424242424	5.96969696969697	8.304347826086957	5.304347826086956	6.173913043478261	7.2		5.5	s	269
1275	ANSWER	risposta	answer	7.05	5.75	4.85	6.242424242424242	6.121212121212121	5.878787878787879	6.434782608695652	6.565217391304348	5.826086956521739	5.8		6.0	s	858
1276	AUTUMN	caduta	fall	6.9	7.15	5.85	3.0	6.0285714285714285	3.9714285714285715	3.08	6.2	4.08	2.8		3.7	s	142
1277	HAND	mano	hand	8.25	8.7	8.25	6.0	4.9375	5.59375	5.954545454545454	5.2727272727272725	5.409090909090909	6.1		6.0	s	589
1278	VOMIT	vomito	vomit	7.7	7.85	6.7	1.6363636363636365	4.636363636363637	5.7272727272727275	1.2272727272727273	4.318181818181818	5.7272727272727275	2.4545454545454546		5.7272727272727275	s	1116
1281	PRISON	carcere	jail	5.9	7.65	7.85	2.4285714285714284	6.6	4.0	2.44	6.92	4.04	2.4		3.9	s	170
1289	BABY	neonato	infant	6.45	7.8	7.65	8.272727272727273	6.0	6.484848484848484	8.434782608695652	6.130434782608695	6.521739130434782	7.9		6.4	a/s	661
1290	ELEPHANT	elefante	elephant	5.75	8.05	7.85	6.333333333333333	5.444444444444445	4.805555555555555	6.384615384615385	5.8076923076923075	4.846153846153846	6.2		4.7	s	324
1293	MISTAKE	errore	mistake	6.85	5.35	4.65	2.8857142857142857	6.542857142857143	3.657142857142857	2.88	6.52	3.64	2.9		3.7	s	335
1297	LEG	gamba	leg	8.05	8.3	8.35	5.545454545454546	4.96969696969697	5.454545454545454	5.434782608695652	5.0	5.260869565217392	5.8		5.9	s	415
13	DECEIT	inganno	deceit	5.65	5.65	4.25	2.0	6.181818181818182	4.03030303030303	1.8181818181818181	6.545454545454546	3.909090909090909	2.3636363636363638		4.2727272727272725	s	504
1303	FINGER	dito	finger	8.45	8.4	8.4	5.242424242424242	4.909090909090909	5.484848484848484	5.3478260869565215	5.130434782608695	5.043478260869565	5.0		6.5	s	305
1306	QUEEN	regina	queen	7.05	7.9	7.65	6.696969696969697	5.9393939393939394	6.242424242424242	6.913043478260869	6.3478260869565215	6.130434782608695	6.2		6.5	s	836
131	FESTIVAL	festa	party	7.8	8.15	7.2	7.65625	6.59375	6.90625	7.7727272727272725	6.909090909090909	6.954545454545454	7.4		6.8	s	376
1314	QUIET	silenzioso	quiet	6.75	5.65	4.65	5.514285714285714	4.285714285714286	5.628571428571429	5.44	4.48	5.4	5.7		6.2	a	932
1315	RADIO	radio	radio	7.7	7.9	7.8	7.393939393939394	4.545454545454546	6.0	7.304347826086956	5.260869565217392	5.782608695652174	7.6		6.5	s	818
1319	COWARD	codardo	coward	5.85	5.15	3.95	2.8857142857142857	5.9714285714285715	5.6571428571428575	3.04	5.84	5.64	2.5		5.7	a	208
1321	BOTTLE	bottiglia	bottle	7.8	8.1	8.2	5.972222222222222	5.416666666666667	5.333333333333333	6.0	5.615384615384615	5.269230769230769	5.9		5.5	s	128
1323	CLOCK	orologio	clock	8.15	8.15	8.5	5.0606060606060606	5.454545454545454	4.515151515151516	5.0	5.391304347826087	4.434782608695652	5.2		4.7	s	704
1325	FRIEND	amico	friend	8.3	8.1	7.75	8.205882352941176	6.176470588235294	6.294117647058823	8.5	6.333333333333333	6.166666666666667	7.5		6.6	s	44
1333	NECK	collo	neck	8.05	8.1	8.3	6.757575757575758	4.848484848484849	5.303030303030303	6.913043478260869	5.086956521739131	5.260869565217392	6.4		5.4	s	211
1335	WHITE	bianco	white	7.4	7.8	5.75	6.333333333333333	4.454545454545454	5.151515151515151	6.0	4.434782608695652	5.0	7.1		5.5	a	116
1336	EAT	mangiare	eat	8.15	7.9	7.55	8.0	6.151515151515151	6.242424242424242	8.090909090909092	6.7727272727272725	6.454545454545454	7.818181818181818		5.818181818181818	v	586
1338	PEACE	pace	peace	7.15	5.7	4.3	8.090909090909092	4.454545454545454	6.090909090909091	8.26086956521739	4.869565217391305	6.130434782608695	7.7		6.0	s	714
134	FAULT	colpa	fault	6.9	6.3	3.95	3.4318181818181817	5.5227272727272725	4.25	3.5	5.529411764705882	4.029411764705882	3.2		5.0	s	215
1343	SUN	sole	sun	8.1	8.45	8.0	8.17142857142857	5.914285714285715	6.257142857142857	8.5	6.083333333333333	6.75	7.454545454545454		5.181818181818182	s	940
1349	CHURCH	chiesa	church	7.7	8.4	8.0	6.176470588235294	3.8529411764705883	5.911764705882353	6.625	4.083333333333333	5.666666666666667	5.1		6.5	s	194
1350	MONKEY	scimmia	monkey	6.3	8.35	8.4	5.696969696969697	4.848484848484849	4.96969696969697	5.681818181818182	5.363636363636363	5.045454545454546	5.7272727272727275		4.818181818181818	s	898
1352	KNIFE	coltello	knife	6.9	8.05	7.75	3.942857142857143	5.714285714285714	5.0	3.72	6.08	5.12	4.5		4.7	s	218
1361	TOOL	utensile	utensil	7.4	7.75	8.35	5.774193548387097	4.870967741935484	5.645161290322581	5.428571428571429	4.761904761904762	5.285714285714286	6.5		6.4	s	1071
1362	STREET	strada	street	8.1	8.35	8.35	4.848484848484849	5.363636363636363	4.606060606060606	5.2272727272727275	5.5	4.909090909090909	4.090909090909091		4.0	s	981
1364	HEALTHY	salute	health	7.25	6.25	4.55	7.575757575757576	5.333333333333333	5.7272727272727275	7.761904761904762	5.428571428571429	6.238095238095238	7.25		4.833333333333333	s	878
1366	BOY	ragazzo	boy	8.55	8.55	8.4	6.704545454545454	6.136363636363637	6.068181818181818	6.970588235294118	6.529411764705882	5.911764705882353	5.8		6.6	s	822
1369	GOLD	oro	gold	6.5	7.85	7.1	7.090909090909091	5.787878787878788	5.787878787878788	7.190476190476191	5.714285714285714	5.523809523809524	6.916666666666667		6.25	s	703
1370	MONTH	mese	month	7.65	6.1	5.2	5.2727272727272725	4.7272727272727275	5.03030303030303	5.304347826086956	4.782608695652174	5.086956521739131	5.2		4.9	s	611
1372	MEDICINE	medicina	medicine	6.8	7.45	6.3	4.931818181818182	5.590909090909091	4.409090909090909	4.735294117647059	5.911764705882353	4.0	5.6		5.8	s	601
1375	WINDOW	finestra	window	8.25	8.4	8.45	5.636363636363637	4.454545454545454	5.545454545454546	5.6521739130434785	4.913043478260869	5.173913043478261	5.6		6.4	s	386
1378	SPOON	cucchiaio	spoon	7.75	8.9	8.55	5.636363636363637	4.181818181818182	6.545454545454546	5.761904761904762	3.9047619047619047	6.619047619047619	5.416666666666667		6.416666666666667	s	255
138	BATHE	lavare	bath	8.0	8.1	8.15	5.757575757575758	4.363636363636363	5.636363636363637	5.545454545454546	4.590909090909091	5.5	6.181818181818182		5.909090909090909	v	541
1381	SHOE	scarpa	shoe	8.05	8.4	8.6	6.03030303030303	5.181818181818182	5.9393939393939394	6.043478260869565	5.695652173913044	5.913043478260869	6.0		6.0	s	889
1382	NEEDLE (FOR SEWING)	ago	needle	7.35	8.2	8.3	3.7714285714285714	5.571428571428571	4.542857142857143	3.68	5.76	4.24	4.0		5.3	s	31
1386	LION	leone	lion	5.35	8.3	7.6	5.454545454545454	6.666666666666667	3.787878787878788	5.0476190476190474	7.0	3.6666666666666665	6.166666666666667		4.0	s	548
1388	SHADE	ombra	shadow	6.85	7.3	6.65	5.2727272727272725	4.303030303030303	4.666666666666667	4.826086956521739	4.608695652173913	4.391304347826087	6.3		5.3	s	687
1392	LOUSE	pidocchi	lice	4.55	7.35	7.05	2.8484848484848486	6.181818181818182	3.696969696969697	2.8260869565217392	5.913043478260869	3.4347826086956523	2.9		4.3	s	763
140	PADDY FIELD	campo	field	7.15	7.9	6.9	5.714285714285714	4.771428571428571	5.2	5.791666666666667	5.041666666666667	5.208333333333333	5.545454545454546		5.181818181818182	s	150
1405	NAME	nome	name	7.65	7.2	5.3	5.909090909090909	4.909090909090909	5.575757575757576	5.909090909090909	5.318181818181818	5.5	5.909090909090909		5.7272727272727275	s	669
1412	RUDE	maleducato	rude	6.1	7.25	5.45	1.911764705882353	5.647058823529412	5.117647058823529	1.9583333333333333	5.5	4.583333333333333	1.8		6.4	a/s	582
1422	BE ALIVE	vivo	alive	6.8	6.9	6.55	8.235294117647058	7.382352941176471	6.9411764705882355	8.416666666666666	7.541666666666667	7.375	7.8		5.9	a	1114
1424	YELLOW	giallo	yellow	7.6	8.1	6.0	5.970588235294118	5.323529411764706	5.676470588235294	6.041666666666667	5.708333333333333	5.708333333333333	5.8		5.6	a/s	429
1425	GREEN	verde	green	7.45	8.1	5.75	7.114285714285714	4.742857142857143	5.828571428571428	7.32	5.04	5.84	6.6		5.8	a/s	1087
1427	BEAUTIFUL	grazioso	pretty	8.15	6.6	6.0	6.9375	5.40625	5.71875	6.954545454545454	5.590909090909091	5.409090909090909	6.9		6.4	a	455
1430	STAR	stella	star	8.0	8.3	7.85	7.545454545454546	5.757575757575758	5.666666666666667	7.826086956521739	6.217391304347826	5.521739130434782	6.9		6.0	s	978
1432	CUT	taglio	cut	7.0	7.55	7.25	3.823529411764706	5.823529411764706	4.794117647058823	3.8333333333333335	5.833333333333333	4.958333333333333	3.8		4.4	s	1002
1434	STAB	puntura	prick	7.2	7.9	8.05	3.121212121212121	6.090909090909091	4.151515151515151	3.1739130434782608	6.260869565217392	3.739130434782609	3.0		5.1	s	806
144	MACHINE	macchina	machine	8.25	8.15	8.2	6.2727272727272725	5.333333333333333	6.393939393939394	6.043478260869565	5.956521739130435	6.086956521739131	6.8		7.1	s	568
1462	POT	pentola	pot	8.4	8.4	8.6	5.484848484848484	4.242424242424242	5.606060606060606	5.476190476190476	4.380952380952381	5.380952380952381	5.5		6.0	s	747
1464	LADDER	scala	stairs	7.7	8.35	8.6	5.121212121212121	5.333333333333333	4.909090909090909	5.0	5.695652173913044	4.913043478260869	5.4		4.9	s	886
1467	CIRCLE	cerchio	circle	7.35	7.8	6.3	5.774193548387097	4.0	5.548387096774194	5.333333333333333	4.142857142857143	5.476190476190476	6.7		5.7	s	188
1472	KEY	chiave	key	8.3	8.3	8.3	5.575757575757576	4.9393939393939394	5.515151515151516	5.7727272727272725	5.0	5.590909090909091	5.181818181818182		5.363636363636363	s	193
1476	CHAIR	sedile	seat	7.55	8.25	8.5	5.666666666666667	4.363636363636363	5.393939393939394	5.3478260869565215	4.478260869565218	5.130434782608695	6.4		6.0	s	916
1480	BODY	corpo	body	8.4	8.45	8.4	6.8	5.6571428571428575	6.257142857142857	6.64	5.64	6.12	7.2		6.6	s	240
1481	HAMMER	martello	hammer	6.7	8.6	8.25	4.138888888888889	5.916666666666667	5.305555555555555	4.115384615384615	6.115384615384615	5.423076923076923	4.2		5.0	s	594
1489	CLOUD	nuvole	clouds	7.2	8.3	6.4	6.935483870967742	4.903225806451613	5.870967741935484	6.904761904761905	4.714285714285714	5.619047619047619	7.0		6.4	s	674
1495	HAPPY	felice	happy	8.3	7.0	5.35	8.53125	6.8125	7.15625	8.681818181818182	6.7727272727272725	7.0	8.2		7.5	a	368
1508	KING	re	king	5.3	7.35	6.25	5.828571428571428	5.4	5.285714285714286	5.8	5.88	5.4	5.9		5.0	s	834
1509	MOSQUITO	zanzara	mosquito	7.45	8.65	8.25	2.4242424242424243	6.181818181818182	4.787878787878788	2.1904761904761907	6.190476190476191	4.809523809523809	2.8333333333333335		4.75	s	1120
151	RAZOR	rasoio	razor	8.15	8.8	8.7	4.71875	4.71875	5.25	4.5	4.7272727272727275	5.136363636363637	5.2		5.5	s	832
1510	CHIN	mento	chin	6.95	7.5	7.8	4.916666666666667	5.027777777777778	4.861111111111111	4.846153846153846	4.961538461538462	4.730769230769231	5.1		5.2	s	608
1517	WASP	vespa	wasp	7.6	8.75	8.55	3.764705882352941	6.029411764705882	4.911764705882353	3.75	6.375	5.083333333333333	3.8		4.5	s	1092
1518	STUPID	stupido	stupid	6.35	5.5	5.05	2.9393939393939394	5.575757575757576	4.666666666666667	2.8636363636363638	5.7727272727272725	4.545454545454546	3.090909090909091		4.909090909090909	a	991
1522	SOCK	calza	sock	8.15	8.25	8.55	5.085714285714285	4.257142857142857	5.142857142857143	5.12	4.4	4.84	5.0		5.9	s	145
1524	WINE	vino	wine	6.95	8.15	8.2	6.676470588235294	4.764705882352941	6.0	6.375	5.0	5.791666666666667	7.4		6.5	s	1105
1525	COAST	costa	coast	7.4	8.2	8.0	7.117647058823529	5.0	6.205882352941177	7.208333333333333	5.0	6.333333333333333	6.9		5.9	s	246
1530	BOWL	scodella	bowl	7.15	7.65	7.85	5.121212121212121	4.848484848484849	5.454545454545454	5.130434782608695	4.913043478260869	5.043478260869565	5.1		6.4	s	901
1533	BE HUNGRY	affamato	hungry	7.65	6.65	4.85	4.735294117647059	5.617647058823529	4.882352941176471	5.291666666666667	5.791666666666667	4.875	3.4		4.9	a	20
1534	FEVER	febbre	fever	6.65	7.65	5.4	3.1818181818181817	5.575757575757576	3.303030303030303	3.3043478260869565	5.521739130434782	3.1739130434782608	2.9		3.6	s	366
1538	SCORPION	scorpione	scorpion	6.85	8.1	7.85	4.117647058823529	6.352941176470588	4.264705882352941	3.8333333333333335	6.833333333333333	4.083333333333333	4.8		4.7	s	909
1539	BASKET	cesto	basket	7.7	8.0	7.85	5.371428571428571	4.6571428571428575	5.114285714285714	5.375	4.833333333333333	5.166666666666667	5.363636363636363		5.0	s	190
1548	UGLY	brutto	ugly	7.1	6.9	5.85	3.484848484848485	5.121212121212121	3.8484848484848486	3.8260869565217392	5.217391304347826	3.869565217391304	2.7		3.8	a	135
1559	MONEY	denaro	money	7.7	7.8	7.85	7.7272727272727275	6.606060606060606	5.03030303030303	7.739130434782608	6.521739130434782	4.565217391304348	7.7		6.1	s	272
156	RED	rosso	red	8.15	8.4	5.6	7.121212121212121	6.606060606060606	6.696969696969697	7.217391304347826	6.956521739130435	6.565217391304348	6.9		7.0	a	870
1560	FACE	faccia	face	8.3	8.4	8.25	5.588235294117647	4.911764705882353	5.411764705882353	5.75	5.166666666666667	5.583333333333333	5.2		5.0	s	345
1561	ARMY	esercito	army	6.55	7.75	7.55	4.205882352941177	5.911764705882353	4.705882352941177	4.416666666666667	6.083333333333333	4.916666666666667	3.7		4.2	s	337
1562	MIND	mente	mind	7.2	5.45	4.6	7.71875	5.9375	6.96875	7.636363636363637	6.136363636363637	6.636363636363637	7.9		7.7	s	607
1563	PYTHON	pitone	python	4.65	8.15	8.05	3.484848484848485	6.242424242424242	3.909090909090909	2.619047619047619	6.476190476190476	3.5238095238095237	5.0		4.583333333333333	s	770
1564	LAZY	pigro	lazy	7.4	7.3	4.95	4.454545454545454	4.454545454545454	4.303030303030303	4.478260869565218	4.826086956521739	4.217391304347826	4.4		4.5	a	766
1566	GUN	carabina	rifle	3.3	5.65	6.05	3.9411764705882355	5.529411764705882	5.0	3.625	5.875	4.791666666666667	4.7		5.5	s	166
1567	DOOR	porta	door	8.35	8.7	8.45	5.705882352941177	4.794117647058823	5.794117647058823	5.833333333333333	4.916666666666667	5.833333333333333	5.4		5.7	s	776
1572	SURPRISED	sorpreso	surprised	6.7	6.7	4.75	7.121212121212121	6.181818181818182	5.818181818181818	7.3478260869565215	6.695652173913044	6.043478260869565	6.6		5.3	a	951
1575	COCKROACH	scarafaggio	roach	6.65	8.4	8.3	3.176470588235294	5.9411764705882355	4.235294117647059	2.8333333333333335	6.416666666666667	3.8333333333333335	4.0		5.2	s	888
1583	BRAIN	cervello	brain	6.85	7.75	7.75	7.382352941176471	7.294117647058823	7.411764705882353	7.625	7.0	7.458333333333333	6.8		7.3	s	189
1584	BLISTER	vescica	blister	7.25	7.35	7.65	4.457142857142857	5.628571428571429	4.371428571428571	4.458333333333333	5.833333333333333	4.291666666666667	4.454545454545454		4.545454545454546	s	1091
1585	SLEEP	dormire	sleep	8.5	8.05	5.9	8.204545454545455	2.8181818181818183	5.363636363636363	8.088235294117647	3.2058823529411766	5.352941176470588	8.6		5.4	v	314
1587	SMELL (STINK)	puzza	stink	6.45	6.25	5.15	2.057142857142857	6.685714285714286	4.228571428571429	2.0	6.8	4.52	2.2		3.5	s	810
1592	CHEST	seno	breast	7.75	8.35	8.3	6.909090909090909	6.113636363636363	5.863636363636363	6.470588235294118	5.705882352941177	5.588235294117647	8.4		6.8	s	917
1600	SKIRT	gonna	skirt	8.4	8.55	8.6	6.470588235294118	5.088235294117647	5.794117647058823	6.5	5.125	6.125	6.4		5.0	s	448
1601	WEAK	debole	feeble	6.2	5.8	3.95	2.25	6.083333333333333	3.3333333333333335	1.8846153846153846	6.076923076923077	2.923076923076923	3.2		4.4	a	265
1605	SKULL	cranio	skull	7.3	7.65	8.2	5.181818181818182	5.090909090909091	5.393939393939394	5.173913043478261	5.217391304347826	5.565217391304348	5.2		5.0	s	247
1609	IDEA	idea	idea	7.35	6.45	3.6	7.9393939393939394	7.333333333333333	6.787878787878788	7.954545454545454	7.681818181818182	7.2727272727272725	7.909090909090909		5.818181818181818	s	468
1610	PROSTITUTE	puttana	hooker	5.75	7.4	7.45	3.6666666666666665	5.545454545454546	3.090909090909091	3.608695652173913	5.608695652173913	3.130434782608696	3.8		3.0	s	809
1612	LETTER	lettera	letter	6.8	8.0	7.25	6.696969696969697	4.424242424242424	5.878787878787879	6.523809523809524	4.523809523809524	5.904761904761905	7.0		5.833333333333333	s	551
1613	COLOR	colore	color	8.0	7.95	6.85	7.428571428571429	5.628571428571429	6.2	7.5	5.75	6.125	7.2727272727272725		6.363636363636363	s	214
1622	SHIRT	camicia	shirt	8.15	8.2	8.3	5.575757575757576	4.787878787878788	5.0606060606060606	5.363636363636363	4.863636363636363	5.181818181818182	6.0		4.818181818181818	s	147
1625	DEAD	morto	dead	6.7	7.8	7.35	1.3636363636363635	7.121212121212121	2.4242424242424243	1.1818181818181819	7.2272727272727275	2.272727272727273	1.7272727272727273		2.727272727272727	a/s	638
