CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_VALENCE_MEAN	LINE_IN_SOURCE
1308	DOUBT	doubt	-0.296	2140
131	FESTIVAL	festival	0.580	462
1310	CLEVER	clever	0.565	492
1319	COWARD	coward	-0.391	2363
1325	FRIEND	friend	0.725	220
1330	DEFEND	defend	-0.071	1748
1338	PEACE	peace	0.821	95
134	FAULT	fault	-0.538	2686
1352	KNIFE	knife	-0.307	2164
1355	LAUGH	laugh	0.853	66
1358	ENEMY	enemy	-0.857	3131
1364	HEALTHY	healthy	0.671	312
1367	CROSS	cross	-0.276	2102
1369	GOLD	gold	0.750	191
1382	NEEDLE (FOR SEWING)	needle	-0.108	1791
1388	SHADE	shadow	0.056	1531
1390	WRONG	wrong	-0.753	3010
1393	HORN (ANATOMY)	horn	-0.193	1921
1395	ROUND	round	0.136	1390
1403	BITE	bite	-0.400	2386
1404	STRAIGHT	straight	0.351	960
1411	LIE (REST)	lie	-0.606	2795
1417	KILL	kill	-0.915	3180
1418	DIG	dig	-0.222	1990
1419	FEAR (BE AFRAID)	fear	-0.901	3169
1422	BE ALIVE	live	0.438	752
1423	FIGHT	fight	-0.621	2811
1426	EXPENSIVE	expensive	-0.056	1717
1432	CUT	cut	-0.468	2533
1433	HIT	hit	-0.282	2113
1435	HUNT	hunt	-0.171	1882
1437	SPLIT	split	-0.169	1876
1438	FOOL	fool	-0.632	2841
1442	STAND	stand	0.100	1454
1447	GIVE	give	0.543	540
1451	SMILE	smile	0.691	267
1452	PUSH	push	-0.432	2458
1456	THROW	throw	0.056	1532
1462	POT	jar	-0.162	1867
1463	DRUNK	drunk	-0.425	2445
1465	BOX	box	0.094	1464
1466	EXACT	exact	0.192	1269
1467	CIRCLE	circle	-0.039	1685
1473	FIST	fist	-0.296	2139
1492	DUMB	dumb	-0.493	2584
1495	HAPPY	happy	0.851	67
150	WORRY	worry	-0.493	2590
1501	BORE	bore	-0.671	2889
1518	STUPID	stupid	-0.548	2708
1519	RUN	run	-0.014	1648
1520	CRUSH	crush	-0.391	2362
1528	FORGIVE	forgive	0.486	652
1533	BE HUNGRY	hungry	-0.333	2235
1534	FEVER	fever	-0.354	2277
1536	UNDERSTAND	understand	0.386	888
1541	CULTIVATE	cultivate	0.369	916
1548	UGLY	ugly	-0.689	2916
1552	GLOOMY	gloomy	-0.646	2856
1562	MIND	mind	0.054	1537
1564	LAZY	lazy	-0.506	2615
1565	HEAVEN	heaven	0.930	18
1566	GUN	gun	-0.574	2751
1588	TURN	turn	-0.267	2079
1590	WAIT (FOR)	wait	-0.056	1720
1601	WEAK	feeble	-0.541	2689
1607	HATE	hate	-0.873	3149
161	MISS (A TARGET)	miss	-0.065	1740
1611	INVITE	invite	0.129	1407
1624	EMPTY	empty	-0.411	2412
1625	DEAD	dead	-0.875	3152
1632	FLOOR	floor	0.147	1375
1635	OBEY	obey	0.119	1421
1638	TRUTH	truth	0.690	268
1645	SHORT	short	-0.141	1836
1651	TEAR (OF EYE)	tear	-0.472	2541
1653	BLIND	blind	-0.333	2228
1657	TRUE	true	0.630	391
1665	BEAT	beat	-0.403	2393
1667	HOLE	hole	0.000	1619
1668	GRIEF	grief	-0.812	3087
1674	POOR	poor	-0.482	2563
1675	PROMISE	promise	0.785	138
1678	HUT	shelter	0.151	1366
1679	LOAD	load	-0.083	1767
1682	GUILTY	guilty	-0.672	2891
1687	PRAISE	praise	0.918	20
1691	FLEXIBLE	flexible	0.176	1304
1702	HOLY	holy	0.658	333
1719	BURY	bury	-0.270	2089
1725	CORRECT (RIGHT)	correct	0.431	773
174	PROUD	proud	0.699	256
1743	JOIN	join	0.325	1013
1747	CUSTOM	tradition	0.514	608
175	BLOW (OF WIND)	blow	-0.214	1966
1757	TIRED	tired	-0.136	1825
1763	CLUB	club	0.152	1363
1764	OBSCURE	obscure	-0.197	1927
1773	GRAVE	grave	-0.974	3211
1776	SHAME	shame	-0.690	2918
1778	APPROACH	approach	0.115	1428
1779	DARE	dare	-0.014	1650
178	RIPE	ripe	0.039	1566
1783	PAIN	pain	-0.932	3194
1802	SCREW	screw	-0.392	2367
1804	BOMB	bomb	-0.824	3102
1810	DANGER	danger	-0.955	3204
1812	TRY	try	-0.488	2578
1814	ACCUSE	accuse	-0.500	2606
1826	ANGRY	angry	-0.761	3020
1831	MEET	meet	0.066	1518
1841	SUSPECT	suspect	-0.380	2342
1845	BALL	ball	0.211	1244
1847	SICK	sick	-0.485	2565
1848	QUARREL	quarrel	-0.710	2941
1863	AMAZING	amazing	0.932	16
1864	HUNGER	hunger	-0.397	2382
1869	BUY	buy	0.176	1305
1875	REGRET	sorry	-0.278	2106
1879	DANCE	dance	0.260	1134
1880	PASSIONATE	passionate	0.794	125
1884	HARD	hard	-0.333	2229
1887	CHEAP	cheap	-0.183	1899
1894	ASHAMED	ashamed	-0.824	3103
1897	HELP	help	0.551	527
1899	MAD	mad	-0.867	3146
1902	BETRAY	betray	-0.750	3003
1904	DROWN	drown	-0.493	2591
1908	ATTENTIVE	attentive	0.167	1331
1909	SHAKE	shake	-0.306	2163
1913	PRESS	press	-0.042	1695
1923	ROUGH	rough	-0.493	2588
1929	STUDY	study	0.222	1217
193	SHALLOW	shallow	-0.403	2391
1939	SWEAR	swear	-0.133	1822
1947	BASTARD	bastard	-0.883	3157
1951	PASS	pass	0.239	1179
1953	ABUSE	abuse	-0.930	3191
1954	GENTLE	gentle	0.582	459
1955	GRIEVE	mourn	-0.842	3118
1972	YOUNG GOAT (KID)	kid	0.239	1178
1976	MERRY	funny	0.714	235
1986	DISEASE	disease	-0.789	3054
1995	DEFECT	defect	-0.384	2347
1996	GET TIRED	tire	-0.370	2323
2006	FILL	fill	-0.167	1872
2008	RESCUE	rescue	0.478	672
2017	MIX	mix	0.104	1442
2022	ADMIT	admit	0.351	959
2024	PLOT	plot	-0.405	2397
203	MARRY	marry	0.625	397
2030	DRAG	drag	-0.353	2274
2062	INTEREST	interest	0.158	1348
2071	LAY (VERB)	lay	-0.053	1708
2077	DILIGENT	diligent	0.417	806
2090	MY	mine	-0.028	1673
21	TASTE (SOMETHING)	taste	0.176	1306
2102	BURN	burn	-0.738	2985
2134	RAISE (BRING UP)	raise	0.439	749
2148	PICK	pick	0.243	1168
215	LIE DOWN	lying	-0.795	3060
2150	MATTER	matter	0.027	1581
2151	COARSE	coarse	-0.442	2483
218	FINE (PENALTY)	fine	0.521	593
2194	FRONT (PART)	front	0.211	1238
221	FIRE	fire	-0.507	2619
2223	BE ANGRY	furious	-0.677	2901
2230	UNTAMED OR WILD	wild	-0.114	1798
2232	KEEN OR SUBTLE	subtle	0.096	1461
2233	LOVELY	lovely	0.652	349
2243	REPAIR	repair	-0.038	1682
2316	FREE	free	0.629	395
2329	LACK (NOT HAVE)	lack	-0.690	2917
2339	NEED (SOMETHING)	need	-0.057	1724
2396	KNOCK	knock	-0.081	1761
2406	HOME	home	0.400	849
2410	GOOD-LOOKING	pretty	0.819	100
2411	HURT (SOMEBODY)	hurt	-0.890	3161
2412	THANK (SOMEBODY)	thank	0.680	287
242	COST	cost	-0.118	1804
2425	PROBLEM	problem	-0.675	2896
2429	LOGIC	logic	0.412	821
243	FRESH	fresh	0.436	762
2431	REVOLUTION	revolution	0.108	1437
2432	MARRIAGE	marriage	0.526	580
2465	DISGUST	disgust	-0.810	3083
2467	GAME	game	0.205	1250
2469	AGAINST	against	-0.526	2658
2470	DEAR	dear	0.569	481
2483	COLD (OF WEATHER)	cool	0.390	877
25	DIRT	dirt	-0.446	2493
252	FRIGHTEN	frighten	-0.750	3005
2524	JOY	joy	0.946	10
2530	SMART	smart	0.727	216
2553	MISERY	misery	-0.928	3189
2572	SENSE (PERCEIVE BY SENSES)	sense	0.278	1098
258	CALM	calm	0.479	669
26	UNPLEASANT	unpleasant	-0.467	2532
2630	WHIP	whip	-0.721	2959
2651	BE IGNORANT	ignorant	-0.662	2875
2669	POINT (WITH FINGER)	point	-0.027	1671
2691	PATERNAL AUNT (FATHER'S SISTER)	satisfy	0.761	174
2715	DESPISE	despise	-0.744	2995
2758	CAREFUL	careful	0.361	934
2762	BLOCK (THE WAY)	obstruct	-0.739	2986
2862	CONNECT	connect	0.521	589
2864	DECREASE	decrease	-0.380	2341
2869	BOTHER (HARASS)	bother	-0.365	2309
2872	IMPROVE (SOMETHING)	improve	0.323	1020
2879	SOUND (OF INSTRUMENT OR VOICE)	sound	0.057	1529
2883	DISTURB	disturb	-0.372	2326
2884	HANG	hang	0.056	1530
2896	CAUSE TO (LET)	let	0.000	1620
2900	PROTECT	protect	0.514	604
2907	ROT	decay	-0.849	3128
2911	BACKWARD	backward	-0.230	2004
2912	FORWARD	forward	0.185	1285
2924	A LITTLE	bit	-0.257	2062
2929	BENEFIT	benefit	0.667	321
2941	HAPPINESS	happiness	0.760	178
2947	DAMAGE (INJURY)	damage	-0.682	2907
2958	LAUGHTER	laughter	0.732	212
2960	LONGING (WISH)	desire	0.329	1003
2971	SIN	sin	-0.726	2969
2976	VIOLENCE	violence	-0.837	3113
2982	GIFT	gift	0.721	227
2983	COMPANIONSHIP	company	0.296	1071
299	SCOLD	scold	-0.718	2952
3	BRAVE	brave	0.819	98
300	RATTLE	rattle	-0.016	1657
3002	PRECIOUS	precious	0.825	92
3005	FAMILIAR	familiar	0.640	371
3033	SCARED	scared	-0.712	2943
3049	COURAGE	courage	0.743	196
3069	FALSE	false	-0.447	2496
3072	MISPLACE	lose	-0.268	2082
3074	FIX	fix	-0.139	1834
3169	TREATY	treaty	0.382	895
3188	MIGHTY OR POWERFUL OR STRONG	mighty	0.419	796
3197	SUSPICION	suspicion	-0.479	2558
3202	CANNON	cannon	-0.042	1694
323	FAT (ORGANIC SUBSTANCE)	fat	-0.429	2453
3230	DECEIVE	deceive	-0.773	3037
3299	KIND	kind	0.743	195
3300	POLITE	polite	0.676	298
3302	QUARREL (VERB)	argue	-0.578	2757
3375	PATIENT (SICK PERSON)	patient	0.360	938
3425	JOKE	joke	0.504	624
3466	DANGEROUS	dangerous	-0.547	2707
3468	KINDNESS	kindness	0.816	102
3470	LIAR	liar	-0.720	2956
3471	OBLIGATION (DUTY)	duty	0.014	1599
3475	SUFFICE	suffice	-0.113	1795
353	STRIKE	strike	-0.500	2597
3534	BEG	beg	-0.549	2715
354	POUND	pound	-0.197	1934
3552	GREET	greet	0.418	801
3616	FAINT (PASS OUT)	faint	-0.143	1841
3625	HEADACHE	headache	-0.514	2635
3626	KNOW	know	0.284	1085
3628	HONOR (SOMEBODY)	honor	0.757	184
3631	PRETEND	pretend	-0.231	2006
3632	GENEROUS	generous	0.864	53
3634	STUBBORN	stubborn	-0.597	2782
3635	ADULT	adult	-0.027	1666
3639	AVOID	avoid	-0.208	1951
3642	COMPLAIN	complain	-0.723	2964
3643	AGREE	agree	0.471	684
3644	AGREEMENT	agreement	0.774	152
3648	SERVE (SOMEONE)	serve	0.438	753
3649	PUNISH	punish	-0.709	2937
3665	TRAVEL	travel	0.324	1019
3667	LOST	lost	-0.899	3166
367	RIDE	ride	0.040	1563
3687	DESERT	desert	-0.246	2032
369	OWE	owe	-0.415	2424
3701	HOLLOW	hollow	-0.279	2108
3709	BRILLIANT	brilliant	0.942	12
3762	SAFE	safe	0.600	431
378	PINCH	pinch	-0.315	2188
379	BLUNT	dull	-0.544	2699
3809	SCREAM (PRODUCE A CRY)	scream	-0.481	2562
381	BLAME	blame	-0.753	3012
3814	HANDSOME	handsome	0.756	188
3845	DISAPPOINTMENT	disappointment	-0.459	2512
3846	EXCITEMENT	excitement	0.959	6
3849	TRIUMPH	triumph	0.740	199
385	RESPECT (SOMEBODY)	respect	0.773	156
3854	SADNESS	sadness	-0.397	2380
3861	FAIL	fail	-0.754	3013
3869	ANXIOUS	anxious	-0.319	2192
3871	MURDERER	killer	-0.805	3074
3874	KNOWLEDGE	knowledge	0.463	703
3875	CRIMINAL	criminal	-0.948	3202
3877	DEPRESSION	depression	-0.863	3140
39	KEEN	keen	0.515	602
3902	TRUST (SOMEBODY)	trust	0.613	417
3903	SYMPATHIZE	sympathize	0.333	993
391	BLESS	bless	0.775	150
3915	PRIDE	pride	0.632	388
3916	PLEASURE	pleasure	0.868	47
3917	DEVIL	devil	-0.912	3178
3953	CHARITY	charity	0.480	664
3954	FRIENDSHIP	friendship	0.675	302
3955	HOSTILITY	hostility	-0.776	3045
3956	DISPUTE	dispute	-0.333	2236
3965	TRAUMA	trauma	-0.867	3144
3967	CONTENT	content	0.493	643
3972	EXCITED	excited	0.865	50
3974	UNHAPPY	unhappy	-0.625	2822
3975	NERVOUS	nervous	-0.139	1833
3978	COMPANION	companion	0.394	861
3986	COLLAPSE	collapse	-0.342	2251
419	SEVERE	severe	-0.812	3086
421	RETREAT	retreat	-0.260	2068
43	LEAD (GUIDE)	lead	0.211	1241
44	INJURE	harm	-0.800	3068
45	EVIL	evil	-0.958	3206
482	NOBLE	noble	0.875	42
484	CONDEMN	condemn	-0.915	3182
486	MINISTER	minister	0.486	654
49	REFUSE	refuse	-0.734	2980
495	REVENGE	avenge	-0.360	2296
497	SCAR	scar	-0.575	2752
499	CURE	cure	0.513	612
500	CRUEL	cruel	-0.943	3200
504	LEARN	learn	0.444	738
519	SPOT	spot	0.237	1180
528	DREADFUL	fearful	-0.754	3014
554	HINDER	hinder	-0.453	2506
56	BAD LUCK	misfortune	-0.662	2877
578	KISS	kiss	0.493	640
579	BATTLE	battle	-0.566	2738
581	COME BACK	return	-0.185	1903
584	DIFFICULT	difficult	-0.474	2547
594	PIECE	piece	0.033	1568
596	POSTAGE STAMP	stamp	-0.066	1741
598	SHELL	shell	0.000	1632
600	STRANGE	odd	-0.153	1850
602	HIDE (CONCEAL)	conceal	-0.542	2693
621	IRON	iron	-0.178	1892
630	LIGHT (RADIATION)	light	0.173	1312
65	AMBUSH	ambush	-0.652	2865
652	PLAIN	plain	0.270	1112
670	ROOT	root	0.173	1315
679	BRIGHT	bright	0.753	190
680	BREAK (DESTROY OR GET DESTROYED)	break	0.016	1589
681	DESTROY	destroy	-0.793	3059
683	PERSON	human	0.234	1188
686	EASY	easy	0.608	425
694	GET	get	0.394	867
698	WISE	wise	0.600	433
699	SAD	sad	-0.614	2805
702	CATCH	catch	0.083	1485
704	CLEAN	clean	0.625	399
706	DARK	dark	-0.443	2488
712	RICH	rich	0.653	345
713	STEAL	steal	-0.679	2903
717	SWEET	sweet	0.757	183
718	PAY	pay	-0.110	1792
720	GOOD LUCK	luck	0.737	202
721	LOW	low	-0.343	2257
722	ATTACK	attack	-0.859	3134
729	DAWN	dawn	0.360	939
734	MAKE	make	-0.016	1656
741	DRIVE	drive	0.333	996
750	DROP	drop	-0.508	2630
755	DENY	deny	-0.508	2629
764	SUIT	suit	0.152	1362
772	BELT	belt	-0.275	2101
782	DEFEAT	defeat	-0.873	3150
79	WASTE	waste	-0.448	2497
8	CURSE	curse	-0.632	2842
816	HALF	half	0.119	1419
82	ANGER	anger	-0.683	2908
83	FORBID	forbid	-0.731	2974
84	JUST	just	0.187	1278
844	KIND (THING)	sort	0.063	1521
845	MURDER	murder	-0.985	3212
851	STABLE	stable	0.400	848
855	SEIZE	seize	-0.451	2501
858	STORM	storm	-0.545	2700
863	EDGE	edge	0.066	1517
873	TAX	tax	-0.250	2041
878	HELL	hell	-0.797	3067
884	SHARE	share	0.392	871
887	BITTER	bitter	-0.795	3061
90	INNOCENT	innocent	0.551	526
900	TRAIN	train	0.246	1165
910	DEATH	death	-0.932	3195
92	SPOIL (SOMEBODY OR SOMETHING)	spoil	-0.754	3015
923	LOVE	love	0.923	19
928	EMBRACE	embrace	0.785	137
940	STRAIN	strain	-0.441	2481
945	SPEAR	spear	-0.187	1906
954	WELL	well	0.451	727
96	CRAWL	crawl	-0.058	1726
972	BE ABLE	able	0.229	1204
976	WEAR	wear	0.027	1580
983	CONVICT	convict	-0.846	3125
989	CLEAR	clear	0.261	1132
