CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_EMOTION_DOMINANT	ENGLISH_EMOTION_INTENSITY	LINE_IN_SOURCE
1606	INSIDE	interior	disgust	0.086	3427
1607	HATE	hate	anger	0.828	97
161	MISS (A TARGET)	miss	sadness	0.379	7377
1610	PROSTITUTE	prostitute	disgust	0.586	2706
1611	INVITE	invite	anticipation	0.570	1734
1612	LETTER	letter	anticipation	0.484	1948
1615	ESCAPE	escape	anticipation	0.625	1630
1621	SNEEZE	sneeze	disgust	0.312	3264
1624	EMPTY	empty	sadness	0.364	7411
1626	EXPLAIN	explain	trust	0.398	9533
1635	OBEY	obey	fear	0.016	5198
1637	AUTHORITY	authority	trust	0.664	8533
1638	TRUTH	truth	trust	0.844	8343
1639	BEER	beer	joy	0.141	6412
1644	RELATIVES	relative	trust	0.570	8869
1647	FOAL	pony	joy	0.312	6165
1650	WATCH	watch	anticipation	0.523	1851
1654	LIGHTNING	lightning	anger	0.189	1367
1657	TRUE	true	joy	0.328	6150
1659	DOLL	doll	joy	0.234	6315
1668	GRIEF	grief	sadness	0.859	6499
167	MAIL	mail	anticipation	0.461	2017
1675	PROMISE	promise	joy	0.415	6003
1678	HUT	hut	sadness	0.078	7735
1679	LOAD	burden	trust	0.234	9845
168	REST	rest	joy	0.469	5909
1680	HELMET	helmet	fear	0.094	5167
1682	GUILTY	guilty	anger	0.591	485
1688	FATE	fate	anticipation	0.555	1774
1692	FRIDAY	friday	joy	0.455	5925
1696	SURRENDER	surrender	fear	0.500	4313
1699	SUNDAY	sunday	joy	0.266	6250
1712	OATH	oath	trust	0.781	8366
1718	SIXTY	sixty	joy	0.016	6462
1719	BURY	bury	sadness	0.781	6588
1726	WET	wet	sadness	0.078	7730
1733	RAINBOW	rainbow	joy	0.531	5756
1735	TEAR (SHRED)	tear	sadness	0.656	6786
174	PROUD	proud	anticipation	0.406	2137
1740	PINE	pine	sadness	0.250	7588
1747	CUSTOM	custom	joy	0.188	6363
1752	LEAVE	leave	sadness	0.328	7482
1753	TOP	top	anticipation	0.398	2164
1756	WIDOW	widow	sadness	0.697	6712
1770	CARCASS	carcass	disgust	0.795	2407
1771	TASTELESS	tasteless	disgust	0.422	3052
1773	GRAVE	grave	fear	0.562	4124
1774	STINGY	stingy	anger	0.344	1139
1776	SHAME	shame	disgust	0.539	2808
1779	DARE	dare	anticipation	0.570	1736
1780	BILE	bile	anger	0.515	698
1783	PAIN	pain	fear	0.594	4050
1787	LOOM	loom	anticipation	0.516	1861
179	RIPEN	ripen	anticipation	0.625	1622
1792	PERJURY	perjury	fear	0.484	4359
1794	FURROW	furrow	sadness	0.344	7463
1796	SLAUGHTER	slaughter	anger	0.844	83
1798	GUNPOWDER	gunpowder	fear	0.562	4150
1804	BOMB	bomb	anger	0.766	173
1806	BEGIN	start	anticipation	0.750	1495
1808	PUS	pus	disgust	0.773	2427
1809	PIMPLE	pimple	disgust	0.641	2604
1810	DANGER	danger	fear	0.802	3582
1813	TASTY	delicious	joy	0.579	5661
1815	ACHE	ache	sadness	0.531	7061
1820	BEAR	bear	anger	0.266	1260
1826	ANGRY	angry	anger	0.824	108
1829	JUMP	jump	joy	0.379	6060
1835	MARROW	marrow	joy	0.078	6447
1839	CRY	cry	sadness	0.750	6631
1841	SUSPECT	suspect	fear	0.516	4287
1845	BALL	football	anticipation	0.469	2006
1846	RULE	rule	fear	0.188	5058
1847	SICK	sick	disgust	0.578	2722
1848	QUARREL	quarrel	anger	0.781	161
1849	ROW	row	anger	0.337	1149
185	FIREPLACE	fireplace	joy	0.273	6240
1853	DOVE	dove	anticipation	0.328	2271
1855	BIRCH	birch	anger	0.135	1432
1857	CROCODILE	crocodile	fear	0.700	3774
1862	DONKEY	donkey	disgust	0.211	3365
1864	HUNGER	hunger	anger	0.235	1307
1875	REGRET	regret	sadness	0.625	6837
1879	DANCE	dance	joy	0.545	5733
1880	PASSIONATE	passionate	anticipation	0.633	1611
1889	ARSON	arson	anger	0.641	373
1890	BELIEVE	believes	trust	0.672	8526
1891	PUMA	puma	fear	0.465	4433
1893	QUAIL	quail	fear	0.203	5043
1894	ASHAMED	ashamed	disgust	0.438	3014
1897	HELP	help	fear	0.203	5039
1899	MAD	mad	anger	0.688	290
1902	BETRAY	betray	anger	0.625	414
1903	SWELLING	swelling	fear	0.281	4895
1904	DROWN	drown	fear	0.844	3520
1905	EAGLE	eagle	trust	0.453	9338
1906	SOUR	sour	disgust	0.414	3079
1908	ATTENTIVE	attentive	trust	0.617	8678
1914	DEBT	debt	sadness	0.391	7356
1930	RAVINE	ravine	fear	0.484	4361
1932	GUESS	guess	surprise	0.398	8158
1934	BEGGAR	beggar	sadness	0.422	7314
1938	FORTRESS	fortress	fear	0.281	4897
1939	SWEAR	swear	trust	0.328	9692
194	FAMILY	family	joy	0.500	5826
1940	GUARD	guard	fear	0.250	4972
1941	SOLDIER	soldier	anger	0.258	1276
1944	GOD	god	anticipation	0.484	1954
1947	BASTARD	bastard	disgust	0.570	2729
1952	TORTURE	torture	anger	0.833	95
1953	ABUSE	abuse	anger	0.812	127
1954	GENTLE	gentle	joy	0.485	5869
1955	GRIEVE	mourn	sadness	0.828	6540
1963	IMMEDIATELY	immediately	anticipation	0.469	1994
1964	ALONE	alone	sadness	0.600	6898
1972	YOUNG GOAT (KID)	kid	joy	0.515	5804
1973	DEMON	demon	anger	0.735	213
1976	MERRY	merry	joy	0.727	5421
1981	WIDOWER	widower	sadness	0.688	6730
1982	WHIRLPOOL	whirlpool	fear	0.375	4680
1983	SNORE	snort	sadness	0.154	7688
1986	DISEASE	disease	anger	0.341	1143
1989	CALF	calf	joy	0.040	6459
199	FAMINE	famine	sadness	0.812	6559
1991	INTESTINES	bowels	disgust	0.719	2487
1995	DEFECT	defect	anger	0.348	1114
1999	OVERCOME	overcome	fear	0.203	5048
2006	FILL	fill	trust	0.320	9700
2008	RESCUE	rescue	anticipation	0.664	1562
201	FARM	farm	anticipation	0.352	2246
2011	COFFIN	coffin	fear	0.684	3806
2013	BAIT	bait	fear	0.219	5015
2016	JEALOUSY	jealousy	anger	0.587	495
2018	GREEDY	greedy	disgust	0.539	2800
2019	HAMMOCK	hammock	joy	0.394	6034
202	STRENGTH	strength	joy	0.438	5968
2022	ADMIT	admit	trust	0.562	8902
203	MARRY	marry	anticipation	0.594	1680
2035	POND	pond	joy	0.089	6445
2038	DRAGON	dragon	fear	0.594	4045
2057	DUNG (ANIMAL FAECES)	manure	disgust	0.820	2384
206	FIREFLY	firefly	joy	0.227	6318
2069	SOAK (VERB)	soak	joy	0.121	6429
2073	ROB (VERB)	rob	anger	0.431	918
208	NASAL MUCUS (SNOT)	mucus	disgust	0.742	2458
2090	MY	mine	joy	0.297	6201
2099	CHILD	child	anticipation	0.523	1843
210	LIFE	life	joy	0.438	5963
2101	BE DEAD OR DIE	died	sadness	0.906	6482
2112	OLD (AGED)	elder	trust	0.656	8564
2124	SMELL	smell	anger	0.061	1460
2137	MAGICIAN	magician	surprise	0.484	8078
215	LIE DOWN	lying	anger	0.408	992
2150	MATTER	matter	trust	0.477	9253
2159	GROUND	ground	trust	0.398	9531
219	TOILET	toilet	disgust	0.594	2682
