CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_IMAGEABILITY_MEAN	ENGLISH_IMAGEABILITY_SD	ENGLISH_AOA_MEAN	ENGLISH_AOA_SD	ENGLISH_FAMILIARITY_MEAN	ENGLISH_FAMILIARITY_SD	ENGLISH_CONCRETENESS_MEAN	ENGLISH_CONCRETENESS_SD	ENGLISH_MEANING_UNCERTAINTY	ENGLISH_FREQUENCY	LINE_IN_SOURCE
893	TIN (METAL)	tin	5.38	1.63	2.86		5.75	1.28	6.26	1.1	0.97	36	1757
897	SWALLOW	swallow	5.78	1.45	3.08		5	1.37	6.2	1.14	0.85	48	1703
899	PRESIDENT	president	5.19	1.41	4.58		5.09	1.25	5.29	1.56	0	100	1339
902	ADULTERY	adultery	5	1.87	5.83		4.56	1.33	3.06	1.47	0	2	28
904	BERRY	berry	5.81	1.43	2.89		4.51	1.53	6.17	1.13	0	29	162
913	CROW	crow	5.89	1.29	3.08		4.69	1.39	6.63	0.64	0.57	37	404
915	SINK (BASIN)	basin	5.78	1.47	2.5		5.72	1.2	6.4	1.05	0	25	141
916	LINEN	linen	5.57	1.28	3.86		4.91	1.5	6.14	1.12	0	47	1015
917	ORNAMENT	ornament	6	1.25	3.03		4.6	1.53	6.5	0.92	0	30	1212
919	CHILI PEPPER	chili	4.46	1.95	6.06		3.12	1.36	6.17	1.3	0	1	287
920	GRAPE	grape	5.95	1.21	2.97		5.02	1.31	6.71	0.51	0.17	34	752
921	VALLEY	valley	6.16	1.08	3.39		4.87	1.39	6.03	1.13	0	13	1845
923	LOVE	love	5.86	1.23	3.03		6.32	0.8	3.2	2.04	0	100	1032
924	VEGETABLES	vegetable	6.03	1.05	2.69		6.09	0.95	6.43	0.77	0	50	1851
928	EMBRACE	embrace	6.03	1.03	4.92		4.33	1.44	4.63	1.53	0	34	563
930	VILLAGE	village	5.89	1.33	3.17		5.29	1.28	6.11	1.04	0	100	1865
935	WAR	war	5.76	1.28	3.14		5.77	1.04	4.86	1.71	0	100	1882
937	BIRD	bird	6	1.25	2.06		6.09	1.06	6.53	0.78	0.29	100	171
940	STRAIN	strain	4.08	1.89	4.22		5.33	1.27	3.37	1.49	1.47	50	1665
942	HONEY	honey	6.22	1.14	2.86		4.99	1.45	6.63	0.68	0.34	50	826
946	BLOOD	blood	6.65	0.67	2.53		5.9	1.04	6.29	0.91	0	100	181
948	WATER	water	6.51	0.95	1.53		6.7	0.61	6.63	0.59	0	100	1887
951	WEAPONS	weapon	5.44	1.61	3.75		4.88	1.27	5.94	1.09	0	42	1891
952	WEATHER	weather	5.57	1.44	2.92		6.56	0.69	4.51	1.75	0	100	1892
958	WILD ANIMAL	beast	5.54	1.39	3.19		4.45	1.39	5.94	1.12	0	50	146
962	WOMAN	woman	6.27	1.18	2.58		6.44	0.79	6.23	1.02	0	100	1922
963	BOOK	book	6.05	1.39	2.14		6.77	0.49	6.57	0.77	0.17	100	191
964	WOOL	wool	5.92	1.38	2.47		5.4	1.33	6.43	0.84	0	50	1926
974	TOBACCO	tobacco	6.13	1.04	3.66		5.27	1.44	6.57	0.65	0	36	1761
979	FARMER	peasant	5.46	1.44	4.19		4.22	1.49	5.77	1.31	0	32	1258
981	ELBOW	elbow	6.11	1.26	2.37		5.73	1.25	6.6	0.68	0	26	552
984	WORK (LABOUR)	labour	4.3	1.78	5.06		5.59	1.05	4.14	1.69	1.11	100	976
992	CLIFF	cliff	6.05	1.09	3.22		4.79	1.39	6.23	0.99	0	38	308
994	BOW	bow	5.65	1.6	2.71		4.81	1.34	5.89	1.17	2.1	50	198
995	QUIVER (FOR ARROWS)	quiver	5.11	1.61	4.6		3.68	1.24	5.03	1.63	0.99	27	1390
