CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_IMAGEABILITY_MEAN	ENGLISH_IMAGEABILITY_SD	ENGLISH_AOA_MEAN	ENGLISH_AOA_SD	ENGLISH_FAMILIARITY_MEAN	ENGLISH_FAMILIARITY_SD	ENGLISH_CONCRETENESS_MEAN	ENGLISH_CONCRETENESS_SD	ENGLISH_MEANING_UNCERTAINTY	ENGLISH_FREQUENCY	LINE_IN_SOURCE
1499	JUICE	juice	6.05	1.18	2.5		5.91	1.23	6.26	0.91	0	37	957
15	OTTER	otter	5.78	1.19	3.83		3.91	1.4	6.69	0.57	0	8	1215
1504	FLY (INSECT)	flies	6.19	1.39	2.31		5.46	1.37	6.31	1.14	0.75	29	665
1505	SPERM	sperm	5.54	1.69	5.97		3.95	1.48	6.09	1.08	0	2	1628
1506	MEASURE	measure	3.92	1.88	3.44		5.96	1.1	3.69	1.65	0.54	100	1078
1507	FRUIT	fruit	6.3	1.27	2.19		6.25	1.01	6.46	1.16	0.17	100	703
1511	ROOSTER	cock	5.92	1.26	3.14		4.34	1.37	6.46	0.8	0.78	37	316
1514	HEN	hen	6.03	1.46	2.19		4.61	1.71	6.69	0.62	0	49	805
152	HOOF	hoof	5.97	1.4	3.06		4.22	1.37	6.37	1.17	0.17	26	828
1520	CRUSH	crush	4.86	1.65	3.39		4.8	1.44	3.86	1.4	0.88	49	406
1522	SOCK	sock	6.14	1.32	1.72		6.12	1.06	6.47	0.92	0.17	12	1607
1524	WINE	wine	6.19	1.18	4.03		5.45	1.13	6.54	0.69	0	50	1916
1530	BOWL	bowl	5.73	1.41	2.56		5.65	1.37	6.31	1.06	0.77	50	199
1531	BRANCH	branch	5.54	1.48	3.03		5.29	1.25	6.14	1.12	0.66	100	202
1534	FEVER	fever	5.69	1.24	3.58		4.54	1.44	5.11	1.17	0	45	644
1535	SWORD	sword	5.95	1.35	3.42		4.17	1.52	6.54	0.77	0	50	1708
1553	MALE	male	5.81	1.5	3.83		6.01	1.16	5.97	1.25	0	34	1053
1554	MAN	men	5.86	1.49	2.36		6.3	1.07	5.86	1.29	0	100	1085
1557	BEGINNING	beginning	3.65	1.7	3.11		5.93	1.1	3.14	1.64	0	44	153
1559	MONEY	money	5.73	1.67	2.47		6.67	0.69	6	1.12	0	100	1121
1560	FACE	face	5.97	1.57	1.66		6.57	0.64	6.54	0.84	0.94	100	622
1561	ARMY	army	5.7	1.45	3.17		5.38	1.07	5.6	1.34	0	100	93
1565	HEAVEN	heaven	4.73	1.97	2.72		5.38	1.37	2.89	1.98	0	100	800
1566	GUN	gun	6.38	0.94	2.28		4.83	1.46	6.46	1	0	50	770
1567	DOOR	doorway	5.54	1.65	3.53		5.32	1.4	6.09	1.13	0	30	512
1569	CHEESE	cheese	6.32	1.09	2.11		6.33	1.08	6.66	0.63	0	45	283
157	DYE	dye	5	1.74	3.92		4.52	1.46	5.83	1.13	0	23	536
1573	SWELL	swell	4.16	1.52	4.28		4.43	1.51	4.2	1.35	0.99	50	1706
1583	BRAIN	brain	5.84	1.53	3.47		5.86	0.95	5.71	1.6	0	50	201
1588	TURN	turn	4.03	1.91	2.33		6.04	1.19	3.77	1.64	1.79	100	1799
1596	LOCK	lock	5.38	1.65	3.28		5.88	0.96	5.94	1.33	0.5	50	1023
1600	SKIRT	skirt	5.92	1.68	2.58		5.67	1.34	6.29	1.18	0.47	50	1587
1606	INSIDE	interior	4.3	1.63	4.81		4.56	1.37	4.46	1.54	0	33	919
1607	HATE	hate	4.86	1.85	2.78		5.48	1.27	2.66	1.62	0	50	791
1612	LETTER	letter	6.35	0.91	2.56		6.39	0.73	6.4	1.34	0.77	100	1004
