CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	POS	WORDNET_ID	NLTK_NAME	HYPERNYMS	HYPONYMS	HYPERNYM_NAMES	HYPONYM_NAMES	IN_DEGREE	OUT_DEGREE	LINE_IN_SOURCE
1034	DEFENDANT	defendant	n	09762101-n	defendant.n.01	10266848-n	09762011-n;09933411-n	litigant.n.01	accused.n.01;codefendant.n.01	1	2	4106
1035	GOOD	good	s	01166413-a	good.s.18					0	0	984
1036	OWNER	owner	n	10388924-n	owner.n.01	09882007-n	09866473-n;10255096-n;10255207-n;10408324-n;10458519-n;10491575-n;10520804-n;10524869-n;10548976-n;10711253-n	businessman.n.01	bookseller.n.01;lessor.n.01;letter.n.03;patron.n.02;proprietress.n.01;publisher.n.03;renter.n.02;restaurateur.n.01;saloon_keeper.n.01;timberman.n.01	1	10	4287
1038	TEACHER	teacher	n	10694258-n	teacher.n.01	10045713-n	09813441-n;09832873-n;09901337-n;09931418-n;09990777-n;10003120-n;10020807-n;10057918-n;10111601-n;10140169-n;10209539-n;10302446-n;10322957-n;10341343-n;10464542-n;10509063-n;10530383-n;10560352-n;10560548-n;10574425-n;10694939-n	educator.n.01	art_teacher.n.01;bahai.n.01;catechist.n.01;coach.n.02;dancing-master.n.01;demonstrator.n.01;docent.n.01;english_teacher.n.01;french_teacher.n.01;governess.n.01;instructress.n.01;math_teacher.n.01;missionary.n.01;music_teacher.n.01;preceptor.n.01;reading_teacher.n.01;riding_master.n.01;schoolteacher.n.01;science_teacher.n.01;section_man.n.01;teaching_fellow.n.01	1	21	4372
1039	SHOW	show	v	02148788-v	show.v.01	02137132-v	00543161-v	show.v.04	bring_home.v.01	1	1	1682
1041	INCREASE	increase	v	00156601-v	increase.v.01	00169651-v	00155869-v;00158804-v;00182406-v;00157347-v;00316195-v;00317468-v;00546729-v;00157623-v;00157462-v;00230746-v;00227165-v;00226566-v;00246930-v;00158094-v;00432572-v;00158384-v;00157219-v;00555084-v;00433232-v;00433525-v;00303465-v	change_magnitude.v.01	accrue.v.01;accumulate.v.02;add.v.01;add_to.v.01;appreciate.v.04;broaden.v.04;crescendo.v.01;explode.v.10;gain.v.07;grow.v.02;intensify.v.02;intensify.v.03;pullulate.v.04;pyramid.v.04;shoot_up.v.01;snowball.v.01;spike.v.06;swell.v.01;wax.v.02;wax.v.03;widen.v.01	1	21	142
1043	BRAID	braid	n	05259512-n	braid.n.01	05256862-n	05259914-n;05259823-n	hairdo.n.01	pigtail.n.01;queue.n.03	1	2	2885
1044	PILLOW	cushion	n	03151500-n	cushion.n.03	03873064-n	02687539-n;03409806-n;03497531-n;03505207-n;03938244-n;03942126-n;04162895-n;04430364-n	padding.n.01	air_cushion.n.03;gaddi.n.01;hassock.n.02;headrest.n.01;pillow.n.01;pincushion.n.01;seat_cushion.n.01;throw_pillow.n.01	1	8	2262
1046	SHUT	shut	a	01652782-a	shut.a.01					0	0	1315
1048	LINE	line	n	03671272-n	line.n.14	04096066-n	02891430-n;04492264-n	road.n.01	branch_line.n.01;trunk_line.n.01	1	2	2417
1051	CAN	can	n	02946921-n	can.n.01	03094503-n	02823510-n;02935387-n;02950120-n;03062985-n;03764736-n;03843316-n;04255586-n	container.n.01	beer_can.n.01;caddy.n.01;cannikin.n.02;coffee_can.n.01;milk_can.n.01;oilcan.n.01;soda_can.n.01	1	7	2190
1053	HUNTER	hunter	n	10193026-n	hunter.n.01	10605985-n	09869317-n;09971682-n;09995757-n;10038547-n;10076604-n;10108240-n;10193650-n;10265200-n;10460501-n;10615808-n;10646433-n;10720097-n;10726233-n	skilled_worker.n.01	bounty_hunter.n.02;courser.n.01;deer_hunter.n.01;duck_hunter.n.01;falconer.n.01;fowler.n.02;huntress.n.01;lion-hunter.n.02;pothunter.n.03;snarer.n.01;stalker.n.02;tracker.n.01;trapper.n.01	1	13	4234
1056	SON-IN-LAW	nephew	n	10353355-n	nephew.n.01	10236946-n	10146002-n	kinsman.n.01	great-nephew.n.01	1	1	4280
1062	LAW	law	n	05870916-n	law.n.03	05835747-n	05871140-n;05872477-n;06180720-n	concept.n.01	divine_law.n.01;principle.n.03;sound_law.n.01	1	3	3086
1064	SHIELD	shield	n	04192858-n	shield.n.01	04014297-n	03825913-n;03959701-n;04193035-n;04193179-n	protective_covering.n.01	nipple_shield.n.01;plate.n.14;shielding.n.02;shielding.n.03	1	4	2577
1066	CRIME	crime	n	00766234-n	crime.n.01	00745005-n	00773814-n;00765343-n;00768353-n;00768483-n;00768701-n;00768921-n;00769092-n;00769695-n;00769944-n;00770151-n;00770270-n;00773235-n;00774796-n;00774506-n;00775006-n;00782072-n;00782241-n;00782338-n;00782518-n	transgression.n.01	attack.n.05;barratry.n.04;capital_offense.n.01;cybercrime.n.01;felony.n.01;forgery.n.02;fraud.n.01;had_crime.n.01;hijack.n.01;mayhem.n.01;misdemeanor.n.01;perpetration.n.01;statutory_offense.n.01;tazir_crime.n.01;thuggery.n.01;treason.n.01;vice_crime.n.01;victimless_crime.n.01;war_crime.n.01	1	19	569
1067	JUDGMENT	judgment	n	00874067-n	judgment.n.02	00030358-n	00874457-n;00874621-n;00875246-n;00874806-n;00694681-n;00875671-n;00875838-n	act.n.02	adjudication.n.01;disapproval.n.04;estimate.n.02;evaluation.n.01;justice.n.02;logistic_assessment.n.01;value_judgment.n.01	1	7	679
1069	GLUE	glue	n	14702875-n	glue.n.01	14704640-n	14703190-n;14703345-n;14703566-n;14703709-n	cement.n.03	animal_glue.n.01;casein_glue.n.01;fish_glue.n.01;marine_glue.n.01	1	4	4849
1070	BUS	bus	n	02924116-n	bus.n.01	04019101-n	03769881-n;04146614-n;04487081-n	public_transport.n.01	minibus.n.01;school_bus.n.01;trolleybus.n.01	1	3	2170
1071	HOOK	hook	v	01365549-v	hook.v.01	01340439-v		fasten.v.01		1	0	1132
1072	PRISONER	prisoner	n	10476086-n	prisoner.n.01	09630641-n	09962966-n;10009162-n;10187557-n;10212074-n;10450038-n;10476331-n	unfortunate.n.01	convict.n.01;detainee.n.01;hostage.n.01;internee.n.01;political_prisoner.n.01;prisoner_of_war.n.01	1	6	4316
