ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	TARGET_CONCEPTS	SOURCE_CONCEPTS	LINKED_CONCEPTS
Winter-2022-SemanticChange-11	11	624	LAKE	lake	"[{""NAME"": ""swamp"", ""ID"": ""Winter-2022-SemanticChange-12"", ""OvertMarking"": 4}]"	"[{""NAME"": ""swamp"", ""ID"": ""Winter-2022-SemanticChange-12"", ""OvertMarking"": 0}]"	"[{""NAME"": ""swamp"", ""ID"": ""Winter-2022-SemanticChange-12"", ""Polysemy"": 8}]"
Winter-2022-SemanticChange-12	12	1145	SWAMP	swamp	"[{""NAME"": ""lake"", ""ID"": ""Winter-2022-SemanticChange-11"", ""OvertMarking"": 0}, {""NAME"": ""puddle"", ""ID"": ""Winter-2022-SemanticChange-80"", ""OvertMarking"": 2}]"	"[{""NAME"": ""lake"", ""ID"": ""Winter-2022-SemanticChange-11"", ""OvertMarking"": 4}, {""NAME"": ""puddle"", ""ID"": ""Winter-2022-SemanticChange-80"", ""OvertMarking"": 0}]"	"[{""NAME"": ""lake"", ""ID"": ""Winter-2022-SemanticChange-11"", ""Polysemy"": 8}, {""NAME"": ""puddle"", ""ID"": ""Winter-2022-SemanticChange-80"", ""Polysemy"": 7}]"
Winter-2022-SemanticChange-13	13	2	DUST	dust	"[{""NAME"": ""smoke"", ""ID"": ""Winter-2022-SemanticChange-7"", ""OvertMarking"": 0}, {""NAME"": ""soil/earth"", ""ID"": ""Winter-2022-SemanticChange-72"", ""OvertMarking"": 15}, {""NAME"": ""ashes"", ""ID"": ""Winter-2022-SemanticChange-16"", ""OvertMarking"": 2}]"	"[{""NAME"": ""smoke"", ""ID"": ""Winter-2022-SemanticChange-7"", ""OvertMarking"": 4}, {""NAME"": ""soil/earth"", ""ID"": ""Winter-2022-SemanticChange-72"", ""OvertMarking"": 0}, {""NAME"": ""ashes"", ""ID"": ""Winter-2022-SemanticChange-16"", ""OvertMarking"": 6}]"	"[{""NAME"": ""smoke"", ""ID"": ""Winter-2022-SemanticChange-7"", ""Polysemy"": 8}, {""NAME"": ""soil/earth"", ""ID"": ""Winter-2022-SemanticChange-72"", ""Polysemy"": 15}, {""NAME"": ""ashes"", ""ID"": ""Winter-2022-SemanticChange-16"", ""Polysemy"": 22}]"
Winter-2022-SemanticChange-14	14	906	TREE	tree	"[{""NAME"": ""branch"", ""ID"": ""Winter-2022-SemanticChange-15"", ""OvertMarking"": 17}, {""NAME"": ""forest"", ""ID"": ""Winter-2022-SemanticChange-18"", ""OvertMarking"": 6}]"	"[{""NAME"": ""branch"", ""ID"": ""Winter-2022-SemanticChange-15"", ""OvertMarking"": 0}, {""NAME"": ""forest"", ""ID"": ""Winter-2022-SemanticChange-18"", ""OvertMarking"": 0}]"	"[{""NAME"": ""branch"", ""ID"": ""Winter-2022-SemanticChange-15"", ""Polysemy"": 6}, {""NAME"": ""forest"", ""ID"": ""Winter-2022-SemanticChange-18"", ""Polysemy"": 4}]"
Winter-2022-SemanticChange-15	15	1531	BRANCH	branch	"[{""NAME"": ""tree"", ""ID"": ""Winter-2022-SemanticChange-14"", ""OvertMarking"": 0}]"	"[{""NAME"": ""tree"", ""ID"": ""Winter-2022-SemanticChange-14"", ""OvertMarking"": 17}]"	"[{""NAME"": ""tree"", ""ID"": ""Winter-2022-SemanticChange-14"", ""Polysemy"": 6}]"
Winter-2022-SemanticChange-16	16	646	ASH	ashes	"[{""NAME"": ""embers"", ""ID"": ""Winter-2022-SemanticChange-17"", ""OvertMarking"": 2}, {""NAME"": ""dust"", ""ID"": ""Winter-2022-SemanticChange-13"", ""OvertMarking"": 6}]"	"[{""NAME"": ""embers"", ""ID"": ""Winter-2022-SemanticChange-17"", ""OvertMarking"": 0}, {""NAME"": ""dust"", ""ID"": ""Winter-2022-SemanticChange-13"", ""OvertMarking"": 2}]"	"[{""NAME"": ""embers"", ""ID"": ""Winter-2022-SemanticChange-17"", ""Polysemy"": 6}, {""NAME"": ""dust"", ""ID"": ""Winter-2022-SemanticChange-13"", ""Polysemy"": 22}]"
Winter-2022-SemanticChange-17	17	67	EMBERS	embers	"[{""NAME"": ""ashes"", ""ID"": ""Winter-2022-SemanticChange-16"", ""OvertMarking"": 0}, {""NAME"": ""flame"", ""ID"": ""Winter-2022-SemanticChange-59"", ""OvertMarking"": 2}, {""NAME"": ""coal"", ""ID"": ""Winter-2022-SemanticChange-94"", ""OvertMarking"": 10}]"	"[{""NAME"": ""ashes"", ""ID"": ""Winter-2022-SemanticChange-16"", ""OvertMarking"": 2}, {""NAME"": ""flame"", ""ID"": ""Winter-2022-SemanticChange-59"", ""OvertMarking"": 0}, {""NAME"": ""coal"", ""ID"": ""Winter-2022-SemanticChange-94"", ""OvertMarking"": 2}]"	"[{""NAME"": ""ashes"", ""ID"": ""Winter-2022-SemanticChange-16"", ""Polysemy"": 6}, {""NAME"": ""flame"", ""ID"": ""Winter-2022-SemanticChange-59"", ""Polysemy"": 6}, {""NAME"": ""coal"", ""ID"": ""Winter-2022-SemanticChange-94"", ""Polysemy"": 23}]"
Winter-2022-SemanticChange-18	18	420	FOREST	forest	"[{""NAME"": ""tree"", ""ID"": ""Winter-2022-SemanticChange-14"", ""OvertMarking"": 0}]"	"[{""NAME"": ""tree"", ""ID"": ""Winter-2022-SemanticChange-14"", ""OvertMarking"": 6}]"	"[{""NAME"": ""tree"", ""ID"": ""Winter-2022-SemanticChange-14"", ""Polysemy"": 4}]"
Winter-2022-SemanticChange-19	19	1225	DAY (NOT NIGHT)	day	"[{""NAME"": ""dawn"", ""ID"": ""Winter-2022-SemanticChange-20"", ""OvertMarking"": 20}, {""NAME"": ""noon"", ""ID"": ""Winter-2022-SemanticChange-23"", ""OvertMarking"": 3}, {""NAME"": ""clock"", ""ID"": ""Winter-2022-SemanticChange-65"", ""OvertMarking"": 0}, {""NAME"": ""cloud"", ""ID"": ""Winter-2022-SemanticChange-1"", ""OvertMarking"": 0}]"	"[{""NAME"": ""dawn"", ""ID"": ""Winter-2022-SemanticChange-20"", ""OvertMarking"": 0}, {""NAME"": ""noon"", ""ID"": ""Winter-2022-SemanticChange-23"", ""OvertMarking"": 20}, {""NAME"": ""clock"", ""ID"": ""Winter-2022-SemanticChange-65"", ""OvertMarking"": 8}, {""NAME"": ""cloud"", ""ID"": ""Winter-2022-SemanticChange-1"", ""OvertMarking"": 3}]"	"[{""NAME"": ""dawn"", ""ID"": ""Winter-2022-SemanticChange-20"", ""Polysemy"": 3}, {""NAME"": ""noon"", ""ID"": ""Winter-2022-SemanticChange-23"", ""Polysemy"": 0}, {""NAME"": ""clock"", ""ID"": ""Winter-2022-SemanticChange-65"", ""Polysemy"": 2}, {""NAME"": ""cloud"", ""ID"": ""Winter-2022-SemanticChange-1"", ""Polysemy"": 2}]"
Winter-2022-SemanticChange-20	20	729	DAWN	dawn	"[{""NAME"": ""day"", ""ID"": ""Winter-2022-SemanticChange-19"", ""OvertMarking"": 0}]"	"[{""NAME"": ""day"", ""ID"": ""Winter-2022-SemanticChange-19"", ""OvertMarking"": 20}]"	"[{""NAME"": ""day"", ""ID"": ""Winter-2022-SemanticChange-19"", ""Polysemy"": 3}]"
Winter-2022-SemanticChange-21	21	239	FLOWER	flower/blossom	"[{""NAME"": ""bud"", ""ID"": ""Winter-2022-SemanticChange-22"", ""OvertMarking"": 4}]"	"[{""NAME"": ""bud"", ""ID"": ""Winter-2022-SemanticChange-22"", ""OvertMarking"": 0}]"	"[{""NAME"": ""bud"", ""ID"": ""Winter-2022-SemanticChange-22"", ""Polysemy"": 3}]"
Winter-2022-SemanticChange-22	22	1684	BUD	bud	"[{""NAME"": ""flower/blossom"", ""ID"": ""Winter-2022-SemanticChange-21"", ""OvertMarking"": 0}, {""NAME"": ""seed"", ""ID"": ""Winter-2022-SemanticChange-66"", ""OvertMarking"": 2}]"	"[{""NAME"": ""flower/blossom"", ""ID"": ""Winter-2022-SemanticChange-21"", ""OvertMarking"": 4}, {""NAME"": ""seed"", ""ID"": ""Winter-2022-SemanticChange-66"", ""OvertMarking"": 0}]"	"[{""NAME"": ""flower/blossom"", ""ID"": ""Winter-2022-SemanticChange-21"", ""Polysemy"": 3}, {""NAME"": ""seed"", ""ID"": ""Winter-2022-SemanticChange-66"", ""Polysemy"": 3}]"
Winter-2022-SemanticChange-23	23	12	MIDDAY	noon	"[{""NAME"": ""day"", ""ID"": ""Winter-2022-SemanticChange-19"", ""OvertMarking"": 20}, {""NAME"": ""sun"", ""ID"": ""Winter-2022-SemanticChange-3"", ""OvertMarking"": 0}]"	"[{""NAME"": ""day"", ""ID"": ""Winter-2022-SemanticChange-19"", ""OvertMarking"": 3}, {""NAME"": ""sun"", ""ID"": ""Winter-2022-SemanticChange-3"", ""OvertMarking"": 24}]"	"[{""NAME"": ""day"", ""ID"": ""Winter-2022-SemanticChange-19"", ""Polysemy"": 0}, {""NAME"": ""sun"", ""ID"": ""Winter-2022-SemanticChange-3"", ""Polysemy"": 2}]"
Winter-2022-SemanticChange-24	24	942	HONEY	honey	"[{""NAME"": ""wax"", ""ID"": ""Winter-2022-SemanticChange-25"", ""OvertMarking"": 4}]"	"[{""NAME"": ""wax"", ""ID"": ""Winter-2022-SemanticChange-25"", ""OvertMarking"": 0}]"	"[{""NAME"": ""wax"", ""ID"": ""Winter-2022-SemanticChange-25"", ""Polysemy"": 2}]"
Winter-2022-SemanticChange-25	25	1931	BEESWAX	wax	"[{""NAME"": ""honey"", ""ID"": ""Winter-2022-SemanticChange-24"", ""OvertMarking"": 0}]"	"[{""NAME"": ""honey"", ""ID"": ""Winter-2022-SemanticChange-24"", ""OvertMarking"": 4}]"	"[{""NAME"": ""honey"", ""ID"": ""Winter-2022-SemanticChange-24"", ""Polysemy"": 2}]"
Winter-2022-SemanticChange-26	26	1394	BONE	bone	"[{""NAME"": ""horn"", ""ID"": ""Winter-2022-SemanticChange-27"", ""OvertMarking"": 2}, {""NAME"": ""needle"", ""ID"": ""Winter-2022-SemanticChange-70"", ""OvertMarking"": 0}]"	"[{""NAME"": ""horn"", ""ID"": ""Winter-2022-SemanticChange-27"", ""OvertMarking"": 0}, {""NAME"": ""needle"", ""ID"": ""Winter-2022-SemanticChange-70"", ""OvertMarking"": 2}]"	"[{""NAME"": ""horn"", ""ID"": ""Winter-2022-SemanticChange-27"", ""Polysemy"": 2}, {""NAME"": ""needle"", ""ID"": ""Winter-2022-SemanticChange-70"", ""Polysemy"": 2}]"
Winter-2022-SemanticChange-27	27	1393	HORN (ANATOMY)	horn	"[{""NAME"": ""bone"", ""ID"": ""Winter-2022-SemanticChange-26"", ""OvertMarking"": 0}]"	"[{""NAME"": ""bone"", ""ID"": ""Winter-2022-SemanticChange-26"", ""OvertMarking"": 2}]"	"[{""NAME"": ""bone"", ""ID"": ""Winter-2022-SemanticChange-26"", ""Polysemy"": 2}]"
Winter-2022-SemanticChange-28	28	666	RIVER	river/stream	"[{""NAME"": ""flood"", ""ID"": ""Winter-2022-SemanticChange-29"", ""OvertMarking"": 2}, {""NAME"": ""milky way"", ""ID"": ""Winter-2022-SemanticChange-61"", ""OvertMarking"": 0}, {""NAME"": ""spring"", ""ID"": ""Winter-2022-SemanticChange-83"", ""OvertMarking"": 0}, {""NAME"": ""river bed"", ""ID"": ""Winter-2022-SemanticChange-84"", ""OvertMarking"": 0}]"	"[{""NAME"": ""flood"", ""ID"": ""Winter-2022-SemanticChange-29"", ""OvertMarking"": 0}, {""NAME"": ""milky way"", ""ID"": ""Winter-2022-SemanticChange-61"", ""OvertMarking"": 2}, {""NAME"": ""spring"", ""ID"": ""Winter-2022-SemanticChange-83"", ""OvertMarking"": 2}, {""NAME"": ""river bed"", ""ID"": ""Winter-2022-SemanticChange-84"", ""OvertMarking"": 13}]"	"[{""NAME"": ""flood"", ""ID"": ""Winter-2022-SemanticChange-29"", ""Polysemy"": 2}, {""NAME"": ""milky way"", ""ID"": ""Winter-2022-SemanticChange-61"", ""Polysemy"": 2}, {""NAME"": ""spring"", ""ID"": ""Winter-2022-SemanticChange-83"", ""Polysemy"": 12}, {""NAME"": ""river bed"", ""ID"": ""Winter-2022-SemanticChange-84"", ""Polysemy"": 5}]"
Winter-2022-SemanticChange-29	29	613	HIGH TIDE	flood	"[{""NAME"": ""river/stream"", ""ID"": ""Winter-2022-SemanticChange-28"", ""OvertMarking"": 0}]"	"[{""NAME"": ""river/stream"", ""ID"": ""Winter-2022-SemanticChange-28"", ""OvertMarking"": 2}]"	"[{""NAME"": ""river/stream"", ""ID"": ""Winter-2022-SemanticChange-28"", ""Polysemy"": 2}]"
Winter-2022-SemanticChange-30	30	1402	BREAST	breast	"[{""NAME"": ""milk"", ""ID"": ""Winter-2022-SemanticChange-31"", ""OvertMarking"": 30}]"	"[{""NAME"": ""milk"", ""ID"": ""Winter-2022-SemanticChange-31"", ""OvertMarking"": 0}]"	"[{""NAME"": ""milk"", ""ID"": ""Winter-2022-SemanticChange-31"", ""Polysemy"": 43}]"
Winter-2022-SemanticChange-31	31	635	MILK	milk	"[{""NAME"": ""breast"", ""ID"": ""Winter-2022-SemanticChange-30"", ""OvertMarking"": 0}, {""NAME"": ""nipple"", ""ID"": ""Winter-2022-SemanticChange-37"", ""OvertMarking"": 4}]"	"[{""NAME"": ""breast"", ""ID"": ""Winter-2022-SemanticChange-30"", ""OvertMarking"": 30}, {""NAME"": ""nipple"", ""ID"": ""Winter-2022-SemanticChange-37"", ""OvertMarking"": 0}]"	"[{""NAME"": ""breast"", ""ID"": ""Winter-2022-SemanticChange-30"", ""Polysemy"": 43}, {""NAME"": ""nipple"", ""ID"": ""Winter-2022-SemanticChange-37"", ""Polysemy"": 5}]"
Winter-2022-SemanticChange-32	32	674	MOUTH	mouth	"[{""NAME"": ""lip"", ""ID"": ""Winter-2022-SemanticChange-33"", ""OvertMarking"": 31}, {""NAME"": ""cheek"", ""ID"": ""Winter-2022-SemanticChange-48"", ""OvertMarking"": 3}, {""NAME"": ""beak"", ""ID"": ""Winter-2022-SemanticChange-52"", ""OvertMarking"": 11}, {""NAME"": ""estuary"", ""ID"": ""Winter-2022-SemanticChange-57"", ""OvertMarking"": 5}]"	"[{""NAME"": ""lip"", ""ID"": ""Winter-2022-SemanticChange-33"", ""OvertMarking"": 0}, {""NAME"": ""cheek"", ""ID"": ""Winter-2022-SemanticChange-48"", ""OvertMarking"": 0}, {""NAME"": ""beak"", ""ID"": ""Winter-2022-SemanticChange-52"", ""OvertMarking"": 0}, {""NAME"": ""estuary"", ""ID"": ""Winter-2022-SemanticChange-57"", ""OvertMarking"": 0}]"	"[{""NAME"": ""lip"", ""ID"": ""Winter-2022-SemanticChange-33"", ""Polysemy"": 16}, {""NAME"": ""cheek"", ""ID"": ""Winter-2022-SemanticChange-48"", ""Polysemy"": 2}, {""NAME"": ""beak"", ""ID"": ""Winter-2022-SemanticChange-52"", ""Polysemy"": 18}, {""NAME"": ""estuary"", ""ID"": ""Winter-2022-SemanticChange-57"", ""Polysemy"": 5}]"
Winter-2022-SemanticChange-33	33	478	LIP	lip	"[{""NAME"": ""mouth"", ""ID"": ""Winter-2022-SemanticChange-32"", ""OvertMarking"": 0}]"	"[{""NAME"": ""mouth"", ""ID"": ""Winter-2022-SemanticChange-32"", ""OvertMarking"": 31}]"	"[{""NAME"": ""mouth"", ""ID"": ""Winter-2022-SemanticChange-32"", ""Polysemy"": 16}]"
Winter-2022-SemanticChange-34	34	2114	BELLY OR STOMACH	belly/stomach	"[{""NAME"": ""womb"", ""ID"": ""Winter-2022-SemanticChange-35"", ""OvertMarking"": 6}, {""NAME"": ""heart"", ""ID"": ""Winter-2022-SemanticChange-36"", ""OvertMarking"": 0}, {""NAME"": ""navel"", ""ID"": ""Winter-2022-SemanticChange-47"", ""OvertMarking"": 3}, {""NAME"": ""guts"", ""ID"": ""Winter-2022-SemanticChange-96"", ""OvertMarking"": 2}]"	"[{""NAME"": ""womb"", ""ID"": ""Winter-2022-SemanticChange-35"", ""OvertMarking"": 0}, {""NAME"": ""heart"", ""ID"": ""Winter-2022-SemanticChange-36"", ""OvertMarking"": 2}, {""NAME"": ""navel"", ""ID"": ""Winter-2022-SemanticChange-47"", ""OvertMarking"": 0}, {""NAME"": ""guts"", ""ID"": ""Winter-2022-SemanticChange-96"", ""OvertMarking"": 6}]"	"[{""NAME"": ""womb"", ""ID"": ""Winter-2022-SemanticChange-35"", ""Polysemy"": 11}, {""NAME"": ""heart"", ""ID"": ""Winter-2022-SemanticChange-36"", ""Polysemy"": 7}, {""NAME"": ""navel"", ""ID"": ""Winter-2022-SemanticChange-47"", ""Polysemy"": 2}, {""NAME"": ""guts"", ""ID"": ""Winter-2022-SemanticChange-96"", ""Polysemy"": 13}]"
Winter-2022-SemanticChange-35	35	804	WOMB	womb	"[{""NAME"": ""belly/stomach"", ""ID"": ""Winter-2022-SemanticChange-34"", ""OvertMarking"": 0}]"	"[{""NAME"": ""belly/stomach"", ""ID"": ""Winter-2022-SemanticChange-34"", ""OvertMarking"": 6}]"	"[{""NAME"": ""belly/stomach"", ""ID"": ""Winter-2022-SemanticChange-34"", ""Polysemy"": 11}]"
Winter-2022-SemanticChange-36	36	1223	HEART	heart	"[{""NAME"": ""belly/stomach"", ""ID"": ""Winter-2022-SemanticChange-34"", ""OvertMarking"": 2}, {""NAME"": ""kidney"", ""ID"": ""Winter-2022-SemanticChange-42"", ""OvertMarking"": 3}, {""NAME"": ""lungs"", ""ID"": ""Winter-2022-SemanticChange-39"", ""OvertMarking"": 3}]"	"[{""NAME"": ""belly/stomach"", ""ID"": ""Winter-2022-SemanticChange-34"", ""OvertMarking"": 0}, {""NAME"": ""kidney"", ""ID"": ""Winter-2022-SemanticChange-42"", ""OvertMarking"": 0}, {""NAME"": ""lungs"", ""ID"": ""Winter-2022-SemanticChange-39"", ""OvertMarking"": 0}]"	"[{""NAME"": ""belly/stomach"", ""ID"": ""Winter-2022-SemanticChange-34"", ""Polysemy"": 7}, {""NAME"": ""kidney"", ""ID"": ""Winter-2022-SemanticChange-42"", ""Polysemy"": 3}, {""NAME"": ""lungs"", ""ID"": ""Winter-2022-SemanticChange-39"", ""Polysemy"": 2}]"
Winter-2022-SemanticChange-37	37	796	NIPPLE	nipple	"[{""NAME"": ""milk"", ""ID"": ""Winter-2022-SemanticChange-31"", ""OvertMarking"": 0}]"	"[{""NAME"": ""milk"", ""ID"": ""Winter-2022-SemanticChange-31"", ""OvertMarking"": 4}]"	"[{""NAME"": ""milk"", ""ID"": ""Winter-2022-SemanticChange-31"", ""Polysemy"": 5}]"
Winter-2022-SemanticChange-38	38	1224	LIVER	liver	"[{""NAME"": ""lungs"", ""ID"": ""Winter-2022-SemanticChange-39"", ""OvertMarking"": 9}]"	"[{""NAME"": ""lungs"", ""ID"": ""Winter-2022-SemanticChange-39"", ""OvertMarking"": 0}]"	"[{""NAME"": ""lungs"", ""ID"": ""Winter-2022-SemanticChange-39"", ""Polysemy"": 4}]"
