CONCEPTICON_ID	CONCEPTICON_GLOSS	KOREAN	ENGLISH	KOREAN_ENGLISH_TRANSLATIONAL_EQUIVALENCE	ENGLISH_POS	LINE_IN_SOURCE
3845	DISAPPOINTMENT	낙망	disappointment	1	noun	1247
3846	EXCITEMENT	들뜸	excitement	1	noun	1241
3847	INTEREST (FEELING)	흥미	interest	1	noun	1656
3848	SURPRISE (FEELING)	신기함	surprise	1	noun	1702
3849	TRIUMPH	승리	triumph	1	noun	1804
385	RESPECT (SOMEBODY)	존중	respect	1	noun	1798
3854	SADNESS	슬픔	sadness	1	noun	1511
3858	CONFUSED	혼란스럽다	confused	1	adjective	837
3869	ANXIOUS	조마조마하다	anxious	1	adjective	164
3877	DEPRESSION	우울	depression	1	noun	1949
3885	IMPATIENT	안달하는	impatient	1	adjective	934
39	KEEN	열렬하다	keen	1	adjective	951
3902	TRUST (SOMEBODY)	신뢰	trust	1	noun	1792
3903	SYMPATHIZE	동정하다	sympathize	1	verb	2001
3915	PRIDE	자랑스러움	pride	1	noun	528
3955	HOSTILITY	반감	hostility	1	noun	1428
3967	CONTENT	만족하는	content	1	adjective	1014
3972	EXCITED	흥분한	excited	1	adjective	409
3973	DEPRESSED	우울하다	depressed	1	adjective	492
3974	UNHAPPY	불행하다	unhappy	1	adjective	328
3975	NERVOUS	떨리는	nervous	1	adjective	160
40	ENVY	시샘하다	envy	1	verb	443
41	IGNORE	무시하다	ignore	1	verb	2284
45	EVIL	악하다	evil	1	adjective	674
484	CONDEMN	멸시하다	condemn	1	verb	2209
487	SHY	부끄럽다	shy	1	adjective	343
500	CRUEL	잔인하다	cruel	1	adjective	705
509	CERTAIN	확신하는	certain	1	adjective	818
51	SORE	아픔	sore	1	noun	1760
528	DREADFUL	공포스럽다	fearful	1	adjective	70
583	KIND OR POLITE	친절하다	kind	1	adjective	952
584	DIFFICULT	힘겹다	difficult	1	adjective	735
600	STRANGE	의아하다	strange	1	adjective	526
643	NEED (NOUN)	욕구	need	1	noun	1932
679	BRIGHT	해맑다	bright	1	adjective	748
686	EASY	거뜬하다	easy	1	adjective	4
698	WISE	지혜롭다	wise	1	adjective	713
699	SAD	슬프다	sad	1	adjective	430
717	SWEET	감미롭다	sweet	1	adjective	48
720	GOOD LUCK	행운	luck	1	noun	1782
722	ATTACK	공격	attack	1	noun	1833
75	DISGRACE	수치	disgrace	1	noun	1501
754	HURRY	급함	hurry	1	noun	1917
781	FEAR (FRIGHT)	겁	fear	1	noun	1166
783	VICTORY	승리	victory	1	noun	1803
82	ANGER	성	anger	1	noun	1186
833	ENDURE	참다	endure	1	verb	2309
837	BLUE	우울하다	blue	1	adjective	1069
845	MURDER	살인	murder	1	noun	1930
887	BITTER	씁쓸하다	bitter	1	adjective	457
897	SWALLOW	참다	swallow	1	verb	2311
90	INNOCENT	순수하다	innocent	1	adjective	655
905	BORING	재미없다	boring	1	adjective	138
923	LOVE	사랑하다	love	1	verb	2184
940	STRAIN	긴장	strain	1	noun	1305
