ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	POS	IDS_IN_SOURCE	LINKS	POLYSEMY_CLASS	FREQUENCY_CLASS	DEGREE_CLASS	RELATION_TYPE	FORWARD_SCORES	BACKWARD_SCORES	SCORED_RELATIONS
Lapesa-2014-772-424	424			mental	adjective	131:psychiatric-mental:1 138:psychological-mental:1 139:psychological-mental:1 141:psychological-mental:1	←518 ←519 ←519 ←519	poli1 poli1 poli1 poli1	freqMax freqMax freqMax freqMax	HIGH NOT HIGH HIGH	HYP ANT HYP SYN	4.231 0.9 4.3 3.3	4.182 0.5 4.6 4.2	"{""psychiatric-mental"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.231, ""BACKWARD_SCORE"": 4.182, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}, ""psychological-mental"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.3, ""BACKWARD_SCORE"": 4.2, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-425	425			metamorphosis	noun	739:metamorphosis-change:0 740:metamorphosis-stagnation:0 741:metamorphosis-transmutation:0 742:metamorphosis-change:0 743:metamorphosis-stagnation:0 744:metamorphosis-stasis:0 745:metamorphosis-stagnation:0 746:metamorphosis-reproduction:0 747:metamorphosis-change:0	→96 →626 →675 →96 →626 →629 →626 →548 →96	poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli3	freqMin freqMin freqMin freqMin freqMin freqMin freqMin freqMin freqMin	HIGH NOT LOW NOT NOT LOW HIGH LOW HIGH	SYN HYP SYN ANT SYN ANT ANT HYP HYP	4.6 0.0 3.4 0.1 0.0 3.6 4.1 0.4 4.2	4.4 0.1 4.5 0.1 0.0 3.8 4.4 2.2 4.6	"{""metamorphosis-change"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.2, ""BACKWARD_SCORE"": 4.6, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""HIGH""}, ""metamorphosis-stagnation"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.1, ""BACKWARD_SCORE"": 4.4, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""HIGH""}, ""metamorphosis-transmutation"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.4, ""BACKWARD_SCORE"": 4.5, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}, ""metamorphosis-stasis"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 3.6, ""BACKWARD_SCORE"": 3.8, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}, ""metamorphosis-reproduction"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 0.4, ""BACKWARD_SCORE"": 2.2, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-426	426			metropolitan	adjective	94:metropolitan-urban:0 95:metropolitan-cosmopolitan:0 96:metropolitan-rural:0	→730 →144 →566	poli1 poli1 poli1	freqMed freqMed freqMed	HIGH LOW NOT	SYN SYN SYN	4.1 2.7 0.5	4.7 2.8 0.0	"{""metropolitan-urban"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.1, ""BACKWARD_SCORE"": 4.7, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}, ""metropolitan-cosmopolitan"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 2.7, ""BACKWARD_SCORE"": 2.8, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}, ""metropolitan-rural"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.5, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-427	427			minimum	adjective	93:maximum-minimum:1	←420	poli3	freqMax	NOT	SYN	0.5	0.0	"{""maximum-minimum"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.5, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-428	428			misconstrue	verb	320:to-construe-to-misconstrue:1 439:to-misconstrue-to-misunderstand:0 440:to-misconstrue-to-understand:0 441:to-misconstrue-to-misunderstand:0 442:to-misconstrue-to-twist:0 443:to-misconstrue-to-understand:0 444:to-misconstrue-to-clarify:0	←138 →431 →696 →431 →686 →696 →107	poli1 poli1 poli1 poli1 poli1 poli1 poli1	freqMed freqMin freqMin freqMin freqMin freqMin freqMin	HIGH NOT NOT HIGH LOW HIGH LOW	ANT ANT SYN SYN SYN ANT ANT	5.0 0.7 0.0 3.4 2.8 4.2 4.3	5.0 0.2 0.0 4.7 3.4 4.7 3.7	"{""to-construe-to-misconstrue"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 5.0, ""BACKWARD_SCORE"": 5.0, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}, ""to-misconstrue-to-misunderstand"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.4, ""BACKWARD_SCORE"": 4.7, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""HIGH""}, ""to-misconstrue-to-understand"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.2, ""BACKWARD_SCORE"": 4.7, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""HIGH""}, ""to-misconstrue-to-twist"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 2.8, ""BACKWARD_SCORE"": 3.4, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}, ""to-misconstrue-to-clarify"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.3, ""BACKWARD_SCORE"": 3.7, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-429	429			miss	verb	358:to-evidence-to-miss:1 647:compass-miss:1	←241 ←120	poli3 poli3	freqMed freqMed	LOW NOT	ANT HYP	1.6 0.0	1.6 0.0	"{""to-evidence-to-miss"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 1.6, ""BACKWARD_SCORE"": 1.6, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}, ""compass-miss"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-430	430			mistreat	verb	251:to-abuse-to-mistreat:1	←5	poli3	freqMax	LOW	SYN	4.3	4.5	"{""to-abuse-to-mistreat"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.3, ""BACKWARD_SCORE"": 4.5, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-431	431			misunderstand	verb	394:to-interpret-to-misunderstand:1 439:to-misconstrue-to-misunderstand:1 441:to-misconstrue-to-misunderstand:1	←367 ←428 ←428	poli3 poli1 poli1	freqMax freqMin freqMin	HIGH NOT HIGH	ANT ANT SYN	2.7 0.7 3.4	3.1 0.2 4.7	"{""to-interpret-to-misunderstand"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 2.7, ""BACKWARD_SCORE"": 3.1, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}, ""to-misconstrue-to-misunderstand"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.4, ""BACKWARD_SCORE"": 4.7, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-432	432			mobilize	verb	375:to-immobilize-to-mobilize:1	←335	poli3	freqMin	NOT	SYN	0.0	0.0	"{""to-immobilize-to-mobilize"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-433	433			modest	adjective	61:humble-modest:1	←325	poli3	freqMax	NOT	ANT	0.6	0.4	"{""humble-modest"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.6, ""BACKWARD_SCORE"": 0.4, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-434	434	1313	MOON	moon	noun	764:planet-moon:1	←489	poli2	freqMax	HIGH	ANT	0.8	1.3	"{""planet-moon"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.8, ""BACKWARD_SCORE"": 1.3, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-435	435			mortal	adjective	66:immortal-mortal:1 69:immortal-mortal:1 97:mortal-eternal:0 98:mortal-fatal:0 99:mortal-immortal:0	←336 ←336 →236 →256 →336	poli3 poli3 poli2 poli2 poli2	freqMed freqMed freqMed freqMed freqMed	HIGH NOT LOW NOT HIGH	ANT SYN ANT ANT ANT	5.0 0.0 4.0 0.5 5.0	5.0 0.0 4.2 0.4 5.0	"{""immortal-mortal"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}, ""mortal-eternal"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.0, ""BACKWARD_SCORE"": 4.2, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}, ""mortal-fatal"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.5, ""BACKWARD_SCORE"": 0.4, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}, ""mortal-immortal"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 5.0, ""BACKWARD_SCORE"": 5.0, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-436	436			most	adjective	91:maximum-most:1	←420	poli3	freqMax	HIGH	SYN	4.6	4.6	"{""maximum-most"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.6, ""BACKWARD_SCORE"": 4.6, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-437	437	765	MOVE	move	verb	413:to-journey-to-move:1	←376	poli2	freqMed	LOW	HYP	4.5	4.5	"{""to-journey-to-move"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.5, ""BACKWARD_SCORE"": 4.5, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-438	438			muddle	verb	367:to-hone-to-muddle:1	←321	poli2	freqMed	LOW	ANT	2.7	3.6	"{""to-hone-to-muddle"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 2.7, ""BACKWARD_SCORE"": 3.6, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-439	439	845	MURDER	murder	verb	416:to-kill-to-murder:1	←379	poli3	freqMax	HIGH	SYN	4.4	4.6	"{""to-kill-to-murder"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.4, ""BACKWARD_SCORE"": 4.6, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-440	440			murmur	verb	576:to-whisper-to-murmur:1 577:to-whisper-to-murmur:1	←755 ←755	poli1 poli1	freqMed freqMed	NOT HIGH	ANT SYN	0.4 3.9	0.3 3.7	"{""to-whisper-to-murmur"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.9, ""BACKWARD_SCORE"": 3.7, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-441	441	642	MUSIC	music	noun	836:trombone-music:1	←679	poli1	freqMed	LOW	HYP	1.4	3.0	"{""trombone-music"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 1.4, ""BACKWARD_SCORE"": 3.0, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-442	442			musical	adjective	158:symphonic-musical:1	←655	poli1	freqMin	HIGH	HYP	4.5	4.625	"{""symphonic-musical"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.5, ""BACKWARD_SCORE"": 4.625, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-443	443			mystical	adjective	100:mystical-paranormal:0 101:mystical-magical:0 102:mystical-real:0	→470 →412 →532	poli2 poli2 poli2	freqMed freqMed freqMed	LOW HIGH NOT	HYP HYP HYP	4.0 4.6 0.2	4.0 4.375 0.0	"{""mystical-paranormal"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.0, ""BACKWARD_SCORE"": 4.0, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}, ""mystical-magical"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.6, ""BACKWARD_SCORE"": 4.375, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}, ""mystical-real"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 0.2, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-444	444			naivety	noun	748:naivety-inexperience:0 749:naivety-innocence:0 750:naivety-experience:0	→354 →360 →247	poli1 poli1 poli1	freqMin freqMin freqMin	LOW HIGH NOT	SYN SYN SYN	4.1 4.5 0.5	3.3 3.8 0.1	"{""naivety-inexperience"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.1, ""BACKWARD_SCORE"": 3.3, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}, ""naivety-innocence"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.5, ""BACKWARD_SCORE"": 3.8, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""HIGH""}, ""naivety-experience"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.5, ""BACKWARD_SCORE"": 0.1, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-445	445	1030	NECESSARY	necessary	adjective	240:vital-necessary:1	←744	poli1	freqMax	LOW	HYP	4.7	4.75	"{""vital-necessary"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.7, ""BACKWARD_SCORE"": 4.75, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-446	446	1332	NEIGHBOUR	neighbor	adjective	24:civic-neighbor:1	←105	poli2	freqMed	LOW	HYP	2.0	2.667	"{""civic-neighbor"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 2.0, ""BACKWARD_SCORE"": 2.667, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-447	447			neutron	noun	751:neutron-particle:0 752:neutron-proton:0 753:neutron-electron:0	→477 →514 →216	poli1 poli1 poli1	freqMed freqMed freqMed	HIGH NOT LOW	SYN SYN SYN	3.0 0.7 0.3	3.4 0.5 0.5	"{""neutron-particle"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.0, ""BACKWARD_SCORE"": 3.4, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}, ""neutron-proton"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.7, ""BACKWARD_SCORE"": 0.5, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}, ""neutron-electron"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.3, ""BACKWARD_SCORE"": 0.5, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-448	448	1182	NOISE	noise	noun	828:thump-noise:1	←667	poli2	freqMin	LOW	HYP	4.6	4.7	"{""thump-noise"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.6, ""BACKWARD_SCORE"": 4.7, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-449	449			nonsense	noun	776:rationale-nonsense:1	←528	poli1	freqMed	NOT	SYN	0.0	0.0	"{""rationale-nonsense"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-450	450	1221	NOSE	nose	verb	445:to-nose-to-ignore:0 446:to-nose-to-stomp:0 447:to-nose-to-sniff:0	→329 →636 →613	poli3 poli3 poli3	freqMin freqMin freqMin	HIGH LOW NOT	ANT ANT ANT	3.8 0.4 0.1	2.2 1.1 0.7	"{""to-nose-to-ignore"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 3.8, ""BACKWARD_SCORE"": 2.2, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""HIGH""}, ""to-nose-to-stomp"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.4, ""BACKWARD_SCORE"": 1.1, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}, ""to-nose-to-sniff"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.1, ""BACKWARD_SCORE"": 0.7, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-451	451			notify	verb	267:to-alert-to-notify:1 289:to-bill-to-notify:1	←27 ←64	poli1 poli3	freqMax freqMed	LOW LOW	SYN HYP	4.4 2.9	4.5 3.1	"{""to-alert-to-notify"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.4, ""BACKWARD_SCORE"": 4.5, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}, ""to-bill-to-notify"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 2.9, ""BACKWARD_SCORE"": 3.1, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-452	452			nursery	noun	640:cemetery-nursery:1 642:cemetery-nursery:1	←92 ←92	poli1 poli1	freqMax freqMax	NOT HIGH	SYN ANT	0.0 2.8	0.0 3.6	"{""cemetery-nursery"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 2.8, ""BACKWARD_SCORE"": 3.6, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-453	453	60	OAT	oat	noun	623:barley-oat:1 626:barley-oat:1	←55 ←55	poli2 poli2	freqMed freqMed	NOT NOT	HYP SYN	0.8 1.5	2.6 2.4	"{""barley-oat"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 1.5, ""BACKWARD_SCORE"": 2.4, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-454	454			obtain	verb	257:to-achieve-to-obtain:1	←12	poli1	freqMax	LOW	SYN	3.8	4.2	"{""to-achieve-to-obtain"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.8, ""BACKWARD_SCORE"": 4.2, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-455	455			occupy	verb	381:to-inhabit-to-occupy:1 382:to-inhabit-to-occupy:1	←358 ←358	poli2 poli2	freqMax freqMax	LOW LOW	SYN HYP	4.6 4.6	4.9 4.6	"{""to-inhabit-to-occupy"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.6, ""BACKWARD_SCORE"": 4.6, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-456	456			omnivore	noun	754:omnivore-glutton:0 755:omnivore-vegan:0 756:omnivore-herbivore:0	→289 →737 →314	poli2 poli2 poli2	freqMin freqMin freqMin	NOT LOW HIGH	ANT ANT ANT	0.3 2.2 3.1	0.2 3.8 3.2	"{""omnivore-glutton"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.3, ""BACKWARD_SCORE"": 0.2, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""NOT""}, ""omnivore-vegan"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 2.2, ""BACKWARD_SCORE"": 3.8, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}, ""omnivore-herbivore"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 3.1, ""BACKWARD_SCORE"": 3.2, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-457	457	1156	OPEN	open	verb	314:to-constrict-to-open:1	←137	poli2	freqMin	LOW	ANT	5.0	4.5	"{""to-constrict-to-open"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 5.0, ""BACKWARD_SCORE"": 4.5, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-458	458			opening	noun	698:encore-opening:1	←226	poli1	freqMed	NOT	HYP	0.2	0.3	"{""encore-opening"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 0.2, ""BACKWARD_SCORE"": 0.3, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-459	459			oppose	verb	282:to-battle-to-oppose:1 325:to-contrast-to-oppose:1	←57 ←141	poli1 poli3	freqMax freqMax	LOW NOT	HYP ANT	3.4 1.0	4.4 0.6	"{""to-battle-to-oppose"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 3.4, ""BACKWARD_SCORE"": 4.4, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}, ""to-contrast-to-oppose"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 1.0, ""BACKWARD_SCORE"": 0.6, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-460	460			orbital	adjective	103:orbital-constant:0 104:orbital-cyclical:0 105:orbital-circular:0	→136 →158 →104	poli2 poli2 poli2	freqMin freqMin freqMin	NOT LOW HIGH	HYP HYP HYP	1.2 3.538 4.6	1.5 3.364 3.75	"{""orbital-constant"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 1.2, ""BACKWARD_SCORE"": 1.5, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""NOT""}, ""orbital-cyclical"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 3.538, ""BACKWARD_SCORE"": 3.364, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}, ""orbital-circular"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.6, ""BACKWARD_SCORE"": 3.75, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""HIGH""}}"
