ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	POS	IDS_IN_SOURCE	LINKS	POLYSEMY_CLASS	FREQUENCY_CLASS	DEGREE_CLASS	RELATION_TYPE	FORWARD_SCORES	BACKWARD_SCORES	SCORED_RELATIONS
Lapesa-2014-772-21	21			aggravation	noun	608:alleviation-aggravation:1	←30	poli2	freqMin	NOT	SYN	0.1	0.0	"{""alleviation-aggravation"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.1, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-22	22	3643	AGREE	agree	verb	283:to-battle-to-agree:1	←57	poli1	freqMax	LOW	ANT	4.0	4.2	"{""to-battle-to-agree"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.0, ""BACKWARD_SCORE"": 4.2, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-23	23	3644	AGREEMENT	agreement	noun	657:contradiction-agreement:1	←140	poli3	freqMax	HIGH	ANT	4.8	4.3	"{""contradiction-agreement"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.8, ""BACKWARD_SCORE"": 4.3, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-24	24			aircraft	noun	601:aircraft-machine:0 602:aircraft-vehicle:0 603:aircraft-car:0 604:aircraft-airship:0 605:aircraft-plane:0 606:aircraft-car:0	→411 →739 →85 →25 →488 →85	poli1 poli1 poli1 poli1 poli1 poli1	freqMax freqMax freqMax freqMax freqMax freqMax	LOW HIGH NOT LOW HIGH NOT	HYP HYP HYP SYN SYN SYN	4.6 4.8 0.3 4.2 4.8 0.8	4.4 5.0 0.3 4.8 4.9 0.0	"{""aircraft-machine"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.6, ""BACKWARD_SCORE"": 4.4, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}, ""aircraft-vehicle"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.8, ""BACKWARD_SCORE"": 5.0, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}, ""aircraft-car"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.8, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}, ""aircraft-airship"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.2, ""BACKWARD_SCORE"": 4.8, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}, ""aircraft-plane"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.8, ""BACKWARD_SCORE"": 4.9, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-25	25			airship	noun	604:aircraft-airship:1	←24	poli1	freqMax	LOW	SYN	4.2	4.8	"{""aircraft-airship"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.2, ""BACKWARD_SCORE"": 4.8, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-26	26			ale	noun	825:stout-ale:1	←639	poli2	freqMin	LOW	HYP	3.5	3.5	"{""stout-ale"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 3.5, ""BACKWARD_SCORE"": 3.5, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-27	27			alert	verb	265:to-alert-to-warn:0 266:to-alert-to-ignore:0 267:to-alert-to-notify:0 268:to-alert-to-warn:0 269:to-alert-to-conceal:0 270:to-alert-to-ignore:0	→746 →329 →451 →746 →125 →329	poli1 poli1 poli1 poli1 poli1 poli1	freqMax freqMax freqMax freqMax freqMax freqMax	HIGH HIGH LOW NOT LOW NOT	SYN ANT SYN ANT ANT SYN	4.7 4.5 4.4 0.0 3.7 0.0	4.6 3.9 4.5 0.0 4.4 0.0	"{""to-alert-to-warn"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}, ""to-alert-to-ignore"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}, ""to-alert-to-notify"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.4, ""BACKWARD_SCORE"": 4.5, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}, ""to-alert-to-conceal"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 3.7, ""BACKWARD_SCORE"": 4.4, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-28	28			alien	adjective	203:unknown-alien:1	←711	poli3	freqMax	NOT	ANT	0.1	0.4	"{""unknown-alien"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.1, ""BACKWARD_SCORE"": 0.4, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-29	29			alienate	verb	254:to-accustom-to-alienate:1	←11	poli1	freqMed	NOT	SYN	0.0	0.1	"{""to-accustom-to-alienate"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.1, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-30	30			alleviation	noun	607:alleviation-relief:0 608:alleviation-aggravation:0 609:alleviation-comfort:0	→542 →21 →117	poli2 poli2 poli2	freqMin freqMin freqMin	HIGH NOT LOW	SYN SYN SYN	4.8 0.1 3.2	4.5 0.0 2.9	"{""alleviation-relief"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.8, ""BACKWARD_SCORE"": 4.5, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""HIGH""}, ""alleviation-aggravation"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.1, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""NOT""}, ""alleviation-comfort"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.2, ""BACKWARD_SCORE"": 2.9, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}}"
