NUMBER	GLOSS	SENSES	A	B	C	D	
63	active	quick;to know	0	0	0	0
64	adam's apple	throat;neck	0	0	0	0
65	add (V)	layer;many;to count;two;together;to bind	0	0	0	0
66	add a layer (V)	to cover	0	0	0	0
67	adder	snake	0	0	0	0
68	addition	many	0	0	0	0
69	additional	new	0	0	0	0
70	additional robe over another	layer;to cover	0	0	0	0
71	address (V)	to reach;to speak	0	0	0	0
72	adequate	good	0	0	0	0
73	adhere (V)	to adhere;together;to bind	0	0	0	0
74	adhere to (V)	to bind;to follow;to reach	0	0	0	0
75	adhering	dirt	0	0	0	0
76	adhesive	dirt;slippery	0	0	0	0
77	adjacent	to reach	0	0	0	0
78	adjust (V)	good;together	0	0	0	0
79	adjutant	to give	0	0	0	0
80	administer (V)	to give	0	0	0	0
81	admit (V)	to think	0	0	0	0
82	admonish (V)	to drive	0	0	0	0
83	admonition	to speak	0	0	0	0
84	adopted parents	relative	0	0	0	0
85	adorn (V)	beautiful;ornament;to know	0	0	0	0
86	adorned with jewels	ornament	0	0	0	0
87	adornment	cloth	0	0	0	0
88	adultery	to play	0	0	0	0
89	advance (V)	new;to go	0	0	0	0
90	adverse	bad	0	0	0	0
91	advice	to speak	0	0	0	0
92	advise (V)	to speak;to drive	0	0	0	0
93	adze	knife;to beat	0	0	0	0
94	adze (V)	knife;to cut	0	0	0	0
95	affable	luck	0	0	0	0
96	affair	to work;to make	0	0	0	0
97	affected	silly	0	0	0	0
98	affection	luck;to guard;to want	0	0	0	0
99	affectionate	good;to love	0	0	0	0
100	affix (V)	to bind;to put	0	0	0	0
101	affix of intensification	big	0	0	0	0
102	afflicted	grief	0	0	0	0
103	afraid	to fear;to follow;to deceive;silly;bad	0	0	0	0
104	afraid of	to fear	0	0	0	0
105	afraid of a thing	to fear	0	0	0	0
106	after	back;time;behind;to follow	0	0	0	0
107	afterbirth	genitals	0	0	0	0
108	afterwards	to follow;time	0	0	0	0
109	again	big;to follow;two;to roll;many	0	0	0	0
110	against	obstacle	0	0	0	0
111	age	time;year;moon;old	0	0	0	0
112	aged	old;to tire	0	0	0	0
113	agile	quick	0	0	0	0
114	agitate (V)	to move;to shake	0	0	0	0
115	agitated	to fear;to move	0	0	0	0
116	agitation	to fear	0	0	0	0
117	aglow	to shine	0	0	0	0
118	ago	night;time;old	0	0	0	0
119	agonizing	heavy	0	0	0	0
120	agree (V)	to speak;true;to think;together	0	0	0	0
121	agree with (V)	similar	0	0	0	0
122	agreeable	luck;to want	0	0	0	0
123	agreement	debt	0	0	0	0
124	ague	sick	0	0	0	0
125	aid (V)	to help	0	0	0	0
126	ailing	sick	0	0	0	0
127	aim	edge;sign;side	0	0	0	0
128	aim (V)	to want	0	0	0	0
129	aim a blow at (V)	bow	0	0	0	0
130	aim at (V)	to want	0	0	0	0
131	air	wind;to blow;face;sky	0	0	0	0
132	alarm	to fear	0	0	0	0
133	alarm (V)	to fear	0	0	0	0
134	albino	white	0	0	0	0
135	albugo	white	0	0	0	0
136	alcohol	beer	0	0	0	0
137	alcoholic	beer	0	0	0	0
138	alder	tree	0	0	0	0
139	alder-tree	tree	0	0	0	0
140	alert	anger	0	0	0	0
141	alien	foreign;to meet;war	0	0	0	0
142	aligned	war	0	0	0	0
143	alike	similar;together	0	0	0	0
144	alive	to live	0	0	0	0
145	all	all;many;together;group;end;one;to stay;healthy;full;thousand	0	0	0	17
146	all by itself	one	0	0	0	0
147	all fluids of a somewhat greater consistency	liquid	0	0	0	0
148	all right	able	0	0	0	0
149	all round	to twist	0	0	0	0
150	all the many	together	0	0	0	0
151	all the more	many	0	0	0	0
152	all together	all;together	0	0	0	0
153	allium	grass	0	0	0	0
154	allow (V)	to give;to speak;sign;to think	0	0	0	0
155	allure (V)	thief	0	0	0	0
156	alluvium	dirt	0	0	0	0
157	ally	war	0	0	0	0
158	alone	one;pronoun	0	0	0	0
159	along	long	0	0	0	0
160	alpine willow	tree	0	0	0	0
161	already	time	0	0	0	0
162	also	big;to roll;new	0	0	0	0
163	altar	chair	0	0	0	0
164	alternate	debt;to change;together	0	0	0	0
165	altogether	all	0	0	0	0
166	always	shape;time	0	0	0	0
167	amass (V)	to take	0	0	0	0
168	amazed	anger	0	0	0	0
169	ambush	trap;to hide	0	0	0	0
170	amount	time	0	0	0	0
171	ample	wide;many	0	0	0	0
172	amputate (V)	to cut	0	0	0	0
173	amuse (V)	luck;to play	0	0	0	0
174	an edible plant	vegetable	0	0	0	0
175	ancestor	to praise;time	0	0	0	0
176	ancestor in the fifth generation	relative	0	0	0	0
177	ancient	old;year;child;front	0	0	0	0
178	and	big;time;many	0	0	0	204
179	and yet	time	0	0	0	0
180	angelica	grass	0	0	0	0
181	anger	anger;lung;silly;gall;to curse	0	0	0	0
182	angle	horn;to bend;edge;end;joint	0	0	0	0
183	angry	anger;grief;to curse;war;strong;to fear	0	0	0	0
184	angular	crooked	0	0	0	0
185	animal	deer;elephant;meat;horse;marten;sheep	0	0	0	44
186	animal body	body	0	0	0	0
187	animal of pray	wolf	0	0	0	0
188	ankle	foot;bone	0	0	0	0
189	ankle-bone	foot	0	0	0	0
190	anniversary	year	0	0	0	0
191	announce (V)	to speak;to call	0	0	0	0
192	announcement	to speak	0	0	0	0
193	annoy (V)	devil;heavy;grief;to tire;to curse	0	0	0	0
194	annoyance	grief	0	0	0	0
195	annoyed	grief	0	0	0	0
196	anoint (V)	to smear	0	0	0	0
197	another	pronoun	0	0	0	0
198	answer (V)	to speak;to roll;to love	0	0	0	0
199	ant	insect;worm	0	0	0	0
200	antelope	deer	0	0	0	0
201	anus	genitals;behind;below;hole	0	0	0	0
202	anvil	metal	0	0	0	0
203	anxiety	to fear;shame	0	0	0	0
204	anxious	grief;to think	0	0	0	0
205	aorta	neck	0	0	0	0
206	apart	wide;far;to divide;to stay;one	0	0	0	0
207	apartment	house	0	0	0	0
208	apex	top	0	0	0	0
209	apologize (V)	to fear	0	0	0	0
210	apparition	devil	0	0	0	0
211	appartain to (V)	to take	0	0	0	0
212	appear (V)	to be;to see;to make;to go;front	0	0	0	0
213	appearance	face;shape;to shine;to measure	0	0	0	0
214	appetite	to eat	0	0	0	0
215	apple	fruit	0	0	0	0
216	apply (V)	to bind;to put	0	0	0	0
217	apply oneself to (V)	to work	0	0	0	0
218	appoint (V)	to make;to measure;to speak	0	0	0	0
219	appreciate (V)	to measure;to love	0	0	0	0
220	apprehend (V)	to see;to learn	0	0	0	0
221	approach (V)	near;to go;to reach	0	0	0	0
222	approve (V)	to speak	0	0	0	0
223	apricot	grain	0	0	0	0
224	apron	to cover;cloth	0	0	0	0
225	arable land	field	0	0	0	0
226	arc	bow;to bend	0	0	0	0
227	arch (V)	to bend	0	0	0	0
228	ardent	to want	0	0	0	0
229	arena	earth	0	0	0	0
230	arithmetical number	to count	0	0	0	0
231	arm	hand;foot;bone	0	0	0	0
232	armful	hand;below;breast	0	0	0	0
233	armlet	clothes	0	0	0	0
234	armour	skin;war	0	0	0	0
235	armpit	hand;hole	0	0	0	0
236	arms	sharp	0	0	0	0
237	army	war;many	0	0	0	0
238	around	to roll	0	0	0	0
239	arouse (V)	strong	0	0	0	0
240	arrange (V)	to carry;to make;to put;to want;to follow;together;shape;to take	0	0	0	0
241	arrange in a series (V)	shape	0	0	0	0
242	arrangements	to make	0	0	0	0
243	arrive (V)	to go;to reach	0	0	0	0
244	arrive at (V)	to go	0	0	0	0
245	arrogance	to praise;anger	0	0	0	0
246	arrow	bow;sharp;stick;edge;to cut;war	0	0	0	0
247	arrow for shooting sea birds	net	0	0	0	0
248	artful	to know	0	0	0	0
249	artichoke	vegetable	0	0	0	0
250	articulate (V)	to speak	0	0	0	0
251	artisan	to know	0	0	0	0
252	arum	vegetable	0	0	0	0
253	as	time;face	0	0	0	0
254	as much as	pronoun	0	0	0	0
255	as well	big	0	0	0	0
256	ascend (V)	top;vehicle	0	0	0	0
257	ash	tree	0	0	0	0
258	ash-grey	coal	0	0	0	0
259	ashamed	red;shame	0	0	0	0
260	ashes	coal;dirt;hearth;to burn;dust;hot	0	0	0	168
261	aside	side	0	0	0	0
262	ask (V)	to speak;to give;to love;to search;luck	0	0	0	0
263	ask to do (V)	to speak	0	0	0	0
264	aslant	side	0	0	0	0
265	asp	tree	0	0	0	0
266	ass	horse	0	0	0	0
267	assault	thief	0	0	0	0
268	assault (V)	thief	0	0	0	0
269	assemblage	group	0	0	0	0
270	assemblage of men	group	0	0	0	0
271	assemble (V)	group;to swell;together	0	0	0	0
272	assembly	to swell;group;together	0	0	0	0
273	assist (V)	to help;together	0	0	0	0
274	associate (V)	to help	0	0	0	0
275	associate with (V)	together	0	0	0	0
276	associated with	to help	0	0	0	0
277	astonish	to curse	0	0	0	0
278	astragal	foot	0	0	0	0
279	astray	to deceive;silly;to pass	0	0	0	0
280	astringent	bitter;sour	0	0	0	0
281	astute	to deceive	0	0	0	0
282	at	to be	0	0	0	201
283	at a distance from one another	fork	0	0	0	0
284	at an end	to tire	0	0	0	0
285	at ease	good;luck	0	0	0	0
286	at first	face	0	0	0	0
287	at leisure	free	0	0	0	0
288	at once	quick	0	0	0	0
289	at present	time	0	0	0	0
290	at the time of	time	0	0	0	0
291	at this present time	time	0	0	0	0
292	athlete	good	0	0	0	0
293	atmosphere	wind;sky	0	0	0	0
294	attach (V)	to bind;to put;similar;to meet;to adhere	0	0	0	0
295	attached to	to bind;to love	0	0	0	0
296	attack (V)	thief;together;to take;to follow;to curse	0	0	0	0
297	attain (V)	to go;end;to reach	0	0	0	0
298	attend (V)	to love;to guard	0	0	0	0
299	attention	name;to guard	0	0	0	0
300	attentive	grief;to think;to learn	0	0	0	0
301	attire	ornament	0	0	0	0
302	attire (V)	ornament	0	0	0	0
303	attractive	to want	0	0	0	0
304	augment	many	0	0	0	0
305	august	to praise	0	0	0	0
306	aunt	relative	0	0	0	0
307	auspicious	luck	0	0	0	0
308	authority	to praise	0	0	0	0
309	autumn	time;rain	0	0	0	0
310	aversion	shame	0	0	0	0
311	avert (V)	obstacle	0	0	0	0
312	avoid (V)	shame;obstacle;to fear	0	0	0	0
313	await (V)	to wait	0	0	0	0
314	awake	to wake;shape	0	0	0	0
315	awake (V)	to wake;to live;to think	0	0	0	0
316	aware	to think	0	0	0	0
317	aware of	to think	0	0	0	0
318	awesome	to fear;to curse	0	0	0	0
319	awl	stick;thorn;needle	0	0	0	0
320	awn	root	0	0	0	0
321	awry	ravine;side;to twist	0	0	0	0
322	axe	knife;hammer;metal;stick	0	0	0	0
323	axe-head	knife	0	0	0	0
324	axle	to roll;sharp	0	0	0	0
325	babe	child	0	0	0	0
326	back	back;body;side;breast;belly;end;behind;middle	0	0	0	88
327	back of horse	skin	0	0	0	0
328	back part	back	0	0	0	0
329	back side	side	0	0	0	0
330	back water	valley	0	0	0	0
331	backbone	back;mountain	0	0	0	0
332	backdoor	house	0	0	0	0
333	backwater	valley;pool	0	0	0	0
334	bad	bad;rough;thief;to deceive;anger;sick;to tire;big	0	0	0	186
335	bad eyesight	dark	0	0	0	0
336	bad harvest	hunger	0	0	0	0
337	bad smell	to smell;dirt	0	0	0	0
338	bad weather	hunger	0	0	0	0
339	bad-mooded	bad	0	0	0	0
340	bad-tempered	silly	0	0	0	0
341	badger	marten;wolf	0	0	0	0
342	bag	basket;sack;vessel;clothes	0	0	0	0
343	bait	to eat	0	0	0	0
344	bake (V)	to roast;to burn	0	0	0	0
345	bake in the sun (V)	to roast	0	0	0	0
346	bake-house	house	0	0	0	0
347	balance	to count	0	0	0	0
348	balcony	house	0	0	0	0
349	bald	naked;to wither;head	0	0	0	0
350	baldness	sick	0	0	0	0
351	bale (V)	spoon	0	0	0	0
352	ball	circle	0	0	0	0
353	bamboo	grass;joint	0	0	0	0
354	bamboo rat	marten	0	0	0	0
355	bamboo spike	knife	0	0	0	0
356	banana	fruit	0	0	0	0
357	band	fringe;to bind;chair;rope	0	0	0	0
358	bandage	to bind	0	0	0	0
359	bandit	thief;war;meet	0	0	0	0
360	banish (V)	free;to drive	0	0	0	0
361	bank	big;shore;mountain;side;earth;to break;edge;valley	0	0	0	0
362	bank of a river	shore	0	0	0	0
363	banner	snake;cloth	0	0	0	0
364	bar	obstacle;stick;shallow;knife	0	0	0	0
365	bar (V)	obstacle	0	0	0	0
366	barbarian	foreign;war	0	0	0	0
367	barberry	fruit	0	0	0	0
368	bare	naked	0	0	0	0
369	bare (V)	naked	0	0	0	0
370	barely	little;particle	0	0	0	0
371	bargain (V)	debt	0	0	0	0
372	bark	grass;skin;leaf;vessel	0	0	0	58
373	bark (V)	noise;to curse	0	0	0	0
374	bark of a tree	skin	0	0	0	0
375	barking deer	deer	0	0	0	0
376	barley	grain	0	0	0	0
377	barn	house	0	0	0	0
378	barrel	vessel	0	0	0	0
379	barren	barren	0	0	0	0
380	barrens	earth	0	0	0	0
381	barrier	obstacle	0	0	0	0
382	barrow	vessel	0	0	0	0
383	barter (V)	to move;debt;to give	0	0	0	0
384	base 1	below;chair	0	0	0	0
385	base 2	shame;silly	0	0	0	0
386	basin	vessel;pool	0	0	0	0
387	basket	basket;net;vessel;measure;to bind;fence	0	0	0	0
388	basket for fishing	trap	0	0	0	0
389	basket for storing rice	basket	0	0	0	0
390	basket-work	to sew	0	0	0	0
391	bast	tree;grass;straw;rope	0	0	0	0
392	bastard	new;child;relative	0	0	0	0
393	baste (V)	to sew	0	0	0	0
394	bat	marten;frog	0	0	0	0
395	bath	to wash	0	0	0	0
396	bathe (V)	to wash;to scrape;to swim;to flow	0	0	0	0
397	baton	stick	0	0	0	0
398	batter (V)	to beat	0	0	0	0
399	battle	war;hunt	0	0	0	0
400	battle-axe	knife	0	0	0	0
401	bawl (V)	to cry	0	0	0	0
402	bay	to bend;river	0	0	0	0
403	bayonet	sharp;fork	0	0	0	0
404	bazar	obstacle	0	0	0	0
405	be (V)	to be;to sit;to put;to make;able;to stand	0	0	0	0
406	be cool	cold	0	0	0	0
407	be cramped	dense	0	0	0	0
408	be deaf	silly	0	0	0	0
409	be foot-sore	wart	0	0	0	0
410	be in time	to endure	0	0	0	0
411	be level	straight	0	0	0	0
412	be or place upon	to put	0	0	0	0
413	be sharp to the touch	rough	0	0	0	0
414	be unclean	dirt	0	0	0	0
415	bead	spot	0	0	0	0
416	bead (V)	rope	0	0	0	0
417	beads	circle;ornament	0	0	0	0
418	beak	mouth;nose;edge;face;head;neck	0	0	0	0
419	beam 1	stick;fence	0	0	0	0
420	beam 2	to shine	0	0	0	0
421	bean	vegetable;grain	0	0	0	0
422	beans	vegetable;grain	0	0	0	0
423	bear	wolf;hair;marten	0	0	0	0
424	bear 1 (V)	child;fruit;to bear;to live;egg;to open	0	0	0	0
425	bear 2 (V)	to learn;to endure;to carry	0	0	0	0
426	beard	hair;tail;soft	0	0	0	0
427	beard of corn, grain	bone;root	0	0	0	0
428	beast	meat;wolf	0	0	0	0
429	beast of prey	wolf	0	0	0	0
430	beat (V)	foot;to beat;to throw;to shake;to destroy;to break;to pierce;wound;to cut	0	0	0	0
431	beat in (V)	stick	0	0	0	0
432	beat out (V)	to cut	0	0	0	0
433	beaten instrument of music	music	0	0	0	0
434	beater	stick	0	0	0	0
435	beating stick for beating time in music	to beat	0	0	0	0
436	beautiful	beautiful;to shine;good;strong;healthy;to love	0	0	0	0
437	beautiful eyes	eye	0	0	0	0
438	beautifully	beautiful	0	0	0	0
439	beauty	shame;shape	0	0	0	0
440	beaver	marten	0	0	0	0
441	because	to make;shape	0	0	0	206
442	become (V)	to be;to stand;to open;to put;to make;able	0	0	0	0
443	become stiff (V)	sick	0	0	0	0
444	bed	chair;to lie;to sit;place	0	0	0	0
445	bed-bug	insect	0	0	0	0
446	bee	insect;sweet;wax	0	0	0	0
447	beehive	wax	0	0	0	0
448	beef	to eat	0	0	0	0
449	beer	beer	0	0	0	0
450	beer-jug	vessel	0	0	0	0
451	beer-pot	vessel	0	0	0	0
452	beestings	milk	0	0	0	0
453	beetle 1	insect;shellfish;worm	0	0	0	0
454	beetle 2	to beat	0	0	0	0
455	befool (V)	to sleep	0	0	0	0
456	before	side;face;nose;front;old	0	0	0	0
457	befringe (V)	to sew	0	0	0	0
458	beg (V)	to deceive;luck	0	0	0	0
459	beget	to make	0	0	0	0
460	beggar	to bend	0	0	0	0
461	begin (V)	to make;to start;one	0	0	0	0
462	beginning	head;to start;old;front;root	0	0	0	0
463	behaviour	shape	0	0	0	0
464	behind	back;side;behind;below;end;to stay	0	0	0	0
465	behold (V)	to know;to see	0	0	0	0
466	being	body	0	0	0	0
467	belch (V)	to vomit	0	0	0	0
468	believe (V)	to think;to want	0	0	0	0
469	bell	music	0	0	0	0
470	bellow (V)	noise	0	0	0	0
471	bellows	to blow;bubble;sack	0	0	0	0
472	belly	belly;liver;body;middle	0	0	0	85
473	belong (V)	to bind;to take	0	0	0	0
474	belonging	to take	0	0	0	0
475	belonging to	middle	0	0	0	0
476	beloved	to love;relative;child	0	0	0	0
477	below	below	0	0	0	0
478	belt	liver;to bind;belly;rope;clothes;back;to sew;obstacle	0	0	0	0
479	bench	chair	0	0	0	0
480	bend	to bend;to roll;edge	0	0	0	0
481	bend (V)	sick;to bend;to twist;side	0	0	0	0
482	bend (as head) (V)	side	0	0	0	0
483	bend down (V)	to bend	0	0	0	0
484	bend round (V)	to bend	0	0	0	0
485	bend upwards (V)	hole	0	0	0	0
486	benediction	luck	0	0	0	0
487	beneficial	good	0	0	0	0
488	benefit	thing	0	0	0	0
489	benighted	dark;to sleep	0	0	0	0
490	bent	crooked;to bend;bow	0	0	0	0
491	bent back	crooked	0	0	0	0
492	bent forward	to bend	0	0	0	0
493	benumb (V)	to shake;cold	0	0	0	0
494	berry	fruit	0	0	0	0
495	berserk	to curse	0	0	0	0
496	besmear (V)	to smear	0	0	0	0
497	besom	to sweep;to bind;grass;thorn	0	0	0	0
498	bespeak (V)	to speak	0	0	0	0
499	bestow (V)	to give	0	0	0	0
500	bet (V)	to curse	0	0	0	0
501	betel	grain	0	0	0	0
502	better	good;many	0	0	0	0
503	between	middle;to divide	0	0	0	0
504	bevel (V)	to bend	0	0	0	0
505	bevelled edge	knife	0	0	0	0
506	beverage	to drink;beer	0	0	0	0
507	beware (V)	to know;to love	0	0	0	0
508	bewildered	silly	0	0	0	0
509	beyond	big;pronoun	0	0	0	0
510	bier	obstacle	0	0	0	0
511	bifurcate	fork	0	0	0	0
512	bifurcating	to divide	0	0	0	0
513	bifurcation	to divide;fork	0	0	0	0
514	big	big;many;to swell;thick;old	0	0	0	27
515	big number	many;twenty	0	0	0	0
516	bigger	wide	0	0	0	0
517	bilberry	fruit	0	0	0	0
518	bile	gall	0	0	0	0
519	bill	edge	0	0	0	0
520	billet	stick	0	0	0	0
521	billow	water	0	0	0	0
522	bin	house;vessel	0	0	0	0
523	bind (V)	to bind;to cover;saddle;together;clothes;to adhere;to twist;obstacle;to sew;rope	0	0	0	0
524	bind together (V)	together;relative	0	0	0	0
525	bind up (V)	to twist	0	0	0	0
526	birch	tree	0	0	0	0
527	bird	bird;feather;to cry;to fly;high;child	0	0	0	46
528	bird of prey	bird	0	0	0	0
529	bird of the falcon family	bird	0	0	0	0
530	bird-cherry	tree;grass;fruit	0	0	0	0
531	birth	to bear	0	0	0	0
532	birth-mark	spot	0	0	0	0
533	bison	cow	0	0	0	0
534	bitch	dog	0	0	0	0
535	bite	to bite;to destroy;to drink	0	0	0	0
536	bite (V)	mouth;to bite;to cut;to eat;to destroy;to drink	0	0	0	94
537	biting	taste;bitter	0	0	0	0
538	biting (to the taste)	bitter	0	0	0	0
539	biting creature	insect	0	0	0	0
540	bitter	bitter;liver;to scrape;sour;to rot	0	0	0	0
541	black	dark;red;black;to paint;coal	0	0	0	176
542	black spot	dark	0	0	0	0
543	black-cock	bird	0	0	0	0
544	black-dyeing fruit	to paint	0	0	0	0
545	blackberry	fruit	0	0	0	0
546	blackbird	bird	0	0	0	0
547	blackguard (V)	anger	0	0	0	0
548	blacksmith	to work	0	0	0	0
549	bladder	bubble;hole;urine	0	0	0	0
550	blade 1	edge;grain;knife;tongue;sharp;hammer	0	0	0	0
551	blade 2	flat	0	0	0	0
552	blame	to curse	0	0	0	0
553	blame (V)	to curse;to laugh	0	0	0	0
554	blank	dark	0	0	0	0
555	blanket	to cover;skin	0	0	0	0
556	blaze	naked	0	0	0	0
557	blaze (V)	to burn;fire;to shine	0	0	0	0
558	blazing	to shine	0	0	0	0
559	bleak	fish	0	0	0	0
560	blebby	red	0	0	0	0
561	bleed (V)	bad	0	0	0	0
562	blemish (V)	to deceive	0	0	0	0
563	bless (V)	luck;to praise	0	0	0	0
564	blessing	luck;good	0	0	0	0
565	blight	rust	0	0	0	0
566	blind	dark;silly;white	0	0	0	0
567	blinded	dark;bad	0	0	0	0
568	blinds	bridge;obstacle	0	0	0	0
569	blink (V)	dark	0	0	0	0
570	blister	wart;to swell;bubble	0	0	0	0
571	blister (V)	wart	0	0	0	0
572	block	obstacle;chair;stick;fence;village	0	0	0	0
573	block (V)	obstacle	0	0	0	0
574	block of wood	stick	0	0	0	0
575	blockhouse	fence	0	0	0	0
576	blood	blood;red;sinew;healthy	0	0	0	64
577	bloom (V)	flower;to swell	0	0	0	0
578	blossom	flower;tree;wet	0	0	0	0
579	blossom (V)	flower;tree;wet;root;ornament	0	0	0	0
580	blot	dark;sign	0	0	0	0
581	blot (V)	dirt	0	0	0	0
582	blotch	wart	0	0	0	0
583	blotched	variegated	0	0	0	0
584	blow	to cut;wind	0	0	0	0
585	blow (V)	noise;to blow;to beat;wind;to throw	0	0	0	98
586	blow nose	pus	0	0	0	0
587	blow out (V)	to blow	0	0	0	0
588	blue	blue;red;white;vegetable;grass	0	0	0	0
589	blue-berry	grain;fruit	0	0	0	0
590	blunt	blunt;circle	0	0	0	0
591	boar	pig;marten	0	0	0	0
592	board	flat;stick;vessel;to work;to cut	0	0	0	0
593	board (V)	to make	0	0	0	0
594	boast (V)	to praise;grief	0	0	0	0
595	boastful	to praise	0	0	0	0
596	boat	boat;vessel;stick;skin	0	0	0	0
597	bob up (V)	to go	0	0	0	0
598	bodily defect	lame	0	0	0	0
599	bodily deformity	lame	0	0	0	0
600	body	back;belly;body;thing;side;strong;person;skin;shape	0	0	0	0
601	body of a tree	root	0	0	0	0
602	body part	joint	0	0	0	0
603	bog	dirt;grass;valley	0	0	0	0
604	bogy	devil	0	0	0	0
605	boil	to boil;wart	0	0	0	0
606	boil (V)	to boil;to melt;to burn;wind;liquid;sour;dry;to rot;to flow;beer;ripe;to roll	0	0	0	0
607	boil by steaming (V)	to boil	0	0	0	0
608	boil over (V)	to boil	0	0	0	0
609	boiler	vessel	0	0	0	0
610	bolster	chair;wart	0	0	0	0
611	bolt	obstacle;stick	0	0	0	0
612	bond	stick	0	0	0	0
613	bonds	bind;rope	0	0	0	0
614	bone	bone;cheek;foot;brain;ornament	0	0	0	65
615	bonfire	fire;to burn	0	0	0	0
616	bony	hunger	0	0	0	0
617	book	to speak	0	0	0	0
618	boot	shoe;clothes	0	0	0	0
619	boot-top	bone;foot	0	0	0	0
620	boot-tree	stick	0	0	0	0
621	border	edge;side;obstacle;shore	0	0	0	0
622	border (V)	obstacle	0	0	0	0
623	bore 1 (V)	knife;to pierce;hole	0	0	0	0
624	bore 2 (V)	grief	0	0	0	0
625	bore through (V)	to pierce;sharp	0	0	0	0
626	bored	to fear;bad	0	0	0	0
627	born	to bear;to open	0	0	0	0
628	borrow	debt	0	0	0	0
629	borrow (V)	debt	0	0	0	0
630	bosom	breast;side;liver;hand	0	0	0	0
631	botanical	leaf	0	0	0	0
632	botch (V)	to roll	0	0	0	0
633	both	together	0	0	0	0
634	bother (V)	grief;to think	0	0	0	0
635	bottle	beer;vessel	0	0	0	0
636	bottle up (V)	to cover	0	0	0	0
637	bottlegourd	vegetable	0	0	0	0
638	bottom	root;side;below;earth;foot;end;deep	0	0	0	0
639	bough	tree;sharp;stick	0	0	0	0
640	bound	to jump	0	0	0	0
641	bound (V)	to jump	0	0	0	0
642	boundary	edge;place;mountain;obstacle;field	0	0	0	0
643	bounds	wide	0	0	0	0
644	bow	bow;to bend;sharp;knife;stick;sack;war;obstacle	0	0	0	0
645	bow (V)	to bend;shame;to fall	0	0	0	0
646	bow down (V)	to bend	0	0	0	0
647	bow for shooting	bow	0	0	0	0
648	bow-string	rope;sinew	0	0	0	0
649	bowels	belly	0	0	0	0
650	bowl	vessel	0	0	0	0
651	box 1	vessel;basket;to cover	0	0	0	0
652	box 2	tree	0	0	0	0
653	boxing	to cover	0	0	0	0
654	boy	child;new	0	0	0	0
655	brace	stick	0	0	0	0
656	bracelet	to bend;circle;to twist	0	0	0	0
657	brag (V)	to praise	0	0	0	0
658	braid	to twist;hair	0	0	0	0
659	braid (V)	to twist	0	0	0	0
660	brain	brain;head;naked;to think	0	0	0	0
661	bran	skin	0	0	0	0
662	branch	tree;fork;thorn;grass;hair;stick	0	0	0	0
663	branch (V)	fork;tree	0	0	0	0
664	branch of a tree	tree	0	0	0	0
665	brand	fire	0	0	0	0
666	brand (V)	to adhere	0	0	0	0
667	brandish (V)	to shake	0	0	0	0
668	brass	metal	0	0	0	0
