ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SEMANTIC_CLASS_ID	CATEGORY	TARGET_CONCEPTS	LINKED_CONCEPTS
Urban-2011-160-66	66	906	TREE	tree	I	Natural and topological concepts	"[{""ID"": ""Urban-2011-160-8"", ""NAME"": ""branch"", ""OvertMarking"": 17, ""IndoAryanShift"": 0, ""ShiftID"": 10}, {""ID"": ""Urban-2011-160-26"", ""NAME"": ""forest"", ""OvertMarking"": 6, ""IndoAryanShift"": 1, ""ShiftID"": 12}]"	"[{""ID"": ""Urban-2011-160-8"", ""NAME"": ""branch"", ""Polysemy"": 6, ""ShiftID"": 10}, {""ID"": ""Urban-2011-160-26"", ""NAME"": ""forest"", ""Polysemy"": 4, ""ShiftID"": 12}]"
Urban-2011-160-67	67	921	VALLEY	valley	I	Natural and topological concepts	[]	[]
Urban-2011-160-68	68	2291	VOLCANO	volcano	I	Natural and topological concepts	[]	[]
Urban-2011-160-69	69	943	WATERFALL	waterfall	I	Natural and topological concepts	[]	[]
Urban-2011-160-70	70	978	WAVE	wave	I	Natural and topological concepts	[]	[]
Urban-2011-160-71	71	1931	BEESWAX	wax	I	Natural and topological concepts	[]	"[{""ID"": ""Urban-2011-160-30"", ""NAME"": ""honey"", ""Polysemy"": 2, ""ShiftID"": 17}]"
Urban-2011-160-72	72	1982	WHIRLPOOL	whirlpool	I	Natural and topological concepts	[]	[]
Urban-2011-160-73	73	1597	AIRPLANE	airplane	II	Artifacts	[]	"[{""ID"": ""Urban-2011-160-6"", ""NAME"": ""bird"", ""Polysemy"": 3, ""ShiftID"": 46}]"
Urban-2011-160-74	74	1845	BALL	ball	II	Artifacts	[]	[]
Urban-2011-160-75	75	1663	BED	bed	II	Artifacts	"[{""ID"": ""Urban-2011-160-42"", ""NAME"": ""nest"", ""OvertMarking"": 2, ""IndoAryanShift"": 0, ""ShiftID"": 41}]"	"[{""ID"": ""Urban-2011-160-42"", ""NAME"": ""nest"", ""Polysemy"": 2, ""ShiftID"": 41}]"
Urban-2011-160-76	76	772	BELT	belt	II	Artifacts	[]	[]
Urban-2011-160-77	77	1844	BOAT	boat	II	Artifacts	[]	[]
Urban-2011-160-78	78	1111	CAR	car	II	Artifacts	"[{""ID"": ""Urban-2011-160-96"", ""NAME"": ""train"", ""OvertMarking"": 3, ""IndoAryanShift"": 0, ""ShiftID"": 26}]"	"[{""ID"": ""Urban-2011-160-96"", ""NAME"": ""train"", ""Polysemy"": 3, ""ShiftID"": 26}]"
Urban-2011-160-79	79	1476	CHAIR	chair	II	Artifacts	[]	[]
