CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AOA_MEAN	ENGLISH_IMAGEABILITY_MEAN	ENGLISH_AOA_MEAN_MRC	ENGLISH_IMAGEABILITY_MEAN_MRC	ENGLISH_FREQUENCY_LOG_CELEX	ENGLISH_POS	LINE_IN_SOURCE
1108	UNCOVER	uncover	437.0	469.0				V	2487
1109	WOUND	wound	411.0	512.0	372.0	570.0		V	2664
1112	SUCCEED	succeed	440.0			416.0		V	2294
1116	DAMAGE	damage	361.0	492.0	358.0	443.0		V	565
1117	LIKE	like	251.0	363.0		352.0		V	1353
1120	HONEST	honest	357.0			366.0		A	1135
1127	SEND	send	314.0			423.0		V	2060
1128	ORDER	order	372.0	358.0	344.0	352.0		N	1629
1130	WE (EXCLUSIVE)	we	211.0			389.0		F	2581
1133	MATCH	match	426.0	403.0		490.0		V	1431
1135	KICK	kick	243.0		228.0	551.0		V	1287
1139	LEOPARD	leopard	421.0		418.0	635.0		N	1339
114	PORPOISE	porpoise	538.0	456.0				N	1776
1141	PITY	pity	415.0	346.0	353.0	391.0		V	1737
1147	PURE	pure	394.0			366.0		A	1855
1157	BECAUSE	because	258.0			244.0		F	218
1158	STEP	step	245.0	503.0	267.0	483.0		N	2258
1174	YESTERDAY	yesterday	264.0	417.0				F	2675
1182	NOISE	noise	217.0	508.0				N	1557
1184	DIMINISH	diminish	583.0	301.0				V	644
1187	GOOSE	goose	286.0	616.0				N	1009
119	DIVE	dive	346.0		322.0	586.0		V	688
1192	THREATEN	threaten	424.0	472.0				V	2406
1194	BEAVER	beaver	389.0			612.0		N	217
1197	BABOON	baboon	444.0	604.0				N	176
1198	MANY	most	286.0			306.0		F	1505
1199	WIFE	wife	314.0			575.0		N	2633
1200	HUSBAND	husband	328.0			537.0		N	1170
1202	BIG	big	155.0			463.0		A	247
1203	LONG	long	277.0	413.0		471.0		A	1377
1209	I	I	169.0			465.0		F	1175
1214	THIS	this	228.0			279.0		F	2399
1217	FATHER	father	185.0			646.0		N	851
1228	EARTH (SOIL)	ground	251.0	527.0	258.0	513.0		N	1045
123	FOREHEAD	front	244.0			427.0		N	948
1230	DIRTY	dirty	284.0	500.0		485.0		V	647
1231	NEW	new	239.0			418.0		A	1547
1232	WARM	warm	303.0	491.0		441.0		V	2568
1234	SMOOTH	smooth	392.0	440.0		472.0		V	2177
1235	WHO	who	249.0			261.0		F	2624
1236	WHAT	what	256.0			249.0		F	2605
1237	WHERE	where	262.0			255.0		F	2610
1238	WHEN	when	258.0			231.0		F	2607
1239	HOW	how	273.0			230.0		F	1152
1240	NOT	not	231.0			253.0		F	1568
1241	SOME	some	264.0			302.0		F	2198
1242	FEW	few	292.0			333.0		A	867
1243	WIDE	broad	376.0			463.0		A	302
1245	BUTTER	butter	235.0	515.0	206.0	603.0		V	333
1246	SMALL	small	217.0			447.0		A	2171
1248	EYE	eye	204.0	593.0	167.0	603.0		N	823
1250	JAGUAR	jaguar	493.0	545.0				N	1255
1252	HOUSE	house	189.0			606.0		N	1148
1255	SNOWING	snow	230.0	595.0		597.0		V	2181
1256	HEAD	head	443.0	340.0	181.0	593.0		V	1088
126	SWEAT (PERSPIRE)	sweat	399.0			560.0		V	2320
1260	DAY (24 HOURS)	day	204.0			526.0		N	572
1261	SING	sing	221.0			527.0		V	2134
1263	SISTER	sister	208.0			613.0		N	2140
1264	CHANGE	change	338.0	315.0				N	368
1265	HIGH	tall	266.0			514.0		A	2339
1267	NARROW	narrow	426.0	351.0		491.0		V	1530
1268	YES	yes	169.0	391.0				F	2674
1269	NO	no	122.0			361.0		F	1556
1270	WHY	why	234.0			251.0		F	2627
1271	DELIGHT	delight	432.0	406.0	414.0	459.0		N	598
1281	PRISON	prison	385.0			593.0		N	1816
1283	TODAY	today	238.0	374.0				F	2435
1287	COLD	coldness	325.0	408.0				N	448
1289	BABY	baby	157.0			608.0		N	177
129	CHOKE	choke	318.0	508.0				V	404
1292	BAD	bad	166.0			388.0		A	184
1296	WALKING STICK	staff	445.0	429.0	403.0	478.0		N	2245
1297	LEG	leg	165.0			601.0		N	1337
13	DECEIT	deception	540.0	347.0				N	582
1300	COUNTRY	country	314.0	552.0	329.0	539.0		N	522
1307	LANGUAGE	language	432.0	405.0				N	1312
131	FESTIVAL	party	250.0	574.0		596.0		N	1684
1311	VERY	very	275.0			243.0		F	2537
1314	QUIET	quiet	221.0			426.0		N	1867
1322	BREAKFAST	breakfast	167.0	617.0	233.0	586.0		N	291
1324	SLIP	slide	247.0			490.0		V	2163
1325	FRIEND	friend	236.0			587.0		N	944
1326	DOWN	down	204.0			459.0		F	705
1329	TOMORROW	tomorrow	256.0	364.0				F	2439
133	WEAVE	weave	428.0					V	2590
1330	DEFEND	defend	414.0					V	591
1335	WHITE	white	241.0			566.0		N	2622
1336	EAT	eat	167.0			563.0		V	736
1338	PEACE	peace	381.0			446.0		N	1696
1339	MORNING	morning	213.0			579.0		N	1503
134	FAULT	fault	385.0	340.0		323.0		N	853
1340	WITH	with	247.0			287.0		F	2642
1341	HEAT UP	heat	322.0	500.0	278.0	507.0		V	1094
1344	RAM	sheep	208.0			596.0		N	2085
1350	MONKEY	monkey	269.0			588.0		N	1494
1351	SOW (FEMALE PIG)	sow	415.0	533.0		479.0		N	2216
1353	HOUR	hour	273.0			408.0		N	1147
1354	NEXT	next	269.0			386.0		A	1550
1355	LAUGH	laugh	230.0	582.0		528.0		N	1322
1357	DAUGHTER	daughter	256.0	589.0				N	571
1359	SEPARATE	separate	402.0	424.0				V	2065
136	HERE	here	214.0			278.0		F	1106
1361	TOOL	instrument	379.0	552.0		521.0		N	1221
1362	STREET	street	247.0			577.0		N	2273
1364	HEALTHY	healthy	366.0	507.0				A	1091
1365	KITCHEN	kitchen	234.0	634.0				N	1295
1366	BOY	boy	150.0			618.0		N	284
1369	GOLD	gold	305.0			594.0		N	1003
1370	MONTH	month	297.0			448.0		N	1496
1372	MEDICINE	drug	532.0	488.0	464.0	564.0		N	719
1376	NOW	now	221.0			276.0		F	1573
1377	VISIT	visit	297.0	433.0				V	2548
1379	TELEPHONE	telephone	414.0	578.0		655.0		V	2362
138	BATHE	bathe	263.0	591.0				V	208
1384	SECOND	second	329.0	356.0	289.0	371.0		N	2046
1387	ARRIVE	reach	271.0	436.0		391.0		V	1888
1395	ROUND	round	267.0	512.0		559.0		F	1985
1400	THIN (SLIM)	slim	516.0	424.0				V	2164
1404	STRAIGHT	straight	301.0			453.0		A	2272
1405	NAME	name	245.0	397.0		475.0		N	1528
1406	FAR	far	294.0			411.0		F	842
1407	BREATHE	breathe	232.0	525.0				V	292
1408	HEAR	hear	253.0			425.0		V	1092
1409	SEE	see	239.0			379.0		V	2051
1413	PLAY	play	195.0	537.0	192.0	498.0		N	1749
1414	SQUEEZE	wring	396.0	526.0				V	2668
1415	THINK (REFLECT)	think	303.0			384.0		V	2398
1417	KILL	kill	329.0			481.0		V	1289
1418	DIG	dig	230.0					V	640
1419	FEAR (BE AFRAID)	fear	349.0	429.0		394.0		V	856
1421	SUCK	suck	216.0	519.0				V	2296
1422	BE ALIVE	alive	277.0			426.0		A	68
1424	YELLOW	yellow	256.0	589.0		598.0		N	2673
1427	BEAUTIFUL	beautiful	279.0			532.0		A	216
1431	FREEZE	freeze	348.0	585.0		521.0		V	942
1435	HUNT	hunt	366.0	502.0		527.0		V	1163
1437	SPLIT	split	355.0	459.0	381.0	445.0		V	2235
1439	SWIM	swim	275.0	612.0	256.0	572.0		N	2327
144	MACHINE	machine	361.0			575.0		N	1394
1440	SPIT	spit	288.0					V	2231
1445	TURN (SOMETHING)	turn	288.0		233.0	384.0		V	2470
1446	COME	come	244.0	378.0		322.0		V	456
1447	GIVE	gave	271.0	332.0				V	971
1451	SMILE	smile	215.0	595.0	208.0	615.0		N	2174
1452	PUSH	push	247.0	519.0		395.0		N	1857
1454	WIPE	wipe	273.0	529.0				V	2639
1457	SEW	sew	282.0			478.0		V	2076
1458	SAY	tell	255.0			350.0		V	2365
1459	IF	if	236.0			228.0		F	1182
1460	IN	in	205.0			334.0		F	1198
1461	AT	at	185.0			225.0		F	148
1466	EXACT	exact	429.0			288.0		A	810
1467	CIRCLE	circle	340.0	496.0	214.0	591.0		V	419
1474	SEA	sea	221.0			606.0		N	2042
1477	KEEP	keep	282.0	286.0		284.0		V	1283
1478	WITHOUT	without	381.0			302.0		F	2645
1479	DOLPHIN	dolphin	442.0	626.0				N	698
1483	NINE	nine	254.0			494.0		NUM	1555
1485	BELOW OR UNDER	below	267.0			317.0		F	234
1486	PLANT (SOMETHING)	plant	308.0	542.0		605.0		V	1747
1487	POUR	pour	269.0			495.0		V	1788
1488	FAUCET	tap	350.0		222.0	541.0		V	2345
1493	ONE	one	193.0			432.0		F	1614
1494	DIE	die	286.0			499.0		V	637
1495	HAPPY	happy	258.0			511.0		A	1073
1498	TWO	two	180.0			445.0		NUM	2477
150	WORRY	worry	415.0	476.0				V	2659
1500	FOUR	four	189.0			491.0		NUM	936
1501	BORE	drill	407.0	518.0		571.0		V	714
1504	FLY (INSECT)	fly	200.0	627.0		582.0		N	904
1506	MEASURE	measure	411.0	405.0	344.0	379.0		N	1446
1508	KING	king	264.0			585.0		N	1292
1511	ROOSTER	cock	316.0	584.0	314.0	586.0		N	443
1515	TEN	ten	253.0	494.0				NUM	2368
1517	WASP	wasp	279.0	643.0				N	2575
1518	STUPID	stupid	339.0			381.0		A	2285
1519	RUN	ran	221.0	491.0				V	1878
1523	FORGET	forget	325.0	336.0				V	927
1525	COAST	coast	311.0	605.0		588.0		N	441
1526	MEAL	meal	239.0			573.0		N	1442
1528	FORGIVE	forgive	370.0	422.0				V	929
1529	LAST (FINAL)	last	275.0	364.0		367.0		A	1317
153	GREY	grey	284.0			541.0		N	1037
1530	BOWL	bowl	228.0		256.0	579.0		N	281
1536	UNDERSTAND	understand	394.0	340.0				V	2490
1544	SOMETIMES	sometimes	295.0			259.0		F	2202
1545	HOST	host	508.0	455.0				N	1145
1547	SOUP	soup	232.0			604.0		N	2211
1548	UGLY	ugly	308.0			491.0		A	2481
155	CHOP	chop	333.0	569.0	317.0	575.0		N	405
1557	BEGINNING	beginning	332.0	311.0	311.0	359.0		N	225
1558	SIMILAR	similar	415.0			324.0		A	2129
156	RED	red	213.0			585.0		N	1905
1560	FACE	face	178.0	620.0	166.0	581.0		N	825
1562	MIND	mind	336.0	316.0		373.0		N	1467
1568	ARRANGE	arrange	359.0	394.0				V	130
157	DYE	dye	427.0	444.0	392.0	506.0		V	727
1571	SELL	sell	340.0			397.0		V	2058
1573	SWELL	swell	396.0		428.0	410.0		V	2326
1574	FLOAT	float	321.0			525.0		V	894
1577	AND	and	164.0			226.0		F	89
1578	IGUANA	iguana	595.0	451.0				N	1185
1579	BE	be	298.0			274.0		V	211
1580	ONLY	only	271.0			255.0		F	1615
1581	ALLIGATOR	alligator	332.0		369.0	627.0		N	70
1583	BRAIN	brain	326.0		347.0	572.0		N	285
1585	SLEEP	sleep	193.0			530.0		V	2160
1587	SMELL (STINK)	smell	241.0			477.0		V	2173
1590	WAIT (FOR)	wait	299.0	440.0		357.0		V	2554
1591	UP	up	189.0			391.0		F	2511
1595	SOUTH	south	370.0			476.0		N	2212
1597	AIRPLANE	plane	522.0	394.0		556.0		V	1744
1598	NORTH	north	372.0	467.0				N	1564
1599	WORD	word	267.0	475.0				N	2653
160	SET (HEAVENLY BODIES)	set	381.0	352.0				N	2069
1601	WEAK	weak	340.0			414.0		A	2582
1606	INSIDE	inside	255.0			371.0		N	1213
1607	HATE	hate	350.0		278.0	462.0		V	1083
1608	LISTEN	listen	266.0			378.0		V	1362
1609	IDEA	idea	348.0			319.0		N	1180
1611	INVITE	invite	394.0	467.0				N	1236
1613	COLOR	colour	214.0	529.0		513.0		N	452
1614	SUMMIT	top	228.0			486.0		N	2441
1615	ESCAPE	escape	397.0	433.0	353.0	459.0		N	790
1620	SON	son	249.0			560.0		N	2203
1623	SPEAK	speak	260.0			488.0		V	2220
1624	EMPTY	empty	273.0			479.0		V	763
1626	EXPLAIN	explain	357.0	381.0				V	819
1628	SQUIRREL	squirrel	353.0			642.0		N	2242
163	BLACK	black	208.0			589.0		N	256
1631	FAST	fast	258.0			411.0		F	849
1632	FLOOR	floor	204.0	552.0		544.0		N	895
1635	OBEY	obey	316.0			352.0		V	1585
1638	TRUTH	truth	318.0			374.0		N	2463
164	KANGAROO	kangaroo	368.0	627.0	455.0			N	1281
1647	FOAL	pony	267.0			642.0		N	1772
165	WALLABY	wallaby	555.0	515.0				N	2560
1655	BLINK	blink	277.0	531.0		471.0		V	259
1656	NEVER	never	301.0			351.0		F	1546
1657	TRUE	real	310.0			313.0		A	1890
166	MAINLAND	land	323.0	535.0	286.0	566.0		N	1309
1660	LOSE	lose	286.0			373.0		V	1382
1667	HOLE	hole	221.0	534.0		527.0		N	1127
167	MAIL	post	366.0	469.0	306.0	518.0		N	1783
1674	POOR	poor	284.0			447.0		A	1773
1675	PROMISE	promise	325.0	367.0		320.0		N	1828
1676	ALWAYS	always	275.0			280.0		F	78
1678	HUT	shelter	385.0	504.0		488.0		N	2088
168	REST	rest	297.0	483.0	222.0	396.0		V	1950
1682	GUILTY	guilty	465.0	379.0				A	1056
1685	AFTER	after	218.0			217.0		F	47
1686	BEHIND	behind	227.0			371.0		F	227
1688	FATE	fate	496.0			343.0		N	850
169	IT	it	187.0			265.0		F	1251
1690	FENCE	fence	467.0	504.0		611.0		V	862
1703	SIX	six	232.0	512.0				NUM	2142
1704	SEVEN	seven	239.0	537.0				NUM	2071
1706	ELEVEN	eleven	290.0	512.0				NUM	752
1707	TWELVE	twelve	301.0	545.0				NUM	2475
1719	BURY	bury	313.0			401.0		V	329
1720	SIGN	sign	342.0	491.0		534.0		N	2122
1728	ROTTEN	rotten	374.0	459.0				A	1982
1732	SKY	sky	219.0			618.0		N	2152
1735	TEAR (SHRED)	tear	305.0		264.0	550.0		V	2359
1741	ABOVE	above	229.0			346.0		F	6
1743	JOIN	join	359.0	406.0		340.0		V	1268
1749	TAKE	take	277.0			337.0		V	2336
1750	CHOOSE	chose	331.0	272.0				V	408
1752	LEAVE	depart	405.0	472.0				V	612
1757	TIRED	tired	223.0			419.0		A	2428
1763	CLUB	club	351.0	521.0		522.0		N	438
1767	SCRAPE	scrape	348.0	467.0				V	2032
1772	ELK	elk	509.0	448.0				N	753
1775	TABLE	table	185.0		245.0	582.0		N	2333
1776	SHAME	shame	366.0	373.0	367.0	419.0		N	2080
1783	PAIN	pain	266.0	506.0		502.0		N	1662
1784	WANT	want	254.0	292.0		361.0		N	2563
1788	TELEVISION	television	476.0	654.0				N	2364
1789	AGE	age	193.0	529.0	258.0	468.0		N	50
179	RIPEN	ripen	402.0	487.0				V	1968
1793	BAT	bat	250.0	595.0		586.0		N	205
1796	SLAUGHTER	slaughter	495.0	491.0				N	2157
1797	HEDGEHOG	hedgehog	366.0	639.0				N	1096
1799	HYENA	hyena	513.0	523.0				N	1173
180	CALL BY NAME	name	312.0	348.0		475.0		V	1529
1801	CHILD (DESCENDANT)	child	221.0			619.0		N	394
1804	BOMB	bomb	399.0	609.0		606.0		N	267
1806	BEGIN	start	353.0	308.0				N	2250
1811	SOUND OR NOISE	sound	256.0	389.0	300.0	497.0		N	2210
1812	TRY	try	269.0	362.0	229.0	318.0		V	2466
1814	ACCUSE	accuse	420.0					V	19
1816	BESIDE	beside	296.0	416.0				F	239
1818	ADJUDICATE	judge	458.0	358.0		558.0		V	1276
1819	LOOK	look	238.0	429.0	225.0	395.0		V	1378
1820	BEAR	bear	220.0	601.0	236.0	572.0		N	213
1821	BRUSH	brush	198.0		214.0	570.0		N	307
1823	BORROW	borrow	312.0	390.0				V	275
1826	ANGRY	angry	263.0			492.0		A	95
1827	HARVEST CROPS	harvest	421.0	557.0	322.0	562.0		V	1081
1828	ASK (REQUEST)	ask	195.0	445.0				V	138
183	BAKE	bake	244.0			495.0		V	187
1831	MEET	meet	305.0			438.0		V	1451
1834	SHE	she	195.0			474.0		F	2084
1839	CRY	cry	159.0	619.0		478.0		N	548
1840	BUILD	build	251.0			399.0		V	317
1844	BOAT	boat	442.0	413.0		631.0		V	264
1846	RULE	rule	394.0	373.0		415.0		N	1993
1847	SICK	ill	269.0	472.0				A	1186
1848	QUARREL	quarrel	351.0	440.0		479.0		N	1863
1852	OFTEN	often	329.0	294.0				F	1601
1854	SPARROW	sparrow	308.0			583.0		N	2219
1856	SOFT	soft	239.0			476.0		A	2191
1857	CROCODILE	crocodile	316.0			601.0		N	544
1862	DONKEY	donkey	235.0	631.0				N	702
1866	STUTTER	stutter	423.0	402.0				N	2287
1869	BUY	buy	237.0			397.0		V	334
1871	CAMEL	camel	303.0			561.0		N	343
1875	REGRET	sorry	230.0	378.0				A	2207
1877	EAST	east	366.0			497.0		N	734
1879	DANCE	dance	269.0	593.0		510.0		V	569
1882	BEFORE	before	246.0			255.0		F	221
1888	PAIR	couple	331.0	577.0				N	523
1890	BELIEVE	believe	336.0	320.0				V	231
1891	PUMA	puma	529.0	508.0				N	1848
1895	CLOTHES	clothing	301.0			588.0		N	437
1897	HELP	help	262.0	484.0	222.0	464.0		V	1100
1909	SHAKE	shake	284.0					V	2078
1914	DEBT	debt	521.0			384.0		N	578
1920	DREAM (SOMETHING)	dream	271.0			485.0		V	711
1928	CEASE	end	305.0	397.0		462.0		V	767
1937	THERE	there	245.0			283.0		F	2392
1939	SWEAR	swear	403.0	444.0				V	2319
1940	GUARD	guard	374.0	499.0	344.0	530.0		N	1052
1942	NEAR	near	260.0			408.0		F	1536
1953	ABUSE	abuse	555.0	491.0				V	13
1954	GENTLE	gentle	346.0			422.0		A	978
196	DONATE	give	243.0	428.0		383.0		V	988
1962	ROAST (SOMETHING)	roast	351.0	569.0				V	1974
1963	IMMEDIATELY	immediately	403.0	352.0				ADV	1191
197	OTHER	other	325.0			265.0		F	1639
1975	CHECK	check	383.0	401.0				V	383
1976	MERRY	funny	228.0			468.0		A	955
1978	RECOVER	recover	428.0	378.0				V	1904
1986	DISEASE	disease	396.0			487.0		N	661
1990	BECOME	become	336.0			259.0		V	219
1992	MORE	more	228.0			264.0		F	1501
1997	PRESERVE	preserve	482.0	430.0				V	1806
2	DUST	dust	290.0			549.0		V	725
2001	PAINTING	draw	222.0			435.0		V	709
2004	BEND	bend	246.0			460.0		V	235
2008	RESCUE	save	336.0	408.0		365.0		V	2017
201	FARM	farm	256.0			560.0		N	843
2014	GO DOWN (DESCEND)	descend	458.0	467.0				V	619
2016	JEALOUSY	jealousy	448.0			475.0		N	1259
2017	MIX	mix	417.0	348.0				N	1481
2022	ADMIT	admit	349.0	476.0				V	30
2036	JANUARY	January	302.0	523.0				N	1257
2038	DRAGON	dragon	265.0	568.0				N	706
204	AGAIN	again	197.0	368.0				F	48
2048	QUILT	quilt	542.0	347.0		554.0		V	1868
2060	STORY	story	193.0			491.0		N	2271
2061	BUDDHA	Buddha	609.0	471.0				N	311
2062	INTEREST	interest	441.0	327.0	411.0	359.0		V	1227
2063	CLOSE (EYES)	shut	260.0	480.0				V	2114
2065	STEP (VERB)	step	275.0	465.0	267.0	483.0		V	2259
2067	STEAM (VERB)	braise	551.0	413.0				V	286
2070	COMB (VERB)	comb	217.0	552.0				V	454
2071	LAY (VERB)	lay	344.0	405.0		426.0		V	1324
2072	USE (VERB)	use	323.0	336.0				V	2521
2073	ROB (VERB)	rob	346.0			465.0		V	1975
2075	BROOD (VERB)	brood	527.0	356.0				V	305
209	RARE	rare	458.0			439.0		A	1881
2090	MY	my	189.0			298.0		F	1525
2092	HIS OR HER	his	206.0			337.0		F	1123
2098	FOOT OR LEG	foot	163.0			597.0		N	911
2099	CHILD	children	226.0			597.0		N	396
21	TASTE (SOMETHING)	taste	269.0	460.0		425.0		V	2350
210	LIFE	life	335.0			482.0		N	1349
2113	OLD (USED)	old	260.0			478.0		A	1607
2115	CEASE OR FINISH	stop	243.0			452.0		V	2269
2139	MUROID (MOUSE OR RAT)	rat	279.0			588.0		N	1884
214	STRETCH	stretch	387.0					V	2275
2142	RUN AWAY	escape	359.0	491.0	353.0	459.0		V	791
215	LIE DOWN	lie	277.0		250.0	385.0		V	1347
2165	SLOWLY	slowly	284.0	347.0				ADV	2168
218	FINE (PENALTY)	fine	321.0	385.0		392.0		F	877
2190	TASTE	taste	280.0	440.0		425.0		N	2349
2191	LOW (HEIGHT)	low	290.0			378.0		A	1389
221	FIRE	fire	391.0	498.0		634.0		V	882
2214	AFFAIR	affair	528.0			361.0		N	38
2232	KEEN OR SUBTLE	subtle	588.0			294.0		A	2292
2233	LOVELY	lovely	286.0			491.0		A	1387
2235	CLEAN (SOMETHING)	clean	236.0			454.0		V	427
2243	REPAIR	repair	344.0		375.0	440.0		V	1934
2248	KNOW (SOMEBODY)	know	275.0			278.0		V	1303
2272	HOT OR WARM	hot	172.0			551.0		A	1146
2277	WHOLE	entire	475.0			310.0		A	783
2278	PERHAPS	perhaps	355.0			220.0		F	1707
228	CARVE	carve	362.0	541.0				V	355
230	SWEEP	sweep	288.0	510.0	281.0	513.0		V	2322
2301	ME	me	157.0			430.0		F	1441
2310	US (OBLIQUE CASE OF WE)	us	227.0			428.0		F	2519
2312	YOU (OBLIQUE CASE OF YOU)	you	213.0			400.0		F	2679
2313	BRONZE	bronze	448.0			588.0		N	304
2315	COOK (PERSON)	cook	288.0	616.0		504.0		N	504
2323	BACK (PART)	back	313.0	464.0	225.0	483.0		N	181
2334	MELT	melt	303.0			461.0		V	1452
2336	OF THIS KIND (SUCH)	so	243.0			227.0		F	2183
2339	NEED (SOMETHING)	need	329.0	320.0		327.0		V	1540
2342	LANDSCAPE	landscape	568.0	465.0		608.0		V	1311
2350	EARTHWORM	worm	249.0		253.0	578.0		N	2657
236	STEPMOTHER	stepmother	465.0	438.0				N	2261
2367	MANDARINE	tangerine	401.0			625.0		N	2342
2374	DREAM	dream	275.0	507.0		485.0		N	710
2378	THUNDER (VERB)	thunder	314.0	526.0		554.0		V	2415
2386	TURKEY	Turkey	540.0	408.0				N	2469
239	FLOWER	flower	183.0	643.0	215.0	618.0		N	902
2396	KNOCK	knock	290.0	416.0				N	1301
24	PRAY	pray	308.0			444.0		V	1793
2400	THEIR	their	295.0			255.0		F	2383
2401	PICTURE	picture	407.0	437.0	219.0	581.0		V	1726
2406	HOME	home	217.0	593.0	233.0	599.0		F	1131
2409	BROWN	brown	243.0	564.0				N	306
2410	GOOD-LOOKING	pretty	273.0			520.0		F	1807
2412	THANK (SOMEBODY)	thank	291.0	456.0				V	2376
242	COST	cost	428.0	265.0		401.0		N	513
2430	OFFICE	office	372.0			518.0		N	1598
244	LEFT	left	280.0			383.0		A	1336
2446	SLOTH	sloth	577.0	300.0				N	2166
2452	PURPLE	purple	338.0	584.0				N	1856
2465	DISGUST	disgust	469.0	422.0				N	663
2469	AGAINST	against	288.0			285.0		F	49
2470	DEAR	dear	295.0			374.0		N	574
2472	SUCKLE (BREASTFEED, NURSE)	nurse	363.0	523.0	256.0	617.0		V	1579
2474	HER (GENITIVE OF SHE)	her	205.0			464.0		F	1105
2477	YAK	yak	572.0	459.0				N	2671
248	HAPPEN	happen	344.0	308.0				V	1071
2482	TOGETHER	together	284.0			426.0		F	2436
2483	COLD (OF WEATHER)	cold	180.0	483.0	183.0	531.0		A	446
2484	SMALL (NOT TALL)	short	295.0			431.0		A	2100
2486	HIDE	hiding	372.0	386.0				N	1112
2492	BOIL (SOMETHING)	boil	294.0	550.0		533.0		V	265
2500	GINGER	ginger	359.0			430.0		N	985
2504	DIFFERENT	different	314.0			329.0		A	639
2507	DISGUSTING	disgusting	448.0	452.0				A	664
2516	WATER BUFFALO	buffalo	411.0	578.0				N	315
2519	SEEING (VISUAL SENSE)	sight	331.0	440.0		406.0		N	2121
252	FRIGHTEN	frighten	286.0					V	946
2521	FEELING (HAPTIC SENSE)	feeling	340.0	363.0	339.0	370.0		N	859
2526	POWER	power	428.0	408.0		450.0		N	1789
2534	DEPTH	depth	399.0	455.0				N	617
2554	PRINCE (RULER)	prince	305.0			606.0		N	1812
2559	FEEL (TACTUALLY)	feel	244.0	453.0		363.0		V	858
2561	HURT (SENSE PAIN)	hurt	258.0	492.0	219.0	465.0		V	1168
2564	PIGLET	piglet	310.0	573.0				N	1728
2568	BAKER	baker	252.0	624.0				N	188
2571	TRY (TEST)	test	341.0	397.0		528.0		N	2373
2572	SENSE (PERCEIVE BY SENSES)	sense	370.0	292.0	336.0	368.0		N	2061
2575	DO OR MAKE	make	273.0	393.0		322.0		V	1409
2577	YET	yet	320.0			237.0		F	2676
258	CALM	calm	395.0			439.0		A	341
2591	RHINOCEROS	rhinoceros	424.0	591.0				N	1961
2625	MAP	map	361.0	607.0		587.0		N	1420
2638	FISHING	fish	275.0	578.0		615.0		V	885
2642	HE OR SHE	he	189.0			452.0		F	1087
2652	BROAD OR WIDE	wide	316.0			455.0		A	2630
2669	POINT (WITH FINGER)	point	379.0	381.0		481.0		N	1760
2670	ACROSS	across	275.0	394.0				F	24
2678	HAIR OR FUR	hair	180.0			580.0		N	1062
2684	CAPRINE (GOAT OR SHEEP)	goat	282.0			585.0		N	1001
269	COOKED	cooked	258.0	534.0				A	506
2691	PATERNAL AUNT (FATHER'S SISTER)	satisfy	432.0	336.0				V	2014
27	AIR	air	233.0	469.0		450.0		N	56
2704	FADE (LOOSE COLOR)	fade	420.0	383.0				V	831
2708	TALK	talk	216.0	467.0		453.0		V	2338
