CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_VALENCE_MEAN	ENGLISH_AROUSAL_MEAN	ENGLISH_DOMINANCE_MEAN	ENGLISH_VALENCE_MEAN_MALE	ENGLISH_VALENCE_MEAN_FEMALE	ENGLISH_AROUSAL_MEAN_MALE	ENGLISH_AROUSAL_MEAN_FEMALE	ENGLISH_DOMINANCE_MEAN_MALE	ENGLISH_DOMINANCE_MEAN_FEMALE	ENGLISH_VALENCE_MEAN_YOUNG	ENGLISH_VALENCE_MEAN_OLD	ENGLISH_AROUSAL_MEAN_YOUNG	ENGLISH_AROUSAL_MEAN_OLD	ENGLISH_DOMINANCE_MEAN_YOUNG	ENGLISH_DOMINANCE_MEAN_OLD	ENGLISH_VALENCE_MEAN_HIGH	ENGLISH_VALENCE_MEAN_LOW	ENGLISH_AROUSAL_MEAN_HIGH	ENGLISH_AROUSAL_MEAN_LOW	ENGLISH_DOMINANCE_MEAN_HIGH	ENGLISH_DOMINANCE_MEAN_LOW	LINE_IN_SOURCE
1008	BULL	bull	3.95	4.9	6.89	4.31	3.44	6.43	4.08	7.14	6.75	4.58	3.2	5.67	4.27	7.4	6.33	3.4	4.42	4.92	4.86	6.42	7.71	1578
101	BOAST	brag	4.05	3.5	5.32	4.14	4	3.44	3.55	5.83	5.12	3.6	4.44	3.25	3.67	5.6	4.71	4.67	3.55	3	3.83	4.73	5.91	1425
1010	BOUNDARY	boundary	4.75	4.17	3.95	5	4.67	4	4.25	4.22	3.75	5	4.5	4.4	3.88	4	3.9	5.62	4.17	5.22	3.11	3.5	4.36	1395
1011	BRIDGE	bridge	5.44	3.48	4.78	4.88	5.9	2.71	3.86	5	4.43	5.18	5.86	3.78	3.25	5.18	4.14	6.33	5	2.78	4	4.22	5.33	1484
1012	LATCH	latch	5	3.09	4.78	5.36	5	3.62	2.79	4.57	4.88	4.25	5.55	3.11	3.08	4.64	4.92	5.14	4.92	3.73	2.45	5.3	4.38	6939
1013	FRESHWATER EEL	eel	4.14	4.79	4.86	4.33	4.07	4	5.36	5.18	4.5	3.83	4.27	4.44	5.1	4.79	5	4.21	4	4.5	4.92	4.89	4.83	3952
1016	DRIZZLE	drizzle	5.18	4.23	4.68	5.2	5.17	4.4	4.31	5.33	4.38	5.29	5	3.92	4.89	4.33	5	4.4	5.83	4.1	4.33	4.46	5.17	3818
1017	APPEARANCE	appearance	6.14	4.57	5.9	6.6	6	5.08	4	6	5.44	5.83	6.56	4.06	5.71	5.55	6.3	6.12	6.15	3.5	4.79	6.43	5.64	510
1018	MEMORY	memory	6.58	4.08	5.75	5.67	7	4.44	3.96	5.2	6.27	6.7	6.44	4.5	3.83	5.28	6.26	5.91	7.5	3.76	4.35	6	5.52	7613
1019	RIGHT	right	7.32	5	7.16	7.15	7.56	5.71	4.62	7	7.25	7.58	7	5.11	4.91	6.1	8.33	6.8	7.75	4.54	5.86	7.42	6.71	10400
102	COMMON COLD (DISEASE)	common	5.94	2.43	5.83	5.25	6.5	2.43	2.43	6.36	5	5.73	6.29	1.78	2.92	6.36	5	7	5.42	2.78	2.17	5.44	6.22	2396
1020	HANDKERCHIEF	kerchief	5.31	2.95	5.1	5.18	5.45	3.44	2.79	4.77	5.45	5	5.62	3.5	2.62	4.61	5.46	5.35	5.28	3.35	2.62	5.18	5	6786
1021	TOWEL	towel	6.14	2.9	5.86	6.5	6	4.12	2.08	6.09	5.6	6.17	6.13	3.5	2.3	5.5	6.57	5.93	6.57	2.67	3	6.22	5.58	12680
1024	CHARACTER	graph	5.2	3.45	6.15	5.29	5.15	4	3	6.4	5.64	4.82	5.67	4	3.08	6.53	5.22	4.71	5.46	3.83	3.31	5.67	6.75	5349
1025	WHISTLE	whistle	5.7	3.94	5.78	5.88	5.6	3.67	4.08	6.6	5.39	5.58	5.82	4.2	3.62	5.58	6	6.25	5.09	4.78	3.11	5.5	5.93	13685
1027	BUG	bug	3.45	6.06	4.08	3.27	3.67	6	6.08	4.23	3.92	3.64	3.22	5.82	6.43	4.06	4.11	3.3	3.6	4.83	6.67	4.1	4.06	1563
1028	YAWN	yawn	5.62	2.84	4.68	5.67	5.58	4	2.33	4.29	4.92	5.69	5.4	3.14	2.2	4.11	5.2	5.78	5.5	2.44	3.06	4.25	5	13869
1029	JEWEL	jewel	6.68	3.83	5.1	5.33	6.94	4.55	3.17	4.17	5.5	7.1	6.22	3.82	3.83	4.6	5.6	6.82	6.5	3.67	4	4.42	6.12	6689
1030	NECESSARY	necessary	5.39	3.38	4.89	4.62	6	3.57	3.29	4.64	5.29	4.91	6.14	2.56	4	5	4.71	6	5.08	3.89	3	3.89	5.89	8105
1032	CITIZEN	citizen	6.43	2.63	5.95	7.17	6.13	2	3.09	6.67	5.1	6.56	6.33	2.22	3	5	6.4	6.64	6.2	3.57	2.08	5.1	6.67	2128
1033	GRIND	grind	5.2	3.43	4.58	5.25	5.19	3.75	3.35	5.89	3.8	4.88	5.42	3.3	3.55	4.5	4.7	4.67	5.64	3.64	3.2	3.43	5.06	5405
1034	DEFENDANT	defendant	4.05	4.14	3.95	4	4.06	5	3.8	3.67	4.07	4.7	3.33	4.14	4.14	4.3	3.6	4	4.12	4.42	3.78	3.58	4.5	3199
1035	GOOD	good	7.89	3.66	6.41	8	8	3.12	4	6.09	6.75	8.17	7.92	3.29	3.83	6.19	6.76	7.71	8	3.5	3.77	6.33	6.43	5280
1036	OWNER	owner	6.38	4.71	6.59	6.38	6.38	5.15	4.18	6.92	6.11	7.12	5.83	5.36	3.8	7.33	5.7	6.09	6.7	4.75	4.69	6.42	6.8	8610
1038	TEACHER	teacher	7.37	2.9	5.95	6.78	7.9	3.29	2.67	5.18	6.73	7.78	7	2.33	3.15	6.69	4.89	8.29	6.83	2.78	3	5.75	6.07	12345
1039	SHOW	show	5.91	4.1	5.83	5.83	6.07	3.43	4.43	5.44	6.62	5.93	6.14	3.33	4.67	5.6	6.12	5.75	6	4.07	4.17	5.25	6.3	11100
1040	HAIR	hair	6.18	3.71	6.69	5.33	6.6	3.14	4	7	6.38	6.21	6.29	4.33	3.25	7.11	6.14	7.12	5.64	3.93	3.17	5.71	7.44	5530
1041	INCREASE	increase	5.9	5.06	6.09	6.6	5.67	4.67	5.25	5.6	6.5	6.2	5.6	5.4	4.62	6	6.18	6.5	5.5	6.89	3.22	6.36	5.82	6260
1042	CARPENTER	carpenter	5.94	3.05	5.12	6.4	5.77	3.6	2.44	5.53	4.44	5.29	6.36	3.11	3	4.95	6	6.89	5	3.38	2.82	4.67	5.28	1798
1043	BRAID	braid	5.78	3.9	5.6	4.5	5.94	3.5	4.07	4.67	6	5.8	5.75	4.29	3.71	5.3	5.9	5.82	5.71	3.42	4.56	5.75	5.38	1426
1044	PILLOW	cushion	5.9	2.76	6.44	5.67	6.22	2.86	2.71	6.6	6.33	7.5	5.53	2.9	2.64	7	6.22	5.67	6.08	1.75	3.38	6.5	6.33	3023
1045	POET	poet	6.85	2.91	5.84	7	6.73	2.4	3.19	5.5	6	6.64	7.33	3.17	2.78	5.33	6.3	7.8	5.9	2.8	3	5.77	6	9190
1046	SHUT	shut	4.5	4.05	5.61	5.17	4.2	4.29	3.93	5.44	5.75	4.86	3.71	4	4.08	5.7	5.5	3.75	4.93	4	4.17	5.12	6	11128
1047	PURSUE	chase	3.77	6.6	4.68	4.62	2.56	7.29	6.23	5.57	4.17	4.5	2.9	7	6.27	5	4.33	3.3	4.17	5.77	8.14	4.33	5.29	1972
1048	LINE	line	4.82	3.24	4.89	4.5	4.93	2.71	3.5	4.33	5.5	4.86	4.71	3.44	3.08	4.8	5	5.25	4.57	3.13	3.5	4.88	4.9	7117
1049	MOLAR TOOTH	molar	4.73	3.54	5.12	5.22	4.38	2.9	3.94	5.44	4.93	4.12	5.07	4	3.08	5.08	5.17	5.1	4.42	4.09	3.13	5.18	5.08	7833
105	MATTRESS	mattress	5.74	3.45	6.17	5	6.08	3.33	3.6	5.75	6.38	5.4	6.11	3.44	3.46	6.24	6.17	5.82	5.62	3.85	2.89	5.5	6.5	7530
1052	LIGHT (WEIGHT)	lightweight	5.9	3.05	5.36	6	5.88	3.29	2.92	4.62	5.71	5.43	6.15	3.57	2.75	5.5	5.18	5.82	6	3	3.1	6.14	5.06	7097
1054	SMALLPOX	smallpox	2.02	4.9	3.34	1.94	2.08	5.08	4.81	3.18	3.44	2.25	1.86	5.4	4.37	3.62	2.92	2	2.04	4.69	5	3.22	3.41	11344
1058	STEPDAUGHTER	stepdaughter	5.47	3.55	4.88	5.15	6.17	4	3.4	4.92	4.82	4.89	6	4	3.31	5	4.77	4.7	6.33	4.3	2.8	5.07	4.56	11808
1059	STEPSON	stepson	4.81	3.65	4.57	5.6	4.56	4.25	3	4.45	4.22	4.25	5.56	3.75	3.43	4.91	4.2	4.62	4.92	3.25	3.74	4	4.86	11812
1061	ARMOUR	armor	6.1	3.29	6.3	6.62	5.77	4.5	2.89	6.64	5.89	6.58	5.44	4.2	2.64	6.46	6	6	6.14	2.88	3.5	6.25	6.33	588
1062	LAW	law	4.55	3.55	4.83	4.33	4.6	3.43	3.62	5.44	4.12	4.71	4.14	3.56	3.55	5.2	4.38	5.5	4	2.93	5	5.25	4.5	6961
1063	NEPHEW	nephew	6.75	4.33	5.94	7	6.5	3.88	4.62	5.36	6.35	6.56	6.91	4.54	4	5.91	6	6.9	6.6	3.86	4.57	5.47	6.41	8135
1064	SHIELD	shield	5.91	3.65	6.41	6.33	5.62	2.4	4.44	6	6.69	6.62	5.5	4.69	2.62	5.7	7	6.1	5.75	3.55	3.73	6.67	6.23	11037
1065	SPIDER WEB	web	5.68	4.14	3.96	5.33	5.85	4	4.27	3.55	4.24	5.91	5.38	2.91	5.36	3.89	4.1	5.5	5.77	3.88	4.29	4.17	3.81	13618
1066	CRIME	crime	1.95	5.68	3.31	3.33	1.69	5.43	5.91	3.55	2.84	2	1.89	4.82	6.55	3.35	3.25	1.55	2.5	5.3	6	3.38	3.29	2910
1067	JUDGMENT	judgment	4.65	4.27	5.54	4.86	4.54	3.7	4.75	5.8	5.2	4.18	5.22	4.33	4.23	5.25	6.11	4.71	4.62	4.5	4.19	5.43	5.67	6728
1068	COURT	court	3.52	4.43	3.94	4.33	3.14	4.14	4.57	4.33	3.12	3.38	3.71	4	4.75	4.8	2.88	4.25	3.08	4.27	4.83	4.12	3.8	2814
1069	GLUE	glue	4.85	3.75	5.43	5.5	4.57	4	3.58	5.36	5.5	5.17	4.71	4.5	3	4.71	6.86	4.85	4.86	3	4.07	5.67	5.25	5244
107	OMEN	omen	3.77	4.52	3.59	3.57	4.12	4.73	4.67	4.17	3.38	4.5	3.17	3.91	5.2	3.38	3.89	3.8	3.75	5.38	4	4.1	3.17	8411
1070	BUS	bus	5.12	3.83	4.88	5.23	5.07	3.86	3.87	4.5	4.96	5.35	4.96	4.9	3	4.22	5.38	5.17	5.09	5	3.65	4.46	5.07	1630
1071	HOOK	hook	4	4	5.68	4.08	3.89	5	3.46	5.29	5.92	3.92	4.1	4.33	3.73	6	5.33	4.2	3.83	4.15	3.71	5.17	6.57	5895
1072	PRISONER	prisoner	2.67	5	2.41	2.89	2.5	5.55	4.5	2.89	1.88	2.43	2.85	6	4.08	3.29	1.8	3.62	2.08	5.17	4.82	2.56	2.25	9465
1075	TRAP (PITFALL)	trap	3.24	4.36	3.78	3.2	3.27	4	4.53	3.82	3.7	3.27	3.2	2.8	4.82	4.21	3.31	3.75	2.92	5.25	3.3	3.38	4.14	12764
1076	EMERGE (APPEAR)	emerge	5.75	4.74	6.67	5.78	5.73	5	4.5	5.75	7.23	5.86	5.5	4.11	5.14	6	7.08	5.4	6.1	5.6	4.08	6.44	6.83	4044
1077	WHEAT	wheat	4.95	3.94	5.75	5	4.93	4.6	3.67	5.46	6.09	4.78	5.1	4.29	3.7	5.44	6.38	6.4	4.43	3.5	4.18	4.89	6.27	13661
1078	MAIN	main	5.27	4.1	6.79	5.54	4.89	4.71	3.77	6.57	6.92	5.5	5	4.56	3.73	7.2	6.33	5.2	5.33	3.46	5.29	6.33	7.57	7356
1079	FEEL	feel	6.27	4.05	5.5	6.17	6.27	3	4.57	5	6	5.79	7.14	4.67	3.58	6	4.86	6.12	6.36	3.73	4.83	4.57	6.22	4543
108	RUDDER	rudder	5.11	3.25	5.5	5.31	4.67	4	3	6.08	4.82	4.56	5.6	4.43	2.62	5.18	5.77	5.3	4.89	3.6	2.9	5.53	5.44	10525
1080	VULGAR	vulgar	3.3	5.53	4.68	3.14	3.38	6.38	4.91	5	4.56	3.8	2.67	4.75	6.09	5.2	3.57	3.33	3.27	5.57	5.5	3.91	5.45	13508
1082	MERCHANT	merchant	5.21	3.68	5.18	5.11	5.3	4.5	3.21	4.55	5.82	5	5.33	3.8	3.58	5	5.44	5.11	5.3	3.79	3.5	5.38	5.07	7630
1084	CALL	call	6.18	3.29	5.61	5.33	6.67	3.29	3.29	5.33	5.88	6.21	6.43	3.11	3.42	5.8	5.38	7	5.71	3.07	3.83	4.88	6.2	1697
1085	FOLLOW	follow	4.82	3.76	4.81	4.67	4.87	2.57	4.36	4.75	4.88	4.71	5	4.33	3.33	4.78	4.86	4.88	4.79	3.53	4.33	3.71	5.67	4801
1086	WORK (ACTIVITY)	work	5.05	4.33	6.12	6.17	4.6	4	4.5	6.44	5.75	4.43	6.29	3.89	4.67	6.33	5.88	5.75	4.64	4.07	5	5.12	7	13809
1087	CONCEIVE	conceive	5.63	4.95	5.92	5.33	5.69	4.86	4.92	6.25	5.76	5.43	5.75	5.29	4.69	6.36	5.36	5.18	6.25	4.2	5.64	6.57	5.67	2484
1088	SINK (DESCEND)	sink	4.62	3.7	4.1	4	4.81	4.92	2.36	3.82	3.88	4.58	4.67	3.38	4.43	3.73	4.56	4.25	4.85	3.5	3.74	4.67	3.86	11206
109	FOREIGN	foreign	4.86	5.43	4.79	4.88	5.15	5.25	5.57	4.14	5.18	5	5.08	6.67	4.64	3.86	5.33	4.73	5	5.93	4.67	6.33	4.5	4844
1090	BE BORN	born	7.33	3.9	3.78	6.88	7.7	3.43	4.14	3	5	7.45	7.14	4	3.83	3.55	4.14	7.83	7.08	4	3.83	3.22	4.33	1375
1091	SALTY	salty	5.1	3.94	5.14	7	4.47	4.5	3.67	5	5.25	5.9	4.3	3.8	4.12	4.27	6	6.25	4.33	4.67	3.22	5.73	4.55	10620
1092	HOPE	hope	7.48	5.29	6.78	7.67	7.33	5.75	5	6.33	7	6.43	8.08	4.7	6.06	6.76	6.8	8	7.15	4.27	5.67	6.57	7.06	5905
1093	MIDDLE	mid	5.21	2.8	5.33	5.55	4.92	3.17	2.56	4.5	5.75	5.35	4.86	2.64	2.8	5.67	5	4.9	5.43	1.67	3.44	6.14	4.82	7679
1094	FASTEN	fasten	5.63	4	7.14	6	5.3	5.1	3.08	6.12	7.77	5.57	5.8	4.5	3.71	6.38	7.62	5.67	5.6	4.7	3.42	6.44	7.67	4493
1095	LET GO OR SET FREE	release	6.64	4.55	6.37	6.38	7	4.43	4.62	6.57	6.25	6.83	6.4	4.44	4.64	5.6	7.22	6.1	7.08	4.08	5.43	6.33	6.43	10118
1096	SONG	song	7.59	4.6	6.95	7.46	7.64	4.76	4.46	7.27	6.64	8.07	7.31	4.79	4.32	6.85	7.11	7.58	7.59	4.38	4.71	6.12	7.43	11480
1097	ABANDON	abandon	2.84	3.73	3.32	2.45	3.57	4.5	3.29	4	3.06	2.75	2.91	3.78	3.69	3.7	3	2.71	2.92	3.82	3.64	4.11	2.77	3
1098	WEIGH	weigh	4.32	4.14	5	5.22	3.5	5.12	3.57	5.18	4.82	5.29	3.75	4.1	4.17	5.15	4.78	4.56	4.1	3.86	4.62	4.88	5.07	13636
11	DARKNESS	darkness	4.71	4.08	4.82	5.25	4.38	4.08	4.08	5	4.56	5	4.83	4.86	3.09	4.67	5	5.09	4.3	5.25	3.53	4.67	5	3087
110	MOTOR	motor	5.64	5.42	5.5	5.4	5.75	6	5	5.22	5.73	5.58	5.7	5.2	5.67	5.08	6.12	5.45	5.82	5.64	5.12	5.91	5	7936
1100	COOK (SOMETHING)	cooking	6.77	4.19	7.27	6.79	6.75	4.27	4.33	6.67	7.5	6.7	6.83	4.09	4.3	6.85	7.89	6.6	6.92	4.88	3.77	7.3	7.25	2705
1101	SUFFER	suffer	2.05	4.5	3.32	2.62	1.67	4.67	4.4	3.07	3.57	2	2.09	3.92	5.08	2.5	4.14	2.2	1.9	4.42	4.58	3.19	3.5	12036
1102	CLIMB	climb	5.62	3.95	5.61	6.11	5.25	4.09	3.82	5.1	6.25	6	5.46	4.45	3.45	4.71	6.18	5.25	5.85	3.55	4.36	6.56	4.67	2202
1103	SACRIFICE	sacrifice	4.76	4.95	5.6	5.33	4.33	4.33	5.13	6	5.43	4.78	4.75	5.4	4.82	5.3	5.9	4.22	5.17	5.15	4.67	6.25	5.17	10579
1104	NURSE	nurse	5.41	4.64	5.58	5.8	5.05	5.58	3.5	5.5	5.63	5.1	5.71	6	3.69	5.15	6.53	5.72	5.17	4.69	4.56	5.45	5.69	8300
1105	CAMP	camp	7	4.14	5.89	6.12	7.7	3.29	4.57	5.45	6.57	6.64	7.57	3.78	4.42	6.27	5.29	6.83	7.08	5.22	3.33	5.78	6	1710
1107	GO OUT	exit	5.35	3.18	7	6	5	3.7	2.75	6.73	7.36	5.27	5.44	3.89	2.69	7.41	6.22	4.86	5.62	4.33	2.75	6.87	7.17	4328
1108	UNCOVER	uncover	4.89	3.55	6.5	4.67	4.93	3.8	3.3	6.57	6.44	5.83	4.42	4.43	3.08	6.2	6.64	5.57	4.5	3.2	3.9	6.62	6.38	13016
1109	WOUND	wounds	2.95	4	3.2	3.47	2.6	4.27	3.75	3.67	3	3.14	2.54	4.55	3.5	2.9	3.5	2.68	3.17	3.92	4.09	3.42	2.88	13834
1110	SHARK	shark	4.02	5.27	4.87	3.62	4.21	5.5	5.14	5.89	4.21	4.25	3.88	5.67	5	5.67	3.38	4.16	3.91	6.08	4.25	4.7	5	11011
1111	CAR	car	6.63	4.04	6.41	6.58	6.68	4.36	3.75	6.36	6.45	6.58	6.71	4.36	3.75	5.85	7.22	6.38	6.9	3.67	4.45	5.62	6.86	1767
1112	SUCCEED	succeed	7.05	6.71	6.1	6.33	7.19	6.83	6.67	5.67	6.29	6.9	7.22	7.43	6.36	6.2	6	7.18	6.88	6.25	7.33	5	7.75	12023
1113	WRAP	wrap	5.57	3.85	5.31	5.5	5.62	4.4	3.67	5.27	5.32	5.46	5.75	4.42	3	5.5	5.06	6	5.18	3.89	3.82	5.5	5.18	13835
1114	BULLET	bullet	3.45	5.89	3.93	3.47	3.43	6.4	5.62	4.44	3.48	4	3.05	6.3	5.54	4.24	3.35	3.24	3.68	6.24	5.67	3.31	4.44	1581
1115	SPEECH	speech	5.62	4.1	6.68	5.69	5.5	4.86	3.69	7	6.5	5.58	5.67	4.22	4	6.9	6.44	6	5.33	3.69	4.86	6.58	6.86	11576
1117	LIKE	like	7.44	4.4	6.28	6.5	8.2	4.43	4.38	6.09	6.57	7	8.14	3.89	4.82	6.64	5.71	8.33	7	5	4	5.89	6.67	7099
1119	DIVIDE	divide	4.78	4.62	4.91	4.75	4.77	4.83	4.53	4.9	4.92	4.5	4.91	5.29	4.29	4.73	5.08	4.86	4.73	4.2	5	5	4.86	3672
112	TURTLE	turtle	6.16	2.52	5.82	5.78	6.5	3.38	2	6.09	5.55	6.14	6.17	3.1	2	5.38	6.44	5.44	6.8	2.5	2.57	5.75	5.86	12909
1120	HONEST	honest	8.16	4	6.7	7.67	8.6	3.69	4.15	6.59	6.82	8.56	7.8	4.45	3.53	6.38	7.33	8.57	7.92	3.77	4.12	7.11	6.4	5881
1121	SECRET	secret	5.33	4.14	5.41	6.33	4.93	4.29	4.07	5.67	5.12	5.43	5.17	3.56	4.58	6.67	4	4.57	5.71	4.53	3.17	4	6.67	10851
1122	WAGES	salary	6.42	4.86	5.05	6.33	6.5	4	5.36	4.18	5.91	6	6.67	4.4	5.25	4.92	5.22	6.56	6.3	5.79	3.25	4.38	5.43	10606
1123	PREGNANT	pregnant	7.17	5.7	4.06	5.88	8.2	5.86	5.62	4.27	3.71	6.45	8.29	6	5.45	4.55	3.29	7.33	7.08	5.62	5.75	4.11	4	9372
1124	PIPE	pipe	4.75	4.11	5.92	4.55	5	4.14	4.09	5.77	6.08	5	4.44	4.2	4	5.71	6.33	4.3	5.2	2.67	4.83	6.3	5.69	9073
1125	BALD	bald	2.85	3.71	4.5	2.9	2.8	3.75	3.69	4.36	4.6	1.67	3.82	3.69	3.75	4.86	3.83	3.7	2	3.57	3.79	3.29	5.71	851
1127	SEND	send	6.18	3.43	5.94	6	6.33	3.43	3.43	5.62	6.25	6.29	6.14	3.33	3.5	5.78	6.14	6.5	6	3	4.5	6	5.89	10909
1128	ORDER	order	5.82	3.19	6.56	6.33	5.67	2.57	3.5	7.38	5.75	5.71	6.14	4.22	2.42	6.67	6.43	6	5.71	2.8	4.17	6.29	6.78	8476
1129	PAINFUL	painful	2.58	5.52	3.83	4	2.31	5.88	5.31	5.56	2.71	2.44	2.7	5.33	5.67	4.4	2.75	2.5	2.71	5.18	5.9	4	3.69	8643
1132	BEAM	beam	5.74	3.59	6.54	6	5.58	3.8	3.42	6.43	6.91	5.8	5.67	4	3.31	7.29	5.25	5.17	6	5.17	3	6.8	6.18	994
1133	MATCH	match	5.61	3.05	6.06	5.75	5.5	3.57	2.79	5.73	6.57	5.73	5.43	2.56	3.42	5.82	6.43	5.67	5.58	4	2.33	5.78	6.33	7509
1134	DIVORCE	divorce	2.49	5.39	4.02	1.69	2.86	5.59	5.26	4.15	3.82	2.5	2.48	4.86	5.87	4.57	2.89	2.28	2.65	5.89	5	4	4.04	3675
1135	KICK	kick	4.55	5.1	5.1	4.09	5.11	5.44	4.88	4.7	5.5	5.27	3.67	5.47	4.78	4	5.83	4.2	4.9	4.88	5.24	5.27	4.89	6799
1136	RABBIT	rabbit	7.21	3.98	5.95	5.67	7.5	4.15	3.82	5.36	6.55	6.89	7.5	3.81	4.08	5.92	6	6.83	7.86	4.88	3.36	5.38	6.29	9784
1137	TENDON	tendon	5.11	3.3	4.68	5.22	5	4	2.83	4.71	4.65	5	5.2	3.85	2.29	4.59	4.83	5.22	5	3.43	3.23	4.59	4.76	12416
1138	FAIRY	fairy	6.71	5.04	6.38	5.8	7	5	5.09	6.18	6.33	6.5	7	5	5.14	6.55	6.2	5.62	7.38	4.5	5.16	7.14	6	4442
1139	LEOPARD	panther	6.1	5.45	4.4	6.57	5.86	5.91	4.89	3.94	5.22	6.12	6.08	4.67	6.09	4.2	5.2	5.5	6.64	5.22	5.64	4.5	4.37	8681
1140	FATIGUE	fatigue	3.64	3.26	4.05	4.2	3.38	2.88	3.55	4.8	3.36	3.42	3.9	3.8	2.67	3.92	4.22	4.27	3	3.45	3	4.08	4	4506
1141	PITY	pity	3.18	4.07	4.52	3.5	3	3.81	4.23	3.96	5.12	3.17	3.19	4.05	4.09	4.24	4.72	3.26	3.12	4.12	4.04	4.35	4.71	9093
1142	URINE	urine	2.9	4.38	4.55	3.44	2.45	4.38	4.32	4.5	4.58	3.43	2.67	4.05	4.65	4.27	4.82	2.57	3.08	4.68	4.13	5.73	3.36	13263
1143	OVEN	oven	6.16	2.95	6.04	6.6	6	3.5	2.73	5.6	6.38	5.86	6.36	2.71	3.07	6	6.08	6.57	5.92	3.5	2.45	6.44	5.79	8557
1144	WITNESS	witness	5.61	3.67	4.44	5.25	5.9	3.71	3.64	4.82	3.86	5.55	5.71	3.33	3.92	3.27	6.29	6.33	5.25	4.78	2.83	3.67	5.22	13778
1145	SWAMP	swamp	4.42	3.33	4.12	3.33	4.92	4.33	2.83	4.25	4.06	4.6	4.22	3.6	3	4.41	3.17	4.36	4.5	4.11	2.56	3.62	4.38	12167
1146	AUBERGINE	eggplant	5.55	3.14	5.77	5.79	5.12	3.45	3	5.33	5.94	5.7	5.42	3.36	2.9	5.77	5.78	5.1	5.92	3.62	2.85	6.2	5.42	3964
1147	PURE	pure	6.8	4.05	6.44	6.67	6.82	4.57	3.92	6	6.65	6.86	6.77	4.43	4	6.07	6.91	7	6.56	3.6	4.45	6.29	6.5	9701
1148	BRUISE	bruise	3.24	4.04	3.78	3.56	3	4.36	3.75	3.6	4	3.57	3.15	4.64	3.5	3.71	3.82	3.75	2.92	4.17	3.91	4.44	3.11	1534
1149	ORPHAN	orphan	2.9	3.24	3.48	3.3	2.55	2	3.73	3.59	3.3	2.91	2.9	2.8	3.38	3.71	3.23	3.38	2.62	3.91	2.5	3.38	3.57	8501
