CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	CONCRETENESS_MEAN	CONCRETENESS_SD	DUNNO	FREQUENCY_SUBTITLE	POS	LINE_IN_SOURCE
1452	PUSH	push	4.21	1.21	0	3598	Verb	23595
2069	SOAK (VERB)	soak	4.21	1.13	0	176	Verb	23600
2493	BOIL	boil	4.2	1.12	0	303	Verb	23603
1423	FIGHT	fight	4.2	0.82	0	10255	Verb	23604
133	WEAVE	weaving	3.37	1.43	0	43	Verb	24954
2030	DRAG	drag	4.17	0.97	0	1349	Verb	23635
739	FEED	feed	4.17	1.18	0	2162	Verb	23636
715	SHOUT	yell	3.86	1.55	0	939	Verb	24024
375	SNIFF	sniff	4.17	1.07	0	181	Verb	23643
3110	CLAP	clap	4.16	0.94	0	241	Verb	23647
827	ROLL	roll	4.16	1.43	0	3227	Verb	23649
1436	SCRATCH	scratch	4.16	1.1	0	961	Verb	23650
1442	STAND	stand	4.16	1.25	0	11536	Verb	23651
1767	SCRAPE	scrape	4.15	1.03	0	210	Verb	23655
2245	BELCH	belch	4.14	1.24	0	37	Verb	23661
1094	FASTEN	fasten	4.14	1.13	0	190	Verb	23667
1487	POUR	pour	4.14	0.97	0	771	Verb	23670
1470	FOLD	fold	4.13	0.99	0	440	Verb	23676
588	BROKEN	broken	4.11	1.01	0	3634	Verb	23684
2102	BURN	burn	4.11	1.25	0	2816	Verb	23685
702	CATCH	catch	4.11	1.29	0	6911	Verb	23687
1975	CHECK	check	4.11	1.34	0	14228	Verb	23688
1102	CLIMB	climb	4.11	1.12	0	1007	Verb	23689
983	CONVICT	convict	4.11	1.28	0	324	Verb	23690
1433	HIT	hit	4.11	1.2	0	14025	Verb	23694
1113	WRAP	wrap up	2.88	1.31	0	0	#N/A	33450
1407	BREATHE	breathing	4.1	1.18	0	1417	Verb	23706
2904	RINSE	rinse	4.1	1.25	0	120	Verb	23713
460	BREAK (OF ROPE)	snap	4.1	1.16	11	887	Verb	23718
1574	FLOAT	float	4.07	1.21	0	381	Verb	23737
300	RATTLE	rattle	4.07	1.33	0	172	Verb	23747
1909	SHAKE	shake	4.07	1.12	0	2021	Verb	23748
3130	SPILL (SOMETHING)	spill	4.07	1.04	1	432	Verb	23752
353	STRIKE	strike	4.07	1.24	0	2324	Verb	23756
2708	TALK	talk	4.07	1.25	0	43605	Verb	23758
1443	WALK	walk	4.07	1.44	0	11009	Verb	23760
700	CARRY	carry	4.04	1.13	0	3361	Verb	23767
1280	FALL	fall	4.04	1.08	0	6044	Verb	23773
288	FORGE	forge	4.04	1.23	0	166	Verb	23777
568	RISE (MOVE UPWARDS)	rise	4.04	1.22	0	1399	Verb	23785
748	SOW SEEDS	sow	4.04	1.19	0	98	Verb	23791
1456	THROW	throw	4.04	1.29	1	6570	Verb	23793
119	DIVE	dive	4.03	1.24	0	654	Verb	23801
1621	SNEEZE	sneeze	4.03	1.52	0	150	Verb	23808
3287	BLOOM	bloom	4	1.11	1	281	Verb	23810
1084	CALL	call for	2.74	1.48	1	0	#N/A	33871
1454	WIPE	wipe off	4.32	1.12	0	0	#N/A	30592
3224	WRING	wring	4	1.24	3	62	Verb	23848
1665	BEAT	beat	3.97	1.35	0	6716	Verb	23850
129	CHOKE	choke	3.97	1.35	0	330	Verb	23851
2001	PAINTING	draw	3.97	1.1	0	2061	Verb	23853
