CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_MOTOR_CONTENT_MEAN	LINE_IN_SOURCE
129	CHOKE	Ahogarse	4.111111111111111	260
1308	DOUBT	Dudar	1.2173913043478262	1871
1309	ASK (INQUIRE)	Preguntar	1.7407407407407407	3447
1324	SLIP	Deslizar	3.1923076923076925	1604
133	WEAVE	Tejer	3.185185185185185	4300
1330	DEFEND	Defender	3.1153846153846154	1300
1336	EAT	Comer	3.5517241379310347	978
1341	HEAT UP	Calentar	3.3703703703703702	778
1355	LAUGH	Reir	4.3076923076923075	3818
1359	SEPARATE	Separar	3	4107
1367	CROSS	Cruzar	3.4814814814814814	1228
138	BATHE	Bañarse	4.214285714285714	689
1387	ARRIVE	Llegar	3.3461538461538463	2945
1401	DRINK	Beber	3	705
1403	BITE	Morder	3.1923076923076925	3111
1407	BREATHE	Respirar	2.875	3943
1408	HEAR	Oír	1.6521739130434783	3196
1409	SEE	Ver	2.217391304347826	4499
141	BURN (SOMETHING)	Quemar	3.347826086956522	3578
1410	KNOW (SOMETHING)	Saber	1.434782608695652	4039
1413	PLAY	Jugar	5.769230769230769	2868
1414	SQUEEZE	Exprimir	3.4444444444444446	2369
1416	SIT	Sentar	3.3214285714285716	4098
1417	KILL	Matar	5.185185185185185	3026
1418	DIG	Cavar	5.928571428571429	845
1419	FEAR (BE AFRAID)	Temer	1.5	4305
1420	COUNT	Contar	2.4347826086956523	1132
1421	SUCK	Chupar	2.5	902
1422	BE ALIVE	Vivir	3.0869565217391304	4530
1423	FIGHT	Pelear	6.5	3297
1428	BURNING	Arder	3.0434782608695654	508
1431	FREEZE	Helarse	1.565217391304348	2595
1432	CUT	Cortar	3.3333333333333335	1195
1433	HIT	Golpear	5.423076923076923	2548
1435	HUNT	Cazar	5.423076923076923	847
1436	SCRATCH	Rascar	3.111111111111111	3599
1437	SPLIT	Hender	3.4615384615384617	2596
1439	SWIM	Nadar	6.407407407407407	3141
1440	SPIT	Escupir	2.5925925925925926	2228
1441	FLY (MOVE THROUGH AIR)	Volar	5.538461538461538	4535
1442	STAND	Estar	2.391304347826087	2273
1443	WALK	Andar	5.185185185185185	387
1444	TURN AROUND	Volver	3.8461538461538463	4540
1446	COME	Venir	4.423076923076923	4496
1447	GIVE	Dar	2.793103448275862	1268
1448	HOLD	Sostener	2.5384615384615383	4200
1449	RUB	Frotar	4.461538461538462	2496
1451	SMILE	Sonreír	2.857142857142857	4185
1452	PUSH	Empujar	4.230769230769231	1976
1453	WASH	Lavar	4.230769230769231	2900
1455	PULL	Tirar	4.115384615384615	4325
1456	THROW	Echar	3.3461538461538463	1876
1457	SEW	Coser	4	1199
1458	SAY	Decir	1.9615384615384615	1284
1468	LOOK FOR	Buscar	4.038461538461538	757
1470	FOLD	Doblar	2.8518518518518516	1840
1477	KEEP	Guardar	2.6296296296296298	2568
1487	POUR	Servir	4.730769230769231	4116
1494	DIE	Morir	1.5217391304347827	3114
150	WORRY	Preocuparse	1.6521739130434783	3456
1501	BORE	Taladrar	4.576923076923077	4277
1506	MEASURE	Medir	2.3703703703703702	3044
1519	RUN	Correr	6.148148148148148	1187
1521	SEEM	Parecer	1.5833333333333333	3258
1523	FORGET	Olvidar	1.173913043478261	3201
1528	FORGIVE	Perdonar	1.4782608695652173	3315
1532	SHEAR	Trasquilar	4.923076923076923	4399
1536	UNDERSTAND	Entender	2.0869565217391304	2116
1542	ACCOMPANY	Acompañar	3.5	106
157	DYE	Teñir	3.8461538461538463	4312
1571	SELL	Vender	2.7241379310344827	4490
1573	SWELL	Hinchar	3.5	2611
1574	FLOAT	Flotar	2.739130434782609	2459
1576	PILE UP	Amontonar	3.8076923076923075	367
158	PUT ON	Calar	2.5384615384615383	774
1585	SLEEP	Dormir	1.608695652173913	1857
1587	SMELL (STINK)	Apestar	1.4166666666666667	448
1588	TURN	Virar	3.6153846153846154	4521
1590	WAIT (FOR)	Esperar	1.2173913043478262	2247
1602	WAKE UP	Despertarse	3.230769230769231	1669
1607	HATE	Odiar	1.391304347826087	3189
1608	LISTEN	Escuchar	1.5217391304347827	2223
161	MISS (A TARGET)	Perder	1.9583333333333333	3313
1621	SNEEZE	Estornudar	3.037037037037037	2287
1626	EXPLAIN	Explicar	2	2358
1635	OBEY	Obedecer	2.0384615384615383	3167
1650	WATCH	Mirar	1.9130434782608696	3081
1655	BLINK	Parpadear	2.0384615384615383	3264
1672	WRITE	Escribir	3.1481481481481484	2219
1675	PROMISE	Prometer	1.4074074074074074	3518
168	REST	Descansar	1.391304347826087	1444
1689	SMOKE (INHALE)	Fumar	2.576923076923077	2502
1696	SURRENDER	Rendirse	1.7083333333333333	3864
1719	BURY	Enterrar	5.413793103448276	2121
1720	SIGN	Firmar	2.2222222222222223	2441
1735	TEAR (SHRED)	Rasgar	4.346153846153846	3601
1743	JOIN	Unirse	2.4285714285714284	4454
175	BLOW (OF WIND)	Soplar	3	4190
1750	CHOOSE	Escoger	2.074074074074074	2213
1766	FINISH	Terminar	2.5	4316
1767	SCRAPE	Raspar	3.4827586206896552	3604
1778	APPROACH	Acercarse	3.5	88
1786	DRY UP	Secar	2.3043478260869565	4078
180	CALL BY NAME	Llamarse	1.9565217391304348	2943
1812	TRY	Tratar	2.8461538461538463	4405
1814	ACCUSE	Acusar	2.32	148
1818	ADJUDICATE	Juzgar	1.3333333333333333	2877
1819	LOOK	Indagar	2.3333333333333335	2719
1828	ASK (REQUEST)	Pedir	2	3291
1829	JUMP	Saltar	5.653846153846154	4059
183	BAKE	Hornear	3.6538461538461537	2628
1831	MEET	Reunirse	2.9615384615384617	3986
1839	CRY	Llorar	2.9583333333333335	2951
1840	BUILD	Construir	5.379310344827586	1119
1841	SUSPECT	Sospechar	1.6666666666666667	4198
1846	RULE	Gobernar	3.423076923076923	2545
1849	ROW	Remar	5.555555555555555	3843
1869	BUY	Comprar	4.1923076923076925	1010
1879	DANCE	Bailar	6.346153846153846	678
1890	BELIEVE	Creer	1.173913043478261	1211
1892	TOUCH	Tocar	3	4333
1897	HELP	Ayudar	3.4814814814814814	671
1902	BETRAY	Traicionar	2.1739130434782608	4360
1904	DROWN	Ahogar	4.592592592592593	259
1909	SHAKE	Sacudir	4.407407407407407	4049
1913	PRESS	Presionar	3.3076923076923075	3469
1917	TIE	Atar	3.4642857142857144	597
1920	DREAM (SOMETHING)	Soñar	1.8695652173913044	4188
1921	PLOUGH	Arar	5.769230769230769	505
1922	LAND (DESCEND)	Desembarcar	4.6923076923076925	1510
1929	STUDY	Estudiar	2.4347826086956523	2300
1933	LOOSEN	Soltarse	3.5	4176
1939	SWEAR	Jurar	1.6428571428571428	2873
1948	SAW	Serrar	5.1923076923076925	4114
1962	ROAST (SOMETHING)	Asar	2.9166666666666665	557
1983	SNORE	Roncar	1.9615384615384615	4027
1990	BECOME	Volverse	2.5925925925925926	4541
1996	GET TIRED	Cansarse	2.9130434782608696	803
1998	COMMAND	Mandar	1.8888888888888888	2990
1999	OVERCOME	Superar	2.4615384615384617	4242
2001	PAINTING	Dibujar	3.3461538461538463	1751
2003	FLOW	Fluir	3.217391304347826	2461
2006	FILL	Llenar	2.3333333333333335	2947
2008	RESCUE	Salvar	5	4063
2014	GO DOWN (DESCEND)	Bajar	4.172413793103448	679
2017	MIX	Batir	4.185185185185185	701
2022	ADMIT	Admitir	1.7692307692307692	173
203	MARRY	Casarse	2.4782608695652173	831
2030	DRAG	Arrastrar	5.071428571428571	522
2070	COMB (VERB)	Peinar	3.4444444444444446	3294
2076	SPROUT (VERB)	Brotar	2.5652173913043477	747
21	TASTE (SOMETHING)	Catar	2.8333333333333335	839
2108	RAINING OR RAIN	Llover	2.4347826086956523	2953
211	CAST	Fundir	3.6153846153846154	2508
2117	DESIRE	Desear	2	1505
2124	SMELL	Oler	1.6521739130434783	3197
2134	RAISE (BRING UP)	Aumentar	2.5	641
2135	TRADE OR BARTER	Trocar	2.9615384615384617	4425
214	STRETCH	Estirar	3.689655172413793	2284
2142	RUN AWAY	Escapar	5.769230769230769	2200
2148	PICK	Coger	3.111111111111111	946
215	LIE DOWN	Acostarse	2.730769230769231	125
2215	BECOME ANGRY	Enojarse	2.4347826086956523	2091
2235	CLEAN (SOMETHING)	Limpiar	4.814814814814815	2935
2243	REPAIR	Reparar	4.148148148148148	3876
2253	DRIP (EMIT LIQUID)	Gotear	3	2552
2271	THINK	Pensar	1.3478260869565217	3307
228	CARVE	Tallar	4.708333333333333	4279
2296	SUNRISE	Amanecer	1.6521739130434783	344
230	SWEEP	Barrer	4.5	692
231	SHAVE	Afeitar	3.5384615384615383	196
2324	GET WET	Mojarse	2.5652173913043477	3097
2334	MELT	Derretir	2.037037037037037	1362
24	PRAY	Orar	2.3076923076923075	3215
2411	HURT (SOMEBODY)	Herir	3.4444444444444446	2598
2458	PERSPIRE OR SWEAT	Sudar	2.652173913043478	4226
248	HAPPEN	Acontecer	1.7826086956521738	112
2485	HIDE (ONESELF)	Esconderse	3.892857142857143	2217
2493	BOIL	Hervir	2.9166666666666665	2602
251	SHARPEN (SOMETHING)	Afilar	3.3076923076923075	205
2526	POWER	Poder	2.4347826086956523	3396
253	CARE FOR	Cuidar	3.423076923076923	1241
2630	WHIP	Azotar	4.730769230769231	674
2638	FISHING	Pescar	4.448275862068965	3352
2708	TALK	Hablar	3.3043478260869565	2583
2715	DESPISE	Despreciar	1.4782608695652173	1687
274	KNEAD	Amasar	4.230769230769231	353
275	PEEL	Pelar	3.4482758620689653	3296
2787	CONSUME (DRINK OR EAT)	Consumir	3.3043478260869565	1124
285	THRESH	Desgranar	3.3076923076923075	1577
2856	CHANGE (SOMETHING)	Alterar	2.730769230769231	330
2859	SMOKE (EMIT SMOKE)	Humear	2.730769230769231	2636
2871	SWING (MOVEMENT)	Mecer	3.9615384615384617	3041
2880	HALT (STOP)	Detener	3.1923076923076925	1734
2882	ADD	Añadir	2.4642857142857144	416
2883	DISTURB	Interrumpir	2.259259259259259	2820
2894	TUMBLE (FALL DOWN)	Caerse	4.777777777777778	770
2896	CAUSE TO (LET)	Dejar	2.5	1315
2900	PROTECT	Proteger	4.346153846153846	3544
291	PULL OFF (SKIN)	Desollar	4.625	1635
296	CROUCH	Agacharse	3.925925925925926	219
298	SHRIEK	Chillar	3.0384615384615383	890
299	SCOLD	Regañar	2	3780
2991	SKI	Esquiar	6.086956521739131	2259
303	ABSTAIN FROM FOOD	Ayunar	1.2608695652173914	673
304	PREACH	Predicar	2.9615384615384617	3440
3068	COOL DOWN	Enfriarse	1.391304347826087	2057
3078	IRRIGATE	Regar	3.8846153846153846	3781
3080	SPLIT OPEN	Rajar	3.076923076923077	3593
3108	BOX (SOMEBODY OR SOMETHING)	Boxear	6.1923076923076925	738
3110	CLAP	Aplaudir	3.5185185185185186	457
3111	CONDUCT	Dirigir	3.72	1776
3113	FILE (SOMETHING)	Archivar	3.1538461538461537	507
3114	GRATE (SOMETHING)	Rallar	3.1538461538461537	3595
3116	HATCH (OUT)	Eclosionar	3.391304347826087	1879
3118	IRON (CLOTHES)	Planchar	4.384615384615385	3380
3120	MOP (SOMETHING)	Fregar	4.62962962962963	2492
3121	OPERATE (MEDICINE)	Operar	4.37037037037037	3206
3122	PAINT (SOMETHING)	Pintar	4.037037037037037	3367
3128	SHOWER (ACTION)	Ducharse	4.769230769230769	1870
3129	SKATE	Patinar	5.730769230769231	3281
3135	VACUUM (SOMETHING)	Aspirar	3	588
3160	SLAP	Abofetear	4.310344827586207	20
3189	STAB TO DEATH	Apuñalar	5.3076923076923075	499
319	LICK	Lamer	2.7586206896551726	2888
3199	TWIST (AROUND)	Torcer	3.576923076923077	4342
3204	INSULT	Insultar	2.111111111111111	2795
321	CHEW	Masticar	3.3333333333333335	3023
3230	DECEIVE	Engañar	1.7826086956521738	2062
3287	BLOOM	Florecer	2.5652173913043477	2458
3302	QUARREL (VERB)	Discutir	3.230769230769231	1788
3306	NAIL	Clavar	3.8461538461538463	926
3351	STOP DOING	Parar	1.7391304347826086	3253
3429	COMPARE	Comparar	1.7037037037037037	987
3447	BEGIN OR START	Empezar	2.9565217391304346	1963
352	UNTIE	Desatar	3.3461538461538463	1417
3534	BEG	Suplicar	2.576923076923077	4247
3544	WAVE (VERB)	Saludar	2.7037037037037037	4061
357	HANG UP	Colgar	3.1481481481481484	961
3617	STUMBLE	Tropezar	3.576923076923077	4430
3626	KNOW	Conocer	1.3478260869565217	1095
3639	AVOID	Evitar	2.642857142857143	2313
364	SMEAR	Untar	2.8076923076923075	4456
3642	COMPLAIN	Quejarse	2.25	3577
3645	PERSUADE	Persuadir	2.4615384615384617	3344
3649	PUNISH	Castigar	2.074074074074074	833
365	SPLASH	Salpicar	3.3333333333333335	4057
3654	TAKE OUT	Sacar	3.2222222222222223	4043
3659	POLISH (SOMETHING)	Lustrar	3.5	2963
366	LIMP	Cojear	4.3076923076923075	951
3665	TRAVEL	Viajar	5.615384615384615	4510
3666	WANDER	Deambular	4.115384615384615	1271
367	RIDE	Montar	4.3076923076923075	3106
369	OWE	Deber	2.652173913043478	1273
371	PICK UP	Recoger	3.9310344827586206	3678
375	SNIFF	Husmear	2.8846153846153846	2644
378	PINCH	Pellizcar	2.5384615384615383	3300
38	SPREAD OUT	Esparcir	3.6666666666666665	2241
391	BLESS	Bendecir	1.8846153846153846	708
398	PIERCE	Punzar	3.1923076923076925	3568
41	IGNORE	Ignorar	1.25	2652
421	RETREAT	Retirarse	2.9615384615384617	3969
423	GET LOST	Perderse	3.269230769230769	3314
46	HOLLOW OUT	Ahuecar	3.269230769230769	265
479	GROW	Crecer	3.0869565217391304	1210
48	BE SILENT	Callarse	1.6521739130434783	785
484	CONDEMN	Condenar	1.8846153846153846	1045
485	DISAPPEAR	Desaparecer	2.0416666666666665	1403
49	REFUSE	Negarse	1.8846153846153846	3149
499	CURE	Curar	3.9615384615384617	1257
501	LIFT	Levantar	4.2592592592592595	2913
504	LEARN	Aprender	2.2083333333333335	479
52	SHIVER	Temblar	4.074074074074074	4304
526	HOWL	Aullar	2.4814814814814814	640
55	WHISPER	Murmurar	1.8148148148148149	3135
568	RISE (MOVE UPWARDS)	Ascender	4.7407407407407405	558
570	STAND UP	Pararse	1.7307692307692308	3254
575	TREAD	Pisar	3.7037037037037037	3371
578	KISS	Besar	3.4615384615384617	712
581	COME BACK	Regresar	3.6551724137931036	3792
582	LEND	Prestar	2.130434782608696	3470
592	PISS	Orinar	2.6153846153846154	3225
601	LIE (MISLEAD)	Mentir	1.7826086956521738	3060
602	HIDE (CONCEAL)	Esconder	3.576923076923077	2216
653	PLANT (VEGETATION)	Plantar	4.392857142857143	3383
66	KNEEL	Arrodillarse	3.8076923076923075	541
676	SHIT (DEFECATE)	Defecar	3.3846153846153846	1299
680	BREAK (DESTROY OR GET DESTROYED)	Romper	4.1923076923076925	4025
681	DESTROY	Destruir	4.730769230769231	1716
685	DECIDE	Decidir	1.6956521739130435	1282
692	BRING	Traer	4.1923076923076925	4355
694	GET	Obtener	2.0869565217391304	3178
695	GO	Ir	5.5	2850
696	STIR	Revolver	3.259259259259259	4006
700	CARRY	Llevar	4.346153846153846	2949
705	GO UP (ASCEND)	Subir	4.62962962962963	4206
707	REMEMBER	Recordar	1.3478260869565217	3701
708	SHINE	Brillar	1.6956521739130435	742
709	TEACH	Enseñar	3.3461538461538463	2106
713	STEAL	Robar	5.461538461538462	4015
715	SHOUT	Gritar	2.5185185185185186	2566
716	GROAN	Gemir	2.576923076923077	2530
718	PAY	Pagar	2.5384615384615383	3240
719	FIND	Encontrar	1.875	2029
722	ATTACK	Atacar	5.769230769230769	595
724	READ	Leer	2.3043478260869565	2904
733	EARN	Ganar	2.739130434782609	2518
737	LIGHT (IGNITE)	Encender	2.269230769230769	2016
739	FEED	Alimentar	3.6153846153846154	310
741	DRIVE	Conducir	4.037037037037037	1051
748	SOW SEEDS	Sembrar	5.538461538461538	4095
749	ENTER	Entrar	3.6153846153846154	2128
755	DENY	Negar	1.7826086956521738	3148
756	DEPEND	Depender	1.173913043478261	1344
761	COVER	Cubrir	3.2758620689655173	1236
765	MOVE	Mover	5.038461538461538	3125
787	SAIL	Navegar	4.1923076923076925	3146
79	WASTE	Malgastar	3.0384615384615383	2974
8	CURSE	Maldecir	2	2972
813	DO	Hacer	4.5	2585
83	FORBID	Prohibir	1.8846153846153846	3513
845	MURDER	Asesinar	6.461538461538462	568
85	GIVE BACK	Devolver	3.103448275862069	1746
855	SEIZE	Agarrar	3.3333333333333335	220
86	SIEVE	Tamizar	3.9615384615384617	4283
860	CAUSE	Causar	2.3461538461538463	842
879	COUGH	Toser	3.6538461538461537	4347
880	REPEAT	Repetir	2.923076923076923	3886
884	SHARE	Repartir	3.892857142857143	3877
897	SWALLOW	Tragar	2.9642857142857144	4358
9	ANNOUNCE	Anunciar	2.0714285714285716	414
92	SPOIL (SOMEBODY OR SOMETHING)	Mimar	3.3846153846153846	3075
923	LOVE	Querer	1.4782608695652173	3581
928	EMBRACE	Abrazar	3.5	36
93	DRAW MILK	Ordeñar	4.3076923076923075	3218
956	FLEE	Huir	5.962962962962963	2634
96	CRAWL	Gatear	5.115384615384615	2529
976	WEAR	Vestir	4.461538461538462	4507
987	REMAIN	Permanecer	1.6521739130434783	3328
991	FRY	Freír	2.925925925925926	2493
998	PUT	Poner	2.7037037037037037	3404
