CONCEPTICON_ID	CONCEPTICON_GLOSS	ITALIAN	ITALIAN_VALENCE_MEAN	ITALIAN_AROUSAL_MEAN	ITALIAN_DOMINANCE_MEAN	ITALIAN_FAMILIARITY_MEAN	ITALIAN_IMAGEABILITY_MEAN	ITALIAN_CONCRETENESS_MEAN	ITALIAN_HEAD_ACTION_MEAN	ITALIAN_FOOT_LEG_ACTION_MEAN	ITALIAN_HAND_ARM_ACTION_MEAN	ITALIAN_MOUTH_THROAT_ACTION_MEAN	ITALIAN_TORSO_ACTION_MEAN	ITALIAN_INTEROCEPTIVE_MEAN	ITALIAN_GUSTATORY_MEAN	ITALIAN_OLFACTORY_MEAN	ITALIAN_HAPTIC_MEAN	ITALIAN_AUDITORY_MEAN	ITALIAN_VISUAL_MEAN	ITALIAN_PERCEPTUAL_STRENGTH_MAX	ITALIAN_PERCEPTUAL_EXCLUSIVITY	ITALIAN_PERCEPTUAL_DOMINANT	ITALIAN_ACTION_STRENGTH_MAX	ITALIAN_ACTION_EXCLUSIVITY	ITALIAN_ACTION_DOMINANT	ITALIAN_SENSORIMOTOR_STRENGTH_MAX	ITALIAN_SENSORIMOTOR_EXCLUSIVITY	ITALIAN_SENSORIMOTOR_DOMINANT	ITALIAN_POS	LINE_IN_SOURCE
2883	DISTURB	disturbare	3.1944444444444446	6.444444444444445	5.027777777777778	5.75	6.05	4	1.8571428571428572	0.8095238095238095	1.4761904761904763	3.0476190476190474	0.15	3.142857142857143	0.15	0.25	1.7142857142857142	3.9047619047619047	3.4285714285714284	3.9047619047619047	0.2833448514167243	audition	3.0476190476190474	0.3947453778786896	mouth/throat	3.0476190476190474	0.18838848405208458	audition	v	264
2892	MAKE ANGRY (ANNOY)	infastidire	2.4444444444444446	6.527777777777778	4.416666666666667	7.25	6.4	4.75	3.8	1.05	1.85	1.9	0.75	3.95	0.3684210526315789	1.1	2.35	3.05	2.75	3.95	0.2558709645996867	interoception	3.8	0.3262032085561497	head	3.8	0.1562751176943392	interoception	v	422
292	RUG	tappeto	5.606060606060606	4.757575757575758	5.03030303030303	7.05	8.1	7.8	1.3	3.65	2.25	0	0.5	0.65	0	1.1	4.55	0.9	4.368421052631579	4.55	0.38497179693795325	touch	3.65	0.474025974025974	foot/leg	3.65	0.23613766730401525	touch	n	859
2947	DAMAGE (INJURY)	danno	3.121212121212121	5.212121212121212	4	6.2	6.4	5.3	2.142857142857143	1.5714285714285714	1.4761904761904763	1.2857142857142858	1.0952380952380953	2.238095238095238	0.05	0.47619047619047616	1.8095238095238095	1.619047619047619	2.5714285714285716	2.5714285714285716	0.2378330764148866	vision	2.142857142857143	0.1383647798742138	head	2.142857142857143	0.15435067774376912	vision	n	234
2958	LAUGHTER	risata	8.318181818181818	6.409090909090909	6.818181818181818	8.55	8.2	7.15	3.1904761904761907	0.15	0.5714285714285714	4.333333333333333	1.2380952380952381	3.6666666666666665	0	0	0.23809523809523808	4.095238095238095	3.619047619047619	4.095238095238095	0.32452830188679244	audition	4.333333333333333	0.44112478031634433	mouth/throat	4.333333333333333	0.20534807627214258	mouth/throat	n	734
2960	LONGING (WISH)	voglia	7.4375	6.5625	6.65625	7.75	6.25	4.25	3.15	0.85	1	2.6	1	4.4	2.8	1.75	1.55	1.15	2.15	4.4	0.27045221718132595	interoception	3.15	0.26744186046511625	head	3.15	0.15848214285714288	interoception	n	953
2964	NEWS	notizie	6.666666666666667	4.142857142857143	6.523809523809524	8.05	7.3	6.25	3.25	0	0.7	1.55	0.15789473684210525	2	0	0.1	0.3157894736842105	4	3.75	4	0.362488359944582	audition	3.25	0.5744186046511628	head	3.25	0.25278563113254615	audition	n	565
2968	REASON	motivo	6.090909090909091	5.212121212121212	5.484848484848484	6.25	4.4	3.55	2.6666666666666665	0.2	0.15789473684210525	1.85	0.3684210526315789	2.9	0.15	0	0.15789473684210525	1.8	1.25	2.9	0.30123791052158855	interoception	2.6666666666666665	0.47850092019407725	head	2.6666666666666665	0.252154679276943	interoception	n	541
2971	SIN	peccato	3.606060606060606	5.7272727272727275	5.151515151515151	7	6.3	4.45	2.7142857142857144	0	0.9523809523809523	1.5714285714285714	0.7619047619047619	3.142857142857143	0.9523809523809523	0.05	1.1428571428571428	0.5714285714285714	1.3333333333333333	3.142857142857143	0.299931833674165	interoception	2.7142857142857144	0.4523809523809524	head	2.7142857142857144	0.2382241472658365	interoception	n	622
2975	THOUGHT	pensiero	7.03030303030303	6.7272727272727275	6.181818181818182	7.95	6.25	4.9	4.4	0.05263157894736842	0.25	0.8	0.05263157894736842	4.05	0.1	0.15	0.15	0.5263157894736842	0.75	4.05	0.4220788549189641	interoception	4.4	0.7825675035528188	head	4.4	0.38535106134826225	head	n	629
298	SHRIEK	strillo	2.9393939393939394	6.484848484848484	5.181818181818182	7.05	7.6	6.6	3.238095238095238	0	0.38095238095238093	4.9	0.3	1.9047619047619047	0	0	0.05	5	1.4761904761904763	5	0.4320098745114174	audition	4.9	0.5556155507559395	mouth/throat	4.9	0.2898550724637681	audition	n	838
