CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_RT_MEAN	FRENCH_RT_ZSCORE	LINE_IN_SOURCE
2366	ONION	oignon	638.272727272727	-0.276371402274913	24774
2368	GARLIC	ail	686.608695652174	-0.11268055425081	1159
2374	DREAM	songe	627.681818181818	-0.704925825313692	33951
2386	TURKEY	dindon	723.521739130435	-0.250767777068693	11312
239	FLOWER	fleur	587.739130434783	-0.81322913218369	16321
2393	JOURNEY	voyage	580.16	-0.780328836902496	38235
2397	LOBSTER	homard	709.739130434783	-0.166500086529807	18719
24	PRAY	prier	668.416666666667	-0.46769755979917	28138
2401	PICTURE	tableau	600.72	-0.628150620788606	35207
2403	TOY	jouet	572.2	-0.77836892494764	20867
2408	CAKE	gâteau	574.083333333333	-0.886936636146497	17406
2409	BROWN	brun	571.25	-0.927950259602054	4916
241	TREE STUMP	souche	683.4	-0.136298248191917	34050
2410	GOOD-LOOKING	joli	627.2	-0.654527272366459	20829
2412	THANK (SOMBEODY)	remercier	684.541666666667	-0.445399035835301	30714
2427	FUTURE	avenir	609.869565217391	-0.735767534515994	3199
2433	THEORY	théorie	735.25	-0.026380350787311	35802
244	LEFT	gauche	620.952380952381	-0.68140728680009	17414
2440	PINEAPPLE	ananas	677.375	-0.389874240446061	1671
245	BROOM	balai	652.958333333333	-0.402657681361754	3443
2454	SIXTEEN	seize	728.95652173913	-0.0990536579172647	33270
2466	WEIGHT	poids	590.36	-0.741310553744008	27185
2467	GAME	jeu	577.56	-0.876621391849132	20794
2468	BAG	sac	613.52	-0.701830985919557	32649
2469	AGAINST	contre	742.914893617021	0.0922969729318759	8074
2475	MALE GOAT	bouc	643.428571428571	-0.539871972043518	4356
2482	TOGETHER	ensemble	576.291666666667	-0.703487898928615	13766
2483	COLD (OF WEATHER)	frais	591.0	-0.590493895216961	16783
249	FOG	brouillard	595.869565217391	-0.51428981055795	4850
250	LIGHT (COLOR)	clair	696.25	-0.0757849869394521	6573
2506	LOOSE	détaché	649.52380952381	-0.571570248781913	10887
251	SHARPEN (SOMETHING)	aiguiser	795.913043478261	0.23477110975737	1156
2512	CHICK	poussin	711.666666666667	-0.181552674221517	27668
2524	JOY	joie	578.92	-0.660421274908894	20809
