CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	VALENCE_LANGUAGE_OMEGAWIKI_NRCVAD	AROUSAL_LANGUAGE_OMEGAWIKI_NRCVAD	DOMINANCE_LANGUAGE_OMEGAWIKI_NRCVAD	VALENCE_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	AROUSAL_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	DOMINANCE_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	VALENCE_MEAN_OMEGAWIKI_NRCVAD	AROUSAL_MEAN_OMEGAWIKI_NRCVAD	DOMINANCE_MEAN_OMEGAWIKI_NRCVAD	LINE_IN_SOURCE
1143	OVEN	oven	0.429	0.529	0.5	0.429	0.529	0.5	0.429	0.529	0.5	4773
1145	SWAMP	swamp	0.49	0.276	0.379	0.49	0.276	0.379	0.49	0.276	0.379	4751
1148	BRUISE	bruise	0.1585	0.58375	0.50025	0.1585	0.58375	0.50025	0.1585	0.58375	0.50025	4280
1149	ORPHAN	orphan	0.0856666666666667	0.416	0.198666666666667	0.0975	0.409	0.184	0.0975	0.409	0.184	2861
1150	THUNDER	thunder	0.327333333333333	0.888333333333333	0.553	0.327333333333333	0.888333333333333	0.553	0.327333333333333	0.888333333333333	0.553	3025
1153	CATTLE	cattle	0.693333333333333	0.393333333333333	0.494333333333333	0.693333333333333	0.393333333333333	0.494333333333333	0.6755	0.38	0.482	3433
1156	OPEN	open	0.665	0.432	0.611333333333333	0.665	0.432	0.611333333333333	0.665	0.432	0.611333333333333	1923
1157	BECAUSE	because	0.726698254697619	0.555710430062885	0.651953576969862	0.718964518624158	0.570971822161884	0.667633718499856	0.71899141588911	0.570993182854912	0.667658695422294	1077
1160	THIEF	thief	0.05	0.769	0.404	0.05	0.769	0.404	0.05	0.769	0.404	6083
1161	THREAD	thread	0.48	0.33	0.245	0.48	0.33	0.245	0.48	0.33	0.245	1188
1162	INTENTION	intention	0.8	0.534	0.782	0.8	0.534	0.782	0.8	0.534	0.782	4139
1163	BRIBE (AMOUNT)	bribe	0.3955	0.7875	0.556	0.3955	0.7875	0.556	0.3955	0.7875	0.556	4081
1165	MOUSTACHE	moustache	0.49	0.261	0.371	0.49	0.261	0.371	0.49	0.261	0.371	6424
1166	MOULD	mould	0.384193277310924	0.365899159663866	0.357928571428571	0.4073125	0.387375	0.3565625	0.4073125	0.387375	0.3565625	4180
1169	OX	ox	0.281	0.402	0.375	0.281	0.402	0.375	0.281	0.402	0.375	5738
117	IMITATE	imitate	0.5055	0.3075	0.34	0.5055	0.3075	0.34	0.5055	0.3075	0.34	4428
1171	MIRROR	mirror	0.49	0.404	0.322	0.49	0.404	0.322	0.49	0.404	0.322	6521
1172	SHOOT	shoot	0.45	0.685	0.473	0.45	0.685	0.473	0.45	0.685	0.473	5143
1178	NOSTRIL	nostril	0.582	0.27	0.245	0.582	0.27	0.245	0.582	0.27	0.245	6105
1182	NOISE	noise	0.464357142857143	0.389357142857143	0.376	0.44424999998865	0.41687499998197	0.381499999989232	0.44425	0.416875	0.3815	390
1184	DIMINISH	diminish	0.258555555555556	0.443666666666667	0.377166666666667	0.2515	0.4395	0.34925	0.2515	0.4395	0.34925	4297
1187	GOOSE	goose	0.51	0.41	0.353	0.51	0.41	0.353	0.51	0.41	0.353	6119
1188	CHARCOAL	charcoal	0.482	0.3005	0.345	0.482	0.3005	0.345	0.482	0.3005	0.345	3431
1189	ULCER	ulcer	0.3345	0.501825	0.3658125	0.33199999999998	0.491939024390213	0.362545731707295	0.331910714285714	0.49486607142857	0.362758928571428	2944
119	DIVE	dive	0.48025	0.5985	0.562	0.456333333333333	0.606666666666667	0.560333333333333	0.456333333333333	0.606666666666667	0.560333333333333	4507
1190	HARE	jackrabbit	0.685	0.33	0.241	0.685	0.33	0.241	0.685	0.33	0.241	2827
1199	WIFE	wife	0.81375	0.55	0.6255	0.824	0.54	0.616	0.824	0.54	0.616	610
1200	HUSBAND	husband	0.715364754098361	0.380995901639344	0.679995901639344	0.722108910891089	0.379663366336634	0.681623762376238	0.726857142857143	0.385142857142857	0.684821428571429	675
1201	FEATHER	plume	0.591724702380952	0.270953869047619	0.291916666666667	0.608803571428571	0.264267857142857	0.273535714285714	0.60312037037037	0.268546296296296	0.288981481481482	678
1202	BIG	great	0.761929824561403	0.671982456140351	0.779631578947368	0.748952380952381	0.673952380952381	0.778142857142857	0.806928571428571	0.6925	0.7865	787
1203	LONG	long	0.64825	0.47075	0.59625	0.636333333333333	0.457666666666667	0.590333333333333	0.6125	0.4315	0.5785	6699
1205	TONGUE	tongue	0.626375	0.372625	0.62075	0.6095	0.3845	0.593	0.587	0.400333333333333	0.556	4976
