CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	ENGLISH	SPANISH_HAPPINESS_MEAN	SPANISH_ANGER_MEAN	SPANISH_SADNESS_MEAN	SPANISH_FEAR_MEAN	SPANISH_DISGUST_MEAN	LINE_IN_SOURCE
1187	GOOSE	ganso	goose	1.6666666666666667	1.1	1.1333333333333333	1.6666666666666667	1.2666666666666666	996
1190	HARE	liebre	hare	2.4	1.1666666666666667	1.1	1.4333333333333333	1.3	1294
1199	WIFE	esposa	wife	2.8275862068965516	1.2413793103448276	1.4482758620689655	1.4482758620689655	1.1379310344827587	863
1200	HUSBAND	marido	husband	3.033333333333333	1.5666666666666667	1.7666666666666666	1.9666666666666666	1.3	1382
1201	FEATHER	pluma	pen	2.1333333333333333	1.3666666666666667	1.8666666666666667	1.5	1.5333333333333334	1750
1204	BARK	corteza	cortex	1.2666666666666666	1.0333333333333334	1.2333333333333334	1.2	1.2666666666666666	572
1207	YOUNG	joven	young	3.8	1.2333333333333334	1.1666666666666667	1.5666666666666667	1.0333333333333334	1232
1208	CAT	gato	cat	3.3666666666666667	1.1333333333333333	1.2333333333333334	1.5666666666666667	1.3	1002
1217	FATHER	padre	father	3.566666666666667	1.4	1.5666666666666667	1.2666666666666666	1.1	1602
1218	ROPE	cuerda	rope	1.5	1.3333333333333333	1.4	1.4666666666666666	1.2333333333333334	607
1219	WORM	gusano	maggot	1.4	1.5333333333333334	1.5	2.3333333333333335	3.8	1063
122	CART	vagón	wagon	1.5	1.3	1.4666666666666666	1.6	1.3333333333333333	2190
1220	TAIL	cola	tail	1.5	1.6333333333333333	1.4333333333333333	1.1333333333333333	1.2333333333333334	489
1222	PENIS	pene	penis	2.6666666666666665	1.1333333333333333	1.0666666666666667	1.3333333333333333	1.4	1680
1223	HEART	corazón	heart	3.433333333333333	1.4	1.7333333333333334	1.5666666666666667	1.3666666666666667	560
1227	BOARD	tabla	table	1.1666666666666667	1.0666666666666667	1.1	1.2	1.0666666666666667	2064
1228	EARTH (SOIL)	tierra	earth	2.433333333333333	1.2	1.3	1.3	1.2	2108
1230	DIRTY	sucio	dirty	1.0666666666666667	1.8	1.9333333333333333	1.4666666666666666	3.966666666666667	2051
1234	SMOOTH	liso	smooth	1.9666666666666666	1.1333333333333333	1.1666666666666667	1.0666666666666667	1.1666666666666667	1304
124	THORN	espina	thorn	1.0	1.5666666666666667	1.4333333333333333	1.8333333333333333	1.8333333333333333	861
1245	BUTTER	mantequilla	butter	2.1	1.0	1.0	1.0666666666666667	1.3	1368
1246	SMALL	chico	boy	2.8	1.2666666666666666	1.1666666666666667	1.2	1.1333333333333333	442
1250	JAGUAR	tigre	tiger	2.2666666666666666	1.4	1.5	2.966666666666667	1.0	2110
1252	HOUSE	casa	house	3.7666666666666666	1.2333333333333334	1.3333333333333333	1.2333333333333334	1.1666666666666667	394
1254	HANDLE	mango	mango	3.206896551724138	1.103448275862069	1.1379310344827587	1.103448275862069	1.4827586206896552	1358
1262	BROTHER	hermano	brother	4.3	1.4666666666666666	1.4666666666666666	1.1	1.1	1084
1263	SISTER	hermana	sister	3.966666666666667	1.5	1.2	1.1	1.0	1083
1266	BRIDE	novia	bride	3.9	1.5333333333333334	1.6333333333333333	2.1	1.2	1553
1273	CANDLE	vela	candle	2.1379310344827585	1.2413793103448276	1.6896551724137931	1.793103448275862	1.103448275862069	2199
1276	AUTUMN	otoño	autumn	2.2	1.0333333333333334	2.6	1.1	1.2333333333333334	1597
1277	HAND	mano	hand	2.3666666666666667	1.2333333333333334	1.2333333333333334	1.4	1.2666666666666666	1363
1281	PRISON	cárcel	jail	1.1333333333333333	2.6	3.466666666666667	3.466666666666667	2.1	374
1287	COLD	frío	cold	1.3333333333333333	1.3666666666666667	2.6333333333333333	1.5666666666666667	1.3333333333333333	969
1288	CAP	gorro	hat	2.1666666666666665	1.2333333333333334	1.1666666666666667	1.1666666666666667	1.2666666666666666	1033
1289	BABY	criatura	kids	2.6666666666666665	1.3	1.5	2.2	1.6666666666666667	587
129	CHOKE	ahogarse	drown	1.0333333333333334	2.2333333333333334	3.433333333333333	4.566666666666666	1.4666666666666666	68
1290	ELEPHANT	elefante	elephant	2.8333333333333335	1.3666666666666667	1.5333333333333334	1.6	1.1	784
1295	STICK	palo	stick	1.4666666666666666	1.5	1.1333333333333333	1.4	1.2333333333333334	1608
1296	WALKING STICK	bastón	cane	1.4	1.3	2.533333333333333	1.7333333333333334	1.1333333333333333	248
1298	NEWSPAPER	periódico	newspaper	2.2333333333333334	1.7	1.8	1.6333333333333333	1.4333333333333333	1693
13	DECEIT	engaño	deceit	1.0	4.071428571428571	3.9285714285714284	3.1785714285714284	3.2142857142857144	812
1302	FORK	tenedor	fork	1.4333333333333333	1.1333333333333333	1.0	1.3	1.2	2091
1303	FINGER	dedo	finger	1.4	1.1333333333333333	1.1333333333333333	1.1	1.1666666666666667	635
1304	CHILD (YOUNG HUMAN)	niño	child	4.2	1.2333333333333334	1.1333333333333333	1.5333333333333334	1.0666666666666667	1545
1306	QUEEN	reina	queen	2.4482758620689653	1.793103448275862	1.4137931034482758	1.5517241379310345	1.7586206896551724	1894
1308	DOUBT	dudar	doubt	1.3333333333333333	2.1333333333333333	2.7666666666666666	3.2666666666666666	1.6	760
1312	FOX	zorro	fox	1.9333333333333333	1.2	1.2666666666666666	2.6666666666666665	1.1666666666666667	2265
1315	RADIO	radio	radio	2.7666666666666666	1.1333333333333333	1.4	1.1	1.0333333333333334	1855
1320	APPLE	manzana	apple	2.8	1.0666666666666667	1.0333333333333334	1.1	1.1666666666666667	1372
1321	BOTTLE	botella	bottle	1.7	1.3333333333333333	1.6333333333333333	1.4666666666666666	1.3666666666666667	286
1323	CLOCK	reloj	clock	1.9333333333333333	1.7333333333333334	1.9	1.6333333333333333	1.3666666666666667	1898
1325	FRIEND	amigo	friend	4.533333333333333	1.2	1.5333333333333334	1.5666666666666667	1.1333333333333333	109
1327	UNCLE	tío	uncle	2.966666666666667	1.4333333333333333	1.5	1.2333333333333334	1.3	2114
1331	SHEEP	oveja	sheep	2.2666666666666666	1.0333333333333334	1.0666666666666667	1.1666666666666667	1.1333333333333333	1598
1334	GUTS	tripa	gut	1.4333333333333333	1.7333333333333334	1.8	1.8666666666666667	2.1333333333333333	2161
1335	WHITE	blanco	white	2.8666666666666667	1.1666666666666667	1.2333333333333334	1.1666666666666667	1.1	267
1336	EAT	comer	eat	3.7333333333333334	1.1666666666666667	1.2	1.2333333333333334	1.3333333333333333	505
1337	PIG	cerdo	pig	1.5666666666666667	1.1	1.3666666666666667	1.3666666666666667	2.466666666666667	425
1338	PEACE	paz	peace	4.4	1.1333333333333333	1.2	1.2333333333333334	1.0	1657
134	FAULT	culpa	fault	1.0666666666666667	2.6666666666666665	3.4	2.7333333333333334	1.8	613
1343	SUN	sol	sun	4.7	1.0666666666666667	1.2	1.3	1.0	2024
1348	BOAR (MALE PIG)	jabalí	wild boar	1.4666666666666666	1.4333333333333333	1.4333333333333333	3.3666666666666667	1.8333333333333333	1221
1350	MONKEY	mono	cute	2.7	1.1333333333333333	1.2	1.6666666666666667	1.1666666666666667	1474
1352	KNIFE	cuchillo	knife	1.3	2.066666666666667	1.7333333333333334	3.2666666666666666	1.2666666666666666	605
1357	DAUGHTER	hija	daughter	3.7666666666666666	1.3333333333333333	1.5333333333333334	2.2666666666666666	1.1666666666666667	1096
1358	ENEMY	enemigo	enemy	1.2	3.7333333333333334	2.3666666666666667	2.533333333333333	2.8	803
1360	DUCK	pato	duck	2.8	1.0	1.2	1.4333333333333333	1.3666666666666667	1648
1361	TOOL	herramienta	tool	1.8	1.3666666666666667	1.1666666666666667	1.7	1.2333333333333334	1089
1362	STREET	calle	street	2.2	1.0666666666666667	1.1333333333333333	1.9666666666666666	1.3666666666666667	327
1365	KITCHEN	cocina	cuisine	2.3	1.0666666666666667	1.0333333333333334	1.2333333333333334	1.1666666666666667	480
1367	CROSS	cruz	cross	1.2333333333333334	1.2	1.8333333333333333	1.4333333333333333	1.3333333333333333	598
1369	GOLD	oro	gold	3.2	1.2333333333333334	1.3	1.5	1.1	1592
1370	MONTH	mes	month	1.3333333333333333	1.1	1.1333333333333333	1.1333333333333333	1.1	1430
1374	RING	anillo	ring	2.7	1.0666666666666667	1.2666666666666666	1.3	1.2	124
1375	WINDOW	ventana	window	2.433333333333333	1.1	1.5	1.7	1.1	2212
1378	SPOON	cuchara	spoon	1.4666666666666666	1.0333333333333334	1.1333333333333333	1.0333333333333334	1.4333333333333333	604
1379	TELEPHONE	teléfono	phone	2.8	2.0	1.7333333333333334	1.5666666666666667	1.4	2085
138	BATHE	bañera	bathtub	3.0	1.1333333333333333	1.3	1.4333333333333333	1.2	236
1380	TOOTH	diente	tooth	1.6	1.2333333333333334	1.2333333333333334	1.6	1.7666666666666666	711
1381	SHOE	zapato	shoe	2.1666666666666665	1.1	1.1	1.1	1.3	2264
1382	NEEDLE (FOR SEWING)	aguja	needle	1.1333333333333333	1.5	1.3666666666666667	2.1666666666666665	1.6	67
1383	GRANDFATHER	abuelo	grandfather	4.6	1.0666666666666667	2.6	1.2	1.1	16
1386	LION	león	lion	2.8333333333333335	1.9333333333333333	1.1666666666666667	3.1333333333333333	1.0333333333333334	1276
1388	SHADE	sombra	shadow	1.3	1.3333333333333333	1.9	2.3666666666666667	1.1666666666666667	2034
1392	LOUSE	piojo	louse	1.0689655172413792	2.0689655172413794	1.6206896551724137	2.3448275862068964	4.448275862068965	1729
1396	SHARP	agudo	sharp	1.5333333333333334	1.5666666666666667	1.4	1.7333333333333334	1.3666666666666667	65
1402	BREAST	seno	breast	1.7666666666666666	1.1	1.1	1.0666666666666667	1.0666666666666667	1991
1405	NAME	nombre	name	1.3333333333333333	1.1	1.1666666666666667	1.0666666666666667	1.0666666666666667	1548
1406	FAR	lejos	away	1.9	2.3666666666666667	3.7	3.1666666666666665	1.6	1272
1412	RUDE	grosero	crude	1.1	3.4	2.3	2.1	3.3	1048
1422	BE ALIVE	vivir	live	4.466666666666667	1.2333333333333334	1.7333333333333334	2.3333333333333335	1.1	2255
1424	YELLOW	amarillo	yellow	2.066666666666667	1.2	1.0666666666666667	1.1666666666666667	1.1333333333333333	101
1425	GREEN	verde	green	3.2	1.0666666666666667	1.0666666666666667	1.1	1.1666666666666667	2217
1427	BEAUTIFUL	hermoso	beautiful	4.333333333333333	1.1666666666666667	1.2	1.4	1.1333333333333333	1085
1430	STAR	estrella	star	2.8666666666666667	1.0	1.1666666666666667	1.2	1.0	881
1439	SWIM	nadador	swimmer	2.3666666666666667	1.0333333333333334	1.0333333333333334	1.2	1.0	1522
144	MACHINE	máquina	machine	1.3	1.1333333333333333	1.1666666666666667	1.3	1.2	1375
1456	THROW	echar	throw	1.206896551724138	2.0	2.206896551724138	1.9655172413793103	1.6896551724137931	764
146	SUGAR CANE	caña	cane	2.033333333333333	1.2	1.1666666666666667	1.2	1.3	362
1463	DRUNK	borracho	drunk	1.8666666666666667	1.7666666666666666	2.6666666666666665	2.2333333333333334	2.533333333333333	283
1465	BOX	caja	box	1.9333333333333333	1.2	1.3	1.7	1.2666666666666666	320
1467	CIRCLE	círculo	circle	1.6333333333333333	1.3	1.3	1.3	1.2666666666666666	469
1472	KEY	llave	key	2.1666666666666665	1.2333333333333334	1.3	1.5	1.0333333333333334	1310
1473	FIST	puño	fist	1.3103448275862069	3.6551724137931036	2.0	3.0344827586206895	1.9310344827586208	1835
1475	COMB	peine	comb	1.3	1.0	1.0	1.0	1.5	1668
1476	CHAIR	silla	chair	1.8	1.0333333333333334	1.2333333333333334	1.1333333333333333	1.0666666666666667	2009
1480	BODY	cuerpo	body	2.3	1.2333333333333334	1.4	1.3666666666666667	1.2333333333333334	608
1481	HAMMER	martillo	hammer	1.2666666666666666	1.5333333333333334	1.2	1.7	1.0666666666666667	1386
1490	RAT	rata	rat	1.2666666666666666	1.4	1.1333333333333333	2.7333333333333334	3.4	1865
1491	MOUSE	ratón	mouse	1.4666666666666666	1.1666666666666667	1.2	1.9666666666666666	2.3666666666666667	1866
1492	DUMB	tonto	silly	1.2	1.7666666666666666	2.6666666666666665	1.3	1.2	2126
1495	HAPPY	feliz	happy	4.633333333333334	1.0	1.1	1.2	1.0	938
1496	GRANDMOTHER	abuela	grandmother	4.333333333333333	1.1333333333333333	2.3	1.6666666666666667	1.1	15
1499	JUICE	jugo	juice	2.3333333333333335	1.0666666666666667	1.1333333333333333	1.0666666666666667	1.7666666666666666	1240
15	OTTER	nutria	otter	2.8	1.1333333333333333	1.3	1.5333333333333334	1.4666666666666666	1559
1504	FLY (INSECT)	mosca	fly	1.0666666666666667	2.3	1.0666666666666667	1.2333333333333334	2.933333333333333	1488
1507	FRUIT	fruto	fruit	3.0	1.0333333333333334	1.1666666666666667	1.1333333333333333	1.1666666666666667	972
1508	KING	rey	king	1.2333333333333334	2.8	2.0	1.4666666666666666	2.533333333333333	1929
1509	MOSQUITO	mosquito	mosquito	1.1666666666666667	2.6	1.3666666666666667	1.8666666666666667	3.1333333333333333	1489
1510	CHIN	mentón	chin	1.3333333333333333	1.2666666666666666	1.2666666666666666	1.2	1.2666666666666666	1423
1514	HEN	gallina	chicken	1.6	1.3666666666666667	1.3	2.1666666666666665	2.066666666666667	989
1517	WASP	avispa	wasp	1.0333333333333334	2.2666666666666666	1.4666666666666666	4.066666666666666	2.966666666666667	210
1518	STUPID	estúpido	stupid	1.1333333333333333	3.033333333333333	2.566666666666667	1.6666666666666667	2.433333333333333	886
1522	SOCK	calcetín	sock	1.9	1.1333333333333333	1.2	1.1	1.9	321
1524	WINE	vino	wine	3.0	1.2333333333333334	1.4333333333333333	1.3666666666666667	2.033333333333333	2242
1525	COAST	costa	coast	4.333333333333333	1.1333333333333333	1.3666666666666667	1.7333333333333334	1.1	574
1527	TICK	garrapata	tick	1.0666666666666667	1.9	1.6666666666666667	3.033333333333333	4.166666666666667	998
1530	BOWL	cuenco	bowl	1.3	1.1	1.1666666666666667	1.1333333333333333	1.1333333333333333	606
1533	BE HUNGRY	hambriento	hungry	1.2	2.566666666666667	3.1666666666666665	1.9333333333333333	1.2	1073
1534	FEVER	fiebre	fever	1.0	1.8666666666666667	2.933333333333333	2.433333333333333	1.5333333333333334	943
1535	SWORD	espada	sword	1.3	2.933333333333333	2.1666666666666665	3.5	1.5666666666666667	855
1537	SPRINGTIME	primavera	spring	4.0	1.0333333333333334	1.3333333333333333	1.1	1.0	1792
1538	SCORPION	escorpión	scorpion	1.1666666666666667	1.6666666666666667	1.5333333333333334	3.8	3.3	844
1539	BASKET	cesta	basket	2.0	1.0666666666666667	1.1	1.1	1.0666666666666667	430
1543	SNAIL	caracol	snail	1.8333333333333333	1.2	1.1666666666666667	1.2	2.6	372
1548	UGLY	feo	ugly	1.1	1.4333333333333333	2.2666666666666666	1.3	1.7333333333333334	940
1554	MAN	hombre	man	2.566666666666667	1.5666666666666667	1.4666666666666666	1.5333333333333334	1.3	1104
1555	CHAMELEON	camaleón	chameleon	2.7333333333333334	1.0	1.1333333333333333	1.2	1.2	334
1559	MONEY	dinero	money	3.7333333333333334	2.066666666666667	2.1666666666666665	2.066666666666667	2.1	720
156	RED	rojo	red	2.533333333333333	2.066666666666667	1.1333333333333333	1.5	1.0666666666666667	1941
1560	FACE	cara	face	3.033333333333333	1.8333333333333333	1.8333333333333333	1.8666666666666667	1.7666666666666666	371
1562	MIND	mente	mind	3.1	1.5666666666666667	1.6	2.2333333333333334	1.2666666666666666	1421
1564	LAZY	perezoso	lazy	1.5666666666666667	1.7	1.9666666666666666	1.3333333333333333	1.5	1690
1566	GUN	pistola	pistol	1.0	3.0	2.466666666666667	4.1	1.9333333333333333	1736
1567	DOOR	puerta	door	1.4	1.2	1.3333333333333333	1.3666666666666667	1.1666666666666667	1828
1578	IGUANA	iguana	iguana	1.7666666666666666	1.0666666666666667	1.1	1.9666666666666666	2.0	1138
1584	BLISTER	ampolla	blister	1.0	1.9666666666666666	1.8666666666666667	1.6666666666666667	3.4	113
1585	SLEEP	dormir	sleep	3.4	1.0333333333333334	1.3666666666666667	1.1333333333333333	1.0333333333333334	754
1596	LOCK	candado	padlock	1.4666666666666666	1.9	2.033333333333333	2.4	1.2666666666666666	353
1597	AIRPLANE	avión	plane	2.8333333333333335	1.2	1.2666666666666666	2.433333333333333	1.0666666666666667	209
1600	SKIRT	falda	skirt	3.0	1.2	1.2333333333333334	1.5666666666666667	1.2666666666666666	917
1601	WEAK	débil	feeble	1.0666666666666667	2.066666666666667	3.1	2.466666666666667	1.3666666666666667	628
1607	HATE	odiar	hate	1.0333333333333334	4.066666666666666	2.8	2.2666666666666666	2.2	1570
1609	IDEA	idea	idea	3.6666666666666665	1.3	1.3	1.5666666666666667	1.0666666666666667	1131
1610	PROSTITUTE	prostituta	prostitute	1.1333333333333333	1.5666666666666667	3.433333333333333	1.4333333333333333	2.1333333333333333	1816
1612	LETTER	carta	letter	2.566666666666667	1.3666666666666667	1.9666666666666666	1.6666666666666667	1.1	390
1613	COLOR	color	color	3.6333333333333333	1.2666666666666666	1.6333333333333333	1.2666666666666666	1.3	496
1616	CLOTH	tela	fabric	1.7333333333333334	1.1	1.1	1.1666666666666667	1.2333333333333334	2084
1618	GRANDSON	nieto	grandson	4.233333333333333	1.1666666666666667	1.6	1.3666666666666667	1.1	1542
1619	GRANDDAUGHTER	nieta	granddaughter	3.533333333333333	1.2333333333333334	1.6666666666666667	1.5666666666666667	1.0666666666666667	1541
1620	SON	hijo	son	4.433333333333334	1.2333333333333334	1.4333333333333333	2.0	1.3333333333333333	1097
1622	SHIRT	camisa	shirt	2.2	1.0666666666666667	1.1666666666666667	1.0333333333333334	1.0333333333333334	341
1625	DEAD	muerto	dead	1.0	2.2666666666666666	4.533333333333333	3.533333333333333	2.1666666666666665	1502
1627	CHAIN	cadena	chain	1.2333333333333334	2.566666666666667	2.8666666666666667	3.1	1.9	317
1628	SQUIRREL	ardilla	squirrel	3.4	1.0	1.1333333333333333	1.1333333333333333	1.1	148
163	BLACK	negro	black	1.3666666666666667	1.6666666666666667	2.3	2.3333333333333335	1.2	1534
1631	FAST	rápido	quick	2.4	1.6666666666666667	1.5	2.2333333333333334	1.3333333333333333	1859
1633	FLAT	plano	plane	1.4	1.3333333333333333	1.5333333333333334	1.5	1.2333333333333334	1744
1635	OBEY	obedecer	obey	1.3333333333333333	2.3333333333333335	2.3	2.1	2.0	1561
1637	AUTHORITY	autoridad	authority	1.5	2.533333333333333	1.5	2.5	1.9666666666666666	200
1638	TRUTH	verdad	truth	3.933333333333333	1.9	2.1333333333333333	2.8	1.5	2215
1639	BEER	cerveza	beer	3.3333333333333335	1.3666666666666667	1.2666666666666666	1.3	1.9	428
164	KANGAROO	canguro	kangaroo	3.2333333333333334	1.1	1.1333333333333333	1.9666666666666666	1.1666666666666667	357
1641	SILK	seda	silk	2.966666666666667	1.0	1.0666666666666667	1.0	1.0666666666666667	1986
1643	COUSIN	prima	cousin	3.1333333333333333	1.3333333333333333	1.3666666666666667	1.2666666666666666	1.2666666666666666	1791
1646	GIRL	niña	girl	3.3666666666666667	1.3	1.4333333333333333	1.4666666666666666	1.0666666666666667	1544
1651	TEAR (OF EYE)	lágrima	tear	1.9666666666666666	2.5	4.066666666666666	2.066666666666667	1.1333333333333333	1255
1654	LIGHTNING	relámpago	lightning	1.5666666666666667	1.7	1.8	2.933333333333333	1.1333333333333333	1896
1657	TRUE	verdadero	true	3.6	1.4333333333333333	1.7333333333333334	1.8666666666666667	1.3333333333333333	2216
1663	BED	cama	bed	4.566666666666666	1.0666666666666667	1.4	1.2666666666666666	1.1333333333333333	333
1666	MUTE	mudo	mute	1.1333333333333333	1.2333333333333334	3.466666666666667	1.2333333333333334	1.1666666666666667	1498
1671	TOWER	torre	tower	1.1333333333333333	1.0333333333333334	1.0666666666666667	1.3333333333333333	1.0666666666666667	2134
1673	ARM	brazo	arm	1.4666666666666666	1.0666666666666667	1.1	1.1666666666666667	1.0666666666666667	290
1674	POOR	pobre	poor	1.0	1.8666666666666667	4.233333333333333	1.4	1.1666666666666667	1752
1680	HELMET	casco	helmet	1.8	1.2666666666666666	1.1666666666666667	1.8	1.0666666666666667	397
1682	GUILTY	culpable	guilty	1.1	3.4	3.533333333333333	2.7	2.433333333333333	615
1691	FLEXIBLE	flexible	limber	2.6333333333333333	1.1	1.1	1.1666666666666667	1.2333333333333334	949
1720	SIGN	marca	brand	1.7	1.3666666666666667	1.3	1.2	1.5	1378
1728	ROTTEN	podrido	rotten	1.0666666666666667	1.4	1.5	1.5333333333333334	4.466666666666667	1757
1732	SKY	cielo	heaven	4.066666666666666	1.0333333333333334	1.9333333333333333	1.9666666666666666	1.0	458
174	PROUD	orgulloso	proud	3.066666666666667	1.9	1.5333333333333334	1.3333333333333333	1.2666666666666666	1590
1740	PINE	pino	pine	2.5	1.0	1.1666666666666667	1.2	1.0333333333333334	1723
1747	CUSTOM	costumbre	custom	2.7333333333333334	1.5333333333333334	2.1	1.7	1.8	576
1754	BRACELET	pulsera	bracelet	2.466666666666667	1.0333333333333334	1.1	1.0666666666666667	1.2	1832
1756	WIDOW	viuda	widow	1.2333333333333334	1.8666666666666667	4.066666666666666	2.566666666666667	1.4	2253
1757	TIRED	cansado	weary	1.1333333333333333	1.4666666666666666	2.6666666666666665	1.2333333333333334	1.3	358
1768	FOAM	espuma	foam	1.6666666666666667	1.0	1.0666666666666667	1.0666666666666667	1.1333333333333333	865
1773	GRAVE	tumba	tomb	1.0666666666666667	2.1666666666666665	3.933333333333333	3.566666666666667	1.9666666666666666	2173
1775	TABLE	mesa	table	1.8333333333333333	1.2333333333333334	1.2	1.1666666666666667	1.2	1431
1783	PAIN	dolor	pain	1.0333333333333334	2.7666666666666666	3.8333333333333335	3.6333333333333333	1.7666666666666666	752
1788	TELEVISION	televisión	television	2.8666666666666667	2.3333333333333335	2.5	1.8333333333333333	2.2	2087
