CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_EMOTION_POLARITY	FRENCH_JOY_ASSOCIATION	FRENCH_FEAR_ASSOCIATION	FRENCH_SADNESS_ASSOCIATION	FRENCH_ANGER_ASSOCIATION	FRENCH_SURPRISE_ASSOCIATION	FRENCH_DISGUST_ASSOCIATION	LINE_IN_SOURCE
1303	FINGER	doigt	positive	0	0	0	0	0	0	5255
1306	QUEEN	reine	positive	0	0	0	0	0	0	11555
1307	LANGUAGE	langage	positive	0	0	0	0	0	0	8411
1308	DOUBT	douter	negative	0	1	0	0	0	0	5327
1309	ASK (INQUIRE)	interroger	negative	0	1	0	0	0	0	8108
1310	CLEVER	intelligent	positive	0	0	0	0	0	0	8065
1312	FOX	renard	positive	0	0	0	0	0	0	11605
1313	MOON	lune	positive	0	0	0	0	0	0	8670
1314	QUIET	tranquille	positive	0	0	1	0	0	0	13507
1315	RADIO	radio	positive	0	0	0	0	0	0	11245
1316	TENT	tente	positive	0	0	0	0	0	0	13243
1318	CHICKEN	poulet	positive	0	1	0	0	0	0	10683
132	SAUCE	sauce	positive	0	0	0	0	0	0	12177
1320	APPLE	pomme	positive	0	0	0	0	0	0	10574
1321	BOTTLE	bouteille	positive	0	0	0	0	0	0	3016
1322	BREAKFAST	petit déjeuner	positive	0	0	0	0	0	0	10260
1323	CLOCK	horloge	positive	0	0	0	0	0	0	7480
1324	SLIP	glisser	negative	0	0	0	0	0	0	7097
1325	FRIEND	ami	positive	0	0	0	0	0	0	57
1327	UNCLE	oncle	positive	0	0	0	0	0	0	9720
133	WEAVE	tisser	positive	0	0	0	0	0	0	13350
1330	DEFEND	défendre	positive	0	0	0	1	0	0	4766
1331	SHEEP	mouton	positive	0	0	0	0	0	0	9321
1332	NEIGHBOUR	voisin	positive	0	0	0	0	0	0	1578
1333	NECK	cou	positive	0	0	0	0	0	0	4289
1334	GUTS	entrailles	negative	0	0	0	0	0	1	5929
1335	WHITE	blanc	positive	0	0	0	0	0	0	156
1336	EAT	manger	positive	0	0	0	0	0	0	8798
1337	PIG	cochon	negative	0	0	0	0	0	1	3768
1338	PEACE	paix	positive	0	0	0	0	0	0	9874
1339	MORNING	matin	positive	0	0	0	0	0	0	8905
134	FAULT	faute	negative	0	0	1	0	0	1	6536
1343	SUN	soleil	positive	0	0	0	0	1	0	12643
1344	RAM	bélier	negative	0	0	0	1	0	0	2789
1345	EWE	brebis	positive	0	0	0	0	0	0	3053
1346	THROAT	gorge	negative	0	1	0	0	0	1	7133
1347	NAPE (OF NECK)	nuque	positive	0	0	0	0	0	0	9617
1348	BOAR (MALE PIG)	sanglier	negative	0	1	0	0	0	1	12088
1349	CHURCH	église	positive	0	0	0	0	0	0	5536
1350	MONKEY	singe	positive	0	0	0	0	0	0	12589
1351	SOW (FEMALE PIG)	truie	negative	0	0	0	0	0	1	13676
1352	KNIFE	couteau	negative	0	1	0	1	0	0	4362
1353	HOUR	heure	positive	0	0	0	0	0	0	7418
1355	LAUGH	rire	positive	0	0	0	0	1	0	11860
1356	NUMBER	chiffre	positive	0	0	0	0	0	0	3607
1357	DAUGHTER	fille	positive	1	0	0	0	0	0	6637
1358	ENEMY	ennemi	negative	0	1	1	1	0	1	542
1359	SEPARATE	séparer	negative	0	1	1	1	0	1	12491
1360	DUCK	canard	positive	0	0	0	0	0	0	3244
1362	STREET	rue	positive	0	0	0	0	0	0	11952
1363	VOICE	voix	positive	0	0	0	0	0	0	14030
1365	KITCHEN	cuisine	positive	0	0	0	0	0	0	4499
1366	BOY	garçon	positive	0	0	0	0	0	1	6968
1367	CROSS	croix	positive	0	1	1	1	0	0	4465
1368	BREAD	pain	positive	0	0	0	0	0	0	9870
1371	KNEE	genou	positive	0	0	0	0	0	0	7045
1372	MEDICINE	médicament	negative	0	0	0	0	0	0	8950
1373	TEA	thé	positive	0	0	0	0	0	0	13299
1374	RING	bague	positive	0	0	0	0	0	0	2648
1375	WINDOW	fenêtre	positive	0	0	0	0	0	0	6571
1378	SPOON	cuillère	positive	0	0	0	0	0	0	4490
1379	TELEPHONE	téléphone	positive	0	0	0	0	0	0	13200
138	BATHE	se baigner	positive	0	0	0	0	0	0	12251
1380	TOOTH	dent	negative	0	1	0	0	0	0	4880
1381	SHOE	chaussure	positive	0	0	0	0	0	0	3563
1382	NEEDLE (FOR SEWING)	aiguille	negative	0	1	0	0	0	0	1923
1385	PEPPER	poivre	negative	0	0	0	0	0	0	10551
1386	LION	lion	positive	0	1	0	0	0	0	8560
1387	ARRIVE	arriver	positive	0	0	0	0	0	0	2326
1388	SHADE	ombre	positive	0	0	0	0	0	0	9709
1389	TOE	orteil	negative	0	0	0	0	0	1	9805
1390	WRONG	incorrect	negative	0	0	0	0	0	0	7791
1391	TOWN	ville	positive	0	0	0	0	0	0	13965
1392	LOUSE	pou	negative	0	1	0	0	0	1	10673
1393	HORN (ANATOMY)	corne	negative	0	1	0	0	0	0	4240
1394	BONE	os	negative	0	0	0	0	0	0	9811
1395	ROUND	rond	positive	0	0	0	0	0	0	11895
1396	SHARP	tranchant	negative	0	1	1	1	0	1	13504
1398	DRY	sec	negative	0	1	0	1	1	0	12410
1399	CLAY	argile	positive	0	0	0	0	0	0	2286
14	YOKE	joug	positive	0	0	0	0	0	0	8289
1400	THIN (SLIM)	mince	negative	0	1	1	0	0	0	984
1401	DRINK	boire	positive	0	0	0	0	0	0	2918
1402	BREAST	sein	positive	0	0	0	0	0	0	12452
1403	BITE	mordre	negative	0	0	0	1	0	0	9270
1404	STRAIGHT	droit	positive	0	0	0	0	0	0	5352
1405	NAME	nom	positive	0	0	0	0	0	0	9503
1407	BREATHE	respirer	positive	0	0	0	0	0	0	11734
1408	HEAR	entendre	positive	0	0	0	0	0	0	5914
1410	KNOW (SOMETHING)	savoir	positive	0	0	0	0	0	0	12028
1412	RUDE	grossier	negative	0	0	0	0	0	1	717
1413	PLAY	jouer	positive	1	0	0	0	0	0	8282
1414	SQUEEZE	presser	negative	0	1	0	0	0	0	10811
1417	KILL	tuer	negative	0	1	1	1	0	0	13681
1418	DIG	creuser	negative	0	0	0	0	0	0	4427
1419	FEAR (BE AFRAID)	craindre	negative	0	1	0	0	0	0	4383
1420	COUNT	compter	positive	0	0	0	0	0	0	3960
1421	SUCK	sucer	negative	0	0	0	0	0	0	12943
1422	BE ALIVE	vivant	positive	0	0	0	0	0	0	14015
1423	FIGHT	se battre	negative	0	1	0	1	0	0	12255
1424	YELLOW	jaune	positive	0	0	0	0	0	0	8247
1425	GREEN	vert	positive	0	0	0	0	0	0	13902
1426	EXPENSIVE	cher	negative	0	0	1	0	0	0	3584
1427	BEAUTIFUL	beau	positive	0	0	0	0	0	0	141
1429	FULL	plein	positive	0	0	0	0	0	0	10474
1430	STAR	étoile	positive	0	0	0	0	0	0	6159
1431	FREEZE	geler	negative	0	0	1	0	0	0	7019
1432	CUT	couper	negative	0	1	0	1	0	0	4326
1434	STAB	poignarder	negative	0	1	1	1	1	0	10531
1435	HUNT	chasser	negative	0	1	0	1	0	0	3534
1436	SCRATCH	gratter	negative	0	1	1	1	1	0	7205
1437	SPLIT	fendre	negative	0	1	0	1	0	0	6570
1439	SWIM	nager	positive	0	0	0	0	0	0	9385
144	MACHINE	machine	positive	0	0	0	0	0	0	8695
1440	SPIT	cracher	negative	0	0	0	0	0	1	4379
1441	FLY (MOVE THROUGH AIR)	voler	negative	0	1	1	1	1	0	14041
1442	STAND	se tenir debout	positive	0	0	0	0	0	0	12400
1443	WALK	marcher	positive	0	0	0	0	0	0	8839
1447	GIVE	donner	positive	0	0	0	0	0	0	5281
1448	HOLD	tenir	positive	0	0	0	0	0	0	13233
1449	RUB	frotter	negative	0	0	0	0	0	0	6895
1450	ROOM	chambre	positive	0	0	0	0	0	0	3470
1451	SMILE	sourire	positive	1	0	0	0	0	0	12748
1452	PUSH	pousser	negative	0	1	0	0	1	0	10707
1453	WASH	laver	positive	0	0	0	0	0	0	8442
1454	WIPE	essuyer	positive	0	0	0	0	0	0	6107
1455	PULL	tirer	positive	0	1	1	1	1	0	1499
1456	THROW	jeter	negative	0	1	0	1	0	0	862
1457	SEW	coudre	positive	0	0	0	0	0	0	4298
1463	DRUNK	ivre	negative	0	0	0	0	0	1	8209
1464	LADDER	échelle	positive	0	0	0	0	0	0	5432
1465	BOX	boîte	positive	0	0	0	0	0	0	2926
1467	CIRCLE	cercle	positive	0	0	0	0	0	0	3432
1468	LOOK FOR	chercher	positive	0	0	0	0	0	0	3581
1469	WEEK	semaine	positive	0	0	0	0	0	0	12459
1470	FOLD	plier	negative	0	0	1	0	0	0	10492
1471	WINTER	hiver	negative	0	0	1	0	0	0	7442
1472	KEY	clef	positive	0	0	0	0	0	0	243
1473	FIST	poing	positive	0	0	0	0	0	0	10533
1474	SEA	mer	positive	0	0	0	0	0	0	9015
1475	COMB	peigne	positive	0	0	0	0	0	0	10109
1476	CHAIR	chaise	positive	0	0	0	0	0	0	3459
1477	KEEP	garder	positive	0	0	0	0	0	0	6976
1479	DOLPHIN	dauphin	positive	0	0	0	0	1	0	4564
148	ITCH	démangeaison	negative	0	0	0	1	1	0	4839
1481	HAMMER	marteau	negative	0	1	0	1	0	0	8868
1482	SHOULDER	épaule	positive	0	0	0	0	0	0	5987
1483	NINE	neuf	positive	0	0	0	0	0	0	9472
1484	OIL (ORGANIC SUBSTANCE)	huile	negative	0	0	0	0	0	1	7504
1485	BELOW OR UNDER	en dessous	negative	0	0	0	0	0	0	5712
1487	POUR	verser	positive	0	0	0	0	0	0	13896
1488	FAUCET	robinet	positive	0	0	0	0	0	0	11881
1489	CLOUD	nuage	negative	0	0	1	0	0	0	9601
1490	RAT	rat	negative	0	1	0	0	0	1	11317
1491	MOUSE	souris	negative	0	1	0	0	0	0	12752
1494	DIE	mourir	negative	0	0	1	0	0	1	9279
1495	HAPPY	heureux	positive	1	0	0	0	0	0	736
1499	JUICE	jus	positive	0	0	0	0	0	0	8319
150	WORRY	inquiéter	negative	0	1	1	0	1	0	7992
1502	GOAT	chèvre	positive	0	0	0	0	0	0	3595
1503	SALIVA	salive	positive	0	0	0	0	0	1	12060
1504	FLY (INSECT)	mouche	positive	0	0	0	0	0	0	9298
1505	SPERM	sperme	positive	0	0	0	0	0	1	12808
1506	MEASURE	mesurer	positive	0	0	0	0	0	0	9034
1507	FRUIT	fruit	positive	0	0	0	0	0	0	6900
1508	KING	roi	positive	0	0	0	0	0	0	11890
1509	MOSQUITO	moustique	negative	0	1	0	1	0	1	9319
151	RAZOR	rasoir	negative	0	1	0	0	0	0	11310
1511	ROOSTER	coq	negative	0	1	0	0	0	0	4229
1514	HEN	poule	positive	0	0	0	0	0	0	10681
