CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SINGAPORE_ENGLISH_FREQUENCY	SINGAPORE_ENGLISH_FREQUENCY_ZIPF	SINGAPORE_ENGLISH_CD	SINGAPORE_ENGLISH_CD_PERCENTAGE	LINE_IN_SOURCE
1113	WRAP	wrap	380	4.08530612069941	276	0.0146085851902821	55829
1114	BULLET	bullet	104	3.52557044409373	78	0.00412851320594929	6403
1115	SPEECH	speech	505	4.20853166186359	278	0.0147144445032552	46816
1117	LIKE	like	583983	7.27078209349424	18299	0.968559784047002	28237
1119	DIVIDE	divide	533	4.23192240205235	403	0.0213306515640713	13729
112	TURTLE	turtle	105	3.52968701028856	68	0.003599216641084	52026
1120	HONEST	honest	1899	4.78313474597662	958	0.0507066109140952	22281
1121	SECRET	secret	392	4.09877369539922	277	0.0146615148467686	43818
1122	WAGES	wages	36	3.07258286909079	29	0.00153496003810935	54560
1123	PREGNANT	pregnant	600	4.28325561702653	387	0.0204837770602869	38134
1124	PIPE	pipe	84	3.43380007073808	60	0.00317577938919176	36939
1125	BALD	bald	61	3.29677283452205	49	0.00259355316783994	3799
1127	SEND	send	7896	5.40184328303686	4317	0.228497327052347	44067
1128	ORDER	order	13283	5.62771001195014	4953	0.26216058857778	34400
1129	PAINFUL	painful	502	4.20594913007972	345	0.0182607314878526	35188
113	SHORE	shore	464	4.17183409791375	244	0.0129148361827132	44953
1132	BEAM	beam	20	2.82660043975771	15	0.000793944847297941	4269
1133	MATCH	match	1109	4.54970412381045	641	0.0339279098078654	29911
1134	DIVORCE	divorce	850	4.43431070510838	349	0.0184724501137988	13748
1135	KICK	kick	522	4.22288283389107	365	0.0193193246175832	26649
1136	RABBIT	rabbit	441	4.14980341437288	166	0.00878632297676388	39590
1137	TENDON	tendon	14	2.68047240407947	8	0.000423437251892235	49880
1138	FAIRY	fairy	160	3.71120702105564	90	0.00476366908378765	16951
1139	LEOPARD	leopard	28	2.96677914292275	17	0.000899804160271	27973
1140	FATIGUE	fatigue	15	2.70850112767972	14	0.000741015190811412	17212
1141	PITY	pity	177	3.75480114733269	137	0.00725136293865453	37008
1142	URINE	urine	88	3.4537711516687	45	0.00238183454189382	53475
1143	OVEN	oven	185	3.77389408924171	108	0.00571640290054518	34748
1144	WITNESS	witness	325	4.01759874509173	232	0.0122796803048748	55590
1145	SWAMP	swamp	12	2.61832449733063	9	0.000476366908378765	48856
1146	AUBERGINE	eggplant	14	2.68047240407947	11	0.000582226221351823	14943
1147	PURE	pure	367	4.07022896369731	260	0.0137617106864976	39191
1148	BRUISE	bruise	28	2.96677914292275	23	0.00121738209919018	6211
1149	ORPHAN	orphan	65	3.32392508056566	44	0.00232890488540729	34493
1150	THUNDER	thunder	50	3.21195132112173	28	0.00148203038162282	50570
1151	VEIL	veil	42	3.13784960060338	27	0.00142910072513629	53902
1153	CATTLE	cattle	5	2.28253239540744	4	0.000211718625946118	7457
1154	OLIVE	olive	145	3.66873400080823	83	0.00439316148838194	34085
1155	CAVE	cave	69	3.34947918503805	51	0.002699412480813	7492
1156	OPEN	open	8060	5.41077006617662	3701	0.195892658656645	34271
1157	BECAUSE	because	122079	6.5910256656346	16021	0.847986026570688	4336
1158	STEP	step	2066	4.81972162165108	1288	0.0681733975546499	47584
1159	FART	fart	116	3.57256700676995	53	0.00280527179378606	17148
1160	THIEF	thief	94	3.48210475031264	60	0.00317577938919176	50352
1161	THREAD	thread	54	3.24474383451804	40	0.00211718625946118	50485
1162	INTENTION	intention	410	4.11822296689986	326	0.0172550680146086	24372
1163	BRIBE (AMOUNT)	bribe	14	2.68047240407947	13	0.000688085534324882	6019
1165	MOUSTACHE	moustache	34	3.04844918937407	27	0.00142910072513629	31880
1166	MOULD	mould	24	2.90232115369583	22	0.00116445244270365	31847
1169	OX	ox	11	2.58356239107142	8	0.000423437251892235	35017
117	IMITATE	imitate	26	2.93574490918278	15	0.000793944847297941	23300
1171	MIRROR	mirror	317	4.00680826500822	175	0.00926268988514265	31094
1172	SHOOT	shoot	963	4.48845817892662	443	0.0234478378235325	44917
1173	EYEBROW	eyebrow	91	3.46816897236935	60	0.00317577938919176	16784
1174	YESTERDAY	yesterday	1812	4.7627789491193	926	0.0490128619065262	56194
1175	GHOST	ghost	708	4.35502738020686	300	0.0158788969459588	19572
1176	SPADE	spade	201	3.80973251447042	89	0.00471073942730112	46656
1177	DIARRHEA	diarrhea	63	3.31056111900768	47	0.00248769385486688	12959
1178	NOSTRIL	nostril	3	2.10644113635175	2	0.000105859312973059	33472
1182	NOISE	noise	389	4.09544575205029	279	0.0147673741597417	33331
1183	PALM OF HAND	palm	89	3.45862365446312	56	0.00296406076324565	35271
1184	DIMINISH	diminish	13	2.65050918070203	13	0.000688085534324882	13140
1185	VULTURE	vulture	2	1.98150239974345	2	0.000105859312973059	54529
1187	GOOSE	goose	55	3.25256917202999	30	0.00158788969459588	20027
1188	CHARCOAL	charcoal	60	3.28971098003456	39	0.00206425660297465	7890
1189	ULCER	ulcer	21	2.846803825846	12	0.000635155877838353	52361
119	DIVE	dive	259	3.91935449299461	148	0.00783358916000635	13701
1190	HARE	hare	10	2.54577383018202	6	0.000317577938919176	21229
1192	THREATEN	threaten	61	3.29677283452205	51	0.002699412480813	50495
1193	STEAM	steam	277	3.94842594094187	159	0.00841581538135817	47537
1194	BEAVER	beaver	4	2.20335114935981	3	0.000158788969459588	4327
1197	BABOON	baboon	2	1.98150239974345	1	0.0000529296564865294	3570
1198	MANY	many	20331	5.81256124605446	7802	0.412957179907902	29609
1199	WIFE	wife	5058	5.20844582443236	1940	0.102683533583867	55369
12	MIDDAY	noon	90	3.46342253734489	78	0.00412851320594929	33398
120	PITCHER	pitcher	3	2.10644113635175	3	0.000158788969459588	36990
1200	HUSBAND	husband	3704	5.07316935733914	1617	0.085587254538718	22781
1201	FEATHER	feather	39	3.10644113635175	22	0.00116445244270365	17320
1202	BIG	big	10549	5.5276336046575	4410	0.233419785105595	4863
1203	LONG	long	20815	5.8227784242413	8401	0.444662044143333	28680
1204	BARK	bark	70	3.35563949374287	47	0.00248769385486688	4035
1205	TONGUE	tongue	782	4.39814290708174	301	0.0159318266024454	51023
1207	YOUNG	young	6943	5.34599085719223	3200	0.169374900756894	56316
1208	CAT	cat	1521	4.68679579745835	520	0.0275234213729953	7373
1209	I	i	1170673	7.57281711805319	18886	0.999629492404594	22955
121	SPIN	spin	124	3.60129115803185	72	0.00381093526703012	46912
1210	HEAVY	heavy	920	4.46864077522064	696	0.0368390409146245	21635
1211	HE	he	77739	6.39502568131904	7394	0.391361880061398	21494
1212	WE	we	230699	6.86742873954489	16390	0.867517069814217	54917
1213	YOU	you	943841	7.4792804441193	18856	0.998041602709998	56307
1214	THIS	this	183261	6.76745356688077	18228	0.964801778436458	50422
1215	THOU	thou	4	2.20335114935981	4	0.000211718625946118	50457
1216	MOTHER	mother	4932	5.19749226048593	1909	0.101042714232785	31793
1217	FATHER	father	3555	5.05534289732197	1526	0.0807706557984439	17205
1218	ROPE	rope	94	3.48210475031264	59	0.00312284973270523	42304
1219	WORM	worm	98	3.50001633962134	55	0.00291113110675912	55758
122	CART	wagon	4	2.20335114935981	4	0.000211718625946118	54564
1220	TAIL	tail	311	3.99853573904223	181	0.00958026782406182	49217
1221	NOSE	nose	438	4.14684566526591	262	0.0138675699994707	33464
1222	PENIS	penis	14	2.68047240407947	8	0.000423437251892235	36163
1223	HEART	heart	1975	4.8001680852754	1115	0.0590165669824803	21573
1224	LIVER	liver	141	3.65666948940685	66	0.00349335732811094	28473
1225	DAY (NOT NIGHT)	day	29230	5.97022481796088	10635	0.56290689673424	11822
1226	YEAR	year	19976	5.804911414636	7726	0.408934526014926	56135
1227	BOARD	board	2273	4.86117160537551	1308	0.0692319906843805	5385
1228	EARTH (SOIL)	earth	757	4.38405035065585	420	0.0222304557243423	14660
1229	OLD	old	11709	5.57293804009616	4892	0.258931879532102	34059
123	FOREHEAD	forehead	81	3.41819499740751	61	0.00322870904567829	18312
1230	DIRTY	dirty	716	4.35990030069159	456	0.0241359233578574	13241
1231	NEW	new	17937	5.75815516470267	6827	0.361350764833536	33010
1232	WARM	warm	554	4.24867412814647	384	0.0203249880908273	54746
1233	NIGHT	night	6697	5.33032628822764	3085	0.163287990260943	33144
