CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_OCCURRENCES_TOTAL	ENGLISH_OCCURRENCES_NUM	ENGLISH_AOA_MEAN	ENGLISH_DUNNO	LINE_IN_SOURCE
1189	ULCER	ulcer	19	19	12.68	1	28503
119	DIVE	dive	19	19	7.21	1	8059
1190	HARE	hare	19	18	6.78	0.9473684210526315	12458
1192	THREATEN	threaten	20	20	8.95	1	27556
1193	STEAM	steam	19	19	6.26	1	25998
1194	BEAVER	beaver	19	19	5.21	1	2293
1197	BABOON	baboon	18	18	9.11	1	1851
1198	MANY	many	21	21	4.601853000000001	1	16506
1199	WIFE	wife	18	18	5.67	1	30643
12	MIDDAY	noon	19	19	5.89	1	18398
120	PITCHER	pitcher	19	19	6.42	1	20411
1200	HUSBAND	husband	19	19	5.53	1	13297
1201	FEATHER	feather	18	18	4.67	1	10069
1202	BIG	big	18	18	2.89	1	2544
1203	LONG	long	21	21	4.239515000000001	1	16027
1204	BARK	bark	18	18	5.17	1	2112
1205	TONGUE	tongue	19	19	4.47	1	27821
1207	YOUNG	young	18	18	4.61	1	31053
1208	CAT	cat	22	22	3.68	1	4106
1209	I	I	22	22	2.7901629999999997	1	13443
121	SPIN	spin	20	20	5	1	25655
1210	HEAVY	heavy	19	19	4.05	1	12649
1211	HE	he	22	22	3.813235	1	12551
1212	WE	we	20	20	5.0387900000000005	1	30383
1213	YOU	you	20	20	4.346085	1	31052
1214	THIS	this	20	20	4.93222	1	27525
1216	MOTHER	mother	19	19	2.63	1	17600
1217	FATHER	father	19	19	4.11	1	10024
1218	ROPE	rope	18	18	5.44	1	23449
1219	WORM	worm	19	19	3.89	1	30903
122	CART	wagon	18	18	5.22	1	30197
1220	TAIL	tail	20	20	3.7	1	27024
1221	NOSE	nose	20	20	2.95	1	18426
1222	PENIS	penis	19	19	8.53	1	19870
1223	HEART	heart	18	18	5.17	1	12613
1224	LIVER	liver	18	18	8.56	1	15922
1225	DAY (NOT NIGHT)	day	18	18	3.5	1	6789
1226	YEAR	year	21	21	5.24	1	31014
1227	BOARD	board	19	19	6.37	1	2906
1228	EARTH (SOIL)	earth	19	19	5.37	1	8597
1229	OLD	old	18	18	3.72	1	18755
123	FOREHEAD	forehead	19	19	5.58	1	10780
1230	DIRTY	dirty	20	20	4.55	1	7689
1231	NEW	new	18	18	4.72	1	18138
1232	WARM	warm	20	20	4.65	1	30272
1233	NIGHT	night	18	18	3.61	1	18195
1234	SMOOTH	smooth	18	18	5.61	1	25168
1235	WHO	who	22	22	3.813235	1	30595
1236	WHAT	what	22	22	3.855863	1	30500
1237	WHERE	where	21	21	4.090317000000001	1	30522
1238	WHEN	when	21	21	4.239515000000001	1	30519
1239	HOW	how	20	20	5.3585	1	13194
124	THORN	thorn	21	21	5.965949000000001	1	27532
1240	NOT	not	21	21	3.8878340000000002	1	18437
1241	SOME	some	21	21	4.846964	1	25384
1242	FEW	few	20	20	5.997920000000001	1	10200
1243	WIDE	wide	19	19	5.84	1	30628
1244	THICK	thick	18	18	5.61	1	27498
1245	BUTTER	butter	18	18	5.78	1	3634
1246	SMALL	small	18	18	3.22	1	25124
1247	EAR	ear	19	19	3.63	1	8575
1248	EYE	eye	20	20	3.75	1	9825
125	SWEAT (SUBSTANCE)	sweat	19	19	7.26	1	26843
1250	JAGUAR	jaguar	19	18	7.78	0.9473684210526315	14831
1251	BELLY	belly	19	19	4.05	1	2405
1252	HOUSE	house	19	19	3.16	1	13161
1254	HANDLE	handle	20	20	6.3	1	12378
1256	HEAD	head	19	19	3.42	1	12552
1257	WING	wing	19	19	4.79	1	30718
1258	FINGERNAIL	fingernail	20	20	4	1	10308
1259	WEDDING	wedding	19	19	6	1	30421
126	SWEAT (PERSPIRE)	perspire	19	19	12.26	1	20059
1261	SING	sing	19	19	3.47	1	24862
1262	BROTHER	brother	19	19	3.63	1	3394
1263	SISTER	sister	19	19	3.68	1	24890
1264	CHANGE	change	19	19	4.26	1	4360
1265	HIGH	high	19	19	4.58	1	12838
1266	BRIDE	bride	20	20	5.1	1	3303
1267	NARROW	narrow	21	21	7.57	1	17925
1268	YES	yes	21	21	2.310598	1	31032
1269	NO	no	21	21	2.715564	1	18248
127	EXTINGUISH	extinguish	19	19	8.95	1	9779
1270	WHY	why	20	20	3.9730900000000005	1	30620
1271	DELIGHT	please	21	21	3.4828680000000003	1	20535
1272	AUNT	aunt	20	20	3.8	1	1700
1273	CANDLE	candle	19	19	5.37	1	3831
1274	SALT	salt	19	19	5.05	1	23701
1275	ANSWER	answer	21	21	5.43	1	1060
1276	AUTUMN	autumn	19	19	6	1	1768
1277	HAND	hand	19	19	2.74	1	12353
1278	VOMIT	vomit	19	19	5.68	1	30152
1279	FAT (OBESE)	fatness	18	18	8.61	1	10034
128	MUMBLE	mumble	20	20	7.15	1	17756
1280	FALL	fall	21	21	4.71	1	9919
1281	PRISON	prison	18	18	7.5	1	21265
1282	FAT (FROM ANIMALS)	lard	19	19	9.74	1	15421
1283	TODAY	today	20	20	4.772365000000001	1	27764
1284	BANK	bank	18	18	6.44	1	2051
1285	IMPORTANT	important	19	19	5.79	1	13720
1286	HOT	hot	19	19	3.37	1	13141
1287	COLD	cold	20	20	3.95	1	5120
1288	CAP	cap	19	19	5.53	1	3883
1289	BABY	baby	19	19	3.84	1	1853
129	CHOKE	choke	19	19	6.11	1	4611
1290	ELEPHANT	elephant	20	20	4.8	1	8830
1291	BACK	back	20	20	5.3052150000000005	1	1868
1292	BAD	bad	19	19	2.79	1	1936
1293	MISTAKE	mistake	18	18	5.78	1	17310
1294	ZERO	zero	20	20	5.3052150000000005	1	31088
1295	STICK	stick	18	18	3.89	1	26082
1296	WALKING STICK	staff	19	19	10	1	25862
1297	LEG	leg	18	18	3	1	15589
1298	NEWSPAPER	newspaper	18	18	5.78	1	18160
1299	COFFEE	coffee	18	18	4.94	1	5076
13	DECEIT	deceit	19	19	10.95	1	6882
1300	COUNTRY	country	19	19	7.05	1	6121
1301	FOOT	foot	18	18	3.44	1	10704
1302	FORK	fork	19	19	3.63	1	10841
1303	FINGER	finger	21	21	3.43	1	10306
1304	CHILD (YOUNG HUMAN)	kids	22	22	3.861149	1	15138
1305	CHIMNEY	chimney	19	19	6.58	1	4559
1306	QUEEN	queen	19	19	4.42	1	21895
1307	LANGUAGE	language	19	19	6.79	1	15397
1308	DOUBT	doubt	19	19	8.79	1	8248
1309	ASK (INQUIRE)	ask	19	19	2.89	1	1496
131	FESTIVAL	festival	18	18	8.39	1	10170
1310	CLEVER	clever	18	18	7.5	1	4873
1311	VERY	very	21	21	4.900249000000001	1	29927
1312	FOX	fox	22	22	5.017476	1	10919
1313	MOON	moon	18	18	4.83	1	17517
1314	QUIET	quiet	20	20	4.15	1	21923
1315	RADIO	radio	18	18	5.17	1	22010
1316	TENT	tent	19	19	5.16	1	27347
1318	CHICKEN	chicken	19	19	3.26	1	4529
1319	COWARD	coward	21	21	7.62	1	6174
132	SAUCE	sauce	19	19	5.37	1	23817
1320	APPLE	apple	20	20	4.15	1	1246
1321	BOTTLE	bottle	18	18	3.56	1	3107
1322	BREAKFAST	breakfast	19	19	3.47	1	3255
1323	CLOCK	clock	19	19	4.42	1	4914
1324	SLIP	slip	18	18	6.17	1	25060
1325	FRIEND	friend	21	21	3.57	1	11029
1326	DOWN	down	20	20	4.93222	1	8266
1327	UNCLE	uncle	19	19	4.47	1	28673
1329	TOMORROW	tomorrow	20	19	5.187988000000001	0.95	27811
133	WEAVE	weave	18	18	9.89	1	30408
1330	DEFEND	defend	19	19	8.16	1	6988
1331	SHEEP	sheep	20	20	4.25	1	24529
1332	NEIGHBOUR	neighbor	18	18	5.06	1	18048
1333	NECK	neck	19	19	3	1	18001
1334	GUTS	guts	20	20	6.957050000000001	1	12226
1335	WHITE	white	18	18	4.06	1	30578
1336	EAT	eat	18	18	2.78	1	8623
1337	PIG	pig	19	19	3.84	1	20296
1338	PEACE	peace	19	19	6.32	1	19756
1339	MORNING	morning	19	19	4	1	17565
134	FAULT	fault	18	18	6.94	1	10043
1340	WITH	with	21	21	4.441998	1	30773
1342	SUMMER	summer	18	18	4.33	1	26599
1343	SUN	sun	20	20	3.4	1	26610
1344	RAM	ram	19	19	8.32	1	22077
1345	EWE	ewe	18	16	9.31	0.8888888888888888	9509
1346	THROAT	throat	1929	1929	5.09	1	27575
1347	NAPE (OF NECK)	nape	19	19	10.53	1	17906
1348	BOAR (MALE PIG)	boar	19	18	9.83	0.9473684210526315	2905
