CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_FEMALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_MALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_FEMALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_MALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_5YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_FEMALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_MALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_FEMALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_MALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_FEMALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_MALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_7YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_FEMALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_MALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_FEMALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_MALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_FEMALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_MALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_9YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_FEMALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_MALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_ADULT	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_ADULT	FRENCH_VALENCE_PERCENTAGE_POSITIVE_ADULT	LINE_IN_SOURCE
585	BOOT	botte										17.24137931034483	6.666666666666667	28.57142857142857	34.48275862068966	26.666666666666668	42.857142857142854	48.275862068965516	66.66666666666666	28.57142857142857	8.823529411764707	4.545454545454546	16.666666666666664	50.0	40.909090909090914	66.66666666666666	41.17647058823529	54.54545454545454	16.666666666666664				66
586	GARDEN	jardin										6.25	5.0	8.333333333333332	12.5	15.0	8.333333333333332	81.25	80.0	83.33333333333334	5.555555555555555	9.523809523809524	0.0	8.333333333333332	9.523809523809524	6.666666666666667	86.11111111111111	80.95238095238095	93.33333333333333				308
587	ANT	fourmi	33.33333333333333	45.83333333333333	16.666666666666664	23.809523809523807	29.166666666666668	16.666666666666664	42.857142857142854	25.0	66.66666666666666	19.444444444444446	33.33333333333333	0.0	41.66666666666667	52.38095238095239	28.57142857142857	38.88888888888889	14.285714285714285	71.42857142857143	32.432432432432435	42.857142857142854	26.08695652173913	29.72972972972973	35.714285714285715	26.08695652173913	37.83783783783784	21.428571428571427	47.82608695652174				261
593	POTATO	pomme de terre	18.6046511627907	20.0	17.391304347826086	23.25581395348837	20.0	26.08695652173913	58.139534883720934	60.0	56.52173913043478	6.896551724137931	6.666666666666667	7.142857142857142	13.793103448275861	6.666666666666667	21.428571428571427	79.3103448275862	86.66666666666667	71.42857142857143	6.451612903225806	7.142857142857142	5.88235294117647	35.483870967741936	50.0	23.52941176470588	58.06451612903226	42.857142857142854	70.58823529411765				463
594	PIECE	pièce	2.380952380952381	0.0	4.545454545454546	11.904761904761903	5.0	18.181818181818183	85.71428571428571	95.0	77.27272727272727	3.4482758620689653	0.0	7.142857142857142	17.24137931034483	26.666666666666668	7.142857142857142	79.3103448275862	73.33333333333333	85.71428571428571	2.7027027027027026	0.0	4.3478260869565215	29.72972972972973	42.857142857142854	21.73913043478261	67.56756756756756	57.14285714285714	73.91304347826086				436
595	GROUNDNUT (PEANUT)	cacahuète										12.5	10.0	16.666666666666664	12.5	20.0	0.0	75.0	70.0	83.33333333333334	32.35294117647059	36.36363636363637	25.0	5.88235294117647	9.090909090909092	0.0	61.76470588235294	54.54545454545454	75.0				83
597	PHYSICIAN	docteur	11.627906976744185	10.0	13.043478260869565	11.627906976744185	15.0	8.695652173913043	76.74418604651163	75.0	78.26086956521739	15.625	15.0	16.666666666666664	12.5	10.0	16.666666666666664	71.875	75.0	66.66666666666666	19.35483870967742	35.714285714285715	5.88235294117647	29.03225806451613	21.428571428571427	35.294117647058826	51.61290322580645	42.857142857142854	58.82352941176471				201
603	COAT	manteau	19.047619047619047	16.666666666666664	22.22222222222222	26.190476190476193	29.166666666666668	22.22222222222222	54.761904761904766	54.166666666666664	55.55555555555556	28.125	25.0	33.33333333333333	25.0	30.0	16.666666666666664	46.875	45.0	50.0	9.67741935483871	0.0	17.647058823529413	48.38709677419355	57.14285714285714	41.17647058823529	41.935483870967744	42.857142857142854	41.17647058823529				355
604	GLASS	verre										13.793103448275861	6.666666666666667	21.428571428571427	37.93103448275862	40.0	35.714285714285715	48.275862068965516	53.333333333333336	42.857142857142854	2.7777777777777777	0.0	6.666666666666667	66.66666666666666	71.42857142857143	60.0	30.555555555555557	28.57142857142857	33.33333333333333				585
607	GRASSHOPPER	sauterelle										34.375	50.0	8.333333333333332	31.25	25.0	41.66666666666667	34.375	25.0	50.0	32.35294117647059	40.909090909090914	16.666666666666664	8.823529411764707	9.090909090909092	8.333333333333332	58.82352941176471	50.0	75.0				509
