CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_SUBJECTIVE_FREQUENCY	FRENCH_IMAGEABILITY_MEAN	LINE_IN_SOURCE
326	CLOAK	cape	2.69	5.65	516
3268	QUESTION	demande	5.9	2.7	1022
3284	GRAVEYARD	cimetière	3.9	6.52	668
3313	JACKAL	chacal	1.77	3.68	596
3333	BELIEF (RELIGIOUS)	croyance	4.56	2.71	950
334	COOKHOUSE	cuisine	6.2	6.42	959
3349	WRISTWATCH	montre	5.32	6.55	2242
336	PADLOCK	cadenas	4.5	6.7	466
338	RAKE	râteau	3.09	6.47	2841
3425	JOKE	blague	5.13	3.76	343
3467	HELP (ASSISTANCE)	aide	5.65	2.95	72
3468	KINDNESS	gentillesse	4.18	2.97	1614
356	SHEARS	ciseaux	4.98	6.87	673
3618	STAMP	timbre	4.39	6.65	3354
362	STRING	ficelle	3.05	6.06	1448
3622	BURN (INJURY)	brûlure	4.2	5.43	442
3624	LEPROSY	lèpre	2.16	4.23	1987
3644	AGREEMENT	accord	4.79	2.86	24
3646	PROVERB	proverbe	3.84	2.7	2777
3653	COOKING POT	marmite	3.36	6.45	2129
3664	INHERIT	héritier	3.26	3.48	1731
3673	MOURNING	deuil	3.73	3.5	1061
3675	ZEBRA	zèbre	2.79	6.94	3599
3676	SHREW	musaraigne	1.19	2.28	2293
3681	PARTRIDGE	perdrix	2.51	5.36	2549
3689	BUBBLE	bulle	3.94	6.43	449
369	OWE	devoir	6.01	3.81	1070
3695	MOVEMENT	mouvement	5.01	3.91	2277
3704	ODOR (SMELL)	odeur	5.06	3.04	2379
3711	TIE (NOUN)	cravate	4.01	6.79	929
3745	CRANE (DEVICE)	grue	2.16	5.11	1686
3746	VASE	vase	3.75	4.57	3500
387	SLING	fronde	1.97	2.47	1560
390	PUNISHMENT	punition	4.65	3.54	2793
406	OLD MAN	vieillard	4.27	6.04	3541
420	FOREST	forêt	4.78	6.66	1505
458	DEAF PERSON	sourd-muet	2.91	3.97	3197
472	PELICAN	pélican	2.69	6.19	2528
476	CUP	tasse	5.28	6.85	3301
478	LIP	lèvre	5.15	6.76	1994
48	BE SILENT	silencieux	4.52	3.16	3135
480	PLATE	assiette	5.54	6.82	192
496	CUCUMBER	concombre	4.35	6.89	796
498	CALF OF LEG	mollet	3.61	6.12	2227
502	NAIL (TOOL)	clou	3.88	6.47	712
503	FROG	grenouille	3.47	6.92	1668
506	MAIZE	maïs	4.19	6.79	2081
518	SPARK	étincelle	3.47	6.08	1332
522	WOLF	loup	3.67	6.88	2043
539	NEST	nid	3.63	6.33	2333
56	BAD LUCK	malheur	4.58	2.61	2092
580	FUR	fourrure	4.04	6.22	1530
586	GARDEN	jardin	4.45	6.45	1904
587	ANT	fourmi	3.72	6.68	1526
590	NAKED	nu	4.79	5.37	2352
593	POTATO	pomme de terre	4.2	6.92	2660
594	PIECE	morceau	5.09	4.88	2249
597	PHYSICIAN	docteur	5.51	5.7	1127
60	OAT	avoine	3.58	5.75	242
606	GRASS	herbe	4.45	6.77	1728
607	GRASSHOPPER	sauterelle	2.97	6.83	3055
611	HARVEST	moisson	2.23	3.5	2224
615	HORSE	cheval	4.18	6.9	645
620	INSECT	insecte	4.4	6.39	1852
625	LAMP	lampe	5.45	6.77	1957
627	LEAD (CHEMICAL ELEMENT)	plomb	3.26	4.93	2629
629	LEATHER	cuir	4.35	5.9	958
630	LIGHT (RADIATION)	lumière	6.38	5.35	2054
632	LIZARD	lézard	2.9	6.74	1998
633	MARKET	marché	5.04	5.23	2117
634	MEAT	viande	5.69	6.18	3534
636	MILL	moulin	3.02	6.23	2269
638	MOTORCYCLE	moto	3.84	6.33	2263
639	MOUNTAIN	montagne	4.79	6.82	2237
64	PIN	épingle	4.05	6.3	1284
641	MUSHROOM	champignon	4.48	6.69	606
645	OCEAN	océan	4.56	6.41	2374
655	POISON	poison	3.85	5.15	2647
657	PRICE	prix	5.77	3.94	2743
658	RAIN (PRECIPITATION)	pluie	5.5	6.31	2632
661	RELIGION	religion	4.59	3.57	2900
665	BEE	abeille	4.12	6.84	6
666	RIVER	fleuve	4.15	6.22	1490
667	ROAD	route	5.15	6.19	3009
67	EMBERS	braise	2.91	3.9	412
670	ROOT	racine	4.13	6.19	2815
671	SAND	sable	4.19	6.57	3022
673	SCHOOL	école	6.02	6.32	1180
674	MOUTH	bouche	5.73	6.75	379
677	AXE	hache	3.34	6.58	1703
678	BEARD	barbe	4.33	6.56	281
683	PERSON	personne	6.35	5.21	2564
687	NOTHING	rien	6.22	2.57	2978
688	LUNG	poumon	4.52	6.26	2695
691	SEASON	saison	5.09	4.31	3032
704	CLEAN	propre	5.51	3.88	2771
710	WHEEL	roue	5.14	6.6	3003
714	SEED	semence	2.68	4.27	3099
72	CLAW	griffe	3.37	5.84	1670
728	FIRST	premier	5.68	3.81	2720
73	BEAK	bec	4.84	6.26	307
730	SNAKE	serpent	3.54	6.71	3120
735	OWL	hibou	3.55	6.87	1739
738	THING	chose	6.08	3.26	660
743	END (OF TIME)	fin	5.68	3.0	1465
744	EGG	oeuf	5.59	6.95	2384
745	SHELF	étagère	4.61	5.98	1325
747	BICYCLE	vélo	4.09	6.89	3504
753	PUPIL (STUDENT)	élève	5.83	5.19	1215
757	BUTTON	bouton	5.13	6.43	409
760	KNOT	noeud	4.32	6.22	2337
771	HAT	chapeau	5.02	6.76	614
772	BELT	ceinture	4.88	6.62	579
775	TRUMPET	trompette	3.52	6.73	3450
781	FEAR (FRIGHT)	crainte	4.06	3.0	922
783	VICTORY	victoire	4.23	3.86	3537
786	SAILCLOTH	voile	3.41	6.25	3572
791	STRANGER	étranger	4.77	3.98	1338
794	PEN	stylo	4.8	6.7	3241
800	THIGH	cuisse	5.14	6.42	961
801	RIB	côte	4.51	5.11	887
803	ANKLE	cheville	4.17	6.45	648
811	SOUL	âme	4.22	3.09	104
812	SLAVE	esclave	3.79	4.93	1308
820	LAMB	agneau	3.18	6.6	65
823	SORCERER	sorcier	2.95	5.7	3178
834	BUTTOCKS	fesse	5.19	6.52	1431
836	SCREWDRIVER	tournevis	3.9	6.78	3401
838	REMAINS	reste	5.54	2.79	2953
843	SPIDER	araignée	4.56	6.91	155
848	THIRST	soif	5.59	3.84	3154
850	SQUARE	carré	4.79	6.22	550
854	KETTLE	bouilloire	4.25	6.4	385
857	STONE	pierre	4.57	6.49	2583
859	STOVE	cuisinière	4.14	5.68	960
862	SUGAR	sucre	5.53	6.05	3248
864	PUMPKIN	citrouille	3.52	6.94	680
868	BANANA	banane	5.16	6.95	270
870	BREATH	souffle	4.33	4.16	3184
877	MASON	maçon	2.11	3.2	2069
878	HELL	enfer	4.34	5.16	1245
88	BEEHIVE	ruche	2.28	5.7	3015
882	PARROT	perroquet	3.33	6.82	2559
89	NATIVE COUNTRY	patrie	2.75	3.1	2513
890	MULE	mulet	1.8	4.21	2282
891	TIDE	marée	3.03	5.29	2121
894	TOAD	crapaud	3.04	6.58	925
906	TREE	arbre	5.45	6.91	157
908	DRUM	tambour	3.27	6.61	3290
910	DEATH	mort	5.47	4.25	2253
915	SINK (BASIN)	bassine	2.0	3.91	297
917	ORNAMENT	ornement	2.9	4.7	2423
919	CHILI PEPPER	piment	4.69	6.69	2593
920	GRAPE	raisin	4.43	6.88	2826
921	VALLEY	vallée	3.5	5.84	3493
922	PEAR	poire	4.48	6.64	2645
924	VEGETABLES	légume	5.88	6.54	1982
933	WALL (OF HOUSE)	mur	5.07	6.08	2288
935	WAR	guerre	5.08	5.7	1688
936	STALLION	étalon	2.71	5.11	1326
937	BIRD	oiseau	4.74	6.74	2389
938	MARE	jument	2.71	5.73	1925
939	HORN (INSTRUMENT)	cor	1.75	3.0	865
942	HONEY	miel	4.25	6.5	2193
946	BLOOD	sang	5.09	6.62	3043
947	STREAM	ruisseau	3.59	6.3	3018
950	SEAGULL	mouette	3.52	5.93	2267
953	RAPE	viol	4.02	4.22	3549
954	WELL	puits	2.95	5.56	2790
957	WHALE	baleine	3.42	6.88	262
962	WOMAN	femme	6.31	6.2	1421
963	BOOK	livre	6.28	6.91	2028
964	WOOL	laine	3.92	6.3	1950
968	ACORN	gland	2.68	4.87	1630
969	CIGARETTE	cigarette	5.33	6.85	665
977	ARROW	flèche	3.91	6.64	1486
978	WAVE	vague	4.01	6.52	3487
980	HEEL	talon	4.08	6.35	3288
981	ELBOW	coude	4.25	6.38	896
986	TOMATO	tomate	5.11	6.98	3368
994	BOW	arc	3.22	6.01	159
