CONCEPTICON_GLOSS	CONCEPTICON_ID	LEGO_ID
BLUNT	379	2054
WRINKLED	380	2072
BLAME	381	2130
MASTER	383	2270
FREEMAN	384	2273
BATTLE-AXE	386	2305
SLING	387	2306
FISHNET	388	2349
FISH TRAP	389	2350
PUNISHMENT	390	2377
BLESS	391	2403
MAGIC	392	2412
GARDEN-HOUSE	403	1214
ALCOHOL (FERMENTED DRINK)	404	1139
OLDER SIBLING	405	181
OLD MAN	406	186
MEN'S HOUSE	408	1218
FORKED BRANCH	409	1394
YAM	410	1418
GOURD	411	1430
CARRY IN HAND	412	1634
CARRY ON SHOULDER	413	1635
CARRY ON HEAD	414	1637
CARRY UNDER ARM	415	1639
OUTRIGGER	416	1663
THREE TIMES	417	1908
FOR A LONG TIME	418	1947
FOREST	420	60
RETREAT	421	2337
MARRIED MAN	424	165
BE LATE	425	1933
MARRIED WOMAN	426	166
YOUNGER SIBLING	427	182
TWIST	430	1574
DRESS	474	1167
CUP	476	1054
LATE	477	1927
LIP	478	797
GROW	479	1803
PLATE	480	1051
DISH	481	1050
NOBLE	482	2268
CONDEMN	484	2372
DISAPPEAR	485	1625
MANNER	488	2174
KIDNEY	489	871
DESCENDANTS	490	209
THREE	492	1845
FIVE	493	1847
SCAR	497	992
CALF OF LEG	498	851
CURE	499	994
LIFT	501	1579
NAIL (TOOL)	502	1520
FROG	503	507
LEARN	504	2150
PARENTS	505	164
MAIZE	506	1302
CERTAIN	509	2162
WOLF	522	402
BLOOD VESSEL	525	745
HOWL	526	2211
HOW MUCH	531	2190
NEST	539	606
RISE (MOVE UPWARDS)	568	1575
DANDRUFF	576	741
KISS	578	2085
BATTLE	579	2299
FUR	580	1154
COME BACK	581	1623
LEND	582	1705
DIFFICULT	584	2172
BOOT	585	1176
GARDEN	586	1268
ANT	587	676
BROKEN	588	1477
NAKED	590	1009
PISS	592	932
POTATO	593	1093
PIECE	594	1893
PHYSICIAN	597	996
SHELL	598	644
LIE (MISLEAD)	601	2121
HIDE (CONCEAL)	602	1779
COAT	603	1168
GLASS	604	1539
GRAIN	605	1295
GRASS	606	1304
GRASSHOPPER	607	686
PORT	610	1672
HARVEST	611	1294
HIGH TIDE	613	45
HORSE	615	340
ICE	617	104
PRECIPICE	618	15
ANIMAL	619	313
INSECT	620	673
IRON	621	1532
ISLAND	622	20
LAGOON	623	38
LAKE	624	35
LAND	626	3
LEAD (CHEMICAL ELEMENT)	627	1533
LEAF	628	1317
LEATHER	629	1155
LIGHT (RADIATION)	630	90
LIVESTOCK	631	317
LIZARD	632	488
MARKET	633	1719
MEAT	634	1084
MILK	635	1131
MILL	636	1080
MUD	640	6
MUSHROOM	641	1436
NEED (NOUN)	643	2170
OAK	644	1368
OCEAN	645	34
ASH	646	113
PAINT (PIGMENTS)	647	1553
PAPER	648	2243
PASTURE	649	318
PLAIN	652	17
PLANT (VEGETATION)	653	1310
POISON	655	998
PRICE	657	1721
RAIN (PRECIPITATION)	658	100
REEF	660	39
RELIGION	661	2388
BAY	663	36
BEE	665	690
RIVER	666	48
ROAD	667	1648
ROOT	670	1312
SAND	671	8
EARLY	672	1926
SCHOOL	673	2155
MOUTH	674	795
SHIT (DEFECATE)	676	934
AXE	677	1471
BEARD	678	738
BRIGHT	679	2018
BREAK (DESTROY OR GET DESTROYED)	680	1475
DESTROY	681	1692
SIDE	682	1792
PERSON	683	134
OWN	684	1676
EASY	686	2171
NOTHING	687	1885
LUNG	688	869
BOTTOM	690	1784
SEASON	691	1987
BRING	692	1640
GET	694	1683
GO	695	1613
WISE	698	2147
CARRY	700	1633
SLOW	701	1931
CATCH	702	1588
SOON	703	1944
CLEAN	704	2069
GO UP (ASCEND)	705	1614
DARK	706	2022
REMEMBER	707	2156
SHINE	708	2017
TEACH	709	2152
WHEEL	710	1652
TALL	711	1809
RICH	712	1701
STEAL	713	2385
SEED	714	1287
SHOUT	715	2201
GROAN	716	2097
SWEET	717	2000
PAY	718	1709
FIND	719	1696
GOOD LUCK	720	2077
LOW	721	1782
ATTACK	722	2335
PLACE (POSITION)	723	1753
READ	724	2242
WHICH	727	2194
FIRST	728	1900
DAWN	729	1955
SNAKE	730	469
BEVERAGE	731	1135
EARN	733	1714
MAKE	734	1443
OWL	735	566
YARD	736	1217
LIGHT (IGNITE)	737	120
THING	738	1685
SHIP	740	1660
DRIVE	741	1644
END (OF SPACE)	742	1785
END (OF TIME)	743	1937
EGG	744	1140
SHELF	745	1243
SOW SEEDS	748	1286
ENTER	749	1631
STORE	752	1720
PUPIL (STUDENT)	753	2153
HURRY	754	1932
DENY	755	2229
BUTTON	757	1186
HERON	758	552
SILVER	759	1530
KNOT	760	1457
COVER	761	1778
OUTSIDE	762	1742
SKIN	763	730
MOVE	765	1562
CORPSE	767	959
LUNCH	768	1062
ROOF	769	1246
EARRING	770	1197
BELT	772	1179
HAVE	773	1675
FLUTE	777	2247
SMOKE (EXHAUST)	778	111
PART	779	1892
FEAR (FRIGHT)	781	2109
DEFEAT	782	2334
VICTORY	783	2333
SNOW	784	103
STRONG	785	963
SAILCLOTH	786	1670
SAIL	787	1598
SOAP	788	1207
PEOPLE	789	2260
READY	790	1940
STRANGER	791	2281
BOIL (OF LIQUID)	792	1037
BOIL (OF SKIN)	793	988
PEN	794	2244
NIPPLE	796	863
TESTICLES	797	892
JAW	798	772
WRIST	799	827
THIGH	800	845
RIB	801	861
ANKLE	803	852
WOMB	804	887
SPINE	805	762
BLANKET	806	1238
DRIP (FALL IN GLOBULES)	808	1573
TROUSERS	809	1173
SLAVE	812	2271
DO	813	1442
HALF	816	1894
THEY	817	255
STOMACH	819	876
LAMB	820	332
HOW MANY	822	2189
ROLL	827	1572
RAFTER	829	1249
BEAN	832	1089
BUTTOCKS	834	884
BLUE	837	2031
REMAINS	838	1767
SPIDER	843	725
MURDER	845	2380
THIRSTY	847	1026
SQUARE	850	1830
STABLE	851	320
PRIEST	852	2398
ALTAR	853	2394
KETTLE	854	1048
HIRE	856	1712
STORM	858	88
STOVE	859	1233
CAUSE	860	2166
JUDGE	861	2365
SUGAR	862	1130
EDGE	863	1790
PUMPKIN	864	1431
GLOVE	867	1183
BANANA	868	1333
TAX	873	1711
SHOEMAKER	875	1177
ARCH	876	1253
MASON	877	1254
HELL	878	2407
COUGH	879	911
TAILOR	881	1147
PARROT	882	567
SHARE	884	1724
BITTER	887	2003
FLAME	889	110
MULE	890	345
TIDE	891	43
TIME	892	1919
SWALLOW	897	1033
ADOBE	901	1257
ADULTERY	902	2381
TREE	906	1327
OLD WOMAN	907	189
DRUM	908	2248
TEMPLE	911	2391
CROW	913	527
SCULPTOR	914	1550
LINEN	916	1150
ORNAMENT	917	1188
CHILI PEPPER	919	1125
GRAPE	920	1106
VALLEY	921	18
LOVE	923	2084
VEGETABLES	924	1087
CASSAVA	925	1423
RICE	926	1303
VILLAGE	930	2258
BARLEY	932	1299
WALL (OF HOUSE)	933	1231
STALLION	936	341
BIRD	937	512
MARE	938	342
MEAD	941	1136
HONEY	942	1129
WATERFALL	943	57
SPEAR	945	2317
BLOOD	946	742
WATER	948	27
SEAGULL	950	579
WEAPONS	951	2303
WEATHER	952	108
RAPE	953	2382
FLEE	956	1626
WHALE	957	612
WIND	960	96
WOMAN	962	136
BOOK	963	2245
WOOL	964	1149
WORLD	965	1
ACORN	968	1401
COCONUT	970	1402
TOBACCO	974	1438
ARROW	977	2312
WAVE	978	42
FARMER	979	1265
HEEL	980	853
ELBOW	981	826
CONVICT	983	2373
WORK (LABOUR)	984	1444
REMAIN	987	1766
ACQUIT	988	2374
CLEAR	989	2159
BOW	994	2309
DEAF	996	1005
PUT	998	1754
ANXIETY	1000	2092
BLACKSMITH	1001	1525
STATUE	1002	1551
PERMIT	1003	2277
TWINS	1005	183
BRICK	1006	1255
COW	1007	327
BULL	1008	325
BOUNDARY	1010	2259
BRIDGE	1011	1650
LATCH	1012	1226
FRESHWATER EEL	1013	620
OR	1014	2181
RIGHT	1019	1794
TOWEL	1021	1201
BOOTY	1022	2341
WHISTLE	1025	2205
LOW TIDE	1026	44
YAWN	1028	909
JEWEL	1029	1189
CITIZEN	1032	2269
GRIND	1033	1076
DEFENDANT	1034	2367
GOOD	1035	2124
TEACHER	1038	2154
SHOW	1039	2015
CARPENTER	1042	1511
PILLOW	1044	1237
POET	1045	2246
SHUT	1046	1777
PURSUE	1047	1628
LINE	1048	1836
MOLAR TOOTH	1049	805
LIGHT (WEIGHT)	1052	2057
STEPDAUGHTER	1058	226
STEPSON	1059	225
CHILD-IN-LAW	1060	219
ARMOUR	1061	2328
LAW	1062	2361
NEPHEW	1063	204
SHIELD	1064	2330
SPIDER WEB	1065	727
JUDGMENT	1067	2364
COURT	1068	2362
GLUE	1069	1522
HOOK	1071	1827
PRISONER	1072	2339
FISHHOOK	1074	2347
TRAP (PITFALL)	1075	2357
WHEAT	1077	1298
FEEL	1079	2043
BILL	1081	1710
MERCHANT	1082	1718
CALL	1084	2236
FOLLOW	1085	1627
CONCEIVE	1087	946
SINK (DESCEND)	1088	1593
BE BORN	1090	950
SALTY	1091	2001
HOPE	1092	2117
MIDDLE	1093	1793
LET GO OR SET FREE	1095	1698
WEIGH	1098	1725
COOK (SOMETHING)	1100	1035
CLIMB	1102	1615
SACRIFICE	1103	2395
GO OUT	1107	1620
WOUND	1109	973
SHARK	1110	634
WRAP	1113	1571
SPEECH	1115	2219
DAMAGE	1116	1694
DIVIDE	1119	1775
SECRET	1121	2161
WAGES	1122	1713
PREGNANT	1123	947
PIPE	1124	1440
BALD	1125	1003
CITRUS FRUIT	1126	1404
SEND	1127	1642
ORDER	1128	"2274;2275"
WE (EXCLUSIVE)	1130	251
WE (INCLUSIVE)	1131	250
BEAM	1132	1250
MATCH	1133	128
DIVORCE	1134	155
KICK	1135	1609
RABBIT	1136	423
PITY	1141	2094
OVEN	1143	1043
WITNESS	1144	2368
SWAMP	1145	56
BRUISE	1148	975
ORPHAN	1149	227
THUNDER	1150	86
VEIL	1151	1184
BEGET	1152	945
CATTLE	1153	323
OLIVE	1154	1120
CAVE	1155	26
OPEN	1156	1776
BECAUSE	1157	2178
FART	1159	931
THIEF	1160	2386
THREAD	1161	1163
INTENTION	1162	2165
OX	1169	326
TRAP (CATCH)	1170	2358
MIRROR	1171	1208
SHOOT	1172	2355
EYEBROW	1173	776
YESTERDAY	1174	1964
GHOST	1175	2416
SPADE	1176	1279
NOSTRIL	1178	792
DAY AFTER TOMORROW	1179	1963
DAY BEFORE YESTERDAY	1180	1965
PALM TREE	1181	1369
PALM OF HAND	1183	829
VULTURE	1185	594
LAST (ENDURE)	1186	1936
GOOSE	1187	549
CHARCOAL	1188	130
THREATEN	1192	2239
STEAM	1193	112
MANY	1198	1879
WIFE	1199	150
HUSBAND	1200	147
FEATHER	1201	599
BIG	1202	1806
LONG	1203	1808
BARK	1204	1395
TONGUE	1205	800
YOUNG	1207	1923
CAT	1208	404
I	1209	233
HEAVY	1210	2056
HE	1211	241
WE	1212	249
YOU	1213	252
THOU	1215	236
MOTHER	1216	160
FATHER	1217	156
ROPE	1218	1455
WORM	1219	667
TAIL	1220	757
NOSE	1221	789
PENIS	1222	893
HEART	1223	867
LIVER	1224	870
DAY (NOT NIGHT)	1225	1952
YEAR	1226	1977
BOARD	1227	1252
EARTH (SOIL)	1228	4
OLD	1229	1924
DIRTY	1230	2070
NEW	1231	1922
WARM	1232	2067
NIGHT	1233	1953
SMOOTH	1234	2051
WHO	1235	2195
WHAT	1236	2191
WHERE	1237	2193
WHEN	1238	2192
HOW	1239	2188
NOT	1240	2186
SOME	1241	1883
FEW	1242	1881
WIDE	1243	1812
THICK	1244	1814
BUTTER	1245	1134
SMALL	1246	1807
EAR	1247	785
EYE	1248	775
BELLY	1251	866
HOUSE	1252	1212
HEAD	1256	763
WING	1257	598
FINGERNAIL	1258	841
WEDDING	1259	154
DAY (24 HOURS)	1260	1951
SING	1261	2199
BROTHER	1262	172
SISTER	1263	175
CHANGE	1264	1839
HIGH	1265	1781
NARROW	1267	1813
YES	1268	2183
NO	1269	2184
WHY	1270	2196
AUNT	1272	199
CANDLE	1273	1242
SALT	1274	1123
ANSWER	1275	2227
AUTUMN	1276	1984
HAND	1277	828
VOMIT	1278	917
FALL	1280	1580
PRISON	1281	2379
TODAY	1283	1961
HOT	1286	2064
COLD	1287	2068
BABY	1289	144
ELEPHANT	1290	382
BACK	1291	758
BAD	1292	2125
MISTAKE	1293	2129
ZERO	1294	1842
WALKING STICK	1296	2264
LEG	1297	843
COUNTRY	1300	2255
FOOT	1301	854
FORK	1302	1058
FINGER	1303	833
CHILD (YOUNG HUMAN)	1304	143
CHIMNEY	1305	1234
QUEEN	1306	2267
LANGUAGE	1307	2221
DOUBT	1308	2167
ASK (INQUIRE)	1309	2226
CLEVER	1310	2135
FOX	1312	401
MOON	1313	74
QUIET	1314	2010
TENT	1316	1215
CHICKEN	1318	548
BREAKFAST	1322	1061
CLOCK	1323	1967
SLIP	1324	1605
FRIEND	1325	2278
DOWN	1326	1736
UNCLE	1327	194
TOMORROW	1329	1962
DEFEND	1330	2336
SHEEP	1331	329
NEIGHBOUR	1332	2280
NECK	1333	811
WHITE	1335	2026
EAT	1336	1011
PIG	1337	335
PEACE	1338	2300
MORNING	1339	1956
WITH	1340	2484
SUMMER	1342	1983
SUN	1343	73
RAM	1344	330
EWE	1345	331
THROAT	1346	813
NAPE (OF NECK)	1347	812
BOAR (MALE PIG)	1348	333
CHURCH	1349	2392
MONKEY	1350	384
SOW (FEMALE PIG)	1351	334
KNIFE	1352	"1057;1469"
HOUR	1353	1966
LAUGH	1355	2081
DAUGHTER	1357	170
ENEMY	1358	2279
SEPARATE	1359	1774
DUCK	1360	531
TOOL	1361	1510
VOICE	1363	2198
HEALTHY	1364	965
BOY	1366	139
CROSS	1367	1829
BREAD	1368	1071
GOLD	1369	1529
MONTH	1370	1976
KNEE	1371	846
MEDICINE	1372	997
RING	1374	1191
WINDOW	1375	1229
NOW	1376	1928
SPOON	1378	1056
TOOTH	1380	801
SHOE	1381	1175
NEEDLE (FOR SEWING)	1382	1161
GRANDFATHER	1383	184
SECOND	1384	1903
PEPPER	1385	1124
LION	1386	414
ARRIVE	1387	1629
SHADE	1388	92
TOE	1389	858
WRONG	1390	2127
TOWN	1391	2257
HORN (ANATOMY)	1393	749
BONE	1394	746
ROUND	1395	1831
SHARP	1396	2053
DRY	1398	2063
CLAY	1399	1538
DRINK	1401	1021
BREAST	1402	862
BITE	1403	918
STRAIGHT	1404	1824
NAME	1405	2223
FAR	1406	1797
BREATHE	1407	904
HEAR	1408	2006
SEE	1409	2011
KNOW (SOMETHING)	1410	2142
PLAY	1413	2083
SQUEEZE	1414	1502
THINK (REFLECT)	1415	2138
SIT	1416	1757
KILL	1417	958
DIG	1418	1278
COUNT	1420	1875
SUCK	1421	1028
BE ALIVE	1422	951
FIGHT	1423	2298
YELLOW	1424	2033
GREEN	1425	2032
EXPENSIVE	1426	1722
BEAUTIFUL	1427	2132
BURNING	1428	118
FULL	1429	1887
STAR	1430	78
FREEZE	1431	107
CUT	1432	1465
STAB	1434	1468
HUNT	1435	2353
SCRATCH	1436	981
SPLIT	1437	1485
SWIM	1439	1595
SPIT	1440	916
FLY (MOVE THROUGH AIR)	1441	1599
STAND	1442	1764
WALK	1443	1610
TURN (SOMETHING)	1445	1569
COME	1446	1621
GIVE	1447	1686
HOLD	1448	1682
RUB	1449	1490
ROOM	1450	1221
SMILE	1451	2082
PUSH	1452	1647
WASH	1453	1507
WIPE	1454	1491
PULL	1455	1494
THROW	1456	1585
SEW	1457	1160
SAY	1458	2215
IF	1459	2180
IN	1460	1731
AT	1461	1732
POT	1462	1047
DRUNK	1463	1008
LADDER	1464	1235
CIRCLE	1467	1832
LOOK FOR	1468	1695
WEEK	1469	1968
FOLD	1470	1447
WINTER	1471	1981
KEY	1472	1228
SEA	1474	28
COMB	1475	1202
CHAIR	1476	1239
KEEP	1477	1684
WITHOUT	1478	2483
DOLPHIN	1479	611
BODY	1480	729
HAMMER	1481	1518
SHOULDER	1482	819
NINE	1483	1851
OIL (ORGANIC SUBSTANCE)	1484	1121
BELOW OR UNDER	1485	1743
PLANT (SOMETHING)	1486	1311
POUR	1487	1505
CLOUD	1489	98
ONE	1493	1843
DIE	1494	954
HAPPY	1495	2080
GRANDMOTHER	1496	187
TWO	1498	1844
FOUR	1500	1846
BORE	1501	1513
GOAT	1502	337
FLY (INSECT)	1504	700
MEASURE	1506	1804
FRUIT	1507	1094
KING	1508	2266
MOSQUITO	1509	707
CHIN	1510	774
ROOSTER	1511	546
THINK (BELIEVE)	1513	2139
HEN	1514	547
TEN	1515	1852
WASP	1517	697
STUPID	1518	2148
RUN	1519	1612
SEEM	1521	2145
FORGET	1523	2157
WINE	1524	1137
MEAL	1526	1060
FORGIVE	1528	2123
LAST (FINAL)	1529	1901
BOWL	1530	1052
BRANCH	1531	1313
BE HUNGRY	1533	1023
FEVER	1534	967
SWORD	1535	2326
UNDERSTAND	1536	2141
SPRINGTIME	1537	1982
SCORPION	1538	723
BASKET	1539	1542
EYELASH	1540	778
CULTIVATE	1541	1269
SNAIL	1543	670
SOMETIMES	1544	1943
HOST	1545	2284
TWICE	1546	1905
SOUP	1547	1086
UGLY	1548	2133
PREVENT	1550	2286
MAN	1554	135
YOLK	1556	1142
BEGINNING	1557	1935
SIMILAR	1558	1838
MONEY	1559	1699
FACE	1560	769
ARMY	1561	2301
MIND	1562	2137
LAZY	1564	1001
HEAVEN	1565	2406
GUN	1566	2327
DOOR	1567	1223
CHEESE	1569	1133
SELL	1571	1716
SURPRISED	1572	2075
FLOAT	1574	1594
COCKROACH	1575	685
PILE UP	1576	1771
AND	1577	2175
ONLY	1580	1897
BRAIN	1583	768
BLISTER	1584	987
SLEEP	1585	922
SMELL (PERCEIVE)	1586	1992
SMELL (STINK)	1587	1990
TURN	1588	1567
UP	1591	1744
CHEST	1592	859
DEEP	1593	1820
FLOUR	1594	1075
SOUTH	1595	1802
LOCK	1596	1225
NORTH	1598	1801
WORD	1599	2222
SKIRT	1600	1171
WEAK	1601	964
WAKE UP	1602	929
MOSQUE	1603	2393
TEMPLES	1604	765
SKULL	1605	766
INSIDE	1606	1741
HATE	1607	2098
LISTEN	1608	2007
IDEA	1609	2146
PROSTITUTE	1610	2296
COLOR	1613	2019
CLOTH	1616	1148
GRANDCHILD	1617	193
GRANDSON	1618	191
GRANDDAUGHTER	1619	192
SON	1620	169
SNEEZE	1621	912
SHIRT	1622	1169
SPEAK	1623	2212
EMPTY	1624	1890
EXPLAIN	1626	2164
CHAIN	1627	1453
EVENING	1629	1959
FAST	1631	1930
FLOOR	1632	1230
FLAT	1633	1823
HUNDRED	1634	1873
OBEY	1635	2276
BEER	1639	1138
SIBLING	1640	178
SILK	1641	1152
NIECE	1642	205
COUSIN	1643	207
RELATIVES	1644	230
SHORT	1645	1810
GIRL	1646	141
FOAL	1647	343
ANVIL	1648	1527
TEAR (OF EYE)	1651	2096
BLIND	1653	1007
LIGHTNING	1654	85
BLINK	1655	783
NEVER	1656	1949
TRUE	1657	2119
LOSE	1660	1697
CAPE	1662	41
BED	1663	1236
RAFT	1664	1664
MUTE	1666	1006
HOLE	1667	1837
GRIEF	1668	2090
ANCESTORS	1669	208
TOWER	1671	2332
WRITE	1672	2241
ARM	1673	822
POOR	1674	1702
PROMISE	1675	2232
ALWAYS	1676	1941
HUT	1678	1213
HELMET	1680	2329
WAIST	1681	882
GUILTY	1682	2375
AFTER	1685	1727
BEHIND	1686	1728
PRAISE	1687	2131
SMOKE (INHALE)	1689	1439
FENCE	1690	1271
FRIDAY	1692	1974
THURSDAY	1693	1973
WEDNESDAY	1694	1972
TUESDAY	1695	1971
SURRENDER	1696	2338
MONDAY	1697	1970
SUNDAY	1699	1969
SATURDAY	1700	1975
HOLY	1702	2399
SIX	1703	1848
SEVEN	1704	1849
EIGHT	1705	1850
ELEVEN	1706	1853
TWELVE	1707	1854
FIFTEEN	1709	1857
TWENTY	1710	1862
TELL	1711	2217
OATH	1712	2370
BURY	1719	961
CORRECT (RIGHT)	1725	2126
WET	1726	2062
ROTTEN	1728	1018
PLAIT OR BRAID OR WEAVE	1729	1540
CHEEK	1730	773
MORTAR BINDER	1731	1256
SKY	1732	72
RAINBOW	1733	89
TEAR (SHRED)	1735	1487
PINE	1740	1372
ABOVE	1741	1746
JOIN	1743	1773
SPLEEN	1744	874
HIP	1745	883
CUSTOM	1747	2287
TAKE	1749	1677
CHOOSE	1750	2115
LEAVE	1752	1624
TOP	1753	1783
BRACELET	1754	1192
WIDOW	1756	228
TIRED	1757	999
OLDER SISTER	1758	176
OLDER BROTHER	1759	173
YOUNGER BROTHER	1760	174
YOUNGER SISTER	1761	177
CLUB	1763	2304
OBSCURE	1764	2160
FINISH	1766	1938
SCRAPE	1767	1067
FOAM	1768	32
AXLE	1769	1653
CARCASS	1770	960
GRAVE	1773	962
STINGY	1774	1704
TABLE	1775	1240
SHAME	1776	2103
APPROACH	1778	1630
DARE	1779	2107
THUMB	1781	838
GUEST	1782	2282
PAIN	1783	2087
WANT	1784	2114
HAVE SEX	1785	938
LOOM	1787	1159
AGE	1789	1921
BUTTERFLY	1791	709
PERJURY	1792	2384
BAT	1793	466
FURROW	1794	1277
CHILD (DESCENDANT)	1801	171
WOOD	1803	62
BEGIN	1806	1934
AFTERNOON	1807	1958
PUS	1808	990
DANGER	1810	2113
SOUND OR NOISE	1811	2008
TRY	1812	2173
ACCUSE	1814	2371
BESIDE	1816	1733
WEST	1817	1800
ADJUDICATE	1818	2363
LOOK	1819	2013
BEAR	1820	395
BRUSH	1821	1203
BORROW	1823	1706
COPPER	1825	1531
ASK (REQUEST)	1828	2230
JUMP	1829	1606
MEET	1831	2291
SIBLING-IN-LAW	1832	220
DINNER (SUPPER)	1833	"1063;1064"
SHE	1834	242
NAVEL	1838	865
CRY	1839	2095
BUILD	1840	1512
SUSPECT	1841	2168
THOUSAND	1843	1874
BOAT	1844	1661
BALL	1845	1834
RULE	1846	2265
SICK	1847	966
QUARREL	1848	2288
ROW	1849	1667
COTTON	1850	1151
POCKET	1851	1185
OFTEN	1852	1942
DOVE	1853	530
BIRCH	1855	1339
SOFT	1856	2047
CROCODILE	1857	499
FISHERMAN	1858	2343
THIRD	1859	1907
BEAD	1860	1195
