CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	ENGLISH	DUTCH_VALENCE_MEAN	DUTCH_AROUSAL_MEAN	DUTCH_DOMINANCE_MEAN	DUTCH_AOA_MEAN	DUTCH_VALENCE_MALE_MEAN	DUTCH_AROUSAL_MALE_MEAN	DUTCH_DOMINANCE_MALE_MEAN	DUTCH_AOA_MALE_MEAN	DUTCH_VALENCE_FEMALE_MEAN	DUTCH_AROUSAL_FEMALE_MEAN	DUTCH_DOMINANCE_FEMALE_MEAN	DUTCH_AOA_FEMALE_MEAN	DUTCH_POS	LINE_IN_SOURCE
1135	KICK	schoppen	to kick	2.92	5.28	4.73	5.26	3.0	5.28	4.91	6.5	2.84	5.28	4.56	4.44	V	3038
1136	RABBIT	konijn	rabbit	4.7	4.38	3.03	3.74	4.62	4.22	2.81	4.0	4.78	4.53	3.25	3.5	N	1671
1147	PURE	puur	pure	5.25	3.73	5.02	7.13	5.06	4.06	4.66	7.0	5.44	3.41	5.38	7.56	A	2719
1150	THUNDER	donder	thunder	3.11	5.47	5.22	5.55	3.12	5.44	5.22	5.75	3.09	5.5	5.22	5.81	N	644
119	DIVE	duiken	to dive	4.59	5.16	4.03	5.9	4.53	4.94	3.94	6.38	4.66	5.38	4.12	5.88	V	721
1190	HARE	haas	hare	4.35	5.0	3.53	5.16	4.38	4.81	3.44	5.38	4.32	5.19	3.62	5.06	N	1182
1198	MANY	veel	many	4.77	4.53	5.11	3.9	4.84	4.56	4.78	3.88	4.69	4.5	5.44	4.31	A	3788
1201	FEATHER	veer	feather	4.36	3.23	3.08	5.32	4.34	3.25	3.25	5.75	4.38	3.22	2.91	5.31	N	3791
1202	BIG	groot	large	4.78	4.28	5.11	3.94	4.84	4.69	4.72	4.38	4.72	3.88	5.5	3.94	A	1163
1206	BARKING	blaffen	to bark	3.27	5.38	4.7	5.0	3.0	5.53	4.5	6.0	3.53	5.22	4.91	4.5	V	300
1207	YOUNG	jong	young	5.3	4.67	3.77	5.26	5.19	4.53	3.62	5.25	5.41	4.81	3.91	5.62	A	1426
1208	CAT	kat	cat	4.72	4.56	3.73	3.45	4.62	4.28	3.59	3.81	4.81	4.84	3.88	3.19	N	1497
1210	HEAVY	zwaar	heavy	3.03	4.02	4.89	5.19	3.16	4.28	4.66	5.81	2.91	3.75	5.12	5.0	A	4272
1216	MOTHER	moeder	mother	5.73	4.12	4.58	3.71	5.5	3.72	4.34	3.69	5.97	4.53	4.81	4.12	N	2146
1217	FATHER	vader	father	5.61	4.48	5.0	3.81	5.44	4.62	4.88	4.0	5.78	4.34	5.12	3.94	N	3760
1220	TAIL	staart	tail	4.11	3.71	3.72	4.39	4.06	3.81	3.56	4.5	4.16	3.62	3.88	4.44	N	3344
1221	NOSE	neus	nose	4.06	3.47	3.88	3.58	4.12	3.72	3.72	3.94	4.0	3.22	4.03	3.44	N	2239
1223	HEART	hart	heart	5.23	5.05	4.92	5.0	4.91	4.91	4.62	5.38	5.56	5.19	5.22	5.06	N	1220
1225	DAY (NOT NIGHT)	dag	day	4.61	3.94	4.05	4.13	4.62	3.75	3.91	4.12	4.59	4.12	4.19	4.38	N	549
1226	YEAR	jaar	year	4.22	3.44	4.02	4.19	4.22	3.5	3.84	4.31	4.22	3.38	4.19	4.44	N	1407
1229	OLD	oud	old	3.36	2.83	3.12	4.68	3.12	2.78	3.0	5.12	3.59	2.88	3.25	4.56	A	2441
1230	DIRTY	smerig	dirty	2.19	4.06	4.17	6.0	2.31	4.06	4.22	6.06	2.06	4.06	4.12	6.38	A	3203
1231	NEW	nieuw	new	5.42	4.48	4.56	5.13	5.19	4.81	4.25	5.5	5.66	4.16	4.88	5.12	A	2245
1232	WARM	warm	hot	5.61	3.89	4.77	4.23	5.41	4.25	4.56	4.56	5.81	3.53	4.97	4.25	A	4045
1233	NIGHT	nacht	night	4.47	2.86	4.19	4.39	4.28	2.91	4.06	4.81	4.66	2.81	4.31	4.12	N	2209
1234	SMOOTH	vlot	raft	5.08	4.38	4.25	6.16	5.03	4.25	4.25	6.62	5.12	4.5	4.25	6.06	N	3929
1237	WHERE	waar	1	5.2	3.7	4.69	5.13	5.12	3.84	4.38	5.25	5.28	3.56	5.0	5.31	A	4016
1240	NOT	niet	not	2.92	3.08	3.88	3.39	2.72	3.22	3.59	3.69	3.12	2.94	4.16	3.31	A	2243
1243	WIDE	wijd	wide	4.09	3.81	4.24	6.32	4.19	3.9	4.03	6.81	4.0	3.72	4.45	6.19	A	4103
1244	THICK	dik	thick	2.61	3.09	3.97	4.58	2.47	3.31	3.75	4.88	2.75	2.88	4.19	4.69	A	612
1246	SMALL	klein	small	3.7	3.19	2.59	3.94	3.47	3.41	2.53	4.25	3.94	2.97	2.66	4.06	A	1574
1247	EAR	oor	ear	4.25	3.69	3.7	3.97	4.28	4.03	3.44	4.56	4.22	3.34	3.97	3.75	N	2399
1248	EYE	oog	eye	4.48	4.08	3.91	3.77	4.44	4.0	3.62	3.94	4.53	4.16	4.19	3.81	N	2395
1252	HOUSE	huis	home	4.94	3.19	4.38	3.58	4.78	3.69	3.94	4.06	5.09	2.69	4.81	3.38	N	1335
1253	RAIN (RAINING)	regen	rain	3.45	4.3	4.09	3.94	3.53	4.12	4.25	4.25	3.38	4.47	3.94	4.06	N	2790
1255	SNOWING	sneeuwen	to snow	4.97	3.7	4.14	4.26	5.19	3.78	4.09	4.81	4.75	3.62	4.19	4.12	V	3219
1261	SING	zingen	to sing	5.22	5.22	4.31	4.71	5.03	5.12	4.03	5.75	5.41	5.31	4.59	4.12	V	4229
1262	BROTHER	broer	brother	5.31	4.02	4.39	3.55	5.12	4.16	4.09	3.56	5.5	3.88	4.69	3.94	N	427
1263	SISTER	zus	sister	5.27	4.19	4.05	3.74	5.16	4.06	3.5	4.19	5.38	4.31	4.59	3.69	N	4267
1265	HIGH	hoog	high	4.34	4.45	4.8	4.35	4.44	4.56	4.62	4.81	4.25	4.34	4.97	4.44	A	1316
1267	NARROW	smal	narrow	3.89	3.16	3.19	5.61	3.72	3.39	3.25	6.06	4.06	2.94	3.12	5.5	A	3195
127	EXTINGUISH	blussen	to extinguish	4.3	5.34	4.41	6.23	4.41	5.25	4.25	6.44	4.19	5.44	4.56	6.44	V	335
1272	AUNT	tante	aunt	4.91	3.81	3.86	4.06	4.59	3.59	3.59	4.56	5.22	4.03	4.12	3.81	N	3540
1273	CANDLE	kaars	candle	4.88	3.03	3.45	5.19	4.56	3.16	3.22	5.69	5.19	2.91	3.69	5.0	N	1442
1274	SALT	zout	salt	4.19	3.27	4.03	5.29	4.28	3.59	3.91	5.25	4.09	2.94	4.16	5.75	N	4258
1277	HAND	hand	hand	4.36	3.95	4.03	3.87	4.22	3.75	3.84	4.62	4.5	4.16	4.22	3.62	N	1200
1279	FAT (OBESE)	vet	fat	2.75	3.47	4.12	5.9	2.97	3.88	3.97	6.25	2.53	3.06	4.28	5.94	A	3873
1280	FALL	vallen	to fall	2.89	4.91	3.19	4.13	3.09	4.78	3.28	4.62	2.69	5.03	3.09	4.12	V	3767
1285	IMPORTANT	belangrijk	important	5.41	4.88	5.25	6.48	5.06	4.81	4.91	7.06	5.75	4.94	5.59	6.25	A	211
1286	HOT	heet	hot	4.39	4.83	5.05	5.03	4.28	5.0	4.84	5.31	4.5	4.66	5.25	5.19	A	1244
1287	COLD	koud	cold	2.92	3.45	3.97	3.97	3.03	3.59	3.75	4.12	2.81	3.31	4.19	4.19	A	1705
1288	CAP	muts	cap	4.16	3.23	3.48	4.16	3.94	3.47	3.28	4.56	4.38	3.0	3.69	4.19	N	2196
1290	ELEPHANT	olifant	elephant	4.64	4.09	5.31	4.45	4.69	4.06	5.03	4.94	4.59	4.12	5.59	4.19	N	2291
1292	BAD	slecht	bad	2.05	4.02	3.67	4.48	2.12	4.16	3.75	4.81	1.97	3.88	3.59	4.56	A	3150
1294	ZERO	nul	zero	2.95	2.53	2.45	4.9	3.19	2.72	2.75	4.88	2.72	2.34	2.16	5.12	N	2274
1297	LEG	been	leg	4.25	3.92	4.0	4.0	4.19	3.88	3.94	4.19	4.31	3.97	4.06	4.12	N	187
1298	NEWSPAPER	krant	newspaper	4.53	3.47	3.8	5.13	4.62	3.62	3.47	5.31	4.44	3.31	4.12	5.38	N	1724
1302	FORK	vork	fork	4.05	3.5	4.14	4.03	3.97	3.75	4.03	4.44	4.12	3.25	4.25	3.81	N	3968
1307	LANGUAGE	taal	language	4.62	4.14	4.52	5.47	4.44	4.09	4.41	6.5	4.81	4.19	4.62	4.8	N	3516
1309	ASK (INQUIRE)	vragen	to ask	4.42	4.62	3.98	4.71	4.5	4.56	3.75	5.19	4.34	4.69	4.22	4.69	V	3978
1310	CLEVER	slim	smart	5.86	4.48	5.2	4.9	5.62	4.66	5.06	5.19	6.09	4.31	5.34	5.06	A	3166
1311	VERY	zeer	very	3.5	4.72	4.58	5.0	3.28	4.59	4.41	5.38	3.72	4.84	4.75	5.0	A	4189
1313	MOON	maan	moon	4.81	2.98	4.44	4.94	4.72	3.28	4.38	5.56	4.91	2.69	4.5	4.75	N	1994
1314	QUIET	stil	still	4.12	1.84	3.31	3.97	3.97	1.97	3.47	4.5	4.28	1.72	3.16	3.88	A	3407
1320	APPLE	appel	apple	4.77	3.3	3.8	3.87	4.78	3.55	3.78	4.25	4.75	3.06	3.81	3.94	N	87
1321	BOTTLE	fles	bottle	4.3	3.44	3.95	4.52	4.31	3.88	3.81	5.31	4.28	3.0	4.09	4.12	N	890
1323	CLOCK	klok	clock	4.12	3.54	4.02	4.71	4.09	3.55	3.78	5.0	4.16	3.53	4.25	4.88	N	1599
1327	UNCLE	oom	uncle	4.69	3.89	4.22	5.03	4.5	3.78	4.03	4.62	4.88	4.0	4.41	5.75	N	2398
1335	WHITE	wit	white	4.41	3.22	3.42	3.77	4.31	3.41	3.31	4.0	4.5	3.03	3.53	3.75	A	4127
1336	EAT	eten	to eat	5.45	4.08	4.22	3.35	5.28	4.03	3.94	3.94	5.62	4.12	4.5	3.25	V	823
1339	MORNING	ochtend	morning	4.44	3.33	3.73	4.58	4.41	3.34	3.59	4.88	4.47	3.31	3.88	4.56	N	2281
1342	SUMMER	zomer	summer	6.17	4.33	4.62	5.23	5.88	4.44	4.59	5.44	6.47	4.22	4.66	5.44	N	4242
1343	SUN	zon	sun	6.12	4.2	5.52	3.68	5.75	4.0	5.31	4.06	6.5	4.41	5.72	3.56	N	4243
1350	MONKEY	aap	monkey	4.5	5.16	3.97	3.71	4.25	4.84	3.75	3.88	4.75	5.47	4.19	3.62	N	16
1352	KNIFE	mes	knife	3.16	4.44	5.3	4.39	3.12	4.75	5.25	4.38	3.19	4.12	5.34	4.69	N	2085
1355	LAUGH	lachen	to laugh	6.36	5.34	4.8	4.42	6.19	5.06	4.31	5.31	6.53	5.62	5.28	3.94	V	1812
1357	DAUGHTER	dochter	daughter	5.17	4.09	3.97	5.1	4.97	3.88	3.72	5.06	5.38	4.31	4.22	5.38	N	619
1360	DUCK	eend	duck	4.41	3.81	3.45	4.19	4.38	3.75	3.31	4.69	4.44	3.88	3.59	4.12	N	762
1370	MONTH	maand	month	4.14	3.58	3.94	5.48	4.09	3.66	3.81	5.69	4.19	3.5	4.06	5.62	N	1995
1378	SPOON	lepel	spoon	4.22	3.34	3.75	3.87	4.25	3.66	3.53	4.25	4.19	3.03	3.97	3.69	N	1874
1381	SHOE	schoen	shoe	4.31	3.53	3.69	3.9	4.09	3.81	3.38	3.94	4.53	3.25	4.0	4.0	N	3028
1382	NEEDLE (FOR SEWING)	naald	needle	3.42	3.86	4.5	5.74	3.31	4.19	4.53	6.38	3.53	3.53	4.47	5.5	N	2205
1383	GRANDFATHER	opa	grandfather	5.17	3.0	3.94	3.26	4.91	2.81	3.84	3.44	5.44	3.19	4.03	3.25	N	2404
1386	LION	leeuw	lion	4.69	5.5	5.88	4.58	4.72	5.22	5.78	4.94	4.66	5.78	5.97	4.38	N	1855
1390	WRONG	fout	wrong	2.56	3.86	3.8	4.71	2.72	3.94	4.03	5.44	2.41	3.78	3.56	4.38	A	912
1394	BONE	bot	bone	2.98	3.31	4.53	6.0	3.12	3.44	4.56	5.81	2.84	3.19	4.5	6.5	N	390
1395	ROUND	rond	round	4.27	3.41	3.8	4.55	4.31	3.69	3.62	5.19	4.22	3.12	3.97	4.19	A	2877
1396	SHARP	scherp	sharp	3.75	4.41	5.03	5.87	3.97	4.38	4.84	6.94	3.53	4.44	5.22	5.25	A	3006
1398	DRY	droog	dry	4.16	3.12	3.69	4.65	4.03	3.41	3.66	4.94	4.28	2.84	3.72	4.62	A	707
1400	THIN (SLIM)	mager	lean	3.44	3.44	3.05	6.1	3.28	3.5	3.12	6.38	3.59	3.38	2.97	6.19	A	2007
1401	DRINK	drinken	to drink	4.78	4.45	4.25	3.26	4.66	4.31	4.03	3.69	4.91	4.59	4.47	3.12	V	700
1403	BITE	bijten	to bite	3.0	5.45	4.81	4.48	3.09	5.41	4.56	5.38	2.91	5.5	5.06	4.12	V	284
1404	STRAIGHT	recht	right	4.84	3.58	4.89	6.1	4.75	3.88	4.5	5.75	4.94	3.28	5.28	6.81	A	2773
1405	NAME	naam	name	4.44	3.48	4.19	3.68	4.29	3.72	3.97	4.0	4.59	3.25	4.41	3.69	N	2206
1406	FAR	ver	far	3.47	3.97	4.03	4.61	3.62	4.1	3.97	5.44	3.31	3.84	4.09	4.19	A	3801
1408	HEAR	horen	to hear	4.59	4.22	4.16	4.55	4.5	4.06	3.72	5.31	4.69	4.38	4.59	4.25	V	1328
1409	SEE	zien	to see	4.81	4.42	4.17	4.03	4.81	4.34	3.88	4.56	4.81	4.5	4.47	4.0	V	4224
1410	KNOW (SOMETHING)	weten	to know	4.95	4.34	4.7	5.1	4.97	4.31	4.34	5.69	4.94	4.38	5.06	4.88	V	4092
1411	LIE (REST)	liegen	to lie	2.06	5.02	3.48	4.68	2.16	5.22	3.97	4.88	1.97	4.81	3.0	4.88	V	1902
1416	SIT	zitten	to sit	4.44	2.95	3.72	4.03	4.41	2.94	3.41	4.88	4.47	2.97	4.03	3.69	V	4234
1418	DIG	graven	to dig	3.53	5.09	4.2	5.29	3.56	5.0	4.06	5.88	3.5	5.19	4.34	5.19	V	1134
1420	COUNT	tellen	to count	4.14	4.5	3.89	5.06	4.22	4.31	3.53	5.81	4.06	4.69	4.25	4.75	V	3573
1422	BE ALIVE	levend	alive	5.78	5.45	5.27	6.13	5.56	5.16	5.19	6.5	6.0	5.75	5.34	6.12	A	1886
1424	YELLOW	geel	yellow	4.36	3.64	3.73	3.77	4.38	3.88	3.5	3.94	4.34	3.41	3.97	3.81	A	975
1425	GREEN	groen	green	4.83	3.42	3.86	3.74	4.94	3.34	3.5	3.88	4.72	3.5	4.22	3.81	A	1154
1426	EXPENSIVE	duur	expensive	3.03	3.7	4.61	5.45	2.94	3.84	4.44	5.88	3.12	3.56	4.78	5.5	A	738
1427	BEAUTIFUL	heerlijk	delicious	6.38	4.38	4.97	6.16	6.28	4.53	4.69	6.62	6.47	4.22	5.25	6.06	A	1239
1429	FULL	vol	full	4.25	3.84	4.64	4.48	4.34	4.28	4.38	4.81	4.16	3.41	4.91	4.56	A	3944
143	HUMID	klam	clammy	3.08	3.25	3.08	8.77	3.12	3.77	3.1	8.62	3.03	2.75	3.07	9.19	A	1559
1430	STAR	ster	star	5.34	3.77	4.8	4.81	5.34	3.81	4.69	5.81	5.34	3.72	4.91	4.25	N	3389
1432	CUT	knippen	to cut	3.95	4.48	4.28	4.55	3.97	4.31	4.0	5.12	3.94	4.66	4.56	4.44	V	1633
1435	HUNT	jagen	to hunt	3.27	5.77	4.92	6.65	3.5	5.69	4.91	6.94	3.03	5.84	4.94	6.62	V	1409
1439	SWIM	zwemmen	swim	4.91	5.59	4.16	4.52	4.88	5.47	3.91	5.0	4.94	5.72	4.41	4.44	V	4286
1441	FLY (MOVE THROUGH AIR)	vliegen	to fly	4.89	5.38	4.47	4.52	4.91	5.38	4.0	5.25	4.88	5.38	4.94	4.19	V	3915
1442	STAND	staan	to stand	4.08	3.73	4.09	4.23	4.12	3.91	3.88	4.88	4.03	3.56	4.31	4.0	V	3343
1443	WALK	lopen	to walk	4.36	5.31	4.3	3.9	4.44	5.19	4.06	4.38	4.28	5.44	4.53	3.94	V	1956
1452	PUSH	duwen	to push	3.27	5.17	4.62	4.58	3.41	5.03	4.44	5.0	3.12	5.31	4.81	4.62	V	741
1453	WASH	wassen	to wash	4.39	4.45	3.91	4.35	4.12	4.28	3.72	5.25	4.66	4.62	4.09	3.94	V	4049
1455	PULL	trekken	to draw	3.75	5.17	4.5	4.87	3.78	5.06	4.22	5.31	3.72	5.28	4.78	4.75	V	3679
1457	SEW	naaien	to sew	3.89	4.64	3.91	6.23	3.84	4.69	4.09	7.25	3.94	4.59	3.72	5.62	V	2202
1458	SAY	zeggen	to say	4.36	4.69	4.2	4.48	4.41	4.53	3.97	5.25	4.31	4.84	4.44	4.19	V	4193
1464	LADDER	ladder	ladder	4.0	3.75	4.0	5.13	4.12	3.94	3.78	5.5	3.88	3.56	4.22	5.19	N	1813
1466	EXACT	stipt	punctual	4.97	4.14	4.64	7.23	4.97	4.19	4.41	7.25	4.97	4.09	4.88	7.5	A	3412
1468	LOOK FOR	zoeken	to search	3.84	4.95	3.62	4.97	3.94	5.03	3.44	6.0	3.75	4.88	3.81	4.38	V	4235
1469	WEEK	week	weak	4.0	3.69	3.39	5.35	3.91	3.94	3.47	5.88	4.09	3.44	3.31	5.31	A	4053
1471	WINTER	winter	winter	4.02	3.06	4.62	4.71	3.94	3.09	4.59	4.75	4.09	3.03	4.66	5.0	N	4123
1472	KEY	sleutel	key	4.44	3.44	4.12	4.55	4.41	3.62	3.94	5.31	4.47	3.25	4.31	4.31	N	3158
1474	SEA	zee	sea	5.23	4.08	5.14	4.29	4.94	3.97	4.84	4.38	5.53	4.19	5.44	4.5	N	4186
1475	COMB	kam	comb	4.2	3.34	3.66	4.87	4.12	3.69	3.38	5.5	4.28	3.0	3.94	4.62	N	1463
1476	CHAIR	stoel	chair	4.25	2.75	3.73	3.74	4.22	2.78	3.41	4.25	4.28	2.72	4.06	3.5	N	3414
1487	POUR	gieten	to pour	3.97	4.48	3.98	5.58	4.0	4.34	3.88	6.5	3.94	4.62	4.09	5.12	V	1063
1489	CLOUD	wolk	cloud	4.55	2.92	3.58	4.77	4.59	2.84	3.53	6.06	4.5	3.0	3.62	3.88	N	4136
1491	MOUSE	muis	mouse	3.8	4.36	2.75	4.23	3.88	4.19	2.72	4.44	3.72	4.53	2.78	4.5	N	2190
1494	DIE	doodgaan	to die	1.39	3.67	3.89	5.65	1.38	3.88	4.22	6.25	1.41	3.47	3.56	5.38	V	648
1495	HAPPY	gelukkig	happy	6.61	4.64	5.36	5.77	6.5	4.38	4.88	5.94	6.72	4.91	5.84	6.0	A	1004
1496	GRANDMOTHER	oma	grandmother	5.3	2.98	3.66	3.23	4.97	2.84	3.47	3.19	5.62	3.12	3.84	3.38	N	2293
1501	BORE	boren	to drill	3.55	5.14	4.8	6.61	3.66	5.0	4.66	7.06	3.44	5.28	4.94	6.5	V	384
1502	GOAT	geit	goat	4.16	3.78	3.39	4.52	4.19	3.84	3.41	4.75	4.12	3.72	3.38	4.56	N	993
1504	FLY (INSECT)	vlieg	fly	3.38	4.28	2.83	4.26	3.41	4.28	2.75	4.69	3.34	4.28	2.91	4.12	N	3914
1507	FRUIT	fruit	fruit	5.22	3.34	4.02	4.32	5.03	3.56	3.66	4.5	5.41	3.12	4.38	4.62	N	929
1514	HEN	kip	chicken	4.39	4.25	3.19	4.1	4.41	4.31	3.06	4.31	4.38	4.19	3.31	3.94	N	1552
1518	STUPID	dom	stupid	2.22	3.11	2.69	4.77	2.28	3.47	2.94	4.88	2.16	2.75	2.44	5.06	A	640
1522	SOCK	sok	sock	3.98	2.92	3.33	4.39	3.94	3.22	3.19	5.12	4.03	2.62	3.47	3.94	N	3249
153	GREY	grauw	gray	2.69	2.95	3.71	8.48	2.81	3.22	4.26	8.62	2.56	2.69	3.16	8.62	A	1133
1532	SHEAR	scheren	to shave	3.81	4.58	4.14	6.77	3.91	4.44	4.22	7.56	3.72	4.72	4.06	6.38	V	3002
1537	SPRINGTIME	lente	spring	5.77	3.98	4.27	5.42	5.59	4.0	4.22	5.69	5.94	3.97	4.31	5.56	N	1873
1539	BASKET	mand	basket	4.12	2.97	3.52	4.87	4.06	3.19	3.34	5.56	4.19	2.75	3.69	4.62	N	2020
1543	SNAIL	slak	snail	3.58	2.33	2.66	4.87	3.59	2.44	2.91	5.19	3.56	2.22	2.41	4.88	N	3145
1548	UGLY	lelijk	ugly	2.2	3.45	3.67	4.87	2.09	3.56	3.81	5.88	2.31	3.34	3.53	4.38	A	1867
1552	GLOOMY	somber	gloomy	2.38	2.62	3.11	7.16	2.44	2.59	3.09	6.88	2.31	2.66	3.12	7.75	A	3256
1554	MAN	man	man	4.7	4.17	4.91	3.9	4.53	3.84	4.69	4.31	4.88	4.5	5.12	3.94	N	2019
156	RED	ros	reddish	3.95	4.05	4.05	8.33	4.0	4.17	3.86	7.67	3.9	3.94	4.23	9.0	A	2889
1564	LAZY	lui	lazy	2.59	1.97	2.56	5.61	2.69	2.09	2.75	6.06	2.5	1.84	2.38	5.44	A	1968
1566	GUN	pistool	pistol	2.28	5.41	5.41	5.94	2.53	5.47	5.19	6.75	2.03	5.34	5.62	5.5	N	2566
1567	DOOR	deur	door	4.12	3.56	3.94	3.84	4.16	3.75	3.66	4.31	4.09	3.38	4.22	3.81	N	594
1569	CHEESE	kaas	cheese	4.84	3.12	3.86	4.39	4.78	3.28	3.72	4.75	4.91	2.97	4.0	4.44	N	1445
1572	SURPRISED	verbaasd	surprised	4.17	4.55	3.67	7.06	4.25	4.69	3.62	7.38	4.09	4.41	3.72	7.0	A	3805
1574	FLOAT	drijven	to float	4.3	3.53	3.78	6.55	4.44	3.5	3.66	7.44	4.16	3.56	3.91	6.0	V	699
1580	ONLY	enig	any	4.84	3.61	3.78	7.58	4.62	3.69	3.84	7.94	5.06	3.53	3.72	7.62	A	805
1585	SLEEP	slapen	to sleep	5.5	1.91	3.64	3.06	5.34	1.91	3.59	3.81	5.66	1.91	3.69	2.88	V	3149
1586	SMELL (PERCEIVE)	ruiken	to smell	4.53	4.36	4.11	4.81	4.34	4.34	3.81	5.31	4.72	4.38	4.41	4.69	V	2906
1593	DEEP	diep	deep	3.89	3.48	4.38	4.84	4.16	3.58	4.19	5.38	3.62	3.38	4.56	4.75	A	605
1597	AIRPLANE	vliegtuig	plane	4.61	5.3	4.69	4.74	4.53	5.31	4.38	5.31	4.69	5.28	5.0	4.31	N	3916
1601	WEAK	zwak	weak	2.48	2.51	1.91	5.77	2.5	2.71	2.19	5.75	2.47	2.31	1.62	6.19	A	4275
1607	HATE	haten	to hate	1.61	5.67	5.19	6.48	1.69	5.69	5.41	6.56	1.53	5.66	4.97	6.75	V	1226
1609	IDEA	idee	idea	5.31	4.47	4.84	6.1	5.12	4.44	4.62	6.38	5.5	4.5	5.06	6.12	N	1354
1613	COLOR	kleur	color	4.89	3.64	4.11	3.77	4.66	3.59	3.62	4.06	5.12	3.69	4.59	4.0	N	1581
1620	SON	zoon	son	5.19	4.16	4.27	4.9	5.12	4.09	4.03	4.88	5.25	4.22	4.52	5.31	N	4252
1623	SPEAK	praten	to talk	5.0	4.79	4.39	4.45	4.78	4.65	4.06	5.06	5.22	4.94	4.72	4.12	V	2667
1624	EMPTY	leeg	empty	2.94	2.38	3.12	4.26	2.94	2.53	3.16	4.75	2.94	2.22	3.09	4.25	A	1850
1625	DEAD	dood	death	1.38	2.12	5.2	5.39	1.47	2.47	5.31	5.81	1.28	1.78	5.09	5.25	A	647
1629	EVENING	avond	evening	5.0	3.61	3.97	4.19	4.84	3.41	3.69	4.5	5.16	3.81	4.25	4.38	N	120
163	BLACK	zwart	black	3.61	3.14	4.92	4.35	3.38	3.34	4.62	4.5	3.84	2.94	5.22	4.44	A	4279
1631	FAST	snel	quick	4.89	5.66	4.84	4.68	4.91	5.5	4.62	5.56	4.88	5.81	5.06	4.19	A	3220
1633	FLAT	plat	flat	3.48	2.98	3.41	5.19	3.59	3.19	3.31	5.44	3.38	2.78	3.5	5.25	A	2586
1634	HUNDRED	honderd	hundred	4.64	3.75	4.77	5.65	4.66	3.84	4.38	5.44	4.62	3.66	5.16	6.12	R	1309
1645	SHORT	kort	short	3.73	3.41	3.28	4.94	3.81	3.59	3.12	5.0	3.66	3.22	3.44	5.25	A	1696
1646	GIRL	meisje	girl	5.12	4.48	3.55	3.52	5.28	4.72	3.28	4.31	4.97	4.25	3.81	3.12	N	2067
1653	BLIND	blind	blind	2.2	3.11	3.31	5.87	2.22	3.26	3.28	6.06	2.19	2.97	3.34	6.06	A	315
1654	LIGHTNING	bliksem	lightning	3.34	6.05	5.69	5.45	3.5	6.09	5.59	5.88	3.19	6.0	5.78	5.5	N	314
