CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_CONCRETENESS_MEAN	ENGLISH_DUNNO	ENGLISH_POS	LINE_IN_SOURCE
111	DRUMMING	drums	4.79	0	Noun	10040
1110	SHARK	shark	4.93	0	Noun	9072
1111	CAR	car	4.89	0	Noun	9290
1112	SUCCEED	succeed	2.33	0	Verb	27315
1113	WRAP	wrap	4.11	1	Verb	23704
1114	BULLET	bullet	4.83	0	Noun	9736
1115	SPEECH	speech	3.37	0	Noun	16953
1117	LIKE	like	1.89	0	Preposition	23243
1120	HONEST	honest	1.66	0	Adjective	5684
1121	SECRET	secret	2.19	0	Noun	21204
1122	WAGES	wages	3.96	0	Noun	14609
1125	BALD	bald	4.69	0	Adjective	40
1126	CITRUS FRUIT	citrus fruit	4.65	0	#N/A	29915
1127	SEND	send	2.7	0	Verb	26429
1128	ORDER	order	2.79	0	Noun	19075
1129	PAINFUL	painful	3.43	0	Adjective	796
113	SHORE	beach	4.79	0	Noun	10002
1130	WE (EXCLUSIVE)	we	3.08	0	Pronoun	23287
1132	BEAM	beam	3.96	0	Noun	14520
1133	MATCH	match	4.14	0	Noun	13809
1134	DIVORCE	divorce	3.25	0	Noun	17375
1135	KICK	kick	4.33	4	Verb	23513
1137	TENDON	tendon	4.47	0	Noun	12156
1139	LEOPARD	leopard	5	0	Noun	8649
1140	FATIGUE	fatigue	3.14	0	Noun	17763
1141	PITY	pity	1.87	0	Noun	22262
1142	URINE	urine	4.93	0	Noun	9099
1143	OVEN	oven	4.97	0	Noun	8773
1144	WITNESS	witness	4.07	0	Noun	14169
1145	SWAMP	swamp	4.96	1	Noun	8920
1146	AUBERGINE	eggplant	4.97	0	Noun	8748
1147	PURE	pure	1.87	0	Adjective	4953
1148	BRUISE	bruise	4.73	0	Noun	10448
1149	ORPHAN	orphan	4.04	0	Noun	14241
1150	THUNDER	thunder	4.34	0	Noun	12844
1151	VEIL	veil	4.45	0	Noun	12287
1152	BEGET	beget	2.25	4	Verb	27477
1153	CATTLE	ox	4.86	1	Noun	9561
1154	OLIVE	olive	4.9	0	Adjective	25
1155	CAVE	cave	4.96	0	Noun	8830
1156	OPEN	open	3.21	0	Verb	25280
1157	BECAUSE	because	1.22	0	Conjunction	8031
1158	STEP	steps	4.39	0	Noun	12599
1159	FART	fart	4.18	0	Noun	13619
1160	THIEF	thief	4.37	0	Noun	12713
1161	THREAD	thread	4.83	0	Noun	9812
1162	INTENTION	intention	1.7	0	Noun	22698
1163	BRIBE (AMOUNT)	bribe	3.44	0	Verb	24779
1165	MOUSTACHE	moustache	4.96	0	Noun	8890
117	IMITATE	imitate	2.66	0	Verb	26516
1171	MIRROR	mirror	4.97	0	Noun	8769
1172	SHOOT	shoot	3.97	0	Verb	23861
1173	EYEBROW	eyebrow	4.85	0	Noun	9651
1174	YESTERDAY	yesterday	3	0	Adverb	6242
1176	SPADE	spade	4.46	0	Noun	12217
1177	DIARRHEA	diarrhea	4.52	0	Noun	11827
1178	NOSTRIL	nostril	4.89	0	Noun	9337
118	BEWITCH	bewitch	2.11	1	Verb	27829
1181	PALM TREE	palm	4.83	0	Noun	9787
1182	NOISE	noise	3.52	0	Noun	16367
1184	DIMINISH	diminish	2.5	0	Verb	26905
1185	VULTURE	vulture	4.73	0	Noun	10491
1187	GOOSE	goose	4.81	0	Noun	9910
1188	CHARCOAL	charcoal	4.85	0	Noun	9638
1189	ULCER	ulcer	4.69	0	Noun	10788
119	DIVE	dive	4.03	0	Verb	23802
1190	HARE	hare	4.88	1	Noun	9422
1192	THREATEN	threaten	2.63	0	Verb	26598
1193	STEAM	steam	4.5	0	Noun	11995
1194	BEAVER	beaver	4.68	0	Noun	10803
1195	GIVE BIRTH	give birth	4	0	#N/A	31041
1197	BABOON	baboon	4.92	0	Noun	9113
1198	MANY	numerous	2.57	0	Adjective	2332
1199	WIFE	wife	4.13	0	Noun	13849
12	MIDDAY	noon	2.67	0	Noun	19524
1200	HUSBAND	husband	4.11	1	Noun	13920
1201	FEATHER	feather	4.9	0	Noun	9205
1202	BIG	big	3.66	0	Adjective	537
1204	BARK	bark	4.52	0	Noun	11807
1205	TONGUE	tongue	4.93	0	Noun	9094
1208	CAT	kitty	4.97	0	Name	8121
1209	I	I	3.93	0	Pronoun	23273
121	SPIN	spin	3.9	0	Verb	23945
1210	HEAVY	heavy	3.37	0	Adjective	869
1214	THIS	this	2.14	0	Determiner	8049
1215	THOU	thou	2.19	2	Pronoun	23312
1216	MOTHER	mother	4.6	0	Noun	11391
1217	FATHER	father	4.52	0	Noun	11832
1218	ROPE	rope	4.93	0	Noun	9068
122	CART	wagon	4.89	0	Noun	9390
1220	TAIL	tail	4.96	0	Noun	8921
1221	NOSE	nose	4.89	0	Noun	9336
1222	PENIS	penis	5	0	Noun	8671
1223	HEART	heart	4.52	0	Noun	11845
1224	LIVER	liver	4.68	0	Noun	10839
1225	DAY (NOT NIGHT)	daytime	4.31	0	Noun	12969
1226	YEAR	year	3.25	0	Noun	17403
1227	BOARD	board	4.57	1	Noun	11544
1228	EARTH (SOIL)	soil	4.87	0	Noun	9483
1229	OLD	overgrown	3.28	0	Adjective	991
123	FOREHEAD	forehead	4.9	0	Noun	9209
1230	DIRTY	dirty	4.23	0	Adjective	144
1231	NEW	new	2.81	0	Adjective	1799
1233	NIGHT	night	4.52	0	Noun	11860
1234	SMOOTH	smooth	3.81	0	Adjective	407
1235	WHO	who	1.74	0	Pronoun	23325
1236	WHAT	what	2	0	Determiner	8051
1237	WHERE	where	1.66	0	Adverb	7634
1238	WHEN	when	1.6	0	Conjunction	8019
1239	HOW	how	1.35	0	Adverb	7970
124	THORN	thorn	5	0	Name	8118
1240	NOT	not	2.08	0	Not	8553
1241	SOME	some	2.48	0	Determiner	8042
1243	WIDE	broad	2.45	0	Adjective	2632
1245	BUTTER	butter	4.9	0	Noun	9186
1246	SMALL	small	3.22	0	Adjective	1076
1247	EAR	ear	5	0	Noun	8606
1248	EYE	eye	4.9	0	Noun	9203
125	SWEAT (SUBSTANCE)	sweat	4.71	0	Noun	10620
1250	JAGUAR	jaguar	4.9	0	Noun	9220
1251	BELLY	belly	4.8	0	Noun	9949
1252	HOUSE	house	5	0	Noun	8637
1254	HANDLE	handle	4.57	0	Verb	23414
1257	WING	wing	4.86	0	Noun	9622
1258	FINGERNAIL	fingernail	4.93	0	Noun	8998
1259	WEDDING	wedding	3.92	0	Noun	14784
1260	DAY (24 HOURS)	day	3.92	0	Noun	14736
1261	SING	sing	4.34	0	Verb	23503
1263	SISTER	sister	4	0	Noun	14453
1265	HIGH	tall	3.36	0	Adjective	889
1266	BRIDE	bride	4.63	0	Noun	11160
1267	NARROW	narrow	3.04	0	Adjective	1404
1268	YES	yes	2.14	0	Interjection	8093
1269	NO	no	2.45	0	Interjection	8083
127	EXTINGUISH	extinguish	3.47	0	Verb	24721
1270	WHY	why	1.86	0	Adverb	7277
1271	DELIGHT	please	1.64	0	Adverb	7661
1273	CANDLE	candle	4.86	0	Noun	9504
1274	SALT	salt	4.89	0	Noun	9358
1275	ANSWER	answer	2.89	0	Verb	26007
1276	AUTUMN	autumn	3.27	0	Noun	17298
1277	HAND	hand	4.72	0	Noun	10522
1278	VOMIT	vomit	4.75	0	Verb	23365
1279	FAT (OBESE)	fatness	3.18	0	Noun	17638
128	MUMBLE	mumble	3.69	2	Verb	24319
1281	PRISON	prison	4.68	0	Noun	10851
1282	FAT (FROM ANIMALS)	lard	4.88	1	Noun	9429
1283	TODAY	today	2.57	0	Adverb	6377
1285	IMPORTANT	important	2.14	0	Adjective	3735
1287	COLD	coldness	3.33	0	Noun	17040
1289	BABY	baby	5	0	Noun	8559
129	CHOKE	choke	3.97	0	Verb	23852
1290	ELEPHANT	elephant	5	0	Noun	8609
1292	BAD	bad	1.68	1	Adjective	5616
1293	MISTAKE	mistake	1.97	0	Noun	21931
1294	ZERO	zero	2.86	0	Number	23203
1296	WALKING STICK	walking stick	4.85	0	#N/A	29340
1297	LEG	leg	4.83	0	Noun	9774
1298	NEWSPAPER	newspaper	4.82	0	Noun	9856
1299	COFFEE	coffee	4.81	1	Noun	9896
13	DECEIT	deceit	2.37	0	Noun	20527
1300	COUNTRY	country	4.17	0	Noun	13657
1303	FINGER	finger	5	0	Noun	8615
1304	CHILD (YOUNG HUMAN)	kids	4.61	0	Noun	11339
1305	CHIMNEY	chimney	5	0	Noun	8590
1306	QUEEN	queen	4.45	0	Noun	12271
1307	LANGUAGE	language	2.35	0	Noun	20622
1309	ASK (INQUIRE)	inquire	2.38	0	Verb	27191
131	FESTIVAL	festival	4.33	0	Noun	12867
1310	CLEVER	clever	1.79	0	Adjective	5234
1311	VERY	very	1.43	0	Adverb	7926
1312	FOX	fox	4.97	0	Name	8120
1313	MOON	moon	4.9	0	Noun	9232
1314	QUIET	quiet	2.76	0	Adjective	1896
1315	RADIO	radio	4.74	0	Noun	10424
1316	TENT	tent	4.96	0	Noun	8925
1319	COWARD	coward	2.93	0	Noun	18538
132	SAUCE	sauce	4.75	0	Noun	10368
1320	APPLE	apple	5	0	Noun	8556
1321	BOTTLE	bottle	4.91	5	Noun	9161
1322	BREAKFAST	breakfast	4.43	0	Noun	12355
1323	CLOCK	clock	5	0	Noun	8592
1324	SLIP	slip	4.1	0	Verb	23717
1325	FRIEND	friend	3.07	0	Noun	18026
1326	DOWN	down	3.52	1	Adverb	6176
1327	UNCLE	uncle	4.24	0	Noun	13356
1329	TOMORROW	tomorrow	2.04	0	Adverb	6920
133	WEAVE	weave	4.2	0	Verb	23611
1330	DEFEND	defend	2.31	0	Verb	27346
1332	NEIGHBOUR	neighbor	4.64	0	Noun	11111
1333	NECK	neck	5	0	Noun	8661
1334	GUTS	guts	3.85	0	Noun	15073
1335	WHITE	white	3.89	0	Adjective	340
1336	EAT	eat	4.44	0	Verb	23460
1337	PIG	hog	4.66	0	Noun	10985
1338	PEACE	peace	1.62	0	Noun	22866
1339	MORNING	morning	3.44	0	Noun	16670
134	FAULT	fault	2.41	0	Noun	20378
1340	WITH	with	2	0	Preposition	23242
1342	SUMMER	summer	3.64	0	Noun	15927
1343	SUN	sun	4.83	0	Noun	9808
1344	RAM	ram	4.55	0	Noun	11696
1346	THROAT	throat	4.97	0	Noun	8792
1347	NAPE (OF NECK)	nape	4.44	1	Noun	12319
135	BOOMERANG	boomerang	4.7	1	Noun	10636
1350	MONKEY	monkey	4.9	0	Noun	9231
1352	KNIFE	knife	4.9	0	Noun	9226
1353	HOUR	hour	3.1	0	Noun	17920
1354	NEXT	next	2.56	1	Number	23205
1355	LAUGH	laugh	4.21	0	Verb	23594
1356	NUMBER	number	3.3	0	Noun	17184
1357	DAUGHTER	daughter	4.79	0	Noun	10033
1358	ENEMY	enemy	2.83	0	Noun	18910
1359	SEPARATE	separate	3.25	0	Adjective	1034
136	HERE	here	3.13	0	Adverb	6220
1360	DUCK	duck	4.86	0	Noun	9529
1361	TOOL	tool	4.6	0	Noun	11398
1362	STREET	street	4.75	0	Noun	10372
1363	VOICE	voice	4.13	0	Noun	13848
1364	HEALTHY	healthy	3.31	0	Adjective	939
1365	KITCHEN	kitchen	4.97	0	Noun	8760
1366	BOY	boy	4.76	0	Noun	10253
1368	BREAD	bread	4.92	0	Noun	9118
1369	GOLD	gold	4.81	0	Noun	9909
1370	MONTH	month	4.2	0	Noun	13536
1371	KNEE	knee	5	0	Noun	8644
1372	MEDICINE	medicine	4.79	0	Noun	10072
1373	TEA	tea	4.69	0	Noun	10784
1374	RING	ring	4.81	0	Noun	9931
1375	WINDOW	window	4.86	0	Noun	9619
1376	NOW	now	1.48	0	Adverb	7885
1377	VISIT	visit	3.92	1	Verb	23934
1378	SPOON	spoon	4.96	0	Noun	8915
1379	TELEPHONE	telephone	4.96	0	Noun	8924
138	BATHE	bathe	4.19	1	Verb	23613
1380	TOOTH	tooth	4.89	0	Noun	9377
1381	SHOE	shoe	4.97	0	Noun	8782
1382	NEEDLE (FOR SEWING)	needle	4.93	0	Noun	9035
1383	GRANDFATHER	grandfather	4.86	0	Noun	9537
1384	SECOND	second	3.3	0	Noun	17189
1385	PEPPER	pepper	4.59	0	Noun	11450
1386	LION	lion	4.96	0	Noun	8880
1387	ARRIVE	arrive	3.22	0	Verb	25247
1388	SHADE	shadow	4.54	0	Noun	11759
1389	TOE	toe	4.93	0	Noun	9093
139	GUMS	gum	4.89	0	Noun	9315
1390	WRONG	wrong	1.83	0	Adjective	5131
1392	LOUSE	lice	4.73	0	Noun	10467
1394	BONE	bone	4.9	0	Noun	9177
1395	ROUND	circular	3.79	2	Adjective	414
1396	SHARP	sharp	3.86	0	Adjective	357
1398	DRY	dry	3.77	0	Adjective	437
1399	CLAY	clay	4.93	0	Noun	8975
14	YOKE	yoke	4.83	1	Noun	9818
140	PADDY FIELD	field	4.26	0	Noun	13239
1400	THIN (SLIM)	skinny	3.57	0	Adjective	636
1402	BREAST	breasts	5	0	Noun	8580
1403	BITE	bite	4.44	0	Verb	23458
1404	STRAIGHT	straight	2.76	0	Adverb	6305
1405	NAME	name	3.5	1	Noun	16429
1406	FAR	far	2.71	1	Adverb	6324
1407	BREATHE	breathe	4.07	0	Verb	23734
1408	HEAR	hear	3.66	0	Verb	24379
1409	SEE	see	3.21	0	Verb	25291
1412	RUDE	rude	2.52	0	Adjective	2456
1413	PLAY	play	3.24	0	Verb	25224
1414	SQUEEZE	squeeze	3.75	0	Verb	24206
1415	THINK (REFLECT)	think	2.41	0	Verb	27132
1416	SIT	sitting	3.76	0	Verb	24186
1417	KILL	kill	3.9	0	Verb	23942
1418	DIG	dig	4.33	0	Verb	23511
1420	COUNT	count	3	0	Verb	25727
1421	SUCK	suck	3.46	0	Verb	24753
1422	BE ALIVE	alive	3.14	0	Adjective	1218
1424	YELLOW	yellow	4.3	0	Adjective	116
1426	EXPENSIVE	expensive	3.13	0	Adjective	1244
1427	BEAUTIFUL	beautiful	2.16	0	Adjective	3659
1428	BURNING	burn	4.11	0	Verb	23686
1429	FULL	full	3.59	0	Adjective	603
143	HUMID	humid	3.48	0	Adjective	742
1430	STAR	star	4.69	0	Noun	10779
1431	FREEZE	freeze	3.96	0	Verb	23876
1434	STAB	prick	3.91	1	Noun	14793
1435	HUNT	hunt	3.81	0	Verb	24106
1436	SCRATCH	scratch	4.16	0	Verb	23651
1437	SPLIT	split	3.96	0	Verb	23887
1438	FOOL	fool	3.19	0	Noun	17597
1439	SWIM	swim	4.43	0	Verb	23469
144	MACHINE	machine	4.25	0	Noun	13290
1440	SPIT	spit	4.71	0	Verb	23377
1441	FLY (MOVE THROUGH AIR)	fly	4.64	0	Verb	23390
1442	STAND	upright	3.59	0	Adjective	617
1443	WALK	walk	4.07	0	Verb	23761
1444	TURN AROUND	turn around	3.8	0	#N/A	31348
1445	TURN (SOMETHING)	turn over	3.93	0	#N/A	31151
1446	COME	come	2.72	0	Verb	26375
1447	GIVE	gave	2.38	0	Verb	27187
1448	HOLD	hold	3.68	0	Verb	24334
1449	RUB	rub	4.33	0	Verb	23515
145	SORROWFUL	sorrowful	1.74	0	Adjective	5442
1450	ROOM	room	4.79	0	Noun	10092
1451	SMILE	smile	4.5	0	Noun	11990
1452	PUSH	push	4.21	0	Verb	23596
1454	WIPE	wipe	4	0	Verb	23848
1455	PULL	pull	3.97	0	Verb	23858
1456	THROW	throw	4.04	1	Verb	23794
1457	SEW	sew	3.93	0	Verb	23914
1458	SAY	said	2.97	0	Verb	25825
1459	IF	if	1.19	0	Conjunction	8034
146	SUGAR CANE	sugarcane	4.89	1	Noun	9372
1460	IN	in	3	0	Preposition	23215
1461	AT	at	2.07	0	Preposition	23240
1462	POT	pot	4.81	0	Noun	9929
1463	DRUNK	drunk	3.48	0	Adjective	740
1464	LADDER	ladder	5	0	Noun	8645
1465	BOX	box	4.9	0	Noun	9180
1466	EXACT	exact	2.54	0	Adjective	2387
1467	CIRCLE	circle	4.44	0	Noun	12302
1468	LOOK FOR	search	3	0	Noun	18342
1469	WEEK	week	3.48	0	Noun	16551
1470	FOLD	fold	4.13	0	Verb	23677
1471	WINTER	winter	3.84	0	Noun	15135
1472	KEY	key	4.89	0	Noun	9324
1473	FIST	fist	4.93	0	Noun	9002
1474	SEA	sea	4.79	0	Noun	10098
1476	CHAIR	chair	4.58	0	Noun	11491
1477	KEEP	keep	2.37	0	Verb	27216
1478	WITHOUT	without	2.15	1	Preposition	23238
1479	DOLPHIN	dolphin	4.96	0	Noun	8846
148	ITCH	itch	3.15	0	Noun	17727
1480	BODY	body	4.79	0	Noun	10009
1481	HAMMER	hammer	4.77	0	Noun	10217
1482	SHOULDER	shoulder	4.93	0	Noun	9074
1483	NINE	nine	4.04	0	Number	23150
1485	BELOW OR UNDER	below	3.45	0	Adverb	6181
1487	POUR	pour	4.14	0	Verb	23671
1488	FAUCET	tap	4.29	0	Noun	13116
149	ITCHY	itchy	3.21	0	Adjective	1095
1493	ONE	one	3.97	0	Number	23151
1494	DIE	die	3.07	0	Verb	25576
1495	HAPPY	happy	2.56	0	Adjective	2350
1496	GRANDMOTHER	grandmother	4.65	0	Noun	11038
1497	POSTCARD	postcard	4.93	0	Noun	9062
1498	TWO	two	4.18	0	Number	23147
1499	JUICE	juice	4.89	0	Noun	9323
15	OTTER	otter	4.86	0	Noun	9560
150	WORRY	worry	2.55	0	Verb	26804
1500	FOUR	four	3.37	0	Number	23186
1501	BORE	bore	2.96	0	Verb	25841
1503	SALIVA	saliva	4.89	0	Noun	9357
1504	FLY (INSECT)	housefly	4.96	0	Adverb	6130
1505	SPERM	sperm	4.82	0	Noun	9869
1506	MEASURE	measure	3.59	0	Verb	24501
1507	FRUIT	fruit	4.81	0	Noun	9908
1508	KING	king	4.1	0	Noun	13976
1509	MOSQUITO	mosquito	4.88	0	Noun	9432
151	RAZOR	razor	4.9	0	Noun	9251
1510	CHIN	chin	4.89	0	Noun	9295
1511	ROOSTER	rooster	4.75	0	Noun	10367
1512	RISE (ONESELF)	arise	3.17	0	Verb	25371
1514	HEN	hen	4.9	0	Noun	9218
1515	TEN	ten	3.39	0	Number	23183
1517	WASP	wasp	4.96	0	Noun	8938
1518	STUPID	stupid	1.75	0	Adjective	5414
1519	RUN	run	4.31	0	Verb	23537
152	HOOF	hoof	4.89	0	Noun	9318
1520	CRUSH	crush	3.9	0	Noun	14802
1521	SEEM	seem	1.75	0	Verb	28479
1522	SOCK	sock	4.91	7	Noun	9166
1523	FORGET	forget	2.04	0	Verb	27980
1524	WINE	wine	4.79	0	Noun	10124
1525	COAST	coast	4.21	0	Noun	13451
1526	MEAL	meal	4.62	0	Noun	11263
1527	TICK	tick	4.57	0	Noun	11602
1528	FORGIVE	forgive	1.92	0	Verb	28235
1529	LAST (FINAL)	last	3.04	0	Number	23198
153	GREY	grey	4.11	0	Adjective	185
1530	BOWL	bowl	4.87	0	Noun	9450
1531	BRANCH	limb	4.64	0	Noun	11105
1532	SHEAR	shear	3.37	2	Verb	24948
1533	BE HUNGRY	hungry	2.9	0	Adjective	1638
1534	FEVER	fever	3.27	0	Noun	17309
1535	SWORD	sword	4.93	0	Noun	9085
1536	UNDERSTAND	understand	2.28	0	Verb	27433
1538	SCORPION	scorpion	4.84	0	Noun	9718
1539	BASKET	basket	5	0	Noun	8565
154	UDDER	udder	5	1	Noun	8715
1540	EYELASH	eyelash	5	0	Noun	8612
1541	CULTIVATE	cultivate	3.14	1	Verb	25435
1542	ACCOMPANY	accompany	3.07	0	Verb	25566
1543	SNAIL	snail	4.93	0	Noun	9077
1544	SOMETIMES	sometimes	1.77	0	Adverb	7429
1545	HOST	host	3.63	0	Noun	15948
1546	TWICE	twice	2.93	0	Adverb	6255
1547	SOUP	soup	4.72	0	Noun	10552
1548	UGLY	ugly	3.23	0	Adjective	1069
1549	TRIBE	tribe	4.14	0	Noun	13830
155	CHOP	chop	4.48	0	Noun	12039
1550	PREVENT	prevent	2.34	0	Verb	27285
1552	GLOOMY	gloomy	2.52	0	Adjective	2439
1555	CHAMELEON	chameleon	4.68	1	Noun	10815
1556	YOLK	yolk	4.78	1	Noun	10192
1557	BEGINNING	beginning	2.5	0	Noun	20062
1558	SIMILAR	similar	2.46	0	Adjective	2620
1559	MONEY	money	4.54	0	Noun	11748
156	RED	red	4.24	0	Adjective	140
1560	FACE	face	4.87	0	Noun	9462
1561	ARMY	army	4.7	0	Noun	10630
1562	MIND	mind	2.5	0	Noun	20084
1563	PYTHON	python	4.96	1	Noun	8902
1564	LAZY	lazy	2.67	0	Adjective	2090
1566	GUN	gun	4.83	0	Noun	9762
1567	DOOR	door	4.81	0	Noun	9901
1568	ARRANGE	arrange	2.79	0	Verb	26241
1569	CHEESE	cheese	4.7	0	Noun	10645
157	DYE	dye	4.58	0	Noun	11496
1570	EQUAL	equal	2.56	0	Adjective	2346
1571	SELL	sell	3.35	1	Verb	24989
1572	SURPRISED	surprised	2.5	0	Adjective	2523
1573	SWELL	swell	3.31	0	Adjective	948
1574	FLOAT	float	4.07	0	Verb	23738
1575	COCKROACH	cockroach	4.96	0	Noun	8835
1576	PILE UP	pile up	3.85	1	#N/A	31274
1577	AND	and	1.52	0	Conjunction	8023
1578	IGUANA	iguana	4.83	0	Noun	9772
1579	BE	be	1.85	1	Verb	28325
158	PUT ON	clothe	3.5	3	Verb	24661
1580	ONLY	only	2.41	0	Adverb	6468
1581	ALLIGATOR	alligator	4.96	0	Noun	8801
1583	BRAIN	brain	4.69	1	Noun	10725
1584	BLISTER	blister	4.71	0	Noun	10572
1585	SLEEP	sleep	4.44	0	Verb	23464
1587	SMELL (STINK)	stink	3.72	0	Verb	24257
1589	HUMMINGBIRD	hummingbird	4.96	0	Noun	8866
159	SWEET POTATO	sweet potato	5	0	#N/A	28790
1590	WAIT (FOR)	wait	2.68	0	Verb	26481
1591	UP	up	3.83	0	Adverb	6159
1592	CHEST	chest	4.93	0	Noun	8970
1593	DEEP	deep	3.38	0	Adjective	854
1594	FLOUR	flour	4.97	0	Noun	8751
1595	SOUTH	south	3.84	0	Noun	15128
1596	LOCK	lock	4.65	0	Verb	23389
1597	AIRPLANE	airplane	4.96	0	Noun	8800
1598	NORTH	north	4.14	0	Noun	13811
1599	WORD	word	3.56	0	Noun	16255
16	SLED	sleigh	4.71	0	Noun	10618
160	SET (HEAVENLY BODIES)	set	3.41	0	Verb	24867
1600	SKIRT	skirt	4.82	0	Noun	9867
1601	WEAK	weak	2.79	0	Adjective	1842
