CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_RT_MEAN	ENGLISH_RT_ZSCORE	ENGLISH_ACCURACY_PERCENTAGE	LINE_IN_SOURCE
3679	GROWL	growl	570.868421052632	-0.380309870483388	1.0	37972
3681	PARTRIDGE	partridge	644.351351351351	-0.0158443148393306	0.975	44067
3683	CACKLE	cackle	680.314285714286	0.252710999972932	0.921052631578947	30338
3684	PECK	peck	589.081081081081	-0.323296132596971	0.973684210526316	44249
3685	HISS	hiss	612.027027027027	-0.157999916264484	0.925	38901
3687	DESERT	desert	609.472222222222	-0.136310209909233	0.973684210526316	33597
3688	MARSH	marsh	566.15	-0.454431005137326	1.0	41773
3689	BUBBLE	bubble	524.205128205128	-0.641420209436515	0.975	29986
369	OWE	owe	608.131578947368	-0.190207976798538	0.95	43782
3695	MOVEMENT	movement	529.55	-0.652676836695719	1.0	42658
3697	DIP	dip	532.615384615385	-0.572356353883277	0.975	33789
3698	SINGE	singe	710.526315789474	0.594949130007944	0.526315789473684	49232
370	BARTER	barter	618.387096774194	-0.0271358137245197	0.842105263157895	28357
3700	LENGTHEN	lengthen	606.769230769231	-0.179420813823601	1.0	40823
3701	HOLLOW	hollow	567.684210526316	-0.477198081857294	0.95	38995
3703	STICKY	sticky	571.305555555556	-0.479979600482815	1.0	51100
3707	BEIGE	beige	632.848484848485	-0.146159315059727	0.894736842105263	28644
3709	BRILLIANT	brilliant	518.864864864865	-0.777485573745692	1.0	29830
3712	RAINCOAT	raincoat	572.447368421053	-0.347476677996549	0.95	46288
3713	PHARYNX	pharynx	808.0	0.804091052308522	0.368421052631579	44486
3714	LARYNX	larynx	782.25	0.854639066958403	0.6	40574
3717	BADGER	badger	582.0	-0.43084872506449	0.975	28136
3719	MARMOT	marmot	698.846153846154	0.585113638615902	0.394736842105263	41753
372	POINTED	pointed	524.763157894737	-0.627864519472827	1.0	45064
3721	FINCH	finch	682.137931034483	0.422678111093529	0.789473684210526	35746
3724	STORK	stork	648.3125	0.099388601511393	0.825	51263
3728	COURGETTE	courgette	667.411764705882	0.105359153301491	0.921052631578947	32419
3729	LETTUCE	lettuce	574.918918918919	-0.493640768889504	0.973684210526316	40872
3731	LYCHEE	lychee	644.5625	0.174063012841509	0.825	41484
3733	FERRY	ferry	622.2	-0.237072845304567	1.0	35600
3734	CHIMPANZEE	chimp	605.628571428571	-0.0966174077118337	0.875	31131
3736	INSTEP	instep	737.913043478261	0.58060990491731	0.631578947368421	39662
3739	MARTEN	marten	686.666666666667	0.734773023887137	0.105263157894737	41780
374	ONE TIME	once	552.297297297297	-0.650795186240355	1.0	43532
3740	WHIRLWIND	whirlwind	637.194444444444	-0.0490208007054967	0.973684210526316	55116
3743	BRASS	brass	612.051282051282	-0.126774281304108	0.975	29659
3746	VASE	vase	622.425	-0.15178803003077	1.0	54253
3747	SHAPE	form	549.914285714286	-0.52222519031418	0.921052631578947	36416
375	SNIFF	sniff	578.621621621622	-0.40435883790076	1.0	49901
3750	KHAKI	khaki	698.037037037037	0.407748646891906	0.710526315789474	40176
3752	LILAC	lilac	585.675675675676	-0.228498907077395	0.925	40981
3756	FLORAL	floral	573.567567567568	-0.349160388388082	0.925	36091
3757	MUGGY	muggy	672.068965517241	0.181028837607066	0.763157894736842	42719
3758	WINDY	windy	547.105263157895	-0.571405968949296	0.95	55299
