ENGLISH	Sound mean	Sound n	Color mean	Color n	Manipulation mean	Manipulation n	Motion mean	Motion n	Emotion mean	Emotion n
feint	0.52	33	0.13	31	0.77	31	1.08	26	-1.33	33
fence	0.30	10	2.00	12	2.21	14	0.00	9	-0.54	13
ferry	3.27	11	1.45	11	2.77	13	2.27	11	0.83	12
festival	4.87	31	3.69	29	2.16	31	3.26	27	3.37	30
fetish	0.76	29	0.47	30	1.91	32	1.04	27	0.60	30
feudalism	0.83	30	0.52	33	1.33	30	0.63	27	-2.32	28
fever	0.10	10	1.80	10	1.42	12	0.85	13	-3.45	11
fib	1.39	31	0.12	33	2.23	30	0.43	30	-1.60	30
fiddle	4.51	39	2.29	42	3.91	45	2.08	39	1.41	41
figment	0.32	31	0.34	32	1.52	29	0.32	28	0.29	28
finch	2.45	33	3.75	32	1.19	31	2.42	26	0.76	33
finger	0.44	27	2.13	31	3.84	32	2.92	26	0.30	30
fire	2.82	11	4.85	13	3.15	13	2.92	13	-0.83	12
firefly	0.84	31	4.50	32	1.09	32	3.04	27	2.14	29
fireman	3.27	30	4.48	31	2.21	33	3.42	31	2.26	31
fireplace	2.09	43	3.44	43	2.80	46	1.03	36	2.44	39
fireworks	5.56	34	5.09	33	3.00	32	3.80	25	3.90	31
fish	1.33	12	2.58	12	2.00	14	3.08	12	0.33	12
fisherman	1.65	40	1.51	43	1.48	42	2.05	38	1.19	42
flag	2.40	10	4.55	11	2.92	13	2.45	11	2.67	12
flair	1.64	33	1.44	32	1.19	31	1.76	29	0.50	30
flame	2.42	12	4.92	12	1.77	13	3.00	13	-1.64	11
flamingo	1.22	32	5.55	33	1.23	30	2.48	27	2.40	30
flask	0.77	13	1.27	11	2.85	13	1.20	10	0.08	12
flea	0.77	13	2.27	11	1.92	12	2.45	11	-3.09	11
flesh	0.50	12	2.92	12	2.36	14	1.00	11	-2.33	12
flock	2.90	31	0.94	33	1.43	30	2.19	27	0.42	31
flood	3.14	14	2.33	12	1.15	13	3.75	12	-2.83	12
flower	0.24	42	5.28	43	2.10	42	1.03	36	3.83	42
flute	4.83	40	2.54	46	4.43	42	1.40	42	1.36	42
foam	1.36	11	1.67	12	1.38	13	0.92	13	0.42	12
foe	0.66	32	0.61	33	1.29	31	0.93	28	-2.97	30
fog	0.20	10	2.09	11	0.42	12	1.08	13	-0.58	12
folly	1.00	31	0.16	31	1.27	33	0.63	27	-1.59	32
fool	1.58	31	0.47	32	2.13	30	1.04	26	-2.03	31
foot	1.29	41	1.71	42	3.38	45	3.39	38	-0.02	43
football	3.51	41	3.68	41	3.95	44	3.82	39	2.35	43
footwear	0.91	43	2.70	46	2.98	41	1.90	39	1.51	41
forest	1.80	40	4.74	43	2.02	41	1.26	38	2.30	43
forfeit	0.66	29	0.06	34	1.59	32	0.69	26	-2.84	31
fork	1.33	12	2.31	13	3.15	13	0.43	14	0.54	13
fort	1.82	11	0.77	13	1.64	14	0.33	12	-0.33	12
foul	1.24	29	0.66	32	1.29	28	1.23	26	-2.57	30
fountain	3.19	43	2.60	43	2.28	46	2.90	41	2.25	44
fox	2.04	45	3.90	41	1.23	44	3.76	42	0.63	41
franchise	0.62	32	0.71	31	2.23	30	0.58	26	0.53	30
freezer	1.55	33	1.48	33	2.61	31	0.29	28	-0.03	31
friend	3.07	42	1.76	45	2.40	42	2.05	40	4.60	43
frog	3.08	12	5.00	11	0.92	13	2.92	13	0.92	12
frost	0.45	11	2.27	11	1.08	13	0.30	10	-0.09	11
frown	0.15	13	0.42	12	2.77	13	0.67	12	-4.17	12
fruit	0.85	13	4.64	11	3.55	11	0.15	13	2.67	12
fugitive	0.74	31	1.06	32	2.43	30	3.79	28	-2.71	31
fun	3.67	30	1.07	29	2.37	30	2.46	24	4.91	32
funeral	1.76	33	3.56	34	1.23	31	1.28	29	-5.47	32
fur	0.33	42	3.00	44	1.77	43	0.79	38	0.44	41
furnace	2.92	12	1.67	12	2.50	14	0.42	12	-0.25	12
furniture	0.55	42	2.65	43	2.75	40	0.46	35	0.78	40
gait	0.90	31	0.55	33	1.37	30	2.00	26	0.03	31
galaxy	1.36	11	2.55	11	0.67	12	1.64	11	1.54	13
gallant	0.47	30	0.19	32	1.36	28	0.50	28	1.43	30
gallery	0.73	11	2.58	12	1.36	11	0.00	11	1.55	11
garden	0.83	29	4.61	31	3.37	30	0.82	28	2.65	31
garlic	0.46	13	2.00	12	2.00	12	0.25	12	-0.46	13
gasp	3.18	28	0.12	32	1.88	32	1.17	29	-1.44	32
gate	1.61	28	1.67	30	3.24	29	1.65	26	-0.10	30
gavel	3.32	31	1.87	31	2.35	31	0.97	29	-1.28	29
gazelle	1.93	28	2.87	31	1.16	32	3.75	28	0.90	30
gecko	0.76	33	4.25	32	0.87	30	2.89	27	0.32	31
geese	3.89	45	3.15	41	1.09	44	3.51	37	0.74	43
gem	0.24	42	4.50	44	1.86	43	0.30	37	3.16	45
geography	0.23	30	1.45	31	0.59	32	0.56	27	0.87	31
giant	3.36	11	1.33	12	0.92	13	1.67	12	-0.08	12
gift	1.42	12	2.10	10	2.50	14	1.17	12	3.69	13
gin	0.82	11	1.36	11	3.15	13	0.83	12	0.50	12
girl	2.82	11	2.83	12	2.08	13	3.82	11	3.46	13
gist	0.36	33	0.06	33	0.75	28	0.24	29	0.43	30
glacier	1.00	11	1.77	13	1.54	13	2.17	12	1.00	13
glass	2.92	13	1.67	12	2.86	14	0.36	11	0.91	11
glove	0.70	10	1.70	10	2.23	13	0.64	11	0.62	13
glut	0.39	31	0.35	31	1.31	29	0.35	26	-1.78	32
goal	2.60	10	0.17	12	2.62	13	1.83	12	3.55	11
goat	3.23	13	1.91	11	2.00	11	3.80	10	0.00	13
goldfish	0.66	29	5.29	31	1.29	31	2.54	26	2.20	30
golf	1.98	45	2.32	44	3.26	43	2.38	40	1.29	41
golfer	2.18	34	1.80	30	2.45	29	2.52	29	1.58	31
gong	5.28	32	2.06	36	3.47	30	1.64	25	0.10	31
goof	1.56	32	0.32	31	1.13	31	1.23	30	1.69	29
gorilla	3.88	32	4.09	34	1.11	28	3.07	30	0.52	31
gossip	3.21	33	0.30	30	3.55	29	1.64	28	-2.87	31
gown	0.55	11	2.10	10	2.77	13	1.08	12	2.58	12
grape	0.42	12	4.73	11	2.64	14	0.00	11	1.92	12
grass	0.64	11	4.85	13	2.25	12	0.67	12	1.00	12
gratitude	1.15	34	0.34	32	1.60	30	0.30	27	3.50	30
grave	0.40	10	1.75	12	1.71	14	0.14	14	-4.17	12
gravel	2.64	11	2.70	10	2.14	14	0.64	11	-0.50	12
gravity	0.62	32	0.19	31	0.79	28	2.65	26	0.70	30
gravy	0.55	11	3.17	12	2.29	14	0.92	12	1.00	13
greed	0.59	29	1.22	32	2.30	30	0.79	29	-4.39	33
grenade	5.39	33	2.53	32	3.27	30	3.60	30	-3.94	32
grief	1.94	31	0.61	31	1.00	29	0.40	25	-4.47	30
grievance	1.45	33	0.81	31	1.66	32	0.65	26	-3.30	30
grizzly	2.83	30	2.38	34	1.14	29	2.14	28	-1.39	31
groan	4.16	32	0.16	32	2.13	30	0.79	29	-2.53	30
groundhog	1.03	33	2.74	31	1.10	30	2.41	27	0.55	29
growl	4.41	32	0.31	32	1.90	31	1.50	24	-2.25	32
grunt	4.16	32	0.12	33	1.93	30	0.89	27	-1.48	31
guilt	0.71	31	0.55	29	2.07	29	0.32	28	-3.75	32
gum	2.52	31	3.56	32	3.48	31	2.14	28	1.06	31
gun	4.86	44	2.62	42	4.33	43	2.62	37	-3.33	42
gunshot	5.45	29	0.64	33	2.17	30	3.11	27	-4.39	28
gut	1.12	32	1.00	34	1.50	32	0.85	27	-2.12	32
hailstorm	4.41	32	2.68	31	0.59	27	3.69	26	-2.23	31
hair	0.47	43	3.83	46	3.50	42	1.49	39	1.19	42
hairbrush	1.10	30	1.91	32	4.07	30	1.28	25	0.71	28
hairpin	0.09	11	1.42	12	3.43	14	0.46	13	0.67	12
hall	3.10	10	0.70	10	1.31	13	0.64	11	0.08	12
ham	0.14	42	3.47	43	2.12	43	0.36	45	0.18	44
hammer	4.58	12	1.33	12	3.33	12	2.58	12	-1.38	13
hamster	1.48	27	2.83	30	1.77	31	3.33	27	1.00	32
hand	0.95	41	2.55	44	3.36	44	2.65	40	0.74	43
handler	0.87	30	0.16	31	1.97	33	1.50	28	-0.25	32
handshake	0.85	27	0.37	35	3.63	30	2.89	27	2.13	31
hardware	2.29	41	1.40	45	3.29	41	0.77	35	-0.02	43
harmonica	4.83	29	1.85	33	4.21	29	1.42	26	1.40	30
harp	4.73	44	2.44	41	3.91	43	1.20	40	1.85	41
harvest	0.92	12	2.92	13	2.83	12	0.75	12	1.77	13
hat	0.25	12	2.27	11	3.15	13	0.50	12	0.46	13
hatchet	2.79	33	2.00	32	3.50	32	1.89	28	-1.33	33
hawk	3.26	38	3.41	41	1.14	44	4.10	39	0.44	43
hay	0.41	41	3.51	41	2.38	42	0.70	40	0.29	41
head	0.36	11	1.17	12	3.46	13	2.33	12	0.92	12
heart	3.25	12	4.30	10	3.00	13	3.70	10	3.33	12
hedge	0.44	9	2.67	12	1.42	12	0.27	11	0.25	12
heel	0.75	12	1.50	12	3.38	13	1.62	13	-0.33	12
heir	0.57	30	0.23	31	0.85	27	0.82	28	0.97	29
helmet	0.82	11	1.83	12	2.67	12	0.77	13	-1.08	12
hen	3.00	39	3.16	45	1.86	42	2.50	42	0.00	41
heredity	0.13	31	0.24	33	1.24	29	0.46	26	0.67	30
heresy	1.23	31	0.00	31	1.87	30	0.71	28	-2.06	32
hero	1.31	29	1.09	34	1.21	28	2.26	27	4.35	31
heroin	0.90	10	0.82	11	3.23	13	1.17	12	-3.92	13
heroism	1.03	29	0.72	32	2.21	33	1.69	29	4.17	30
hierarchy	0.71	31	0.30	33	1.41	27	0.66	29	-0.73	30
hill	0.58	12	2.33	12	1.00	14	0.33	9	1.25	12
hint	0.62	32	0.03	32	1.97	32	0.34	29	1.87	31
hockey	4.43	44	1.75	44	2.93	42	4.34	38	1.84	43
hoe	0.93	30	1.94	33	3.26	27	1.36	28	-0.47	30
hog	2.87	30	3.23	31	1.78	32	2.16	32	-0.03	31
holiday	2.38	42	3.57	44	1.41	44	2.11	37	4.73	41
home	2.15	41	2.14	43	2.41	44	0.82	40	4.50	40
honey	0.17	40	4.26	43	2.00	44	0.58	43	2.54	41
honeymoon	1.93	43	1.85	46	1.93	44	2.15	41	4.48	42
hoof	3.09	11	1.38	13	1.38	13	2.60	10	0.31	13
hoot	4.10	29	0.35	31	1.61	31	0.90	30	0.43	28
hope	0.64	33	0.61	31	1.84	32	0.96	27	4.43	30
horn	5.09	43	2.02	43	3.22	41	1.03	38	-0.14	44
horse	3.62	45	3.70	44	2.00	40	4.03	37	1.70	43
hose	2.08	40	2.68	44	3.05	44	1.64	39	0.50	42
hospital	2.70	40	2.71	42	1.69	42	2.02	40	-2.55	38
hotel	3.00	13	1.08	12	0.93	14	0.90	10	2.25	12
hound	4.00	10	2.27	11	2.69	13	4.09	11	1.83	12
house	3.00	13	1.54	13	1.83	12	0.92	13	2.73	11
housefly	2.10	29	2.50	30	1.17	29	3.54	28	-2.16	31
hurricane	4.93	41	2.07	44	0.92	48	5.15	39	-3.88	43
hut	0.50	10	1.50	10	2.07	14	0.15	13	-0.08	12
hygiene	0.56	32	0.66	32	2.61	31	0.70	30	1.65	31
hymn	3.97	33	0.61	31	2.43	30	0.86	28	0.58	31
hypnotic	0.90	29	0.50	32	2.00	33	0.66	29	-0.10	29
ice	1.35	43	2.48	46	2.55	42	0.89	35	0.40	40
iguana	0.97	32	4.35	34	1.65	31	2.04	28	0.73	33
illusion	0.45	29	1.22	32	1.54	28	0.59	27	0.30	30
immensity	0.56	32	0.30	33	1.39	33	0.62	29	-0.03	31
immunity	0.44	32	0.15	34	1.34	29	0.71	28	1.73	30
impetus	0.27	30	0.23	31	0.93	30	0.37	27	-1.10	29
inanimate	0.16	31	0.20	30	0.50	30	0.30	30	-0.67	30
inanity	0.33	30	0.09	32	0.97	29	0.33	27	-0.81	31
incense	0.38	13	0.58	12	2.36	14	1.25	12	0.83	12
increment	0.28	29	0.10	30	1.17	30	0.69	26	0.00	31
indolence	0.26	31	0.06	32	0.81	27	0.25	28	-1.23	31
inebriety	0.86	29	0.19	31	1.74	31	0.67	24	-0.86	29
infant	4.67	12	1.91	11	2.79	14	2.91	11	2.77	13
infantry	3.27	33	0.72	29	1.90	31	2.52	27	-0.81	31
inferno	3.23	31	3.53	34	1.07	27	2.00	27	-2.55	31
infinity	0.74	31	0.38	32	0.26	31	1.34	29	1.32	31
injury	1.92	13	0.55	11	3.07	14	1.77	13	-3.73	11
ink	0.30	43	4.31	45	2.63	43	0.86	36	-0.04	46
inn	1.55	11	0.77	13	1.00	12	0.91	11	1.67	12
innocence	0.37	30	0.71	31	1.32	31	0.18	28	2.45	31
insect	2.55	11	2.17	12	1.25	12	3.18	11	-2.33	12
insolence	0.25	32	0.25	32	0.71	31	0.37	27	-2.53	32
insult	2.50	32	0.27	30	2.21	29	0.69	26	-3.78	32
intellect	0.23	30	0.42	31	2.24	29	0.38	26	3.27	30
interim	0.31	29	0.00	28	1.04	28	0.29	31	-0.45	31
intestate	1.44	34	0.71	31	1.33	33	1.52	27	-0.18	28
intruder	2.62	32	1.25	32	2.00	31	3.28	29	-4.45	29
invader	2.37	30	0.53	30	2.44	32	3.18	28	-3.63	30
ire	0.18	28	0.30	33	0.97	31	0.14	28	-0.48	29
iron	1.29	14	1.42	12	3.17	12	0.62	13	-0.83	12
irony	0.48	31	0.45	31	1.24	33	0.54	28	0.54	28
island	1.27	11	4.31	13	1.00	13	0.15	13	3.58	12
ivy	0.21	43	4.62	45	1.10	41	0.65	40	0.10	41
jacket	1.10	10	2.46	13	3.75	12	0.83	12	0.58	12
jaguar	2.94	32	4.48	31	1.39	33	4.74	27	2.16	31
jail	3.42	12	0.67	12	1.62	13	0.64	11	-4.17	12
jam	1.43	44	3.73	44	2.24	42	0.64	39	1.07	40
jar	2.00	11	1.25	12	3.42	12	0.08	12	0.18	11
jargon	2.48	29	0.28	36	1.03	30	0.52	27	-0.63	27
jaw	0.80	44	1.20	44	2.88	41	2.51	39	-0.52	44
jealousy	0.50	32	1.44	32	2.24	29	0.84	25	-4.45	31
jeep	3.73	11	1.73	11	2.92	13	4.18	11	1.92	12
jeer	2.50	32	0.16	32	1.81	31	1.36	28	-2.20	30
jelly	0.08	13	4.45	11	3.69	13	0.46	13	1.27	11
jeopardy	2.07	30	1.03	30	1.17	29	1.00	29	-0.07	28
jet	4.98	43	2.12	41	2.84	45	5.14	36	1.05	40
jewel	0.73	11	4.00	10	2.42	12	0.36	11	3.08	13
jockey	2.31	13	1.69	13	1.50	14	2.58	12	0.08	12
jogger	2.03	29	1.78	32	1.86	28	4.25	28	2.13	31
joke	3.18	33	0.69	32	2.58	33	1.17	29	3.50	32
jolt	2.40	30	0.91	33	1.45	29	3.88	26	-1.16	32
joviality	2.26	31	0.30	30	1.48	29	1.62	26	3.04	28
joy	2.35	31	1.32	31	1.97	31	1.24	29	5.19	31
judge	3.25	12	1.42	12	1.85	13	2.64	11	-0.33	12
juggler	1.66	32	2.39	33	2.50	28	3.96	25	1.61	31
juice	0.83	12	4.09	11	2.67	12	0.73	11	2.92	12
jungle	3.58	31	4.94	34	1.25	28	2.11	28	2.00	31
jury	2.80	10	0.91	11	2.92	12	1.09	11	-0.82	11
kennel	3.82	11	1.23	13	1.75	12	0.38	13	-2.17	12
ketchup	1.34	32	5.19	32	2.24	29	0.59	27	1.17	30
kettle	2.92	12	1.75	12	2.23	13	0.64	11	0.09	11
key	1.39	44	2.55	42	3.29	42	0.97	40	1.00	43
keyboard	3.33	30	1.94	32	4.22	32	1.82	28	0.79	29
kick	2.33	12	0.25	12	3.00	14	3.58	12	-1.31	13
kid	3.73	30	2.21	33	2.74	31	3.92	25	3.27	30
killer	2.10	30	1.45	33	1.81	31	2.84	25	-5.55	29
kin	0.90	31	0.43	30	1.32	28	0.69	29	2.16	32
king	2.14	44	2.68	41	2.14	44	2.23	40	2.02	43
kiss	2.77	44	2.69	42	4.28	36	3.14	43	4.64	42
kitchen	2.32	31	1.90	30	2.53	30	0.85	27	1.59	29
kite	0.96	46	3.77	44	3.73	44	3.44	39	2.22	41
kitten	3.25	12	3.00	12	3.00	14	3.33	12	1.75	12
knee	0.64	11	1.36	11	3.58	12	2.55	11	-0.33	12
knife	1.50	14	1.25	12	3.29	14	1.17	12	-2.58	12
knight	2.64	11	2.36	11	1.08	12	2.91	11	0.64	11
knob	1.78	9	0.82	11	3.08	13	0.91	11	-0.18	11
knowledge	0.87	31	0.65	31	2.50	30	0.73	26	3.83	30
lacrosse	2.79	29	1.40	30	3.09	33	4.42	26	0.76	29
lag	0.33	33	0.12	33	0.74	31	0.83	29	-1.61	31
lake	1.90	10	4.20	10	1.67	12	1.46	13	4.08	12
lamb	2.85	13	3.42	12	1.75	12	1.85	13	1.33	12
lament	0.82	33	0.19	31	2.12	33	0.37	30	-1.81	31
lamp	1.33	12	2.77	13	2.69	13	0.10	10	0.62	13
land	1.08	12	3.09	11	2.54	13	0.09	11	1.58	12
landslide	3.41	32	2.36	33	1.32	31	4.31	26	-2.73	30
lantern	0.58	12	3.00	12	2.91	11	0.60	10	0.92	12
lark	2.27	11	2.58	12	1.17	12	2.17	12	0.42	12
laud	0.93	29	0.09	34	1.04	28	0.29	28	0.27	30
laughter	4.95	43	1.10	40	2.37	43	2.67	36	4.95	43
laundry	2.73	11	2.33	12	3.50	12	0.83	12	-1.36	11
lava	1.68	31	5.10	31	1.23	30	2.76	29	-1.68	31
law	0.88	32	0.41	32	2.09	33	0.55	29	0.32	31
lawn	1.50	10	5.10	10	1.92	13	0.64	11	0.82	11
leaf	1.25	12	4.31	13	1.08	13	1.08	13	0.91	11
lease	0.48	33	0.06	32	1.73	30	0.36	28	-0.83	30
leather	0.67	12	3.42	12	2.85	13	0.18	11	0.67	12
lecture	3.80	10	0.00	10	1.15	13	0.92	12	-1.91	11
lecturer	3.77	44	0.57	42	1.47	45	1.72	36	-0.95	40
leg	0.67	42	1.75	44	3.45	42	3.52	40	0.52	42
legality	0.67	30	0.09	33	1.35	31	0.24	25	-0.19	31
lemon	0.58	12	4.91	11	2.67	12	0.08	12	0.58	12
lemonade	0.64	45	5.05	43	2.49	43	0.47	40	2.56	45
lenient	0.26	31	0.09	32	0.79	29	0.34	29	1.23	31
lens	0.40	10	1.15	13	2.85	13	0.25	12	0.77	13
letter	0.27	11	0.83	12	3.31	13	0.91	11	2.75	12
levity	0.53	32	0.18	33	1.07	30	0.37	27	0.21	29
library	1.50	12	1.46	13	1.36	14	0.42	12	0.83	12
lice	0.12	32	1.67	33	1.53	30	2.23	30	-3.55	31
lid	0.90	31	1.28	32	3.09	32	0.45	29	0.09	33
lien	0.45	29	0.23	31	0.93	29	0.54	26	-0.27	30
lightbulb	0.60	30	3.97	32	2.67	30	0.61	28	0.68	31
lightning	2.32	41	4.75	44	0.93	44	4.48	42	0.02	42
limb	0.58	12	1.08	13	2.83	12	2.10	10	-0.25	12
lime	0.38	13	4.80	10	2.36	14	0.18	11	0.75	12
limited	0.23	30	0.13	31	0.67	30	0.26	27	-1.87	31
limousine	2.45	47	3.45	44	2.86	42	3.59	41	2.85	41
linen	0.77	13	3.73	11	1.91	11	0.45	11	0.55	11
lion	4.55	11	4.17	12	1.92	13	4.00	13	-0.42	12
lip	1.61	41	3.88	41	3.02	41	2.50	42	1.61	44
liquid	1.46	13	1.82	11	1.75	12	2.45	11	0.45	11
liquor	1.20	10	1.58	12	4.23	13	0.75	12	1.25	12
literal	0.24	34	0.03	33	1.07	30	0.26	27	0.52	29
liver	0.46	13	2.73	11	2.23	13	0.75	12	-1.27	11
loan	0.10	30	0.30	33	1.57	30	0.39	28	-0.73	30
lobster	1.00	10	5.08	12	2.38	13	1.92	13	0.25	12
lollipop	0.79	33	4.22	32	3.28	29	0.59	29	2.73	30
loon	3.15	33	2.73	30	1.03	29	1.96	26	1.52	31
loot	1.22	9	1.08	12	2.50	12	0.91	11	-0.08	12
luck	0.52	31	1.19	32	0.89	28	0.71	28	2.91	32
luggage	0.90	30	2.13	31	2.00	30	1.30	27	0.34	29
lunch	2.08	12	1.44	9	3.46	13	0.85	13	1.92	12
lust	1.71	28	1.16	31	1.79	29	1.92	25	1.00	27
lyric	3.59	32	0.30	33	2.24	34	1.04	28	2.04	28
machete	2.39	33	1.42	31	3.33	30	2.48	27	-2.10	29
machine	4.17	42	1.50	44	4.21	42	2.80	41	0.02	44
mad	2.00	28	0.94	32	1.61	28	0.88	25	-3.94	32
madness	2.43	30	0.77	31	1.79	28	1.64	25	-3.17	30
magazine	0.95	41	2.83	46	2.98	42	0.61	36	1.60	43
magician	2.27	41	2.85	41	2.52	46	2.56	39	1.77	43
majority	1.03	30	0.18	33	1.07	30	0.69	26	0.61	31
malady	0.90	29	0.09	32	1.59	32	0.41	27	-1.31	29
malice	0.83	30	0.33	33	2.17	30	0.78	27	-3.77	31
man	2.79	29	2.03	34	3.06	31	3.56	27	1.58	31
mandarin	1.04	28	4.06	32	1.76	29	0.72	29	1.10	29
mandolin	3.62	29	1.42	31	3.13	31	1.55	29	1.12	34
mansion	2.55	11	2.00	11	1.83	12	0.23	13	2.82	11
map	0.72	40	2.95	43	2.15	41	0.61	41	0.86	43
marble	1.08	12	3.25	12	2.08	13	1.23	13	1.00	11
market	2.86	14	1.64	11	2.07	14	1.85	13	1.42	12
marvel	0.68	31	0.27	33	1.12	32	0.52	29	2.28	32
mast	0.62	45	1.21	43	2.38	45	0.91	35	0.43	42
mastery	0.42	31	0.47	30	1.43	30	0.52	27	2.43	30
mastiff	0.59	29	0.91	33	1.52	31	1.00	23	0.50	28
matador	2.18	33	2.41	32	2.10	31	2.81	26	-0.30	30
match	1.28	29	2.42	33	3.25	28	1.26	27	0.26	31
math	0.51	35	0.25	32	2.74	31	0.52	29	-0.93	28
matinee	2.81	32	1.45	33	1.19	32	0.64	28	1.73	30
maze	0.27	11	0.27	11	1.83	12	1.00	12	-0.18	11
meadow	1.09	11	4.23	13	0.79	14	0.75	12	3.25	12
meal	1.45	11	2.82	11	2.73	11	0.75	12	2.54	13
measles	0.60	10	2.83	12	1.58	12	0.08	12	-3.92	12
meat	0.55	11	3.67	12	2.67	12	0.33	12	0.85	13
medicine	0.48	46	1.49	43	3.59	44	1.44	41	2.41	41
megaphone	5.30	30	1.70	30	2.87	30	0.93	29	0.42	31
menace	1.47	30	0.40	35	1.31	32	1.04	27	-2.74	31
menu	0.62	13	0.78	9	2.33	12	0.40	10	1.50	12
mercy	0.68	31	0.35	31	1.59	29	0.62	26	1.03	29
message	2.04	28	0.27	33	2.11	28	0.63	30	1.54	28
microwave	2.77	31	1.23	30	2.97	31	1.07	28	0.70	30
milk	1.30	10	4.00	11	2.57	14	0.77	13	2.36	11
mind	0.93	30	1.50	32	2.86	29	1.68	25	2.38	32
miner	2.67	45	1.95	42	1.30	43	3.30	37	-0.14	43
minister	2.90	48	1.51	41	1.41	44	1.84	38	0.93	42
mink	0.75	12	3.25	12	2.54	13	1.54	13	0.08	12
mirror	0.64	11	1.50	12	2.82	11	0.31	13	0.08	12
mischief	1.31	32	0.50	32	2.27	30	1.38	29	-2.06	31
missile	4.70	44	1.64	45	3.64	42	4.38	39	-3.17	42
mist	1.15	13	1.08	12	0.33	12	1.55	11	2.08	12
misuse	0.39	31	0.03	32	1.43	30	0.63	27	-3.03	30
moccasin	0.70	44	2.76	42	2.74	42	1.27	41	0.59	41
modernist	0.94	33	0.33	33	0.86	28	0.85	27	1.26	31
monarch	1.00	12	4.18	11	1.67	12	1.67	12	1.17	12
monastery	1.40	10	1.50	12	1.00	14	0.15	13	0.33	12
money	2.25	12	4.67	12	4.08	13	0.92	12	3.00	13
monkey	3.88	41	3.76	46	2.14	44	3.87	38	2.18	44
moon	0.69	13	3.50	12	0.64	14	1.83	12	2.91	11
moonlight	0.20	44	4.32	47	0.58	38	0.51	37	3.73	44
moose	2.35	31	3.56	32	1.37	30	2.72	29	1.03	29
moral	0.28	32	0.26	34	2.12	33	0.48	29	2.22	32
morgue	0.58	43	1.56	43	1.35	43	0.26	38	-4.72	43
morning	1.40	40	2.98	41	0.43	42	1.24	37	1.20	41
morphine	0.27	44	0.49	45	2.44	45	0.77	39	-0.14	43
mosquito	3.22	45	2.05	43	1.93	43	3.36	42	-3.19	43
moss	0.46	13	5.10	10	0.69	13	0.33	12	0.75	12
moth	0.45	11	2.23	13	1.54	13	2.86	14	-0.82	11
mother	3.30	10	2.18	11	1.91	11	3.36	11	4.25	12
motive	0.45	31	0.28	32	2.22	32	0.75	28	0.63	30
mountain	1.34	41	3.57	44	0.60	42	0.34	38	2.27	45
mouse	1.69	42	3.53	43	1.57	44	3.62	39	-0.38	40
mouth	3.41	46	2.93	44	3.84	43	3.05	42	1.26	42
movie	4.40	10	2.08	12	3.15	13	1.42	12	2.45	11
mucus	0.36	11	2.36	11	1.25	12	1.10	10	-3.17	12
mud	1.09	43	4.34	44	1.52	42	0.78	41	-0.24	42
mug	0.80	10	1.08	12	3.23	13	0.45	11	-0.23	13
mule	2.91	11	2.08	13	1.15	13	2.67	12	-0.09	11
murmur	2.40	30	0.17	29	1.56	32	0.69	29	-0.94	31
muscle	0.53	43	2.00	43	4.14	42	3.62	39	1.81	42
mushroom	0.04	28	3.85	33	1.93	30	0.41	27	0.25	28
music	5.29	28	2.22	32	3.29	28	2.20	25	3.55	29
musical	5.30	30	1.00	34	3.07	30	2.10	31	2.57	30
musician	4.48	42	1.47	43	1.95	41	2.58	43	2.80	44
musket	3.85	33	1.85	34	3.27	33	2.52	27	-1.26	27
mustard	0.63	43	5.05	41	2.00	40	0.34	41	0.07	45
mystery	0.43	28	0.67	33	1.04	27	0.85	27	0.76	29
mystic	0.45	31	1.06	33	1.09	34	0.48	25	1.17	29
nail	2.10	42	2.60	47	3.35	43	0.87	39	-0.76	42
nap	0.75	32	0.32	34	1.47	30	0.22	27	3.74	31
napkin	0.60	10	1.82	11	4.08	13	0.27	11	0.42	12
navy	2.85	41	3.93	45	1.47	43	2.74	39	0.58	43
nay	1.75	32	0.10	31	0.75	32	0.25	28	-0.97	29
neck	0.30	10	1.36	11	2.69	13	2.18	11	0.42	12
necklace	0.38	40	3.00	43	2.50	44	0.51	37	2.29	42
nectarine	0.18	33	4.82	34	2.07	29	0.15	27	1.84	31
needle	0.93	14	1.17	12	3.42	12	0.82	11	-1.91	11
nest	0.67	12	1.82	11	1.57	14	0.45	11	1.33	12
neuter	0.70	33	0.12	33	2.00	31	0.73	26	-2.65	31
newspaper	1.82	44	3.05	44	2.98	43	0.74	38	0.84	44
nickel	0.67	9	2.77	13	2.67	12	0.67	12	0.42	12
night	2.07	14	3.45	11	1.00	12	1.40	10	1.82	11
nightfall	1.02	40	4.14	44	0.52	46	0.90	39	2.43	44
nightgown	0.18	28	2.16	32	2.45	31	0.59	29	1.43	30
noise	5.07	30	0.47	32	2.83	29	1.63	27	-0.79	29
nose	1.61	44	2.24	45	1.91	44	0.76	37	-0.24	45
noun	0.79	28	0.34	35	1.81	32	0.43	28	0.19	31
nowhere	0.33	30	0.19	32	0.76	29	0.43	28	-1.35	31
number	0.06	31	0.45	29	2.07	30	0.33	30	0.38	32
nun	1.31	39	3.68	44	1.28	47	1.82	38	0.95	43
nurse	2.25	12	1.45	11	1.23	13	3.73	11	1.67	12
oak	0.40	43	3.45	44	1.00	43	0.32	38	1.26	43
oatmeal	0.45	11	3.30	10	3.00	13	0.23	13	1.58	12
oblique	0.03	29	0.35	31	1.03	30	0.62	24	0.25	32
