ENGLISH	Sound mean	Sound n	Color mean	Color n	Manipulation mean	Manipulation n	Motion mean	Motion n	Emotion mean	Emotion n
buckle	1.82	11	1.25	12	2.46	13	0.18	11	-0.09	11
bugle	4.52	31	1.84	31	3.45	29	1.08	25	0.07	28
builder	4.45	11	1.17	12	2.67	12	3.90	10	0.64	11
bull	3.58	31	3.53	30	2.50	32	3.52	25	-1.62	29
bullet	3.75	44	2.14	42	2.64	47	4.49	39	-3.55	42
bunny	1.26	31	4.06	32	1.41	29	3.47	30	2.55	31
burden	0.36	33	0.24	34	1.11	27	0.50	28	-3.41	32
burglar	1.68	31	1.75	32	2.43	30	3.16	25	-4.30	30
bus	4.53	30	4.56	32	2.77	30	3.74	27	0.47	30
business	1.18	34	0.76	33	2.90	29	1.68	28	1.28	32
butcher	2.75	12	1.91	11	1.31	13	3.46	13	-2.09	11
butter	0.18	11	3.75	12	2.67	12	0.58	12	0.31	13
butterfly	0.62	45	5.31	45	1.74	42	3.77	39	3.00	42
button	1.31	13	2.55	11	3.00	13	0.27	11	0.31	13
buzzer	4.97	30	0.79	29	2.21	29	1.70	27	-0.62	29
bye	2.16	32	0.23	35	1.35	31	0.72	29	-2.47	32
cab	3.34	32	4.79	34	2.94	32	3.97	32	-0.10	31
cabbage	0.26	43	3.83	42	2.29	41	0.23	35	-0.74	42
cabin	2.00	12	2.69	13	1.38	13	0.00	11	3.75	12
cackle	4.35	31	0.33	30	1.47	30	1.33	30	-1.27	33
cafe	3.70	10	1.92	13	2.42	12	0.70	10	1.75	12
cafeteria	3.47	32	1.97	33	1.19	32	1.30	30	0.53	30
cage	2.38	13	0.83	12	2.82	11	0.09	11	-3.08	12
cake	0.50	10	3.64	11	3.58	12	0.18	11	3.73	11
calculus	0.56	32	0.30	30	2.71	28	0.59	27	-2.28	29
calf	2.35	46	2.52	42	1.66	44	2.56	36	0.96	46
calmness	0.34	29	0.42	31	1.23	30	0.14	28	3.00	32
camel	1.28	43	3.72	43	2.00	41	2.34	41	0.16	43
camera	2.04	47	2.55	44	4.00	45	1.23	39	2.19	43
camp	2.91	11	2.27	11	1.67	12	0.92	12	1.73	11
canal	1.45	11	1.58	12	2.00	12	2.00	12	0.67	12
cancer	0.40	43	0.79	42	1.51	41	1.54	39	-5.38	42
candle	0.60	10	3.50	12	2.36	14	1.64	11	3.55	11
candy	1.69	13	3.45	11	2.92	12	0.64	14	2.92	12
cane	1.02	42	1.68	44	2.86	44	1.18	40	-0.95	42
canine	3.52	31	2.78	32	2.04	27	2.78	27	1.39	31
cannon	5.19	43	2.21	47	3.63	41	3.24	38	-1.89	45
canoe	2.00	11	1.62	13	2.69	13	3.00	11	1.62	13
cap	0.25	28	2.61	31	2.65	31	0.46	26	0.44	32
cape	0.73	11	1.64	11	2.62	13	1.17	12	0.55	11
car	4.16	45	3.09	46	4.24	45	4.54	41	2.07	44
card	1.17	12	2.00	11	2.69	13	1.00	14	1.17	12
career	0.60	30	0.66	32	2.63	30	1.21	29	2.32	31
carnage	1.57	28	1.75	32	1.16	31	1.07	30	-3.63	30
carnival	4.94	31	3.97	33	2.63	30	3.64	28	2.66	32
carousal	3.09	33	3.81	32	2.10	30	3.70	30	1.63	30
carriage	2.50	34	2.21	33	2.70	30	3.07	28	1.15	33
carrot	1.07	44	5.27	45	2.07	43	0.16	38	0.84	44
cart	2.00	13	1.09	11	3.00	13	2.00	13	-0.45	11
cash	1.09	43	4.02	45	3.26	42	1.12	40	3.00	44
cat	3.05	44	3.49	45	1.84	43	3.44	39	0.93	40
cathedral	2.46	41	3.02	46	1.33	42	0.23	39	1.72	43
cattle	3.00	11	2.80	10	2.15	13	3.17	12	-0.42	12
causality	0.64	28	0.23	30	1.13	31	0.89	28	-1.55	29
cavalry	3.70	33	1.23	31	1.66	29	2.83	29	-0.26	31
cave	1.58	12	1.36	11	0.93	14	0.00	10	-0.77	13
ceiling	0.50	12	1.75	12	0.77	13	0.00	11	-0.17	12
cell	1.00	12	1.17	12	1.14	14	1.31	13	-0.42	12
cellar	0.92	13	0.64	11	1.27	11	0.17	12	-1.64	11
cement	1.00	12	1.42	12	2.42	12	0.15	13	-0.62	13
cereal	1.67	12	3.70	10	2.58	12	0.42	12	1.69	13
chain	2.92	12	1.69	13	2.67	12	1.00	12	-1.27	11
chair	1.00	11	1.42	12	3.23	13	0.20	10	0.36	11
chalk	1.95	42	3.80	44	3.63	41	0.76	38	0.42	43
chapel	2.67	12	2.69	13	1.38	13	0.20	10	2.83	12
charity	0.43	30	0.44	32	2.14	29	0.80	25	2.71	31
charm	1.28	32	0.85	33	1.17	29	0.37	27	2.37	30
cheat	0.41	29	0.18	34	1.83	30	1.04	26	-4.38	29
cheek	0.40	10	2.15	13	2.62	13	2.44	9	1.36	11
cheer	4.97	30	0.65	31	2.34	29	1.90	29	4.32	28
cheese	0.23	31	4.84	31	2.57	30	0.23	30	1.53	30
cheetah	2.28	32	4.76	33	1.08	26	5.30	27	1.41	32
cherry	0.27	44	5.50	44	1.88	41	0.30	40	1.91	43
chest	1.36	14	1.00	12	2.79	14	0.40	10	0.85	13
chestnut	0.50	42	3.63	46	1.82	44	0.28	43	0.44	43
chicken	4.00	13	2.50	12	2.62	13	3.82	11	1.83	12
child	3.92	40	2.29	45	3.00	42	4.25	40	3.27	45
children	4.32	37	2.19	42	2.84	43	4.66	38	3.56	41
chime	4.30	30	1.03	32	2.28	29	1.70	30	1.45	31
chimp	3.79	34	3.64	33	1.74	27	3.39	28	1.80	30
chin	0.30	10	1.82	11	2.15	13	1.55	11	0.18	11
china	3.00	10	2.91	11	1.85	13	0.50	10	1.55	11
chipmunk	2.32	31	3.52	31	1.25	32	3.68	28	1.58	31
chisel	3.00	13	0.82	11	3.77	13	1.50	12	-0.08	12
chocolate	0.57	42	4.84	43	3.18	45	0.39	41	3.61	41
choir	5.20	44	1.40	45	2.27	44	1.15	40	1.27	44
chop	4.20	10	0.64	11	1.38	13	2.15	13	-0.75	12
chord	3.61	31	0.43	30	2.41	32	1.03	29	1.50	32
church	3.67	12	2.54	13	1.77	13	0.77	13	0.55	11
cider	0.36	11	4.60	10	3.08	12	0.43	14	1.83	12
cigar	0.67	42	3.19	42	4.64	45	0.32	38	-0.56	45
cigarette	0.78	46	2.51	45	5.25	44	0.78	40	-4.49	41
circus	4.93	42	3.91	45	1.93	42	3.50	36	1.36	45
city	4.90	10	2.27	11	1.15	13	3.82	11	1.09	11
clang	4.78	32	0.40	30	1.28	29	1.57	28	-0.94	32
clap	4.52	31	0.18	33	3.52	29	2.71	28	2.07	28
clarinet	4.70	43	3.09	44	4.10	42	1.10	39	0.78	40
claw	2.42	12	0.92	13	2.38	13	1.86	14	-2.45	11
clay	0.51	41	3.02	44	4.67	46	0.54	39	0.25	44
cleanness	0.47	30	1.50	30	2.50	30	0.62	26	2.93	29
clemency	0.24	33	0.12	34	1.13	31	0.56	27	0.50	30
cliff	0.40	10	1.42	12	0.92	12	0.00	13	0.17	12
climber	1.88	32	0.94	31	2.48	27	3.69	29	0.81	32
clock	3.00	11	0.75	12	3.00	13	3.25	12	-0.58	12
clothing	0.49	43	3.27	44	3.42	45	0.56	39	2.11	44
cloud	0.50	12	3.45	11	0.42	12	2.00	11	1.82	11
clover	0.09	11	3.92	12	2.42	12	0.50	12	2.58	12
clown	3.19	42	4.84	43	1.58	43	2.95	39	0.75	44
clue	0.97	29	0.15	33	1.39	31	0.58	26	0.86	29
coach	3.64	11	1.27	11	2.71	14	2.20	10	1.58	12
coal	0.18	11	4.90	10	2.69	13	0.18	11	-1.73	11
coast	2.22	9	3.17	12	1.00	14	1.25	12	1.77	13
coat	0.83	12	1.70	10	3.33	12	0.60	10	1.42	12
cockroach	1.39	31	3.48	33	1.27	30	2.93	29	-3.43	28
cocktail	0.93	42	3.47	47	2.74	47	0.78	41	2.23	44
cod	0.58	31	2.34	32	1.66	32	1.93	28	0.29	31
coffee	1.18	40	4.55	47	3.36	45	0.94	36	0.50	44
coffin	0.73	11	1.67	12	2.08	13	0.38	13	-4.73	11
coin	1.75	12	2.83	12	3.15	13	1.00	14	2.00	12
collar	0.36	11	1.40	10	2.54	13	0.33	12	-0.08	13
college	3.21	43	1.56	41	1.15	40	2.22	36	3.09	44
colonel	3.00	12	1.62	13	0.55	11	1.80	10	0.25	12
comb	0.52	31	1.76	34	3.43	30	1.63	27	0.68	34
commotion	4.87	31	0.88	32	2.03	32	3.96	27	-1.66	29
composure	0.47	30	0.20	30	1.70	30	0.45	31	2.07	30
computer	2.36	33	2.34	32	4.33	30	1.48	27	1.89	27
cone	0.80	10	1.55	11	2.92	13	0.27	11	0.54	13
confetti	1.57	28	4.77	31	2.59	32	2.82	28	3.14	28
conflict	3.07	28	0.27	33	2.24	29	1.27	26	-3.43	30
convent	1.92	12	0.82	11	1.36	11	0.73	11	0.00	10
coral	0.30	10	4.64	11	1.38	13	0.50	10	1.91	11
cork	2.27	44	2.41	44	2.48	42	0.95	37	0.00	43
corkscrew	1.30	30	2.12	33	3.59	32	1.27	26	-0.45	33
corn	1.00	11	4.91	11	3.07	14	0.00	10	2.00	12
corpse	0.05	41	1.64	44	1.80	44	0.60	43	-4.95	41
corridor	1.50	12	1.64	11	0.92	13	1.09	11	-0.92	12
cottage	1.78	9	2.75	12	1.42	12	0.00	10	2.00	11
cotton	0.17	12	2.17	12	2.50	12	0.09	11	0.08	12
cough	4.23	30	0.06	32	2.30	30	1.41	29	-2.87	31
court	2.17	12	1.18	11	2.33	12	0.92	12	-1.82	11
cow	3.48	40	4.19	43	2.00	41	2.15	39	0.68	41
cowardice	0.38	32	0.41	29	0.71	28	0.35	26	-3.66	29
crab	1.29	31	4.35	31	0.77	30	2.58	26	-0.60	30
cradle	1.91	11	1.18	11	2.57	14	1.93	14	1.00	11
cranberry	0.07	29	5.11	28	2.00	33	0.25	28	1.03	32
crane	3.28	32	2.65	34	2.45	31	2.76	29	0.86	29
crayon	0.68	31	5.12	32	3.77	30	0.93	27	1.81	31
cream	0.11	9	2.73	11	2.58	12	0.77	13	0.38	13
crib	1.14	29	1.90	30	2.37	30	0.75	28	1.41	32
cricket	4.27	33	3.00	32	1.17	29	2.33	27	0.47	32
croak	3.67	30	0.58	31	1.16	32	0.67	30	-2.12	32
crocodile	2.00	43	4.31	42	1.59	44	2.74	39	-1.79	43
crossbow	1.73	30	1.80	30	4.06	31	2.83	29	-1.00	32
crow	4.00	42	4.37	43	1.12	42	2.97	39	-1.58	45
crown	0.18	11	4.45	11	3.08	13	0.36	11	2.64	11
crucifix	0.17	12	1.20	10	1.62	13	0.08	13	-1.82	11
cruiser	3.17	12	1.00	11	2.77	13	4.25	12	0.75	12
crystal	0.36	11	3.64	11	2.21	14	0.20	10	2.75	12
cucumber	0.13	31	4.81	31	1.97	32	0.32	28	0.73	30
cue	1.18	33	0.39	31	1.97	32	0.81	26	0.37	30
cult	1.56	32	1.31	29	2.13	31	1.44	27	-4.07	28
cup	1.00	11	1.33	12	3.50	14	0.36	11	1.17	12
curb	0.36	11	1.90	10	1.54	13	0.00	10	-1.23	13
curiosity	0.85	33	0.57	30	1.86	28	0.85	27	2.19	32
curse	2.61	31	0.33	33	2.16	31	0.62	26	-3.48	33
cyclone	4.04	28	1.37	30	0.73	30	4.27	26	-1.84	32
